#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1243603,North America,North America,,3767.0,385.0,,19452.0,,2015743,122347.0,649793.0,,
,434347,South America,South America,,344.0,7.0,,11226.0,,800398,38185.0,327866.0,,
,851191,Europe,Europe,,14.0,3.0,,9017.0,,1986921,172534.0,963196.0,,
,400690,Asia,Asia,,3321.0,78.0,,13674.0,,1083755,29743.0,653322.0,,
,75402,Africa,Africa,,,,,356.0,,137544,3945.0,58197.0,,
,481,Australia/Oceania,Oceania,,11.0,,,4.0,,8793,125.0,8187.0,,
,3005769,All,World,47.1,7457.0,473.0,,53733.0,,6033875,366894.0,2661212.0,,774.0
1,1169419,North America,USA,316.0,,,"330,832,890 ",17204.0,50814.0,1793530,104542.0,519569.0,16810778.0,5421.0
2,247213,South America,Brazil,132.0,,,"212,426,274 ",8318.0,4378.0,468338,27944.0,193181.0,930013.0,2205.0
3,223992,Europe,Russia,30.0,,,"145,929,167 ",2300.0,68527.0,387623,4374.0,159257.0,10000061.0,2656.0
4,61565,Europe,Spain,580.0,,,"46,753,246 ",617.0,76071.0,285644,27121.0,196958.0,3556567.0,6110.0
5,0,Europe,UK,562.0,,,"67,854,937 ",1559.0,59593.0,271222,38161.0,0.0,4043686.0,3997.0
6,46175,Europe,Italy,550.0,,,"60,469,262 ",475.0,62102.0,232248,33229.0,152844.0,3755279.0,3841.0
7,90318,Europe,France,440.0,,,"65,261,155 ",1361.0,21217.0,186835,28714.0,67803.0,1384633.0,2863.0
8,10325,Europe,Germany,103.0,,,"83,760,886 ",729.0,47194.0,183019,8594.0,164100.0,3952971.0,2185.0
9,86156,Asia,India,4.0,272.0,,"1,378,789,216 ",8944.0,2619.0,173763,4980.0,82627.0,3611599.0,126.0
10,31668,Asia,Turkey,53.0,,,"84,257,335 ",662.0,23314.0,162120,4489.0,125963.0,1964364.0,1924.0
11,81264,South America,Peru,128.0,,,"32,929,707 ",926.0,29263.0,148285,4230.0,62791.0,963617.0,4503.0
12,24060,Asia,Iran,92.0,,,"83,894,952 ",2547.0,10687.0,146668,7677.0,114931.0,896571.0,1748.0
