#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,38909810,1507.0,872328.0,140.0,30980285,"+2,662",7057197,16569.0,,,,,,North America,"
",,,,,
,Asia,44384056,9590.0,575077.0,191.0,38416409,"+18,141",5392570,32866.0,,,,,,Asia,"
",,,,,
,South America,25999378,,707095.0,,23613445,,1678838,27738.0,,,,,,South America,"
",,,,,
,Europe,45569573,3475.0,1037076.0,151.0,40974318,"+35,204",3558179,26018.0,,,,,,Europe,"
",,,,,
,Africa,4682179,,125066.0,,4216756,,340357,3241.0,,,,,,Africa,"
",,,,,
,Oceania,64206,7.0,1209.0,,60855,,2142,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,159609923,14579.0,3317866.0,482.0,138262774,"+56,007",18029283,106435.0,20476.0,425.7,,,,All,"
",,,,,
1,USA,33515308,,596179.0,,26507427,,6411702,8777.0,100748.0,1792.0,459420934.0,1381034.0,"332,664,383 ",North America,10,558,1,,,"19,274"
2,India,22992517,590.0,250025.0,,19027304,"+6,097",3715188,8944.0,16522.0,180.0,305600187.0,219603.0,"1,391,605,161 ",Asia,61,"5,566",5,0.4,,"2,670"
3,Brazil,15214030,,423436.0,,13759125,,1031469,8318.0,71143.0,1980.0,46834128.0,219002.0,"213,852,486 ",South America,14,505,5,,,"4,823"
4,France,5780379,,106684.0,,4917101,,756594,4870.0,88389.0,1631.0,79517576.0,1215915.0,"65,397,303 ",Europe,11,613,1,,,"11,569"
5,Turkey,5044936,,43311.0,,4743871,,257754,2983.0,59272.0,509.0,49604004.0,582789.0,"85,114,793 ",Asia,17,"1,965",2,,,"3,028"
6,Russia,4888727,,113647.0,,4502906,,272174,2300.0,33487.0,778.0,131400000.0,900073.0,"145,988,122 ",Europe,30,"1,285",1,,,"1,864"
7,UK,4437217,,127609.0,,4250699,,58909,159.0,65070.0,1871.0,165821683.0,2431711.0,"68,191,369 ",Europe,15,534,0,,,864
8,Italy,4116287,,123031.0,,3619586,,373670,2158.0,68167.0,2037.0,61227024.0,1013935.0,"60,385,546 ",Europe,15,491,1,,,"6,188"
9,Spain,3581392,,78895.0,,3274808,,227689,2134.0,76574.0,1687.0,47213067.0,1009467.0,"46,770,308 ",Europe,13,593,1,,,"4,868"
10,Germany,3535354,,85481.0,,3196900,"+21,300",252973,5049.0,42081.0,1017.0,56836969.0,676522.0,"84,013,487 ",Europe,24,983,1,,,"3,011"
11,Argentina,3165121,,67821.0,,2837058,,260242,5357.0,69486.0,1489.0,11891364.0,261059.0,"45,550,456 ",South America,14,672,4,,,"5,713"
12,Colombia,3015301,,78342.0,,2835554,,101405,6006.0,58725.0,1526.0,15477840.0,301439.0,"51,346,483 ",South America,17,655,3,,,"1,975"
13,Poland,2835083,,70034.0,,2576034,,189015,2083.0,74980.0,1852.0,14794397.0,391272.0,"37,811,050 ",Europe,13,540,3,,,"4,999"
14,Iran,2673219,,75261.0,,2127192,,470766,5533.0,31483.0,886.0,17206735.0,202644.0,"84,911,245 ",Asia,32,"1,128",5,,,"5,544"
15,Mexico,2366496,704.0,219089.0,104.0,1888638,"+2,405",258769,4798.0,18191.0,1684.0,6761179.0,51973.0,"130,090,737 ",North America,55,594,19,5,0.8,"1,989"
16,Ukraine,2124535,2208.0,46631.0,119.0,1777370,"+8,617",300534,177.0,48831.0,1072.0,9682286.0,222540.0,"43,508,054 ",Europe,20,933,4,51,3,"6,908"
17,Peru,1853370,,64373.0,,1720665,,68332,2680.0,55550.0,1929.0,11705258.0,350835.0,"33,364,023 ",South America,18,518,3,,,"2,048"
18,Indonesia,1718575,,47218.0,,1574615,,96742,,6227.0,171.0,15272213.0,55335.0,"275,996,044 ",Asia,161,"5,845",18,,,351
19,Czechia,1645448,,29711.0,,1580939,,34798,363.0,153407.0,2770.0,19988974.0,1863598.0,"10,726,011 ",Europe,7,361,1,,,"3,244"
20,South Africa,1597724,,54825.0,,1517350,,25549,546.0,26652.0,915.0,10906020.0,181926.0,"59,947,455 ",Africa,38,"1,093",5,,,426
21,Netherlands,1565880,,17340.0,,1325107,,223433,758.0,91213.0,1010.0,13171698.0,767252.0,"17,167,367 ",Europe,11,990,1,,,"13,015"
