ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
508443,North America,North America,,603.0,44.0,12463.0,,569552,21836.0,39273.0,,
569133,Europe,Europe,,35.0,,29996.0,,852934,73625.0,210176.0,,
133878,Asia,Asia,,279.0,6.0,6611.0,,287463,10603.0,142982.0,,
40905,South America,South America,,35.0,5.0,1243.0,,48103,1952.0,5246.0,,
3920,Australia/Oceania,Oceania,,18.0,3.0,85.0,,7720,63.0,3737.0,,
11017,Africa,Africa,,,,174.0,,14220,745.0,2458.0,,
1267385,All,World,14.0,970.0,58.0,50582.0,,1780713,108837.0,404491.0,,228.0
482006,North America,USA,62.0,209.0,3.0,11471.0,8138.0,533088,20580.0,30502.0,2693758.0,1611.0
87312,Europe,Spain,355.0,,,7371.0,7593.0,163027,16606.0,59109.0,355000.0,3487.0
100269,Europe,Italy,322.0,,,3381.0,15935.0,152271,19468.0,32534.0,963473.0,2518.0
89431,Europe,France,212.0,,,6883.0,5114.0,129654,13832.0,26391.0,333807.0,1986.0
65181,Europe,Germany,34.0,,,4895.0,15730.0,125452,2871.0,57400.0,1317887.0,1497.0
68772,Europe,UK,145.0,,,1559.0,4934.0,78991,9875.0,344.0,334974.0,1164.0
23725,Asia,Iran,52.0,,,3987.0,2997.0,70029,4357.0,41947.0,251703.0,834.0
48101,Asia,Turkey,13.0,,,1626.0,4036.0,52167,1101.0,2965.0,340380.0,619.0
18686,Europe,Belgium,289.0,,,1262.0,8814.0,28018,3346.0,5986.0,102151.0,2418.0
11971,Europe,Switzerland,120.0,,,386.0,21954.0,25107,1036.0,12100.0,190000.0,2901.0
21520,Europe,Netherlands,154.0,,,1384.0,5926.0,24413,2643.0,250.0,101534.0,1425.0
16237,North America,Canada,17.0,,,557.0,10639.0,23318,653.0,6428.0,401552.0,618.0
19650,South America,Brazil,5.0,2.0,1.0,296.0,296.0,20964,1141.0,173.0,62985.0,99.0
15251,Europe,Portugal,46.0,,,233.0,15966.0,15987,470.0,266.0,162798.0,1568.0
6865,Europe,Austria,37.0,,,246.0,15653.0,13806,337.0,6604.0,140975.0,1533.0
12433,Europe,Russia,0.7,,,8.0,8116.0,13584,106.0,1045.0,1184442.0,93.0
9301,Asia,Israel,12.0,,,175.0,13557.0,10743,101.0,1341.0,117339.0,1241.0
2930,Asia,S. Korea,4.0,32.0,3.0,55.0,10038.0,10512,214.0,7368.0,514621.0,205.0
8883,Europe,Sweden,88.0,,,789.0,5416.0,10151,887.0,381.0,54700.0,1005.0
8583,Europe,Ireland,65.0,,,194.0,10734.0,8928,320.0,25.0,53000.0,1808.0
7189,Asia,India,0.2,,,,137.0,8446,288.0,969.0,189111.0,6.0
6531,South America,Ecuador,18.0,,,184.0,1222.0,7257,315.0,411.0,21568.0,411.0
4990,South America,Chile,4.0,,,383.0,3995.0,6927,73.0,1864.0,76374.0,362.0
4928,South America,Peru,5.0,,,142.0,2054.0,6848,181.0,1739.0,67712.0,208.0
5878,Asia,Japan,0.9,,,117.0,544.0,6748,108.0,762.0,68771.0,53.0
6258,Europe,Norway,22.0,,,67.0,22924.0,6409,119.0,32.0,124279.0,1182.0
5773,Europe,Poland,5.0,,,160.0,3423.0,6356,208.0,375.0,129560.0,168.0
2979,Australia/Oceania,Australia,2.0,,3.0,80.0,13780.0,6303,59.0,3265.0,351380.0,247.0
3781,Europe,Denmark,45.0,,,106.0,11700.0,5996,260.0,1955.0,67771.0,1035.0
4941,Europe,Romania,15.0,,,208.0,3081.0,5990,291.0,758.0,59272.0,311.0
5362,Europe,Czechia,12.0,,,92.0,11232.0,5902,129.0,411.0,120285.0,551.0
3926,Asia,Pakistan,0.4,27.0,,37.0,280.0,5038,86.0,1026.0,61801.0,23.0
2462,Asia,Malaysia,2.0,,,72.0,2221.0,4530,73.0,1995.0,71897.0,140.0
4024,Asia,Philippines,2.0,,,1.0,224.0,4428,247.0,157.0,24500.0,40.0
