#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40729142,3551.0,920799.0,56.0,34218493,"+4,359",5589850,10860.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,56446975,16321.0,801539.0,149.0,53753244,"+16,171",1892192,26669.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,33347421,878.0,1017615.0,31.0,30349377,"+1,388",1980429,29134.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,48257297,270.0,1106389.0,14.0,45582248,"+2,299",1568660,6465.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5715442,,145951.0,,4948503,,620988,4645.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,76437,53.0,1289.0,,69207,,5941,29.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,184573435,21073.0,3993597.0,250.0,168921778,"+24,217",11658060,77802.0,23679.0,512.3,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34592377,,621293.0,,29096816,,4874268,3814.0,103895.0,1866.0,507748050.0,1524973.0,"332,955,517 ",North America,10,536,1,,,"14,639",Dummy,Dummy
2,India,30585229,357.0,402758.0,,29700430,"+7,444",482041,8944.0,21946.0,289.0,419777457.0,301209.0,"1,393,642,378 ",Asia,46,"3,460",3,0.3,,346,Dummy,Dummy
3,Brazil,18769808,,524475.0,,17082876,,1162457,8318.0,87677.0,2450.0,54003112.0,252258.0,"214,079,196 ",South America,11,408,4,,,"5,430",Dummy,Dummy
4,France,5786203,,111161.0,,5630193,,44849,1104.0,88448.0,1699.0,94321875.0,1441813.0,"65,418,945 ",Europe,11,589,1,,,686,Dummy,Dummy
5,Russia,5610941,,137925.0,,5068901,,404115,2300.0,38432.0,945.0,151800000.0,1039744.0,"145,997,494 ",Europe,26,"1,059",1,,,"2,768",Dummy,Dummy
6,Turkey,5444786,,49924.0,,5314930,,79932,684.0,63868.0,586.0,61671470.0,723410.0,"85,251,095 ",Asia,16,"1,708",1,,,938,Dummy,Dummy
7,UK,4903434,,128222.0,,4334656,,440556,300.0,71851.0,1879.0,214786845.0,3147298.0,"68,244,848 ",Europe,14,532,0,,,"6,456",Dummy,Dummy
8,Argentina,4535473,,95904.0,,4156006,,283563,5671.0,99434.0,2103.0,17029887.0,373358.0,"45,612,717 ",South America,10,476,3,,,"6,217",Dummy,Dummy
9,Colombia,4350495,,108896.0,,4047147,,194452,8155.0,84594.0,2117.0,20384649.0,396373.0,"51,427,935 ",South America,12,472,3,,,"3,781",Dummy,Dummy
10,Italy,4263317,,127649.0,,4091004,,44664,197.0,70617.0,2114.0,72340685.0,1198244.0,"60,372,239 ",Europe,14,473,1,,,740,Dummy,Dummy
11,Spain,3833868,,80911.0,,3606789,,146168,586.0,81968.0,1730.0,52691812.0,1126543.0,"46,773,020 ",Europe,12,578,1,,,"3,125",Dummy,Dummy
12,Germany,3738451,,91584.0,,3629300,900,17567,546.0,44477.0,1090.0,63813168.0,759196.0,"84,053,641 ",Europe,22,918,1,,,209,Dummy,Dummy
13,Iran,3254818,,84792.0,,2926266,,243760,3229.0,38259.0,997.0,23967488.0,281729.0,"85,072,794 ",Asia,26,"1,003",4,,,"2,865",Dummy,Dummy
14,Poland,2880270,,75084.0,,2652165,,153021,88.0,76188.0,1986.0,17534032.0,463804.0,"37,804,845 ",Europe,13,504,2,,,"4,048",Dummy,Dummy
15,Mexico,2540068,2611.0,233622.0,42.0,2014868,"+4,114",291578,4798.0,19495.0,1793.0,7580614.0,58181.0,"130,294,173 ",North America,51,558,17,20,0.3,"2,238",Dummy,Dummy
16,Indonesia,2284084,,60582.0,,1928274,,295228,,8263.0,219.0,20510940.0,74199.0,"276,430,420 ",Asia,121,"4,563",13,,,"1,068",Dummy,Dummy
17,Ukraine,2237823,270.0,52484.0,14.0,2171601,419,0,177.0,51481.0,1207.0,10925065.0,251331.0,"43,468,779 ",Europe,19,828,4,6,0.3,316,Dummy,Dummy
18,Peru,2065113,,193230.0,,0,N/A,0,2312.0,61769.0,5780.0,14373931.0,429932.0,"33,433,062 ",South America,16,173,2,,,"4,523",Dummy,Dummy
19,South Africa,2062896,,61840.0,,1808082,,192974,546.0,34347.0,1030.0,13450014.0,223944.0,"60,059,815 ",Africa,29,971,4,,,"3,213",Dummy,Dummy
20,Netherlands,1689106,,17756.0,,1641643,,29707,113.0,98358.0,1034.0,14730069.0,857743.0,"17,173,047 ",Europe,10,967,1,,,"1,730",Dummy,Dummy
21,Czechia,1667935,,30310.0,,1636178,,1447,4.0,155461.0,2825.0,30265111.0,2820873.0,"10,728,987 ",Europe,6,354,0,,,135,Dummy,Dummy
22,Chile,1569784,,33103.0,,1509297,,27384,2823.0,81415.0,1717.0,17227555.0,893490.0,"19,281,193 ",South America,12,582,1,,,"1,420",Dummy,Dummy
23,Philippines,1436369,,25149.0,,1358512,,52708,1881.0,12935.0,226.0,15175343.0,136658.0,"111,045,862 ",Asia,77,"4,416",7,,,475,Dummy,Dummy
24,Canada,1416969,,26360.0,,1384448,,6161,437.0,37215.0,692.0,36946410.0,970362.0,"38,074,871 ",North America,27,"1,444",1,,,162,Dummy,Dummy
25,Iraq,1371475,,17316.0,,1265455,,88704,620.0,33348.0,421.0,11890105.0,289109.0,"41,126,751 ",Asia,30,"2,375",3,,,"2,157",Dummy,Dummy
26,Sweden,1090880,,14592.0,,1064620,989,11668,37.0,107342.0,1436.0,10828578.0,1065530.0,"10,162,618 ",Europe,9,696,1,,,"1,148",Dummy,Dummy
27,Belgium,1086508,,25185.0,,1040178,,21145,126.0,93340.0,2164.0,15423491.0,1324998.0,"11,640,387 ",Europe,11,462,1,,,"1,817",Dummy,Dummy
28,Romania,1080951,,33928.0,,1045351,,1672,67.0,56570.0,1776.0,9897988.0,517996.0,"19,108,249 ",Europe,18,563,2,,,88,Dummy,Dummy
29,Pakistan,963660,1347.0,22427.0,19.0,907934,650,33299,1894.0,4279.0,100.0,14778275.0,65625.0,"225,192,965 ",Asia,234,"10,041",15,6,0.08,148,Dummy,Dummy
30,Bangladesh,944917,,15065.0,,833897,,95955,1182.0,5681.0,91.0,6723560.0,40421.0,"166,338,597 ",Asia,176,"11,041",25,,,577,Dummy,Dummy
31,Portugal,889088,,17112.0,,833852,,38124,128.0,87451.0,1683.0,13332860.0,1311419.0,"10,166,742 ",Europe,11,594,1,,,"3,750",Dummy,Dummy
32,Israel,842969,,6428.0,,834051,,2490,34.0,90389.0,689.0,15193318.0,1629136.0,"9,326,000 ",Asia,11,"1,451",1,,,267,Dummy,Dummy
33,Hungary,808197,,29992.0,,739561,,38644,22.0,83876.0,3113.0,6145920.0,637833.0,"9,635,628 ",Europe,12,321,2,,,"4,011",Dummy,Dummy
34,Japan,805376,,14842.0,,773480,,17054,496.0,6388.0,118.0,16638003.0,131957.0,"126,086,194 ",Asia,157,"8,495",8,,,135,Dummy,Dummy
35,Malaysia,778652,,5497.0,,705486,,67669,917.0,23752.0,168.0,14899543.0,454497.0,"32,782,525 ",Asia,42,"5,964",2,,,"2,064",Dummy,Dummy
36,Jordan,753192,,9781.0,,736699,,6712,472.0,73090.0,949.0,7947011.0,771184.0,"10,304,948 ",Asia,14,"1,054",1,,,651,Dummy,Dummy
