#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40227420,5253.0,908937.0,260.0,33492944,"+4,684",5825539,11754.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,53809249,10201.0,752705.0,145.0,51016068,"+18,654",2040476,27010.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,30921662,2571.0,951683.0,124.0,28028123,"+2,456",1941856,32194.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,47262751,1553.0,1088150.0,84.0,44687927,"+9,620",1486674,9756.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5125973,,135872.0,,4572719,,417382,2859.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,70661,15.0,1256.0,,67648,6,1757,10.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,177418437,19593.0,3838618.0,613.0,161866135,"+35,420",11713684,83583.0,22761.0,492.5,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34352185,,615717.0,,28578701,,5157767,4348.0,103205.0,1850.0,496017405.0,1490191.0,"332,854,943 ",North America,10,541,1,,,"15,496",Dummy,Dummy
2,India,29633105,844.0,379601.0,,28388100,"+7,466",865404,8944.0,21274.0,273.0,383306971.0,275179.0,"1,392,938,612 ",Asia,47,"3,669",4,0.6,,621,Dummy,Dummy
3,Brazil,17543853,,491164.0,,15944646,,1108043,8318.0,81980.0,2295.0,50870041.0,237709.0,"214,000,878 ",South America,12,436,4,,,"5,178",Dummy,Dummy
4,France,5744589,,110530.0,,5511166,,122893,1952.0,87822.0,1690.0,89539284.0,1368862.0,"65,411,469 ",Europe,11,592,1,,,"1,879",Dummy,Dummy
5,Turkey,5342028,,48879.0,,5211022,,82127,886.0,62697.0,574.0,57447635.0,674236.0,"85,204,009 ",Asia,16,"1,743",1,,,964,Dummy,Dummy
6,Russia,5236593,,127180.0,,4818244,,291169,2300.0,35868.0,871.0,143300000.0,981545.0,"145,994,256 ",Europe,28,"1,148",1,,,"1,994",Dummy,Dummy
7,UK,4581006,,127917.0,,4292182,,160907,188.0,67144.0,1875.0,196799580.0,2884509.0,"68,226,374 ",Europe,15,533,0,,,"2,358",Dummy,Dummy
8,Italy,4247032,,127101.0,,4014045,,105886,504.0,70342.0,2105.0,68896197.0,1141103.0,"60,376,836 ",Europe,14,475,1,,,"1,754",Dummy,Dummy
9,Argentina,4172742,,86615.0,,3771968,,314159,7890.0,91525.0,1900.0,15396089.0,337699.0,"45,591,209 ",South America,11,526,3,,,"6,891",Dummy,Dummy
10,Colombia,3802052,,96965.0,,3539442,,165645,8155.0,73970.0,1886.0,18340111.0,356813.0,"51,399,797 ",South America,14,530,3,,,"3,223",Dummy,Dummy
11,Spain,3745199,,80579.0,,3533204,,131416,899.0,80073.0,1723.0,51240666.0,1095540.0,"46,772,083 ",Europe,12,580,1,,,"2,810",Dummy,Dummy
12,Germany,3725303,,90638.0,,3590900,"+4,900",43765,1210.0,44328.0,1079.0,62263057.0,740876.0,"84,039,769 ",Europe,23,927,1,,,521,Dummy,Dummy
13,Iran,3049648,,82351.0,,2683210,,284087,3394.0,35871.0,969.0,21817747.0,256628.0,"85,016,986 ",Asia,28,"1,032",4,,,"3,342",Dummy,Dummy
14,Poland,2877819,,74626.0,,2649080,,154113,277.0,76119.0,1974.0,16660303.0,440667.0,"37,806,989 ",Europe,13,507,2,,,"4,076",Dummy,Dummy
15,Mexico,2459601,4250.0,230424.0,239.0,1960036,"+3,460",269141,4798.0,18887.0,1769.0,7252170.0,55690.0,"130,223,895 ",North America,53,565,18,33,2,"2,067",Dummy,Dummy
16,Ukraine,2226037,1045.0,51847.0,78.0,2140978,"+4,802",33212,177.0,51194.0,1192.0,10576820.0,243244.0,"43,482,346 ",Europe,20,839,4,24,2,764,Dummy,Dummy
17,Peru,2007477,,189261.0,,0,N/A,0,2528.0,60088.0,5665.0,13510063.0,404381.0,"33,409,212 ",South America,17,177,2,,,"2,920",Dummy,Dummy
18,Indonesia,1927708,,53280.0,,1757641,,116787,,6977.0,193.0,18103302.0,65525.0,"276,280,363 ",Asia,143,"5,185",15,,,423,Dummy,Dummy
19,South Africa,1761066,,58087.0,,1616405,,86574,546.0,29341.0,968.0,12270842.0,204442.0,"60,021,000 ",Africa,34,"1,033",5,,,"1,442",Dummy,Dummy
20,Netherlands,1674628,,17715.0,,1580449,,76464,254.0,97526.0,1032.0,14444249.0,841196.0,"17,171,085 ",Europe,10,969,1,,,"4,453",Dummy,Dummy
21,Czechia,1665327,,30229.0,,1630938,,4160,24.0,155232.0,2818.0,27067357.0,2523067.0,"10,727,959 ",Europe,6,355,0,,,388,Dummy,Dummy
22,Chile,1487239,,30865.0,,1413414,,42960,3275.0,77168.0,1601.0,16081026.0,834395.0,"19,272,684 ",South America,13,624,1,,,"2,229",Dummy,Dummy
23,Canada,1404093,,25972.0,,1363198,,14923,670.0,36894.0,682.0,35830746.0,941485.0,"38,057,711 ",North America,27,"1,465",1,,,392,Dummy,Dummy
24,Philippines,1327431,,22963.0,,1246405,,58063,1704.0,11962.0,207.0,14177333.0,127758.0,"110,970,140 ",Asia,84,"4,833",8,,,523,Dummy,Dummy
25,Iraq,1264301,,16762.0,,1180713,,66826,452.0,30777.0,408.0,11062447.0,269292.0,"41,079,782 ",Asia,32,"2,451",4,,,"1,627",Dummy,Dummy
26,Sweden,1084636,,14537.0,,1030414,,39685,98.0,106762.0,1431.0,10423085.0,1025959.0,"10,159,355 ",Europe,9,699,1,,,"3,906",Dummy,Dummy
27,Romania,1079879,,31957.0,,1044563,,3359,202.0,56494.0,1672.0,9434296.0,493558.0,"19,114,875 ",Europe,18,598,2,,,176,Dummy,Dummy
28,Belgium,1077087,508.0,25099.0,6.0,1003023,,48965,276.0,92551.0,2157.0,14596027.0,1254194.0,"11,637,775 ",Europe,11,464,1,44,0.5,"4,207",Dummy,Dummy
29,Pakistan,944065,1038.0,21828.0,46.0,882332,"+2,016",39905,2490.0,4196.0,97.0,13934493.0,61939.0,"224,969,938 ",Asia,238,"10,306",16,5,0.2,177,Dummy,Dummy
30,Portugal,859045,,17049.0,,816503,,25493,79.0,84483.0,1677.0,12425225.0,1221960.0,"10,168,278 ",Europe,12,596,1,,,"2,507",Dummy,Dummy
31,Israel,839701,,6428.0,,833052,,221,29.0,90039.0,689.0,14758111.0,1582470.0,"9,326,000 ",Asia,11,"1,451",1,,,24,Dummy,Dummy
32,Bangladesh,833291,,13222.0,,771073,,48996,1195.0,5012.0,80.0,6218979.0,37407.0,"166,253,486 ",Asia,200,"12,574",27,,,295,Dummy,Dummy
33,Hungary,807102,,29935.0,,731626,,45541,44.0,83751.0,3106.0,5996016.0,622194.0,"9,636,896 ",Europe,12,322,2,,,"4,726",Dummy,Dummy
34,Japan,776307,,14126.0,,733316,,28865,827.0,6156.0,112.0,15494981.0,122872.0,"126,106,205 ",Asia,162,"8,927",8,,,229,Dummy,Dummy
35,Jordan,744377,,9614.0,,727670,,7093,540.0,72272.0,933.0,7583811.0,736314.0,"10,299,693 ",Asia,14,"1,071",1,,,689,Dummy,Dummy
36,Serbia,715147,,6976.0,,704472,,3699,20.0,82166.0,801.0,4293037.0,493242.0,"8,703,708 ",Europe,12,"1,248",2,,,425,Dummy,Dummy
37,Switzerland,700978,,10864.0,,668678,,21436,84.0,80434.0,1247.0,8017244.0,919936.0,"8,714,999 ",Europe,12,802,1,,,"2,460",Dummy,Dummy
38,Malaysia,667876,,4069.0,,593695,,70112,922.0,20386.0,124.0,13290585.0,405683.0,"32,760,998 ",Asia,49,"8,051",2,,,"2,140",Dummy,Dummy
39,Austria,648849,,10668.0,,634439,,3742,97.0,71653.0,1178.0,48813163.0,5390479.0,"9,055,440 ",Europe,14,849,0,,,413,Dummy,Dummy
40,Nepal,612202,,8506.0,,540439,,63257,,20658.0,287.0,3231612.0,109046.0,"29,635,231 ",Asia,48,"3,484",9,,,"2,135",Dummy,Dummy
41,UAE,601950,,1734.0,,581139,,19077,,60169.0,173.0,53787952.0,5376510.0,"10,004,250 ",Asia,17,"5,769",0,,,"1,907",Dummy,Dummy
42,Lebanon,542819,,7804.0,,527949,,7066,77.0,79871.0,1148.0,4599186.0,676728.0,"6,796,207 ",Asia,13,871,1,,,"1,040",Dummy,Dummy
43,Morocco,524475,,9217.0,,511794,,3464,119.0,14051.0,247.0,6646846.0,178069.0,"37,327,398 ",Africa,71,"4,050",6,,,93,Dummy,Dummy
