#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')"
26,Iraq,1250691.0,3831.0,16690.0,22.0,1168198.0,"+4,095",65803.0,449.0,30449.0,406.0,10933655.0,266189.0,"41,074,837 ",Asia,33,"2,461",4,93,0.5,"1,602",Dummy
27,Sweden,1083456.0,0.0,14537.0,0.0,1022457.0,"+3,918",46462.0,113.0,106650.0,1431.0,10239089.0,1007882.0,"10,159,012 ",Europe,9,699,1,,,"4,573",Dummy
28,Romania,1079657.0,127.0,31825.0,5.0,1044000.0,197,3832.0,236.0,56480.0,1665.0,9376733.0,490529.0,"19,115,572 ",Europe,18,601,2,7,0.3,200,Dummy
29,Belgium,1074988.0,784.0,25075.0,7.0,992815.0,,57098.0,300.0,92373.0,2155.0,14455587.0,1242156.0,"11,637,500 ",Europe,11,464,1,67,0.6,"4,906",Dummy
30,Pakistan,939931.0,1194.0,21633.0,57.0,875581.0,"+2,038",42717.0,2760.0,4178.0,96.0,13781668.0,61266.0,"224,946,461 ",Asia,239,"10,398",16,5,0.3,190,Dummy
31,Portugal,856740.0,789.0,17045.0,1.0,815094.0,776,24601.0,77.0,84255.0,1676.0,12307236.0,1210337.0,"10,168,440 ",Europe,12,597,1,78,0.10,"2,419",Dummy
32,Israel,839661.0,8.0,6428.0,0.0,833011.0,4,222.0,32.0,90034.0,689.0,14758111.0,1582470.0,"9,326,000 ",Asia,11,"1,451",1,0.9,,24,Dummy
33,Bangladesh,824486.0,1637.0,13071.0,39.0,764024.0,"+2,108",47391.0,1188.0,4959.0,79.0,6156363.0,37032.0,"166,244,527 ",Asia,202,"12,719",27,10,0.2,285,Dummy
34,Hungary,806790.0,0.0,29904.0,0.0,724614.0,,52272.0,51.0,83718.0,3103.0,5962887.0,618747.0,"9,637,030 ",Europe,12,322,2,,,"5,424",Dummy
35,Japan,771878.0,1975.0,13977.0,70.0,724804.0,"+3,544",33097.0,890.0,6121.0,111.0,15349687.0,121718.0,"126,108,312 ",Asia,163,"9,023",8,16,0.6,262,Dummy
36,Jordan,742831.0,310.0,9582.0,5.0,725557.0,475,7692.0,540.0,72126.0,930.0,7525294.0,730672.0,"10,299,140 ",Asia,14,"1,075",1,30,0.5,747,Dummy
37,Serbia,714753.0,119.0,6958.0,7.0,703364.0,370,4431.0,22.0,82119.0,799.0,4267670.0,490317.0,"8,703,900 ",Europe,12,"1,251",2,14,0.8,509,Dummy
38,Switzerland,700051.0,0.0,10859.0,0.0,666384.0,,22808.0,88.0,80330.0,1246.0,7945174.0,911703.0,"8,714,654 ",Europe,12,803,1,,,"2,617",Dummy
39,Malaysia,652204.0,5793.0,3844.0,76.0,572113.0,"+8,334",76247.0,914.0,19909.0,117.0,13210455.0,403265.0,"32,758,732 ",Asia,50,"8,522",2,177,2,"2,328",Dummy
40,Austria,648387.0,200.0,10652.0,0.0,633538.0,433,4197.0,101.0,71604.0,1176.0,47725434.0,5270524.0,"9,055,160 ",Europe,14,850,0,22,,463,Dummy
41,Nepal,606778.0,2382.0,8366.0,61.0,527111.0,"+6,295",71301.0,0.0,20477.0,282.0,3207208.0,108233.0,"29,632,363 ",Asia,49,"3,542",9,80,2,"2,406",Dummy
42,UAE,596017.0,2123.0,1724.0,4.0,575288.0,"+2,094",19005.0,0.0,59580.0,172.0,53103521.0,5308443.0,"10,003,597 ",Asia,17,"5,803",0,212,0.4,"1,900",Dummy
43,Lebanon,542523.0,148.0,7794.0,4.0,527174.0,576,7555.0,78.0,79825.0,1147.0,4574388.0,673063.0,"6,796,373 ",Asia,13,872,1,22,0.6,"1,112",Dummy
44,Morocco,523620.0,455.0,9207.0,5.0,510958.0,335,3455.0,102.0,14029.0,247.0,6622404.0,177425.0,"37,325,008 ",Africa,71,"4,054",6,12,0.1,93,Dummy
45,Saudi Arabia,464780.0,1077.0,7553.0,16.0,446960.0,906,10267.0,1562.0,13157.0,214.0,20279006.0,574038.0,"35,326,932 ",Asia,76,"4,677",2,30,0.5,291,Dummy
46,Ecuador,438108.0,987.0,21018.0,21.0,398645.0,,18445.0,453.0,24480.0,1174.0,1467266.0,81986.0,"17,896,604 ",South America,41,851,12,55,1,"1,031",Dummy
47,Bulgaria,420294.0,81.0,17898.0,5.0,389402.0,34,12994.0,246.0,60924.0,2594.0,2978938.0,431814.0,"6,898,662 ",Europe,16,385,2,12,0.7,"1,884",Dummy
48,Greece,414636.0,682.0,12402.0,21.0,389925.0,994,12309.0,360.0,39966.0,1195.0,10039094.0,967658.0,"10,374,625 ",Europe,25,837,1,66,2,"1,186",Dummy
49,Belarus,404740.0,895.0,2969.0,11.0,397587.0,937,4184.0,0.0,42846.0,314.0,6516316.0,689822.0,"9,446,369 ",Europe,23,"3,182",1,95,1,443,Dummy
50,Bolivia,403291.0,3244.0,15417.0,96.0,317581.0,"+2,277",70293.0,200.0,34108.0,1304.0,1627475.0,137644.0,"11,823,785 ",South America,29,767,7,274,8,"5,945",Dummy
51,Kazakhstan,400214.0,1118.0,4150.0,14.0,375457.0,"+1,387",20607.0,221.0,21076.0,219.0,11575012.0,609549.0,"18,989,465 ",Asia,47,"4,576",2,59,0.7,"1,085",Dummy
52,Slovakia,390984.0,91.0,12436.0,3.0,377155.0,148,1393.0,46.0,71581.0,2277.0,2889713.0,529043.0,"5,462,155 ",Europe,14,439,2,17,0.5,255,Dummy
53,Paraguay,389650.0,1963.0,10699.0,138.0,322269.0,"+2,697",56682.0,613.0,54002.0,1483.0,1402877.0,194425.0,"7,215,526 ",South America,19,674,5,272,19,"7,856",Dummy
54,Panama,387127.0,858.0,6439.0,12.0,371597.0,582,9091.0,105.0,88405.0,1470.0,2790124.0,637154.0,"4,379,039 ",North America,11,680,2,196,3,"2,076",Dummy
55,Tunisia,367047.0,2228.0,13436.0,71.0,320767.0,"+1,292",32844.0,424.0,30752.0,1126.0,1556394.0,130397.0,"11,935,816 ",Africa,33,888,8,187,6,"2,752",Dummy
56,Croatia,358504.0,125.0,8132.0,9.0,349244.0,195,1128.0,35.0,87843.0,1993.0,2074221.0,508241.0,"4,081,179 ",Europe,11,502,2,31,2,276,Dummy
57,Georgia,353443.0,794.0,5034.0,22.0,338318.0,498,10091.0,0.0,88763.0,1264.0,5337907.0,1340547.0,"3,981,888 ",Asia,11,791,1,199,6,"2,534",Dummy
58,Costa Rica,339900.0,0.0,4322.0,0.0,261195.0,,74383.0,495.0,66151.0,841.0,1328762.0,258604.0,"5,138,218 ",North America,15,"1,189",4,,,"14,476",Dummy
59,Uruguay,336470.0,2986.0,4956.0,50.0,296855.0,"+3,523",34659.0,452.0,96544.0,1422.0,2527472.0,725210.0,"3,485,160 ",South America,10,703,1,857,14,"9,945",Dummy
60,Azerbaijan,335126.0,61.0,4953.0,2.0,328398.0,204,1775.0,0.0,32773.0,484.0,3615110.0,353528.0,"10,225,820 ",Asia,31,"2,065",3,6,0.2,174,Dummy
61,Kuwait,326451.0,1437.0,1817.0,4.0,308829.0,"+1,317",15805.0,161.0,75387.0,420.0,2741423.0,633072.0,"4,330,351 ",Asia,13,"2,383",2,332,0.9,"3,650",Dummy
62,Palestine,311411.0,393.0,3530.0,6.0,303435.0,491,4446.0,18.0,59733.0,677.0,1853771.0,355580.0,"5,213,373 ",Asia,17,"1,477",3,75,1,853,Dummy
63,Dominican Republic,307847.0,1149.0,3705.0,5.0,250595.0,958,53547.0,478.0,28111.0,338.0,1618108.0,147759.0,"10,951,015 ",North America,36,"2,956",7,105,0.5,"4,890",Dummy
64,Denmark,289559.0,437.0,2525.0,2.0,277448.0,931,9586.0,20.0,49825.0,434.0,62103270.0,10686149.0,"5,811,567 ",Europe,20,"2,302",0,75,0.3,"1,649",Dummy
65,Lithuania,277629.0,161.0,4336.0,4.0,263216.0,"+1,076",10077.0,109.0,103358.0,1614.0,3592462.0,1337432.0,"2,686,090 ",Europe,10,619,1,60,1,"3,752",Dummy
66,Ethiopia,274028.0,136.0,4237.0,2.0,250089.0,618,19702.0,260.0,2329.0,36.0,2781832.0,23645.0,"117,650,776 ",Africa,429,"27,767",42,1,0.02,167,Dummy
67,Egypt,272491.0,711.0,15582.0,35.0,200273.0,433,56636.0,90.0,2616.0,150.0,2869589.0,27550.0,"104,159,077 ",Africa,382,"6,685",36,7,0.3,544,Dummy
68,Guatemala,271131.0,1823.0,8439.0,23.0,245610.0,"+1,194",17082.0,5.0,14874.0,463.0,1494879.0,82006.0,"18,228,903 ",North America,67,"2,160",12,100,1,937,Dummy
69,Ireland,266504.0,431.0,4941.0,0.0,249509.0,437,12054.0,22.0,53407.0,990.0,4729538.0,947794.0,"4,990,047 ",Europe,19,"1,010",1,86,,"2,416",Dummy
70,Bahrain,257852.0,931.0,1206.0,10.0,242678.0,"+2,149",13968.0,307.0,146739.0,686.0,4803752.0,2733733.0,"1,757,213 ",Asia,7,"1,457",0,530,6,"7,949",Dummy
71,Slovenia,256352.0,126.0,4401.0,3.0,249098.0,353,2853.0,44.0,123293.0,2117.0,1316288.0,633071.0,"2,079,210 ",Europe,8,472,2,61,1,"1,372",Dummy
72,Moldova,255758.0,43.0,6152.0,3.0,248594.0,93,1012.0,55.0,63542.0,1528.0,1168480.0,290302.0,"4,025,050 ",Europe,16,654,3,11,0.7,251,Dummy
73,Venezuela,250309.0,1489.0,2814.0,17.0,230248.0,"+1,250",17247.0,291.0,8826.0,99.0,3359014.0,118445.0,"28,359,334 ",South America,113,"10,078",8,53,0.6,608,Dummy
74,Honduras,245695.0,1400.0,6599.0,32.0,87864.0,562,151232.0,556.0,24438.0,656.0,746796.0,74281.0,"10,053,662 ",North America,41,"1,524",13,139,3,"15,042",Dummy
75,Oman,233152.0,1311.0,2489.0,7.0,207795.0,,22868.0,345.0,44587.0,476.0,1550000.0,296415.0,"5,229,157 ",Asia,22,"2,101",3,251,1,"4,373",Dummy
76,Armenia,223643.0,88.0,4482.0,0.0,215118.0,120,4043.0,0.0,75339.0,1510.0,1122295.0,378068.0,"2,968,503 ",Asia,13,662,3,30,,"1,362",Dummy
77,Sri Lanka,221277.0,2354.0,2136.0,63.0,186516.0,"+2,426",32625.0,0.0,10293.0,99.0,3633410.0,169008.0,"21,498,475 ",Asia,97,"10,065",6,109,3,"1,518",Dummy
78,Qatar,219613.0,147.0,576.0,2.0,216698.0,215,2339.0,88.0,78215.0,205.0,2076074.0,739394.0,"2,807,805 ",Asia,13,"4,875",1,52,0.7,833,Dummy
79,Bosnia and Herzegovina,204597.0,0.0,9479.0,0.0,177122.0,,17996.0,0.0,62733.0,2906.0,1000580.0,306794.0,"3,261,402 ",Europe,16,344,3,,,"5,518",Dummy
80,Thailand,193105.0,3277.0,1431.0,29.0,150271.0,"+5,273",41403.0,1169.0,2760.0,20.0,8124896.0,116126.0,"69,966,304 ",Asia,362,"48,893",9,47,0.4,592,Dummy
81,Libya,188762.0,0.0,3158.0,0.0,174434.0,,11170.0,0.0,27122.0,454.0,1063078.0,152746.0,"6,959,763 ",Africa,37,"2,204",7,,,"1,605",Dummy
82,Kenya,175176.0,403.0,3396.0,18.0,120031.0,442,51749.0,113.0,3191.0,62.0,1864020.0,33959.0,"54,889,933 ",Africa,313,"16,163",29,7,0.3,943,Dummy
83,Nigeria,167059.0,8.0,2117.0,0.0,163436.0,6,1506.0,11.0,792.0,10.0,2180444.0,10336.0,"210,960,841 ",Africa,"1,263","99,651",97,0.04,,7,Dummy
84,Cuba,156238.0,1372.0,1075.0,10.0,148732.0,"+1,179",6431.0,145.0,13802.0,95.0,4596325.0,406034.0,"11,320,046 ",North America,72,"10,530",2,121,0.9,568,Dummy
