#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')"
132,Mauritania,20040.0,35.0,475.0,2.0,19092.0,49,473.0,16.0,4206.0,100.0,283378.0,59472.0,"4,764,933 ",Africa,238,"10,031",17,7,0.4,99,Dummy
133,French Polynesia,18930.0,0.0,142.0,0.0,18749.0,,39.0,1.0,67021.0,503.0,26355.0,93309.0,"282,449 ",Australia/Oceania,15,"1,989",11,,,138,Dummy
134,Eswatini,18732.0,9.0,676.0,0.0,17943.0,5,113.0,10.0,15989.0,577.0,216986.0,185213.0,"1,171,548 ",Africa,63,"1,733",5,8,,96,Dummy
135,Guyana,18303.0,107.0,424.0,2.0,16250.0,140,1629.0,21.0,23164.0,537.0,168284.0,212976.0,"790,154 ",South America,43,"1,864",5,135,3,"2,062",Dummy
136,Suriname,18110.0,311.0,393.0,3.0,13811.0,147,3906.0,35.0,30611.0,664.0,69964.0,118259.0,"591,615 ",South America,33,"1,505",8,526,5,"6,602",Dummy
137,Papua New Guinea,16661.0,40.0,164.0,0.0,16017.0,75,480.0,7.0,1829.0,18.0,126238.0,13861.0,"9,107,242 ",Australia/Oceania,547,"55,532",72,4,,53,Dummy
138,Guadeloupe,16608.0,0.0,225.0,0.0,2250.0,,14133.0,23.0,41500.0,562.0,212247.0,530367.0,"400,189 ",North America,24,"1,779",2,,,"35,316",Dummy
139,Haiti,16206.0,0.0,349.0,0.0,12560.0,,3297.0,0.0,1405.0,30.0,78419.0,6799.0,"11,534,196 ",North America,712,"33,049",147,,,286,Dummy
140,Somalia,14779.0,0.0,774.0,0.0,7016.0,,6989.0,0.0,906.0,47.0,138028.0,8462.0,"16,311,234 ",Africa,"1,104","21,074",118,,,428,Dummy
141,Mali,14349.0,13.0,523.0,0.0,9937.0,34,3889.0,0.0,690.0,25.0,305669.0,14695.0,"20,800,555 ",Africa,"1,450","39,772",68,0.6,,187,Dummy
142,Andorra,13813.0,0.0,127.0,0.0,13591.0,,95.0,3.0,178504.0,1641.0,193595.0,2501809.0,"77,382 ",Europe,6,609,0,,,"1,228",Dummy
143,Togo,13620.0,23.0,126.0,0.0,13301.0,7,193.0,0.0,1610.0,15.0,345612.0,40843.0,"8,461,895 ",Africa,621,"67,158",24,3,,23,Dummy
144,Burkina Faso,13459.0,3.0,167.0,0.0,13272.0,4,20.0,0.0,628.0,8.0,192022.0,8955.0,"21,443,711 ",Africa,"1,593","128,405",112,0.1,,0.9,Dummy
145,Tajikistan,13308.0,0.0,90.0,0.0,13218.0,,0.0,0.0,1366.0,9.0,0.0,0.0,"9,739,940 ",Asia,732,"108,222",,,,,Dummy
146,Seychelles,12973.0,0.0,46.0,0.0,11634.0,,1293.0,0.0,131140.0,465.0,21504.0,217377.0,"98,925 ",Africa,8,"2,151",5,,,"13,071",Dummy
147,Belize,12938.0,0.0,325.0,0.0,12463.0,,150.0,2.0,31989.0,804.0,140905.0,348384.0,"404,453 ",North America,31,"1,244",3,,,371,Dummy
148,Taiwan,12746.0,251.0,411.0,26.0,1133.0,,11202.0,0.0,534.0,17.0,1197200.0,50181.0,"23,857,718 ",Asia,"1,872","58,048",20,11,1,470,Dummy
149,Curaçao,12293.0,0.0,123.0,0.0,12140.0,,30.0,4.0,74625.0,747.0,118637.0,720191.0,"164,730 ",North America,13,"1,339",1,,,182,Dummy
150,Congo,12121.0,95.0,160.0,3.0,11211.0,101,750.0,0.0,2147.0,28.0,158304.0,28037.0,"5,646,261 ",Africa,466,"35,289",36,17,0.5,133,Dummy
151,Martinique,12110.0,0.0,98.0,0.0,98.0,,11914.0,5.0,32294.0,261.0,186858.0,498304.0,"374,988 ",North America,31,"3,826",2,,,"31,772",Dummy
152,Bahamas,12092.0,0.0,236.0,0.0,11081.0,,775.0,3.0,30473.0,595.0,101084.0,254744.0,"396,806 ",North America,33,"1,681",4,,,"1,953",Dummy
153,Hong Kong,11878.0,3.0,210.0,0.0,11595.0,2,73.0,1.0,1572.0,28.0,16710131.0,2211897.0,"7,554,659 ",Asia,636,"35,975",0,0.4,,10,Dummy
154,Djibouti,11572.0,1.0,154.0,0.0,11401.0,,17.0,0.0,11554.0,154.0,164436.0,164173.0,"1,001,600 ",Africa,87,"6,504",6,1.0,,17,Dummy
155,Aruba,11076.0,4.0,107.0,0.0,10951.0,1,18.0,14.0,103325.0,998.0,170677.0,1592196.0,"107,196 ",North America,10,"1,002",1,37,,168,Dummy
156,Lesotho,10859.0,3.0,326.0,0.0,6443.0,3,4090.0,0.0,5031.0,151.0,101218.0,46896.0,"2,158,354 ",Africa,199,"6,621",21,1,,"1,895",Dummy
157,South Sudan,10688.0,0.0,115.0,0.0,10514.0,,59.0,0.0,944.0,10.0,164472.0,14532.0,"11,318,052 ",Africa,"1,059","98,418",69,,,5,Dummy
158,Vietnam,10241.0,261.0,58.0,1.0,3827.0,23,6356.0,0.0,104.0,0.6,6282417.0,63996.0,"98,168,910 ",Asia,"9,586","1,692,567",16,3,0.01,65,Dummy
159,Equatorial Guinea,8650.0,10.0,120.0,1.0,8413.0,92,117.0,1.0,5980.0,83.0,149330.0,103245.0,"1,446,371 ",Africa,167,"12,053",10,7,0.7,81,Dummy
160,Timor-Leste,8228.0,83.0,18.0,0.0,6630.0,119,1580.0,0.0,6130.0,13.0,92122.0,68636.0,"1,342,183 ",Asia,163,"74,566",15,62,,"1,177",Dummy
161,Benin,8109.0,0.0,102.0,0.0,7979.0,,28.0,5.0,653.0,8.0,604310.0,48646.0,"12,422,712 ",Africa,"1,532","121,791",21,,,2,Dummy
162,Nicaragua,7662.0,0.0,188.0,0.0,4225.0,,3249.0,0.0,1144.0,28.0,0.0,0.0,"6,699,217 ",North America,874,"35,634",,,,485,Dummy
163,CAR,7101.0,0.0,98.0,0.0,6859.0,,144.0,2.0,1446.0,20.0,54814.0,11166.0,"4,909,188 ",Africa,691,"50,094",90,,,29,Dummy
164,Yemen,6857.0,1.0,1347.0,5.0,3727.0,30,1783.0,23.0,225.0,44.0,79587.0,2614.0,"30,446,368 ",Asia,"4,440","22,603",383,0.03,0.2,59,Dummy
165,Iceland,6616.0,0.0,30.0,0.0,6543.0,,43.0,1.0,19269.0,87.0,702154.0,2045045.0,"343,344 ",Europe,52,"11,445",0,,,125,Dummy
166,Gambia,6008.0,0.0,180.0,0.0,5813.0,,15.0,3.0,2422.0,73.0,81795.0,32973.0,"2,480,669 ",Africa,413,"13,781",30,,,6,Dummy
167,Niger,5446.0,0.0,192.0,0.0,5161.0,,93.0,2.0,218.0,8.0,111417.0,4451.0,"25,030,547 ",Africa,"4,596","130,367",225,,,4,Dummy
168,Saint Lucia,5179.0,11.0,80.0,0.0,4984.0,16,115.0,1.0,28082.0,434.0,50412.0,273348.0,"184,424 ",North America,36,"2,305",4,60,,624,Dummy
169,San Marino,5090.0,0.0,90.0,0.0,4998.0,,2.0,0.0,149710.0,2647.0,66865.0,1966675.0,"33,999 ",Europe,7,378,1,,,59,Dummy
170,Burundi,4995.0,20.0,8.0,0.0,773.0,,4214.0,0.0,409.0,0.7,309390.0,25309.0,"12,224,446 ",Africa,"2,447","1,528,056",40,2,,345,Dummy
171,Chad,4942.0,0.0,174.0,0.0,4765.0,,3.0,0.0,293.0,10.0,122412.0,7256.0,"16,870,096 ",Africa,"3,414","96,955",138,,,0.2,Dummy
172,Eritrea,4848.0,0.0,16.0,0.0,4278.0,,554.0,0.0,1349.0,4.0,23693.0,6594.0,"3,592,892 ",Africa,741,"224,556",152,,,154,Dummy
173,Sierra Leone,4349.0,37.0,82.0,0.0,3178.0,9,1089.0,0.0,535.0,10.0,153646.0,18898.0,"8,130,270 ",Africa,"1,869","99,150",53,5,,134,Dummy
174,Gibraltar,4310.0,2.0,94.0,0.0,4201.0,1,15.0,0.0,127965.0,2791.0,264604.0,7856180.0,"33,681 ",Europe,8,358,0,59,,445,Dummy
175,Channel Islands,4088.0,0.0,86.0,0.0,3956.0,,46.0,0.0,23309.0,490.0,454413.0,2590990.0,"175,382 ",Europe,43,"2,039",0,,,262,Dummy
176,Barbados,4036.0,3.0,47.0,0.0,3971.0,3,18.0,0.0,14028.0,163.0,176195.0,612407.0,"287,709 ",North America,71,"6,121",2,10,,63,Dummy
177,Comoros,3899.0,5.0,146.0,0.0,3736.0,,17.0,0.0,4395.0,165.0,0.0,0.0,"887,100 ",Africa,228,"6,076",,6,,19,Dummy
178,Guinea-Bissau,3802.0,0.0,69.0,0.0,3545.0,,188.0,4.0,1890.0,34.0,70131.0,34858.0,"2,011,909 ",Africa,529,"29,158",29,,,93,Dummy
179,Liechtenstein,3026.0,2.0,59.0,0.0,2948.0,,19.0,3.0,79148.0,1543.0,45301.0,1184897.0,"38,232 ",Europe,13,648,1,52,,497,Dummy
180,New Zealand,2702.0,0.0,26.0,0.0,2647.0,,29.0,0.0,540.0,5.0,2186193.0,437055.0,"5,002,100 ",Australia/Oceania,"1,851","192,388",2,,,6,Dummy
181,Monaco,2524.0,4.0,33.0,0.0,2473.0,,18.0,1.0,63889.0,835.0,51953.0,1315066.0,"39,506 ",Europe,16,"1,197",1,101,,456,Dummy
182,Sint Maarten,2522.0,4.0,31.0,0.0,2419.0,5,72.0,2.0,58195.0,715.0,28642.0,660913.0,"43,337 ",North America,17,"1,398",2,92,,"1,661",Dummy
183,Bermuda,2497.0,0.0,33.0,0.0,2455.0,,9.0,7.0,40236.0,532.0,284965.0,4591840.0,"62,059 ",North America,25,"1,881",0,,,145,Dummy
184,Liberia,2484.0,0.0,93.0,0.0,2065.0,,326.0,2.0,480.0,18.0,111939.0,21652.0,"5,169,900 ",Africa,"2,081","55,590",46,,,63,Dummy
185,Turks and Caicos,2421.0,0.0,18.0,0.0,2387.0,,16.0,2.0,61740.0,459.0,94789.0,2417285.0,"39,213 ",North America,16,"2,179",0,,,408,Dummy
186,Sao Tome and Principe,2357.0,1.0,37.0,0.0,2306.0,,14.0,0.0,10569.0,166.0,14270.0,63989.0,"223,007 ",Africa,95,"6,027",16,4,,63,Dummy
187,St. Vincent Grenadines,2147.0,0.0,12.0,0.0,1897.0,,238.0,2.0,19295.0,108.0,50891.0,457344.0,"111,275 ",North America,52,"9,273",2,,,"2,139",Dummy
188,Saint Martin,2040.0,0.0,12.0,0.0,1399.0,,629.0,7.0,51922.0,305.0,27588.0,702163.0,"39,290 ",North America,19,"3,274",1,,,"16,009",Dummy
189,Laos,1990.0,11.0,3.0,0.0,1859.0,24,128.0,0.0,270.0,0.4,270127.0,36625.0,"7,375,497 ",Asia,"3,706","2,458,499",27,1,,17,Dummy
190,Bhutan,1808.0,19.0,1.0,0.0,1440.0,,367.0,0.0,2319.0,1.0,798573.0,1024259.0,"779,659 ",Asia,431,"779,659",1,24,,471,Dummy
191,Caribbean Netherlands,1619.0,1.0,17.0,0.0,1598.0,,4.0,0.0,61201.0,643.0,8550.0,323203.0,"26,454 ",North America,16,"1,556",3,38,,151,Dummy
192,Isle of Man,1599.0,0.0,29.0,0.0,1563.0,,7.0,1.0,18711.0,339.0,66925.0,783115.0,"85,460 ",Europe,53,"2,947",1,,,82,Dummy
193,Mauritius,1596.0,30.0,18.0,0.0,1243.0,10,335.0,0.0,1253.0,14.0,358675.0,281585.0,"1,273,773 ",Africa,798,"70,765",4,24,,263,Dummy
194,Antigua and Barbuda,1263.0,0.0,42.0,0.0,1214.0,,7.0,0.0,12797.0,426.0,16700.0,169203.0,"98,698 ",North America,78,"2,350",6,,,71,Dummy
195,Fiji,1013.0,46.0,4.0,0.0,304.0,26,705.0,2.0,1122.0,4.0,143147.0,158593.0,"902,606 ",Australia/Oceania,891,"225,652",6,51,,781,Dummy
196,St. Barth,1005.0,0.0,1.0,0.0,462.0,,542.0,0.0,101454.0,101.0,26385.0,2663537.0,"9,906 ",North America,10,"9,906",0,,,"54,714",Dummy
197,Faeroe Islands,755.0,1.0,1.0,0.0,719.0,5,35.0,0.0,15396.0,20.0,292157.0,5957646.0,"49,039 ",Europe,65,"49,039",0,20,,714,Dummy
198,Diamond Princess,712.0,0.0,13.0,0.0,699.0,,0.0,0.0,0.0,0.0,0.0,0.0, ,,,,,,,,Dummy
199,Cayman Islands,592.0,0.0,2.0,0.0,578.0,,12.0,0.0,8909.0,30.0,100813.0,1517057.0,"66,453 ",North America,112,"33,227",1,,,181,Dummy
200,Tanzania,509.0,0.0,21.0,0.0,183.0,,305.0,7.0,8.0,0.3,0.0,0.0,"61,337,912 ",Africa,"120,507","2,920,853",,,,5,Dummy
201,Wallis and Futuna,445.0,0.0,7.0,0.0,438.0,,0.0,0.0,40268.0,633.0,20508.0,1855760.0,"11,051 ",Australia/Oceania,25,"1,579",1,,,,Dummy
202,Brunei ,248.0,0.0,3.0,0.0,239.0,,6.0,0.0,562.0,7.0,133432.0,302258.0,"441,450 ",Asia,"1,780","147,150",3,,,14,Dummy
203,British Virgin Islands,248.0,0.0,1.0,0.0,209.0,,38.0,0.0,8152.0,33.0,39777.0,1307508.0,"30,422 ",North America,123,"30,422",1,,,"1,249",Dummy
204,Dominica,189.0,0.0,0.0,0.0,188.0,,1.0,0.0,2619.0,0.0,17447.0,241796.0,"72,156 ",North America,382,,4,,,14,Dummy
205,Grenada,161.0,0.0,1.0,0.0,160.0,,0.0,0.0,1425.0,9.0,28684.0,253800.0,"113,018 ",North America,702,"113,018",4,,,,Dummy
206,Saint Kitts and Nevis,155.0,25.0,0.0,0.0,61.0,10,94.0,1.0,2894.0,0.0,19124.0,357084.0,"53,556 ",North America,346,,3,467,,"1,755",Dummy
207,New Caledonia,128.0,0.0,0.0,0.0,58.0,,70.0,0.0,444.0,0.0,33057.0,114741.0,"288,100 ",Australia/Oceania,"2,251",,9,,,243,Dummy
208,Anguilla,109.0,0.0,0.0,0.0,109.0,,0.0,0.0,7204.0,0.0,22201.0,1467350.0,"15,130 ",North America,139,,1,,,,Dummy
209,Falkland Islands,63.0,0.0,0.0,0.0,63.0,,0.0,0.0,17622.0,0.0,7307.0,2043916.0,"3,575 ",South America,57,,0,,,,Dummy
210,Macao,52.0,0.0,0.0,0.0,51.0,,1.0,0.0,79.0,0.0,4483.0,6816.0,"657,716 ",Asia,"12,648",,147,,,2,Dummy
211,Greenland,44.0,1.0,0.0,0.0,40.0,,4.0,0.0,774.0,0.0,26882.0,472742.0,"56,864 ",North America,"1,292",,2,18,,70,Dummy
212,Vatican City,27.0,0.0,0.0,0.0,27.0,,0.0,0.0,33624.0,0.0,0.0,0.0,803,Europe,30,,,,,,Dummy
213,Saint Pierre Miquelon,25.0,0.0,0.0,0.0,25.0,,0.0,0.0,4335.0,0.0,5736.0,994625.0,"5,767 ",North America,231,,1,,,,Dummy
214,Montserrat,20.0,0.0,1.0,0.0,19.0,,0.0,0.0,4004.0,200.0,1408.0,281882.0,"4,995 ",North America,250,"4,995",4,,,,Dummy
215,Solomon Islands,20.0,0.0,0.0,0.0,20.0,,0.0,0.0,28.0,0.0,4500.0,6403.0,"702,780 ",Australia/Oceania,"35,139",,156,,,,Dummy
216,Western Sahara,10.0,0.0,1.0,0.0,8.0,,1.0,0.0,16.0,2.0,0.0,0.0,"611,198 ",Africa,"61,120","611,198",,,,2,Dummy
217,MS Zaandam,9.0,0.0,2.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0, ,,,,,,,,Dummy
218,Vanuatu,4.0,0.0,1.0,0.0,3.0,,0.0,0.0,13.0,3.0,23000.0,73267.0,"313,921 ",Australia/Oceania,"78,480","313,921",14,,,,Dummy
219,Marshall Islands,4.0,0.0,0.0,0.0,4.0,,0.0,0.0,67.0,0.0,0.0,0.0,"59,569 ",Australia/Oceania,"14,892",,,,,,Dummy
220,Samoa,3.0,0.0,0.0,0.0,3.0,,0.0,0.0,15.0,0.0,0.0,0.0,"199,665 ",Australia/Oceania,"66,555",,,,,,Dummy
221,Saint Helena,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,328.0,0.0,0.0,0.0,"6,094 ",Africa,"3,047",,,,,,Dummy
222,Micronesia,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,9.0,0.0,0.0,0.0,"116,166 ",Australia/Oceania,"116,166",,,,,,Dummy
,Total:,53398311.0,148448.0,742146.0,2973.0,50418055.0,"+218,869",2238110.0,27498.0,0.0,0.0,0.0,0.0,,Asia, ,,,,,,Dummy
,Total:,40153899.0,21019.0,907160.0,689.0,33258866.0,"+42,469",5987873.0,11974.0,0.0,0.0,0.0,0.0,,North America, ,,,,,,Dummy
,Total:,30562711.0,145496.0,941501.0,3809.0,27630980.0,"+110,134",1990230.0,32301.0,0.0,0.0,0.0,0.0,,South America, ,,,,,,Dummy
,Total:,47149435.0,36930.0,1085753.0,757.0,44458601.0,"+53,038",1605081.0,10628.0,0.0,0.0,0.0,0.0,,Europe, ,,,,,,Dummy
,Total:,5072213.0,20609.0,134790.0,332.0,4536915.0,"+9,976",400508.0,2662.0,0.0,0.0,0.0,0.0,,Africa, ,,,,,,Dummy
,Total:,70148.0,94.0,1254.0,0.0,67433.0,,1461.0,11.0,0.0,0.0,0.0,0.0,,Australia/Oceania, ,,,,,,Dummy
,Total:,721.0,0.0,15.0,0.0,706.0,,0.0,0.0,0.0,0.0,0.0,0.0,,, ,,,,,,Dummy
,Total:,176407438.0,372596.0,3812619.0,8560.0,160371556.0,"+434,587",12223263.0,85074.0,22631.4,489.1,0.0,0.0,,All,"
",,,,,,Dummy
,European Union,32409966.0,13225.0,733234.0,255.0,30625690.0,,1051042.0,7720.0,72790.40670574049,1646.7897889950555,538490205.0,1209409.5078349533,,Europe,,,,,,,
