#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
48,8742,Asia,Afghanistan,6.0,,,"38,829,355 ",19.0,758.0,9998,216.0,1040.0,29417.0,257.0
49,2532,Europe,Czechia,29.0,,,"10,706,960 ",29.0,36845.0,8890,314.0,6044.0,394499.0,830.0
50,4324,Asia,Bahrain,8.0,,,"1,694,480 ",8.0,163208.0,8802,13.0,4465.0,276552.0,5195.0
51,384,Europe,Norway,43.0,,,"5,416,796 ",13.0,42418.0,8346,235.0,7727.0,229769.0,1541.0
52,4073,Asia,Kazakhstan,2.0,403.0,,"18,752,654 ",31.0,35046.0,8322,35.0,4214.0,657214.0,444.0
53,3095,Africa,Algeria,14.0,,,"43,763,605 ",22.0,,8113,592.0,4426.0,,185.0
54,5131,Africa,Nigeria,1.0,,,"205,556,170 ",7.0,211.0,7526,221.0,2174.0,43328.0,37.0
55,2570,Africa,Morocco,5.0,,,"36,863,733 ",1.0,3623.0,7406,198.0,4638.0,133561.0,201.0
56,5373,Asia,Oman,7.0,,,"5,091,748 ",31.0,14141.0,7257,36.0,1848.0,72000.0,1425.0
57,1158,Asia,Malaysia,4.0,,,"32,321,398 ",9.0,15484.0,7185,115.0,5912.0,500469.0,222.0
58,515,Australia/Oceania,Australia,4.0,,,"25,468,256 ",5.0,46814.0,7111,102.0,6494.0,1192262.0,279.0
59,3300,Europe,Moldova,60.0,,,"4,034,896 ",286.0,10054.0,6994,242.0,3452.0,40565.0,1733.0
60,4608,Africa,Ghana,1.0,,,"31,000,302 ",16.0,6248.0,6617,31.0,1978.0,193705.0,213.0
61,1462,Europe,Finland,55.0,,,"5,539,846 ",21.0,29893.0,6568,306.0,4800.0,165600.0,1186.0
62,3289,Asia,Armenia,26.0,,,"2,962,680 ",10.0,16566.0,6302,77.0,2936.0,49080.0,2127.0
63,5066,South America,Bolivia,21.0,336.0,10.0,"11,655,824 ",3.0,1270.0,5915,240.0,609.0,14803.0,507.0
64,2419,Africa,Cameroon,6.0,,,"26,470,367 ",28.0,,4400,159.0,1822.0,,166.0
65,1535,Asia,Iraq,4.0,,,"40,120,620 ",,4533.0,4272,152.0,2585.0,181882.0,106.0
66,123,Europe,Luxembourg,174.0,,,"624,863 ",8.0,106668.0,3990,109.0,3758.0,66653.0,6385.0
67,1427,Asia,Azerbaijan,5.0,,,"10,129,535 ",42.0,26168.0,3982,49.0,2506.0,265067.0,393.0
68,3114,North America,Honduras,18.0,266.0,7.0,"9,887,398 ",13.0,1195.0,3743,174.0,455.0,11820.0,379.0
69,1576,Europe,Hungary,50.0,,,"9,662,790 ",21.0,16482.0,3713,482.0,1655.0,159260.0,384.0
70,3058,Africa,Sudan,3.0,250.0,9.0,"43,733,183 ",,9.0,3628,146.0,424.0,401.0,83.0
71,1525,Africa,Guinea,2.0,,,"13,091,643 ",24.0,1048.0,3176,20.0,1631.0,13726.0,243.0
72,570,Asia,Uzbekistan,0.4,,,"33,416,589 ",4.0,13766.0,3115,13.0,2532.0,460000.0,93.0
73,2755,North America,Guatemala,3.0,311.0,4.0,"17,878,891 ",5.0,1424.0,3054,55.0,244.0,25464.0,171.0
74,68,Asia,Thailand,0.8,,,"69,782,104 ",61.0,4701.0,3040,56.0,2916.0,328073.0,44.0
75,1526,Africa,Senegal,2.0,,,"16,693,148 ",6.0,2042.0,2976,34.0,1416.0,34082.0,178.0
76,1331,Europe,Greece,16.0,,,"10,428,054 ",20.0,14672.0,2876,171.0,1374.0,152998.0,276.0
77,1471,Asia,Tajikistan,5.0,,,"9,513,464 ",,,2738,44.0,1223.0,,288.0
78,1474,Europe,Bulgaria,18.0,,,"6,953,511 ",29.0,10528.0,2408,126.0,808.0,73210.0,346.0
79,588,Europe,Bosnia and Herzegovina,43.0,,,"3,282,809 ",4.0,17879.0,2391,141.0,1662.0,58694.0,728.0
80,1148,Africa,Ivory Coast,1.0,,,"26,303,693 ",,845.0,2366,30.0,1188.0,22233.0,90.0
81,1196,Africa,Djibouti,10.0,,,"986,441 ",,22401.0,2270,10.0,1064.0,22097.0,2301.0
82,121,Europe,Croatia,24.0,,,"4,107,737 ",6.0,14817.0,2243,99.0,2023.0,60864.0,546.0
83,1650,Africa,DRC,0.7,,,"89,241,709 ",,,2025,63.0,312.0,,23.0
84,417,Europe,North Macedonia,54.0,,,"2,083,383 ",21.0,11885.0,1941,113.0,1411.0,24762.0,932.0
85,1463,Africa,Gabon,5.0,,,"2,219,772 ",10.0,4464.0,1934,12.0,459.0,9908.0,871.0
86,179,North America,Cuba,7.0,,,"11,327,310 ",4.0,8177.0,1931,81.0,1671.0,92629.0,170.0
87,231,Europe,Estonia,48.0,,,"1,326,445 ",2.0,56730.0,1821,64.0,1526.0,75249.0,1373.0
88,1212,North America,El Salvador,5.0,,,"6,482,821 ",25.0,10832.0,1819,33.0,574.0,70225.0,281.0
89,3,Europe,Iceland,29.0,,,"341,012 ",,170742.0,1804,10.0,1791.0,58225.0,5290.0
90,418,Europe,Lithuania,23.0,,,"2,725,846 ",17.0,97174.0,1616,63.0,1135.0,264882.0,593.0
91,1329,Africa,Somalia,4.0,,,"15,841,801 ",2.0,,1594,61.0,204.0,,101.0
92,608,Africa,Mayotte,70.0,,,"272,066 ",11.0,19113.0,1521,19.0,894.0,5200.0,5591.0
93,196,Europe,Slovakia,5.0,,,"5,459,375 ",1.0,28715.0,1504,28.0,1280.0,156765.0,275.0
94,27,Australia/Oceania,New Zealand,4.0,,,"4,818,119 ",1.0,53787.0,1504,21.0,1456.0,259152.0,312.0
95,22,Europe,Slovenia,51.0,,,"2,078,909 ",4.0,36130.0,1468,106.0,1340.0,75110.0,706.0
96,394,Asia,Kyrgyzstan,2.0,,,"6,512,401 ",5.0,15091.0,1365,14.0,957.0,98281.0,210.0
97,1181,Asia,Maldives,7.0,,,"539,495 ",9.0,21826.0,1313,4.0,128.0,11775.0,2434.0
98,762,Africa,Kenya,0.9,,,"53,637,887 ",1.0,1075.0,1192,50.0,380.0,57650.0,22.0
99,1066,Africa,Guinea-Bissau,3.0,,,"1,962,720 ",,764.0,1114,6.0,42.0,1500.0,568.0
100,404,Asia,Lebanon,4.0,,,"6,828,453 ",4.0,10517.0,1097,26.0,667.0,71814.0,161.0
101,420,Asia,Sri Lanka,0.4,,,"21,404,007 ",1.0,2387.0,1089,9.0,660.0,51094.0,51.0
102,33,Asia,Hong Kong,0.5,,,"7,490,593 ",1.0,27091.0,1066,4.0,1029.0,202930.0,142.0
