#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,16645804,11774.0,416734.0,808.0,10209840.0,"+7,074",6019230,30889.0,,,,,,North America,"
",,
,Asia,17013442,12755.0,295267.0,117.0,15088910.0,"+10,824",1629265,27815.0,,,,,,Asia,"
",,
,South America,11287528,184.0,327958.0,9.0,10096356.0,"+1,178",863214,17052.0,,,,,,South America,"
",,
,Europe,17658403,17536.0,406008.0,368.0,7656653.0,"+15,709",9595742,28282.0,,,,,,Europe,"
",,
,Africa,2214586,,52670.0,,1876437.0,,285479,2594.0,,,,,,Africa,"
",,
,Oceania,45495,25.0,1019.0,,33103.0,13,11373,23.0,,,,,,Australia/Oceania,"
",,
,World,64865979,42274.0,1499671.0,1302.0,44961958.0,"+34,798",18404350,106659.0,8322.0,192.4,,,,All,"
",,
1,USA,14314265,,279867.0,,8462434.0,,5571964,26187.0,43138.0,843.0,199906513.0,602450.0,"331,822,744 ",North America,23,"1,186",2
2,India,9534964,1493.0,138657.0,,8973373.0,"+3,269",422934,8944.0,6881.0,100.0,143557647.0,103598.0,"1,385,715,753 ",Asia,145,"9,994",10
3,Brazil,6436650,,174531.0,,5698353.0,,563766,8318.0,30191.0,819.0,25700000.0,120546.0,"213,197,088 ",South America,33,"1,222",8
4,Russia,2347401,,41053.0,,1830349.0,,475999,2300.0,16082.0,281.0,77200071.0,528909.0,"145,961,030 ",Europe,62,"3,555",2
5,France,2244635,,53816.0,,165563.0,,2025256,3488.0,34356.0,824.0,20678186.0,316496.0,"65,334,738 ",Europe,29,"1,214",3
6,Spain,1682533,,45784.0,,0.0,N/A,0,2485.0,35980.0,979.0,22992742.0,491692.0,"46,762,467 ",Europe,28,"1,021",2
7,UK,1659256,,59699.0,,0.0,N/A,0,1351.0,24388.0,877.0,44059851.0,647589.0,"68,036,766 ",Europe,41,"1,140",2
8,Italy,1641610,,57045.0,,823335.0,,761230,3616.0,27168.0,944.0,22334342.0,369627.0,"60,424,017 ",Europe,37,"1,059",3
9,Argentina,1440103,,39156.0,,1268358.0,,132589,3983.0,31741.0,863.0,3975760.0,87629.0,"45,370,463 ",South America,32,"1,159",11
10,Colombia,1334089,,37117.0,,1225635.0,,71337,2376.0,26102.0,726.0,6535154.0,127862.0,"51,111,013  ",South America,38,"1,377",8
11,Mexico,1133613,11251.0,107565.0,800.0,836567.0,"+6,750",189481,3335.0,8754.0,831.0,2919879.0,22547.0,"129,502,622 ",North America,114,"1,204",44
12,Germany,1105832,,17812.0,,779500.0,,308520,3957.0,13181.0,212.0,27859242.0,332063.0,"83,897,407 ",Europe,76,"4,710",3
13,Poland,1013747,,18208.0,,622980.0,,372559,2023.0,26798.0,481.0,6317532.0,167002.0,"37,828,989 ",Europe,37,"2,078",6
14,Iran,989572,,48990.0,,688054.0,,252528,5828.0,11719.0,580.0,6212694.0,73572.0,"84,444,220 ",Asia,85,"1,724",14
15,Peru,967075,,36076.0,,899213.0,,31786,961.0,29160.0,1088.0,5103401.0,153882.0,"33,164,438 ",South America,34,919,6
16,South Africa,796472,,21709.0,,734305.0,,40458,546.0,13359.0,364.0,5468670.0,91721.0,"59,622,631 ",Africa,75,"2,746",11
17,Ukraine,772760,14496.0,12960.0,243.0,384426.0,"+15,372",375374,177.0,17715.0,297.0,4528772.0,103819.0,"43,621,595 ",Europe,56,"3,366",10
18,Turkey,700880,,14129.0,,414141.0,,272610,5502.0,8273.0,167.0,18956228.0,223750.0,"84,720,759 ",Asia,121,"5,996",4
19,Belgium,582252,3040.0,16911.0,125.0,38261.0,337,527080,829.0,50147.0,1456.0,5976114.0,514696.0,"11,610,963 ",Europe,20,687,2
20,Iraq,556728,,12340.0,,486313.0,,58075,277.0,13713.0,304.0,3543722.0,87289.0,"40,597,729 ",Asia,73,"3,290",11
21,Chile,553898,,15438.0,,529501.0,,8959,694.0,28871.0,805.0,5378733.0,280356.0,"19,185,358 ",South America,35,"1,243",4
22,Indonesia,549508,,17199.0,,458880.0,,73429,,2000.0,63.0,5805224.0,21130.0,"274,740,300 ",Asia,500,"15,974",47
23,Czechia,533042,,8515.0,,461599.0,,62928,689.0,49736.0,795.0,3109602.0,290145.0,"10,717,406 ",Europe,20,"1,259",3
24,Netherlands,532444,,9504.0,,0.0,N/A,0,501.0,31045.0,554.0,4043482.0,235759.0,"17,150,944 ",Europe,32,"1,805",4
25,Romania,484550,,11665.0,,371231.0,,101654,1260.0,25260.0,608.0,4137893.0,215708.0,"19,182,875 ",Europe,40,"1,644",5
26,Bangladesh,469423,,6713.0,,385786.0,,76924,,2838.0,41.0,2804174.0,16956.0,"165,379,983 ",Asia,352,"24,636",59
27,Philippines,434357,,8436.0,,399005.0,,26916,1401.0,3942.0,77.0,5836021.0,52962.0,"110,192,993 ",Asia,254,"13,062",19
