#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40196018,1562.0,908077.0,64.0,33337349,"+3,484",5950592,11787.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,53677864,9736.0,749053.0,130.0,50819000,"+13,073",2109811,27258.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,30763182,2152.0,947002.0,72.0,27868781,"+2,363",1947399,32343.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,47223152,1255.0,1087067.0,82.0,44580311,"+10,843",1555774,10373.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5105027,,135389.0,,4559525,,410113,2792.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,70413,10.0,1255.0,,67473,,1685,10.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,177036377,14715.0,3827858.0,348.0,161233145,"+29,763",11975374,84563.0,22712.0,491.1,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34335239,,615232.0,,28436981,,5283026,4403.0,103155.0,1848.0,495219762.0,1487818.0,"332,849,650 ",North America,10,541,1,,,"15,872",Dummy,Dummy
2,India,29570881,846.0,377061.0,,28280472,"+7,692",913348,8944.0,21230.0,271.0,381375984.0,273800.0,"1,392,901,572 ",Asia,47,"3,694",4,0.6,,656,Dummy,Dummy
3,Brazil,17454861,,488404.0,,15854264,,1112193,8318.0,81566.0,2282.0,50801042.0,237392.0,"213,996,756 ",South America,12,438,4,,,"5,197",Dummy,Dummy
4,France,5741354,,110454.0,,5498596,,132304,2068.0,87773.0,1689.0,89335868.0,1365761.0,"65,411,076 ",Europe,11,592,1,,,"2,023",Dummy,Dummy
5,Turkey,5336073,,48795.0,,5206836,,80442,929.0,62629.0,573.0,57223789.0,671629.0,"85,201,530 ",Asia,16,"1,746",1,,,944,Dummy,Dummy
6,Russia,5222408,,126801.0,,4809647,,285960,2300.0,35771.0,869.0,143100000.0,980177.0,"145,994,086 ",Europe,28,"1,151",1,,,"1,959",Dummy,Dummy
7,UK,4573419,,127907.0,,4289778,,155734,161.0,67034.0,1875.0,195734654.0,2868941.0,"68,225,401 ",Europe,15,533,0,,,"2,283",Dummy,Dummy
8,Italy,4245779,,127038.0,,3960951,,157790,536.0,70321.0,2104.0,68684085.0,1137585.0,"60,377,078 ",Europe,14,475,1,,,"2,613",Dummy,Dummy
9,Argentina,4145482,,86029.0,,3748794,,310659,7969.0,90929.0,1887.0,15288817.0,335354.0,"45,590,077 ",South America,11,530,3,,,"6,814",Dummy,Dummy
10,Colombia,3777600,,96366.0,,3510709,,170525,8155.0,73497.0,1875.0,18252274.0,355114.0,"51,398,316 ",South America,14,533,3,,,"3,318",Dummy,Dummy
11,Spain,3741767,,80517.0,,3526831,,134419,917.0,80000.0,1721.0,51240666.0,1095541.0,"46,772,033 ",Europe,12,581,1,,,"2,874",Dummy,Dummy
12,Germany,3724201,,90527.0,,3586000,"+5,400",47674,1598.0,44315.0,1077.0,62263057.0,740883.0,"84,039,039 ",Europe,23,928,1,,,567,Dummy,Dummy
13,Iran,3039432,,82217.0,,2666601,,290614,3416.0,35752.0,967.0,21619536.0,254305.0,"85,014,049 ",Asia,28,"1,034",4,,,"3,418",Dummy,Dummy
14,Poland,2877608,,74574.0,,2648859,,154175,303.0,76113.0,1972.0,16660303.0,440666.0,"37,807,102 ",Europe,13,507,2,,,"4,078",Dummy,Dummy
15,Mexico,2455351,1175.0,230185.0,37.0,1956576,"+2,324",268590,4798.0,18855.0,1768.0,7233257.0,55546.0,"130,220,196 ",North America,53,566,18,9,0.3,"2,063",Dummy,Dummy
16,Ukraine,2224992,1014.0,51769.0,77.0,2136176,"+5,511",37047,177.0,51169.0,1191.0,10516186.0,241846.0,"43,483,060 ",Europe,20,840,4,23,2,852,Dummy,Dummy
17,Peru,2004252,,188921.0,,0,N/A,0,2535.0,59993.0,5655.0,13471110.0,403231.0,"33,407,957 ",South America,17,177,2,,,"2,834",Dummy,Dummy
18,Indonesia,1919547,,53116.0,,1751234,,115197,,6948.0,192.0,17994502.0,65133.0,"276,272,465 ",Asia,144,"5,201",15,,,417,Dummy,Dummy
19,South Africa,1752630,,57879.0,,1611447,,83304,546.0,29201.0,964.0,12223448.0,203660.0,"60,018,957 ",Africa,34,"1,037",5,,,"1,388",Dummy,Dummy
20,Netherlands,1673596,,17714.0,,1576014,,79868,264.0,97467.0,1032.0,14444249.0,841201.0,"17,170,982 ",Europe,10,969,1,,,"4,651",Dummy,Dummy
21,Czechia,1665139,,30226.0,,1630429,,4484,22.0,155216.0,2818.0,26855604.0,2503341.0,"10,727,905 ",Europe,6,355,0,,,418,Dummy,Dummy
22,Chile,1482663,,30804.0,,1406555,,45304,3290.0,76933.0,1598.0,16031930.0,831867.0,"19,272,237 ",South America,13,626,1,,,"2,351",Dummy,Dummy
23,Canada,1403285,,25944.0,,1361387,,15954,670.0,36873.0,682.0,35785462.0,940317.0,"38,056,808 ",North America,27,"1,467",1,,,419,Dummy,Dummy
24,Philippines,1322053,,22845.0,,1240112,,59096,1704.0,11914.0,206.0,14052179.0,126635.0,"110,966,155 ",Asia,84,"4,857",8,,,533,Dummy,Dummy
25,Iraq,1259683,,16736.0,,1176576,,66371,464.0,30666.0,407.0,11014936.0,268151.0,"41,077,310 ",Asia,33,"2,454",4,,,"1,616",Dummy,Dummy
26,Sweden,1083456,,14537.0,,1029008,,39911,106.0,106648.0,1431.0,10423085.0,1025977.0,"10,159,183 ",Europe,9,699,1,,,"3,929",Dummy,Dummy
27,Romania,1079776,,31861.0,,1044404,,3511,217.0,56488.0,1667.0,9404663.0,491999.0,"19,115,223 ",Europe,18,600,2,,,184,Dummy,Dummy
28,Belgium,1076579,241.0,25093.0,5.0,1003023,,48463,274.0,92508.0,2156.0,14551567.0,1250388.0,"11,637,638 ",Europe,11,464,1,21,0.4,"4,164",Dummy,Dummy
