#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
195,Cayman Islands,444,,2.0,,413,,29,,6704.0,30.0,73596.0,1111185.0,"66,232 ",North America,149,"33,116",1
196,Caribbean Netherlands,429,,4.0,,402,,23,,16260.0,152.0,6520.0,247119.0,"26,384 ",North America,62,"6,596",4
197,Brunei ,186,,3.0,,181,,2,,422.0,7.0,100667.0,228659.0,"440,249 ",Asia,"2,367","146,750",4
198,British Virgin Islands,153,,1.0,,131,,21,,5039.0,33.0,13223.0,435483.0,"30,364 ",North America,198,"30,364",2
199,Grenada,148,,1.0,,147,,0,,1311.0,9.0,20288.0,179748.0,"112,869 ",North America,763,"112,869",6
200,Dominica,142,,,,127,,15,,1969.0,,11519.0,159753.0,"72,105 ",North America,508,,6
201,Timor-Leste,113,,,,90,,23,,85.0,,21323.0,15973.0,"1,334,968 ",Asia,"11,814",,63
202,Fiji,59,,2.0,,54,,3,,66.0,2.0,30118.0,33437.0,"900,746 ",Australia/Oceania,"15,267","450,373",30
203,New Caledonia,58,,,,55,,3,,202.0,,22627.0,78754.0,"287,313 ",Australia/Oceania,"4,954",,13
204,Falkland Islands,54,,,,46,,8,,15228.0,,7009.0,1976593.0,"3,546 ",South America,66,,1
205,Macao,48,,,,47,,1,,73.0,,4369.0,6668.0,"655,176 ",Asia,"13,650",,150
206,Laos,45,,,,42,,3,,6.0,,112150.0,15268.0,"7,345,197 ",Asia,"163,227",,65
207,Saint Kitts and Nevis,41,,,,40,,1,,767.0,,8790.0,164459.0,"53,448 ",North America,"1,304",,6
208,Greenland,30,,,,30,,0,,528.0,,18924.0,332964.0,"56,835 ",North America,"1,895",,3
209,Vatican City,27,,,,15,,12,,33666.0,,,,802,Europe,30,,
210,Saint Pierre Miquelon,24,,,,16,,8,,4156.0,,3729.0,645714.0,"5,775 ",North America,241,,2
211,Montserrat,20,,1.0,,13,,6,,4005.0,200.0,947.0,189628.0,"4,994 ",North America,250,"4,994",5
212,Anguilla,18,,,,18,,0,,1193.0,,9742.0,645508.0,"15,092 ",North America,838,,2
213,Solomon Islands,18,,,,14,,4,,26.0,,4500.0,6448.0,"697,934 ",Australia/Oceania,"38,774",,155
214,Western Sahara,10,,1.0,,8,,1,,16.0,2.0,,,"606,973 ",Africa,"60,697","606,973",
215,MS Zaandam,9,,2.0,,7,,0,,,,,, ,,,,
216,Wallis and Futuna,9,,,,7,,2,,810.0,,1202.0,108220.0,"11,107 ",Australia/Oceania,"1,234",,9
217,Marshall Islands,4,,,,4,,0,,67.0,,,,"59,454 ",Australia/Oceania,"14,864",,
218,Samoa,3,,,,2,,1,,15.0,,,,"199,287 ",Australia/Oceania,"66,429",,
219,Micronesia,1,,,,1,,0,,9.0,,,,"115,820 ",Australia/Oceania,"115,820",,
