#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,32298024,10505.0,716118.0,1223.0,21484931,"+7,222",10096975,26270.0,,,,,,North America,"
",,
,Asia,23994193,19388.0,385314.0,335.0,22530273,"+38,495",1078606,22368.0,,,,,,Asia,"
",,
,South America,16882242,938.0,440776.0,48.0,15188006,"+1,324",1253460,19937.0,,,,,,South America,"
",,
,Europe,32166954,36520.0,764995.0,841.0,18822552,"+38,940",12579407,27634.0,,,,,,Europe,"
",,
,Africa,3765347,479.0,98317.0,12.0,3294583,221,372447,2499.0,,,,,,Africa,"
",,
,Oceania,50549,8.0,1080.0,,34195,6,15274,6.0,,,,,,Australia/Oceania,"
",,
,World,109158030,67838.0,2406615.0,2459.0,81355246,"+86,208",25396169,98714.0,14004.0,308.7,,,,All,"
",,
1,USA,28196964,,496063.0,,18153126,,9547775,19555.0,84877.0,1493.0,334805401.0,1007815.0,"332,209,157 ",North America,12,670,1
2,India,10904940,202.0,155673.0,,10611731,"+1,943",137536,8944.0,7854.0,112.0,206230512.0,148536.0,"1,388,419,695 ",Asia,127,"8,919",7
3,Brazil,9811255,,238647.0,,8710840,,861768,8318.0,45955.0,1118.0,28600000.0,133959.0,"213,497,994 ",South America,22,895,7
4,Russia,4071883,14185.0,80126.0,430.0,3593101,"+15,194",398656,2300.0,27895.0,549.0,106800000.0,731640.0,"145,973,468 ",Europe,36,"1,822",1
5,UK,4027106,,116908.0,,2125331,,1784867,2943.0,59128.0,1717.0,81044007.0,1189938.0,"68,107,747 ",Europe,17,583,1
6,France,3448617,,81647.0,,238753,,3128217,3337.0,52761.0,1249.0,48207178.0,737525.0,"65,363,463 ",Europe,19,801,1
7,Spain,3056035,,64747.0,,0,N/A,0,4432.0,65347.0,1384.0,35782465.0,765137.0,"46,766,067 ",Europe,15,722,1
8,Italy,2710819,,93356.0,,2216050,,401413,2062.0,44876.0,1545.0,35962939.0,595350.0,"60,406,354 ",Europe,22,647,2
9,Turkey,2579896,,27377.0,,2468419,,84100,1235.0,30387.0,322.0,31412611.0,369988.0,"84,901,668 ",Asia,33,"3,101",3
10,Germany,2336905,,65415.0,,2119100,"+7,100",152390,3736.0,27837.0,779.0,41758675.0,497419.0,"83,950,702 ",Europe,36,"1,283",2
11,Colombia,2190116,,57425.0,,2078391,,54300,3482.0,42760.0,1121.0,10813163.0,211116.0,"51,219,122 ",South America,23,892,5
12,Argentina,2021553,,50188.0,,1820965,,150400,3514.0,44476.0,1104.0,6793797.0,149468.0,"45,453,102 ",South America,22,906,7
13,Mexico,1988695,9741.0,173771.0,1214.0,1542991,"+7,205",271933,4798.0,15324.0,1339.0,5085315.0,39186.0,"129,772,637 ",North America,65,747,26
14,Poland,1588955,5334.0,40807.0,98.0,1342031,"+5,564",206117,1295.0,42013.0,1079.0,9178403.0,242682.0,"37,820,753 ",Europe,24,927,4
