#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1319267,North America,North America,,6270.0,697.0,"+4,421",,19342.0,,2659091,152556.0,1187268.0,,
,"
",,,716602,South America,South America,,977.0,18.0,668,,12380.0,,1701177,68830.0,915745.0,,
,"
",,,861154,Europe,Europe,,,,,,6370.0,,2283096,186934.0,1235008.0,,
,"
",,,632002,Asia,Asia,,7769.0,156.0,"+2,413",,16221.0,,1824086,46519.0,1145565.0,,
,"
",,,145923,Africa,Africa,,,,,,499.0,,288812,7713.0,135176.0,,
,"
",,,458,Australia/Oceania,Oceania,,29.0,,3,,2.0,,9052,124.0,8470.0,,
,"
",,,3675461,All,World,59.4,15045.0,871.0,"+7,505",,54818.0,,8766035,462691.0,4627883.0,,1125.0
176,"1,057","35,584",47,0,North America,Aruba,28.0,,,,"106,753 ",,21067.0,101,3.0,98.0,2249.0,946.0
177,396,"9,808",2,1,Europe,Monaco,102.0,,,,"39,233 ",,412918.0,99,4.0,94.0,16200.0,2523.0
178,"2,963","41,052",39,5,North America,Barbados,24.0,,,,"287,365 ",1.0,25560.0,97,7.0,85.0,7345.0,338.0
179,"26,403","2,349,837",71,63,Africa,Botswana,0.4,,,,"2,349,837 ",1.0,14118.0,89,1.0,25.0,33176.0,38.0
180,465,"38,125",42,26,Europe,Liechtenstein,26.0,,,,"38,125 ",,23607.0,82,1.0,55.0,900.0,2151.0
181,557,"2,857",90,0,North America,Sint Maarten,350.0,,,,"42,860 ",,11129.0,77,15.0,62.0,477.0,1797.0
182,"11,343",,34,40,Asia,Bhutan,,1.0,,3,"771,329 ",,29335.0,68,,28.0,22627.0,88.0
183,"4,681",,61,0,Australia/Oceania,French Polynesia,,,,,"280,859 ",,16300.0,60,,60.0,4578.0,214.0
184,"14,423",,,0,Asia,Macao,,,,,"649,032 ",,,45,,45.0,,69.0
185,"56,427",,390,26,Africa,Namibia,,,,,"2,539,221 ",1.0,2565.0,45,,19.0,6514.0,18.0
186,920,"12,881",56,3,North America,Saint Martin,78.0,,,,"38,642 ",1.0,17727.0,42,3.0,36.0,685.0,1087.0
187,"67,050","2,413,815","1,225",11,Africa,Gambia,0.4,,,,"2,413,815 ",,816.0,36,1.0,24.0,1970.0,15.0
188,"3,825",,150,3,North America,St. Vincent Grenadines,,,,,"110,930 ",,6680.0,29,,26.0,741.0,261.0
189,"3,766","32,635",200,1,North America,Antigua and Barbuda,31.0,,,,"97,904 ",1.0,4995.0,26,3.0,22.0,489.0,266.0
190,"54,896",,840,0,Asia,Timor-Leste,,,,,"1,317,514 ",,1190.0,24,,24.0,1568.0,18.0
191,"7,134","164,073",152,3,North America,Curaçao,6.0,,,,"164,073 ",,6582.0,23,1.0,19.0,1080.0,140.0
192,"4,892",,27,0,North America,Grenada,,,,,"112,508 ",,36709.0,23,,23.0,4130.0,204.0
193,"18,062","198,682",203,3,North America,Belize,5.0,,,,"397,364 ",,4925.0,22,2.0,17.0,1957.0,55.0
194,"13,591",,37,0,Australia/Oceania,New Caledonia,,,,,"285,410 ",,27287.0,21,,21.0,7788.0,74.0
195,"382,732",,606,0,Asia,Laos,,,,,"7,271,899 ",,1650.0,19,,19.0,11996.0,3.0
196,"9,663",,135,1,North America,Saint Lucia,,,,,"183,602 ",,7386.0,19,,18.0,1356.0,103.0
197,"3,999",,116,0,North America,Dominica,,,,,"71,981 ",,8655.0,18,,18.0,623.0,250.0
198,"49,791",,369,0,Australia/Oceania,Fiji,,,,,"896,244 ",,2712.0,18,,18.0,2431.0,20.0
199,"3,546",,128,0,North America,Saint Kitts and Nevis,,,,,"53,187 ",,7840.0,15,,15.0,417.0,282.0
200,267,,5,0,South America,Falkland Islands,,,,,"3,476 ",,193038.0,13,,13.0,671.0,3740.0
201,"4,367",,20,0,North America,Greenland,,,,,"56,767 ",,49448.0,13,,13.0,2807.0,229.0
202,"3,225","38,699",106,0,North America,Turks and Caicos,26.0,,,,"38,699 ",,9458.0,12,1.0,11.0,366.0,310.0
203,67,,,0,Europe,Vatican City,,,,,801,,,12,,12.0,,14981.0
204,454,"4,992",82,0,North America,Montserrat,200.0,,,,"4,992 ",,12220.0,11,1.0,10.0,61.0,2204.0
205,"8,939",,,0,Africa,Seychelles,,,,,"98,329 ",,,11,,11.0,,112.0
206,,,,7,,MS Zaandam,,,,, ,,,9,2.0,,,
207,"66,306","596,750",,0,Africa,Western Sahara,2.0,,,,"596,750 ",,,9,1.0,8.0,,15.0
