#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,36807249,2048.0,837766.0,163.0,28519937,"+2,488",7449546,16221.0,,,,,,North America,"
",,
,Asia,31240329,12119.0,448725.0,85.0,27815659,"+8,002",2975945,27926.0,,,,,,Asia,"
",,
,South America,22497289,525.0,594552.0,9.0,20081479,739,1821258,22513.0,,,,,,South America,"
",,
,"Europe
 ",41669179,16898.0,951941.0,666.0,29531278,"+21,130",11185960,33013.0,,,,,,Europe,"
",,
,Africa,4385637,,116001.0,,3923721,,345915,3655.0,,,,,,Africa,"
",,
,Oceania,59907,186.0,1152.0,1.0,34698,22,24057,5.0,,,,,,Australia/Oceania,"
",,
,World,136660311,31776.0,2950152.0,924.0,109907478,"+32,381",23802681,103333.0,17532.0,378.5,,,,All,"
",,
1,USA,31918601,,575829.0,,24480522,,6862250,9172.0,95993.0,1732.0,419387504.0,1261275.0,"332,510,877  ",North America,10,577,1
2,India,13527717,2338.0,170209.0,,12156529,"+2,816",1200979,8944.0,9728.0,122.0,257806986.0,185402.0,"1,390,530,992 ",Asia,103,"8,170",5
3,Brazil,13482543,,353293.0,,11880803,,1248447,8318.0,63081.0,1653.0,28600000.0,133812.0,"213,732,948 ",South America,16,605,7
4,France,5058680,,98750.0,,309787,,4650143,5838.0,77367.0,1510.0,69627924.0,1064877.0,"65,385,892 ",Europe,13,662,1
5,Russia,4641390,,102986.0,,4265509,,272895,2300.0,31794.0,705.0,123700000.0,847358.0,"145,983,181 ",Europe,31,"1,418",1
6,UK,4369775,,127087.0,,3972029,,270659,406.0,64108.0,1864.0,134289127.0,1970113.0,"68,163,171 ",Europe,16,536,1
7,Turkey,3849011,,33939.0,,3331411,,483661,2824.0,45260.0,399.0,41591854.0,489069.0,"85,042,925 ",Asia,22,"2,506",2
8,Italy,3769814,,114254.0,,3122555,,533005,3585.0,62422.0,1892.0,53054866.0,878500.0,"60,392,563 ",Europe,16,529,1
9,Spain,3347512,,76328.0,,3095922,,175262,2050.0,71576.0,1632.0,43458915.0,929227.0,"46,768,878 ",Europe,14,613,1
10,Germany,3009541,,78964.0,,2683900,"+12,700",246677,4515.0,35831.0,940.0,51559277.0,613857.0,"83,992,315 ",Europe,28,"1,064",2
11,Poland,2574631,,58421.0,,2171301,,344909,3459.0,68086.0,1545.0,12912603.0,341474.0,"37,814,322 ",Europe,15,647,3
12,Colombia,2536198,,65889.0,,2383785,,86524,3079.0,49435.0,1284.0,13314269.0,259520.0,"51,303,536 ",South America,20,779,4
13,Argentina,2532562,,57779.0,,2233140,,241643,3789.0,55639.0,1269.0,9590737.0,210704.0,"45,517,627 ",South America,18,788,5
14,Mexico,2280213,1793.0,209338.0,126.0,1809921,"+2,245",260954,4798.0,17542.0,1610.0,6273107.0,48261.0,"129,983,471 ",North America,57,621,21
15,Iran,2070141,,64490.0,,1710974,,294677,4392.0,24405.0,760.0,13673466.0,161194.0,"84,826,064 ",Asia,41,"1,315",6
16,Ukraine,1861105,7856.0,37301.0,287.0,1416215,"+5,355",407589,177.0,42756.0,857.0,8677716.0,199356.0,"43,528,763 ",Europe,23,"1,167",5
17,Peru,1647694,,54903.0,,1566543,,26248,2302.0,49439.0,1647.0,10001832.0,300106.0,"33,327,621 ",South America,20,607,3
18,Czechia,1581184,976.0,27918.0,43.0,1466296,73,86970,1157.0,147437.0,2603.0,14397254.0,1342471.0,"10,724,441 ",Europe,7,384,1
19,Indonesia,1566995,,42530.0,,1414507,,109958,,5682.0,154.0,13386975.0,48545.0,"275,767,009 ",Asia,176,"6,484",21
20,South Africa,1558458,,53322.0,,1483296,,21840,546.0,26023.0,890.0,10138936.0,169298.0,"59,888,210 ",Africa,38,"1,123",6
21,Netherlands,1350665,,16771.0,,0,N/A,0,781.0,78690.0,977.0,11292587.0,657909.0,"17,164,371 ",Europe,13,"1,023",2
22,Chile,1076499,,24346.0,,1005860,,46293,3155.0,55941.0,1265.0,11897931.0,618281.0,"19,243,575 ",South America,18,790,2
23,Canada,1060158,,23315.0,,963396,,73447,928.0,27900.0,614.0,28999787.0,763172.0,"37,999,006 ",North America,36,"1,630",1
24,Romania,1006167,,25135.0,,906659,,74373,1531.0,52576.0,1313.0,7687854.0,401716.0,"19,137,541 ",Europe,19,761,2
25,Belgium,925476,2989.0,23473.0,45.0,59754,322,842249,925.0,79585.0,2019.0,11704200.0,1006481.0,"11,628,838 ",Europe,13,495,1
26,Iraq,924946,,14713.0,,814853,,95380,436.0,22604.0,360.0,8508732.0,207940.0,"40,919,097 ",Asia,44,"2,781",5
27,Philippines,864868,,14945.0,,703404,,146519,751.0,7812.0,135.0,10764163.0,97228.0,"110,711,091 ",Asia,128,"7,408",10
28,Sweden,857401,,13621.0,,0,N/A,0,376.0,84488.0,1342.0,7847033.0,773245.0,"10,148,191 ",Europe,12,745,1
29,Israel,835933,,6296.0,,826205,,3432,259.0,90886.0,685.0,13740302.0,1493902.0,"9,197,590 ",Asia,11,"1,461",1
30,Portugal,827494,,16916.0,,784618,,25960,113.0,81338.0,1663.0,9363361.0,920365.0,"10,173,535 ",Europe,12,601,1
31,Pakistan,725602,4584.0,15501.0,58.0,634835,"+3,135",75266,4201.0,3236.0,69.0,10779474.0,48078.0,"224,206,949 ",Asia,309,"14,464",21
32,Hungary,725241,5077.0,23708.0,291.0,429074,"+2,680",272459,1249.0,75223.0,2459.0,4961146.0,514576.0,"9,641,234 ",Europe,13,407,2
33,Bangladesh,684756,,9739.0,,576590,,98427,,4126.0,59.0,5002865.0,30145.0,"165,962,319 ",Asia,242,"17,041",33
34,Jordan,665735,,7773.0,,596293,,61669,729.0,64749.0,756.0,6320767.0,614758.0,"10,281,719 ",Asia,15,"1,323",2
35,Serbia,642208,,5735.0,,555672,,80801,266.0,73733.0,658.0,3588296.0,411978.0,"8,709,929 ",Europe,14,"1,519",2
36,Switzerland,617543,,10453.0,,557566,,49524,189.0,70951.0,1201.0,6339396.0,728350.0,"8,703,776 ",Europe,14,833,1
37,Austria,577007,,9687.0,,535798,,31522,602.0,63784.0,1071.0,26679075.0,2949160.0,"9,046,331 ",Europe,16,934,0
38,Japan,503403,,9382.0,,463725,,30296,520.0,3990.0,74.0,10430419.0,82667.0,"126,174,664 ",Asia,251,"13,449",12
39,Morocco,502102,,8900.0,,488361,,4841,237.0,13479.0,239.0,6101279.0,163794.0,"37,249,722 ",Africa,74,"4,185",6
40,Lebanon,496846,,6661.0,,402172,,88013,833.0,73048.0,979.0,3694320.0,543154.0,"6,801,609 ",Asia,14,"1,021",2
41,UAE,483747,,1531.0,,468456,,13760,,48457.0,153.0,40263802.0,4033223.0,"9,983,033 ",Asia,21,"6,521",0
42,Saudi Arabia,398435,,6754.0,,383321,,8360,915.0,11308.0,192.0,15797442.0,448364.0,"35,233,544 ",Asia,88,"5,217",2
43,Bulgaria,371993,,14418.0,,286258,,71317,797.0,53853.0,2087.0,2270329.0,328671.0,"6,907,614 ",Europe,19,479,3
44,Slovakia,371062,,10565.0,,255300,,105197,510.0,67939.0,1934.0,2439970.0,446742.0,"5,461,701 ",Europe,15,517,2
45,Malaysia,360856,,1329.0,,343953,,15574,183.0,11040.0,41.0,8204996.0,251014.0,"32,687,354 ",Asia,91,"24,595",4
46,Panama,358611,,6163.0,,348231,,4217,105.0,82112.0,1411.0,2239526.0,512790.0,"4,367,339 ",North America,12,709,2
47,Ecuador,346817,,17293.0,,290314,,39210,601.0,19429.0,969.0,1193846.0,66880.0,"17,850,462 ",South America,51,"1,032",15
48,Belarus,336038,,2354.0,,326487,,7197,,35571.0,249.0,5553937.0,587911.0,"9,446,902 ",Europe,28,"4,013",2
49,Greece,295480,,8885.0,,251244,,35351,780.0,28457.0,856.0,7088799.0,682709.0,"10,383,345 ",Europe,35,"1,169",1
50,Croatia,292516,,6308.0,,272967,,13241,182.0,71598.0,1544.0,1639110.0,401201.0,"4,085,513 ",Europe,14,648,2
51,Georgia,288396,,3877.0,,277303,,7216,,72403.0,973.0,3671403.0,921722.0,"3,983,201 ",Asia,14,"1,027",1
52,Azerbaijan,285993,,3915.0,,250708,,31370,,28011.0,383.0,3018445.0,295633.0,"10,210,105 ",Asia,36,"2,608",3
53,Bolivia,282095,525.0,12451.0,9.0,231546,739,38098,71.0,23914.0,1055.0,989217.0,83858.0,"11,796,372 ",South America,42,947,12
54,Nepal,280028,,3040.0,,274027,,2961,,9479.0,103.0,2312901.0,78292.0,"29,542,041 ",Asia,105,"9,718",13
55,Tunisia,271861,,9293.0,,224907,,37661,413.0,22818.0,780.0,1180807.0,99106.0,"11,914,543 ",Africa,44,"1,282",10
56,Kazakhstan,271809,2290.0,3236.0,15.0,234665,608,33908,221.0,14343.0,171.0,9217159.0,486373.0,"18,950,814 ",Asia,70,"5,856",2
57,Palestine,268132,,2860.0,,232960,,32312,185.0,51634.0,551.0,1636553.0,315152.0,"5,192,907 ",Asia,19,"1,816",3
58,Dominican Republic,257698,,3388.0,,216452,,37858,151.0,23572.0,310.0,1347004.0,123213.0,"10,932,304 ",North America,42,"3,227",8
59,Kuwait,247094,,1407.0,,231240,,14447,225.0,57205.0,326.0,2159422.0,499927.0,"4,319,474 ",Asia,17,"3,070",2
60,Moldova,241217,,5388.0,,222927,,12902,307.0,59905.0,1338.0,902202.0,224057.0,"4,026,657 ",Europe,17,747,4
61,Ireland,240945,,4785.0,,23364,,212796,53.0,48377.0,961.0,4168990.0,837053.0,"4,980,557 ",Europe,21,"1,041",1
62,Denmark,237792,,2441.0,,226630,,8721,38.0,40942.0,420.0,29118371.0,5013438.0,"5,808,065 ",Europe,24,"2,379",0
63,Paraguay,235292,,4827.0,,193286,,37179,442.0,32677.0,670.0,975187.0,135434.0,"7,200,447 ",South America,31,"1,492",7
64,Ethiopia,228996,,3174.0,,170633,,55189,971.0,1955.0,27.0,2445578.0,20874.0,"117,159,125 ",Africa,512,"36,912",48
65,Slovenia,226499,,4119.0,,208561,,13819,139.0,108938.0,1981.0,1103860.0,530916.0,"2,079,160 ",Europe,9,505,2
66,Lithuania,226173,,3687.0,,205897,,16589,150.0,83999.0,1369.0,2490755.0,925044.0,"2,692,579 ",Europe,12,730,1
67,Costa Rica,222544,,3018.0,,194760,,24766,199.0,43379.0,588.0,842015.0,164128.0,"5,130,219 ",North America,23,"1,700",6
68,Egypt,210489,,12445.0,,159499,,38545,90.0,2027.0,120.0,2677262.0,25786.0,"103,826,342 ",Africa,493,"8,343",39
69,Guatemala,203071,,7016.0,,185549,,10506,5.0,11175.0,386.0,1107251.0,60932.0,"18,171,777 ",North America,89,"2,590",16
70,Armenia,202817,,3735.0,,181963,,17119,,68345.0,1259.0,902716.0,304195.0,"2,967,553 ",Asia,15,795,3
71,Honduras,195780,255.0,4804.0,34.0,75796,243,115180,539.0,19526.0,479.0,541304.0,53987.0,"10,026,526 ",North America,51,"2,087",19
72,Qatar,190025,,333.0,,169635,,20057,461.0,67677.0,119.0,1802462.0,641947.0,"2,807,805 ",Asia,15,"8,432",2
73,Bosnia and Herzegovina,181927,,7298.0,,139419,,35210,,55722.0,2235.0,835478.0,255897.0,"3,264,896 ",Europe,18,447,4
74,Venezuela,174887,,1778.0,,157486,,15623,237.0,6164.0,63.0,3359014.0,118387.0,"28,373,143 ",South America,162,"15,958",8
