#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,32978411,3704.0,738736.0,322.0,22430921,"+4,696",9808754,23588.0,,,,,,North America,"
",,
,Asia,24499880,3378.0,391674.0,33.0,23064156,"+5,664",1044050,21976.0,,,,,,Asia,"
",,
,South America,17432976,521.0,454103.0,24.0,15773705,438,1205168,19667.0,,,,,,South America,"
",,
,Europe,33152813,9302.0,791265.0,126.0,22641001,"+9,011",9720547,26164.0,,,,,,Europe,"
",,
,Africa,3854676,,101477.0,,3395724,,357475,2480.0,,,,,,Africa,"
",,
,Oceania,50809,11.0,1084.0,,34242,5,15483,4.0,,,,,,Australia/Oceania,"
",,
,World,111970286,16916.0,2478354.0,505.0,87340455,"+19,814",22151477,93879.0,14365.0,317.9,,,,All,"
",,
1,USA,28765423,,511133.0,,18973190,,9281100,16953.0,86577.0,1538.0,348096201.0,1047689.0,"332,251,503 ",North America,12,650,1
2,India,11005850,779.0,156418.0,,10699410,"+2,396",150022,8944.0,7925.0,113.0,211551746.0,152336.0,"1,388,716,017 ",Asia,126,"8,878",7
3,Brazil,10168174,,246560.0,,9095483,,826131,8318.0,47619.0,1155.0,28600000.0,133938.0,"213,530,970 ",South America,21,866,7
4,Russia,4164726,,83293.0,,3713445,,367988,2300.0,28530.0,571.0,109000000.0,746704.0,"145,974,831 ",Europe,35,"1,753",1
5,UK,4115509,,120580.0,,2494218,,1500711,2469.0,60420.0,1770.0,84710387.0,1243628.0,"68,115,526 ",Europe,17,565,1
6,France,3605181,,84306.0,,247127,,3273748,3394.0,55153.0,1290.0,49251253.0,753462.0,"65,366,611 ",Europe,18,775,1
7,Spain,3133122,,67101.0,,2497956,,568065,3739.0,66995.0,1435.0,37334915.0,798327.0,"46,766,461 ",Europe,15,697,1
8,Italy,2809246,,95718.0,,2324633,,388895,2094.0,46507.0,1585.0,38058939.0,630069.0,"60,404,419 ",Europe,22,631,2
9,Turkey,2638422,,28060.0,,2523760,,86602,1185.0,31069.0,330.0,32318182.0,380565.0,"84,921,494 ",Asia,32,"3,026",3
10,Germany,2394515,,68443.0,,2198000,"+7,400",128072,3177.0,28521.0,815.0,42872730.0,510654.0,"83,956,542 ",Europe,35,"1,227",2
11,Colombia,2226262,,58834.0,,2120366,,47062,3092.0,43455.0,1148.0,11178817.0,218204.0,"51,230,969 ",South America,23,871,5
12,Argentina,2064334,,51198.0,,1866501,,146635,3605.0,45408.0,1126.0,7132192.0,156882.0,"45,462,158 ",South America,22,888,6
13,Mexico,2041380,3104.0,180107.0,310.0,1595320,"+4,624",265953,4798.0,15727.0,1388.0,5277696.0,40660.0,"129,802,228 ",North America,64,721,25
14,Poland,1638767,,42171.0,,1378414,,218182,1340.0,43331.0,1115.0,9490578.0,250942.0,"37,819,850 ",Europe,23,897,4
15,Iran,1574012,,59483.0,,1344791,,169738,3689.0,18587.0,702.0,10444695.0,123340.0,"84,682,138 ",Asia,54,"1,424",8
16,South Africa,1503796,,49053.0,,1412015,,42728,546.0,25152.0,820.0,8892515.0,148734.0,"59,788,107 ",Africa,40,"1,219",7
17,Ukraine,1307662,3206.0,25156.0,53.0,1147426,"+1,353",135080,177.0,30017.0,577.0,6651624.0,152687.0,"43,563,753 ",Europe,33,"1,732",7
18,Peru,1283309,,45097.0,,1183238,,54974,2080.0,38577.0,1356.0,7259287.0,218219.0,"33,266,114 ",South America,26,738,5
19,Indonesia,1278653,,34489.0,,1087076,,157088,,4643.0,125.0,10389884.0,37729.0,"275,380,019 ",Asia,215,"7,985",27
20,Czechia,1157180,4002.0,19330.0,57.0,1017406,121,120444,1263.0,107928.0,1803.0,7475381.0,697214.0,"10,721,789 ",Europe,9,555,1
21,Netherlands,1056639,,15217.0,,0,N/A,0,534.0,61578.0,887.0,6970400.0,406217.0,"17,159,310 ",Europe,16,"1,128",2
22,Canada,845652,,21674.0,,792603,,31375,581.0,22281.0,571.0,23703735.0,624526.0,"37,954,751 ",North America,45,"1,751",2
23,Chile,799460,,20042.0,,756764,,22654,1574.0,41592.0,1043.0,9037277.0,470162.0,"19,221,632 ",South America,24,959,2
24,Portugal,797525,,15962.0,,699222,,82341,638.0,78362.0,1568.0,7977384.0,783826.0,"10,177,498 ",Europe,13,638,1
25,Romania,779695,,19847.0,,724333,,35515,968.0,40705.0,1036.0,5874883.0,306708.0,"19,154,628 ",Europe,25,965,3
26,Belgium,754473,2094.0,21903.0,16.0,51678,162,680892,314.0,64917.0,1885.0,9181929.0,790040.0,"11,622,101 ",Europe,15,531,1
27,Israel,750043,,5577.0,,704018,,40448,834.0,81548.0,606.0,11590243.0,1260139.0,"9,197,590 ",Asia,12,"1,649",1
28,Iraq,667937,,13272.0,,618509,,36156,329.0,16372.0,325.0,6553904.0,160643.0,"40,797,966 ",Asia,61,"3,074",6
