#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,38394705,3859.0,863382.0,298.0,30112705,"+2,470",7418618,17284.0,,,,,,North America,"
",,,,,
,Asia,40030841,17397.0,526134.0,172.0,34299749,"+19,411",5204958,33739.0,,,,,,Asia,"
",,,,,
,South America,25022606,933.0,676758.0,34.0,22593991,"+1,116",1751857,27842.0,,,,,,South America,"
",,,,,
,Europe,44708805,8299.0,1016932.0,188.0,39574558,"+24,953",4117315,29461.0,,,,,,Europe,"
",,,,,
,Africa,4605195,,122387.0,,4133630,18,349178,3690.0,,,,,,Africa,"
",,,,,
,Oceania,63033,12.0,1202.0,,59284,4,2547,5.0,,,,,,Australia/Oceania,"
",,,,,
,World,152825906,30500.0,3206810.0,692.0,130774623,"+47,972",18844473,112021.0,19606.0,411.4,,,,All,"
",,,,,
1,USA,33146008,,590704.0,,25777927,,6777377,9543.0,99652.0,1776.0,447732682.0,1346092.0,"332,616,743 ",North America,10,563,1,,,"20,376"
2,India,19557457,7801.0,215542.0,19.0,15992271,"+10,499",3349644,8944.0,14057.0,155.0,290142339.0,208545.0,"1,391,271,798 ",Asia,71,"6,455",5,6,0.01,"2,408"
3,Brazil,14725975,,406565.0,,13242665,,1076745,8318.0,68872.0,1901.0,43818216.0,204935.0,"213,815,388 ",South America,15,526,5,,,"5,036"
4,France,5642359,,104706.0,,4590376,,947277,5581.0,86283.0,1601.0,76301950.0,1166808.0,"65,393,762 ",Europe,12,625,1,,,"14,486"
5,Turkey,4849408,,40504.0,,4405199,,403705,3525.0,56990.0,476.0,47504193.0,558265.0,"85,092,490 ",Asia,18,"2,101",2,,,"4,744"
6,Russia,4814558,,110520.0,,4436583,,267455,2300.0,32979.0,757.0,129500000.0,887068.0,"145,986,588 ",Europe,30,"1,321",1,,,"1,832"
7,UK,4418530,,127524.0,,4218172,,72834,185.0,64804.0,1870.0,156302824.0,2292415.0,"68,182,618 ",Europe,15,535,0,,,"1,068"
8,Italy,4035617,,121033.0,,3484042,,430542,2522.0,66828.0,2004.0,58957954.0,976323.0,"60,387,724 ",Europe,15,499,1,,,"7,130"
9,Spain,3524077,,78216.0,,3206273,,239588,2308.0,75349.0,1672.0,46199597.0,987807.0,"46,769,864 ",Europe,13,598,1,,,"5,123"
10,Germany,3412373,,83702.0,,3024600,"+12,500",304071,5049.0,40620.0,996.0,55490413.0,660546.0,"84,006,917 ",Europe,25,"1,004",2,,,"3,620"
11,Argentina,2993865,,64096.0,,2655359,,274410,5370.0,65741.0,1407.0,11209847.0,246152.0,"45,540,268 ",South America,15,711,4,,,"6,026"
12,Colombia,2877746,,74215.0,,2686399,,117132,6006.0,56060.0,1446.0,14888382.0,290034.0,"51,333,154 ",South America,18,692,3,,,"2,282"
13,Poland,2798617,,67924.0,,2510858,,219835,2723.0,74014.0,1796.0,14321250.0,378748.0,"37,812,066 ",Europe,14,557,3,,,"5,814"
14,Iran,2516157,,72090.0,,1971064,,473003,5421.0,29642.0,849.0,15961178.0,188033.0,"84,884,809 ",Asia,34,"1,177",5,,,"5,572"
15,Mexico,2347780,3025.0,217168.0,261.0,1867191,"+2,277",263421,4798.0,18052.0,1670.0,6650124.0,51132.0,"130,057,448 ",North America,55,599,20,23,2,"2,025"
16,Ukraine,2083180,5094.0,44596.0,160.0,1676265,"+5,784",362319,177.0,47873.0,1025.0,9456234.0,217312.0,"43,514,481 ",Europe,21,976,5,117,4,"8,326"
17,Peru,1804915,,61789.0,,1688091,,55035,2667.0,54116.0,1853.0,11225924.0,336582.0,"33,352,726 ",South America,18,540,3,,,"1,650"
18,Indonesia,1672880,,45652.0,,1526978,,100250,,6063.0,165.0,14703659.0,53289.0,"275,924,964 ",Asia,165,"6,044",19,,,363
19,Czechia,1632932,,29316.0,,1555152,,48464,527.0,152247.0,2733.0,18347631.0,1710651.0,"10,725,523 ",Europe,7,366,1,,,"4,519"
20,South Africa,1582842,,54406.0,,1506732,,21704,546.0,26412.0,908.0,10682827.0,178258.0,"59,929,069 ",Africa,38,"1,102",6,,,362
21,Netherlands,1502107,,17169.0,,1263274,,221664,792.0,87503.0,1000.0,12274847.0,715049.0,"17,166,437 ",Europe,11,"1,000",1,,,"12,913"
22,Canada,1227035,,24261.0,,1119279,,83495,1422.0,32276.0,638.0,31629802.0,831989.0,"38,017,069 ",North America,31,"1,567",1,,,"2,196"
23,Chile,1204755,,26457.0,,1136816,,41482,3336.0,62576.0,1374.0,13115985.0,681260.0,"19,252,532 ",South America,16,728,1,,,"2,155"
24,Iraq,1070366,,15498.0,,949341,,105527,571.0,26127.0,378.0,9376388.0,228868.0,"40,968,539 ",Asia,38,"2,643",4,,,"2,576"
25,Romania,1056572,,28194.0,,992605,,35773,1277.0,55230.0,1474.0,8273925.0,432498.0,"19,130,567 ",Europe,18,679,2,,,"1,870"
26,Philippines,1046653,,17354.0,,957051,,72248,750.0,9447.0,157.0,11854425.0,106998.0,"110,790,799 ",Asia,106,"6,384",9,,,652
27,Belgium,993434,3205.0,24258.0,28.0,858223,,110953,855.0,85408.0,2086.0,12586507.0,1082097.0,"11,631,588 ",Europe,12,479,1,276,2,"9,539"
28,Sweden,973604,,14048.0,,806095,"+6,978",153461,392.0,95906.0,1384.0,8482276.0,835558.0,"10,151,626 ",Europe,10,723,1,,,"15,117"
29,Israel,838481,,6363.0,,830625,,1493,110.0,91163.0,692.0,14200104.0,1543894.0,"9,197,590 ",Asia,11,"1,445",1,,,162
30,Portugal,836947,,16976.0,,796477,,23494,84.0,82280.0,1669.0,10515374.0,1033765.0,"10,171,918 ",Europe,12,599,1,,,"2,310"
31,Pakistan,829933,4414.0,18070.0,113.0,722202,"+5,193",89661,5448.0,3698.0,81.0,11882141.0,52941.0,"224,441,715 ",Asia,270,"12,421",19,20,0.5,399
32,Hungary,781299,,27701.0,,517026,,236572,621.0,81048.0,2874.0,5394652.0,559617.0,"9,639,899 ",Europe,12,348,2,,,"24,541"
33,Bangladesh,760584,,11510.0,,684671,,64403,996.0,4580.0,69.0,5484821.0,33031.0,"166,051,909 ",Asia,218,"14,427",30,,,388
34,Jordan,712077,,8871.0,,685010,,18196,729.0,69219.0,862.0,6714356.0,652687.0,"10,287,249 ",Asia,14,"1,160",2,,,"1,769"
35,Serbia,690931,,6386.0,,638811,,45734,160.0,79344.0,733.0,3847549.0,441840.0,"8,708,015 ",Europe,13,"1,364",2,,,"5,252"
36,Switzerland,659974,,10633.0,,590565,,58776,238.0,75796.0,1221.0,6911371.0,793751.0,"8,707,229 ",Europe,13,819,1,,,"6,750"
37,Austria,620485,,10233.0,,587115,,23137,484.0,68568.0,1131.0,32228406.0,3561491.0,"9,049,134 ",Europe,15,884,0,,,"2,557"
38,Japan,591602,,10229.0,,523227,,58146,1020.0,4690.0,81.0,11897791.0,94312.0,"126,153,600 ",Asia,213,"12,333",11,,,461
39,Lebanon,527508,,7302.0,,464660,,55546,582.0,77575.0,1074.0,4011613.0,589948.0,"6,799,947 ",Asia,13,931,2,,,"8,169"
40,UAE,521948,,1591.0,,502460,,17897,,52249.0,159.0,44311796.0,4435810.0,"9,989,561 ",Asia,19,"6,279",0,,,"1,792"
41,Morocco,511562,,9026.0,,498131,,4405,207.0,13725.0,242.0,6270195.0,168221.0,"37,273,622 ",Africa,73,"4,130",6,,,118
42,Saudi Arabia,418411,,6968.0,,401544,,9899,1333.0,11865.0,198.0,16969267.0,481218.0,"35,263,191 ",Asia,84,"5,061",2,,,281
43,Malaysia,411594,,1521.0,,380442,,29631,337.0,12583.0,46.0,9482220.0,289887.0,"32,710,014 ",Asia,79,"21,506",3,,,906
44,Bulgaria,404846,,16444.0,,339889,,48513,670.0,58633.0,2382.0,2525448.0,365754.0,"6,904,772 ",Europe,17,420,3,,,"7,026"
45,Ecuador,384589,,18724.0,,318598,,47267,623.0,21527.0,1048.0,1291070.0,72268.0,"17,865,111 ",South America,46,954,14,,,"2,646"
