#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,35976045,6064.0,821845.0,471.0,27678758,"+5,037",7475442,15401.0,,,,,,North America,"
",,
,South America,21315538,916.0,557137.0,23.0,19001143,962,1757258,20993.0,,,,,,South America,"
",,
,Asia,28699302,9863.0,429647.0,99.0,26223191,"+6,024",2046464,25749.0,,,,,,Asia,"
",,
,Europe,39884164,25360.0,917500.0,462.0,28146668,"+23,768",10819996,31393.0,,,,,,Europe,"
",,
,Africa,4273739,,113443.0,,3837187,,323109,3027.0,,,,,,Africa,"
",,
,Oceania,57206,14.0,1142.0,,34578,2,21486,6.0,,,,,,Australia/Oceania,"
",,
,World,130206715,42217.0,2840729.0,1055.0,104922231,"+35,793",22443755,96569.0,16704.0,364.4,,,,All,"
",,
1,USA,31244639,,566611.0,,23754391,,6923637,8727.0,93981.0,1704.0,405032316.0,1218296.0,"332,457,943 ",North America,11,587,1
2,Brazil,12842717,,325559.0,,11239099,,1278059,8318.0,60099.0,1523.0,28600000.0,133838.0,"213,691,728 ",South America,17,656,7
3,India,12303131,1021.0,163428.0,,11525039,"+2,155",614664,8944.0,8850.0,118.0,245912587.0,176895.0,"1,390,160,589 ",Asia,113,"8,506",6
4,France,4695082,,95976.0,,296166,,4302940,5109.0,71810.0,1468.0,64823784.0,991463.0,"65,381,957 ",Europe,14,681,1
5,Russia,4554264,,99233.0,,4176419,,278612,2300.0,31198.0,680.0,120600000.0,826132.0,"145,981,477 ",Europe,32,"1,471",1
6,UK,4350266,,126764.0,,3860174,,363328,547.0,63830.0,1860.0,127546869.0,1871466.0,"68,153,448 ",Europe,16,538,1
7,Italy,3607083,,109847.0,,2933757,,563479,3681.0,59725.0,1819.0,50258742.0,832167.0,"60,394,983 ",Europe,17,550,1
8,Turkey,3357988,,31713.0,,3035043,,291232,2135.0,39497.0,373.0,38821795.0,456630.0,"85,018,143 ",Asia,25,"2,681",2
9,Spain,3291394,,75541.0,,3054725,,161128,1843.0,70376.0,1615.0,42707830.0,913177.0,"46,768,384 ",Europe,14,619,1
10,Germany,2854137,,77244.0,,2548200,"+13,200",228693,3680.0,33984.0,920.0,50399177.0,600097.0,"83,985,015 ",Europe,29,"1,087",2
11,Colombia,2417826,,63614.0,,2292803,,61409,2603.0,47141.0,1240.0,12790489.0,249382.0,"51,288,726 ",South America,21,806,4
12,Argentina,2363251,,55941.0,,2112266,,195044,3639.0,51932.0,1229.0,8932772.0,196297.0,"45,506,307 ",South America,19,813,5
13,Poland,2356970,,53665.0,,1882179,,421126,3143.0,62328.0,1419.0,12145470.0,321177.0,"37,815,450 ",Europe,16,705,3
14,Mexico,2244268,5381.0,203664.0,454.0,1777697,"+4,461",262907,4798.0,17271.0,1567.0,6110815.0,47026.0,"129,946,482 ",North America,58,638,21
15,Iran,1897314,,62759.0,,1626144,,208411,3989.0,22375.0,740.0,12893317.0,152050.0,"84,796,692 ",Asia,45,"1,351",7
16,Ukraine,1711630,19893.0,33679.0,433.0,1333370,"+10,287",344581,177.0,39315.0,774.0,8179905.0,187889.0,"43,535,903 ",Europe,25,"1,293",5
17,Peru,1561723,,52161.0,,1476782,,32780,2065.0,46877.0,1566.0,9394499.0,281989.0,"33,315,068 ",South America,21,639,4
18,South Africa,1549451,,52897.0,,1474826,,21728,546.0,25881.0,884.0,9912073.0,165566.0,"59,867,781 ",Africa,39,"1,132",6
19,Czechia,1539617,,26586.0,,1371074,,141957,1623.0,143569.0,2479.0,12709934.0,1185197.0,"10,723,900 ",Europe,7,403,1
20,Indonesia,1517854,,41054.0,,1355578,,121222,,5506.0,149.0,12801104.0,46433.0,"275,688,031 ",Asia,182,"6,715",22
21,Netherlands,1280443,,16559.0,,0,N/A,0,677.0,74603.0,965.0,10298103.0,600006.0,"17,163,338 ",Europe,13,"1,036",2
22,Chile,1003406,,23328.0,,936721,,43357,2729.0,52155.0,1213.0,11278506.0,586228.0,"19,239,097  ",South America,19,825,2
23,Canada,987918,,23002.0,,915348,,49568,704.0,26005.0,605.0,27770015.0,730983.0,"37,989,974 ",North America,38,"1,652",1
24,Romania,958918,,23674.0,,856405,,78839,1434.0,50098.0,1237.0,7360350.0,384533.0,"19,141,028 ",Europe,20,809,3
25,Belgium,887920,5467.0,23045.0,29.0,57391,281,807484,755.0,76364.0,1982.0,11238361.0,966536.0,"11,627,463 ",Europe,13,505,1
26,Iraq,856939,,14360.0,,764096,,78483,471.0,20955.0,351.0,8078977.0,197557.0,"40,894,377 ",Asia,48,"2,848",5
27,Israel,833456,,6220.0,,820703,,6533,374.0,90617.0,676.0,13541116.0,1472246.0,"9,197,590 ",Asia,11,"1,479",1
28,Portugal,822314,,16859.0,,778912,,26543,129.0,80822.0,1657.0,9101428.0,894547.0,"10,174,344 ",Europe,12,603,1
29,Sweden,813191,,13498.0,,0,N/A,0,319.0,80145.0,1330.0,7201692.0,709773.0,"10,146,474 ",Europe,12,752,1
30,Philippines,756199,,13303.0,,603948,,138948,785.0,6833.0,120.0,10249771.0,92615.0,"110,671,238 ",Asia,146,"8,319",11
31,Pakistan,678165,5234.0,14613.0,83.0,607205,"+1,931",56347,3384.0,3026.0,65.0,10297544.0,45953.0,"224,089,566 ",Asia,330,"15,335",22
32,Hungary,661721,,20995.0,,410565,,230161,1512.0,68630.0,2177.0,4649596.0,482228.0,"9,641,901 ",Europe,15,459,2
33,Jordan,618059,,6940.0,,520498,,90621,729.0,60129.0,675.0,5966411.0,580449.0,"10,278,953 ",Asia,17,"1,481",2
34,Bangladesh,617764,,9105.0,,544938,,63721,,3723.0,55.0,4698774.0,28320.0,"165,917,524 ",Asia,269,"18,223",35
35,Serbia,605406,,5345.0,,506743,,93318,291.0,69500.0,614.0,3441136.0,395039.0,"8,710,886 ",Europe,14,"1,630",3
36,Switzerland,603092,,10350.0,,548375,,44367,159.0,69305.0,1189.0,6069595.0,697490.0,"8,702,049 ",Europe,14,841,1
37,Austria,549592,,9368.0,,503729,,36495,531.0,60762.0,1036.0,23805240.0,2631888.0,"9,044,930 ",Europe,16,966,0
38,Morocco,496676,,8825.0,,483711,,4140,235.0,13338.0,237.0,5982757.0,160664.0,"37,237,772 ",Africa,75,"4,220",6
39,Japan,474773,,9162.0,,446416,,19195,380.0,3763.0,73.0,9873913.0,78249.0,"126,185,196 ",Asia,266,"13,773",13
40,Lebanon,471962,,6286.0,,373833,,91843,952.0,69381.0,924.0,3581760.0,526540.0,"6,802,440 ",Asia,14,"1,082",2
41,UAE,463759,,1499.0,,447790,,14470,,46470.0,150.0,37836288.0,3791299.0,"9,979,768 ",Asia,22,"6,658",0
42,Saudi Arabia,390597,,6676.0,,378469,,5452,699.0,11091.0,190.0,15184311.0,431143.0,"35,218,720 ",Asia,90,"5,275",2
43,Slovakia,362489,,9790.0,,255300,,97399,599.0,66370.0,1793.0,2360594.0,432214.0,"5,461,629 ",Europe,15,558,2
44,Panama,355499,,6119.0,,344327,,5053,105.0,81434.0,1402.0,2164688.0,495865.0,"4,365,482 ",North America,12,713,2
45,Malaysia,346678,,1278.0,,331001,,14399,163.0,10610.0,39.0,7711350.0,235994.0,"32,676,024 ",Asia,94,"25,568",4
46,Bulgaria,346327,,13313.0,,262095,,70919,747.0,50127.0,1927.0,2134815.0,308989.0,"6,909,035 ",Europe,20,519,3
47,Ecuador,330388,,16877.0,,281684,,31827,562.0,18516.0,946.0,1147695.0,64321.0,"17,843,138 ",South America,54,"1,057",16
48,Belarus,323043,,2257.0,,313628,,7158,,34195.0,239.0,5388505.0,570394.0,"9,446,987 ",Europe,29,"4,186",2
49,Georgia,282260,,3785.0,,273604,,4871,,70859.0,950.0,3418510.0,858187.0,"3,983,409 ",Asia,14,"1,052",1
50,Nepal,277461,,3031.0,,272851,,1579,,9397.0,103.0,2275540.0,77065.0,"29,527,704 ",Asia,106,"9,742",13
51,Croatia,274054,,5967.0,,255639,,12448,155.0,67068.0,1460.0,1559330.0,381609.0,"4,086,201 ",Europe,15,685,3
52,Bolivia,273327,916.0,12280.0,23.0,222924,962,38123,71.0,23179.0,1041.0,915509.0,77638.0,"11,792,020 ",South America,43,960,13
53,Greece,267172,,8160.0,,227518,,31494,755.0,25727.0,786.0,6589204.0,634509.0,"10,384,729 ",Europe,39,"1,273",2
54,Azerbaijan,263961,,3593.0,,238985,,21383,,25859.0,352.0,2888033.0,282929.0,"10,207,610 ",Asia,39,"2,841",4
55,Tunisia,255308,,8843.0,,217928,,28537,325.0,21434.0,742.0,1115541.0,93655.0,"11,911,166 ",Africa,47,"1,347",11
56,Dominican Republic,253196,,3330.0,,212818,,37048,154.0,23167.0,305.0,1311788.0,120025.0,"10,929,334 ",North America,43,"3,282",8
57,Kazakhstan,248931,2077.0,3072.0,12.0,221347,"+1,034",24512,221.0,13140.0,162.0,8669927.0,457644.0,"18,944,679 ",Asia,76,"6,167",2
58,Palestine,244645,,2645.0,,217224,,24776,197.0,47141.0,510.0,1548704.0,298421.0,"5,189,658 ",Asia,21,"1,962",3
59,Ireland,236600,,4705.0,,23364,,208531,63.0,47519.0,945.0,4025669.0,808521.0,"4,979,051 ",Europe,21,"1,058",1
60,Kuwait,233521,,1319.0,,217873,,14329,252.0,54084.0,305.0,2066048.0,478501.0,"4,317,748 ",Asia,18,"3,274",2
61,Moldova,231756,,5003.0,,209907,,16846,331.0,57552.0,1242.0,853345.0,211911.0,"4,026,912 ",Europe,17,805,5
62,Denmark,231265,,2423.0,,219695,,9147,39.0,39822.0,417.0,25693073.0,4424112.0,"5,807,509 ",Europe,25,"2,397",0
63,Lithuania,217005,,3583.0,,199767,,13655,139.0,80563.0,1330.0,2367827.0,879054.0,"2,693,609 ",Europe,12,752,1
64,Slovenia,216939,,4054.0,,199490,,13395,108.0,104340.0,1950.0,1064328.0,511905.0,"2,079,153 ",Europe,10,513,2
65,Costa Rica,216764,,2957.0,,192699,,21108,163.0,42263.0,577.0,811544.0,158228.0,"5,128,949 ",North America,24,"1,735",6
66,Paraguay,216278,,4250.0,,177202,,34826,428.0,30047.0,590.0,918743.0,127638.0,"7,198,054 ",South America,33,"1,694",8
67,Ethiopia,208961,,2890.0,,159436,,46635,853.0,1785.0,25.0,2365187.0,20201.0,"117,081,085 ",Africa,560,"40,512",50
68,Egypt,202843,,12041.0,,155016,,35786,90.0,1955.0,116.0,2506788.0,24156.0,"103,773,526 ",Africa,512,"8,618",41
69,Guatemala,194756,,6860.0,,177964,,9932,5.0,10723.0,378.0,1052595.0,57954.0,"18,162,709 ",North America,93,"2,648",17
70,Armenia,193736,,3533.0,,173681,,16522,,65288.0,1191.0,860046.0,289831.0,"2,967,402 ",Asia,15,840,3
71,Honduras,189726,683.0,4622.0,17.0,73308,576,111796,468.0,18931.0,461.0,519992.0,51884.0,"10,022,219 ",North America,53,"2,168",19
72,Qatar,180804,,295.0,,164544,,15965,358.0,64393.0,105.0,1741631.0,620282.0,"2,807,805 ",Asia,16,"9,518",2
73,Bosnia and Herzegovina,171324,,6675.0,,131166,,33483,,52466.0,2044.0,796448.0,243901.0,"3,265,450 ",Europe,19,489,4
74,Nigeria,162997,,2058.0,,151708,,9231,11.0,776.0,10.0,1767694.0,8420.0,"209,938,714 ",Africa,"1,288","102,011",119
75,Venezuela,161751,,1615.0,,148656,,11480,198.0,5700.0,57.0,3359014.0,118378.0,"28,375,334 ",South America,175,"17,570",8
76,Oman,160018,,1681.0,,144639,,13698,160.0,30754.0,323.0,1550000.0,297895.0,"5,203,170 ",Asia,33,"3,095",3
77,Libya,159980,,2680.0,,147864,,9436,,23048.0,386.0,865202.0,124649.0,"6,941,123 ",Africa,43,"2,590",8
78,Bahrain,145380,,523.0,,136064,,8793,61.0,83296.0,300.0,3598553.0,2061796.0,"1,745,349 ",Asia,12,"3,337",0
79,Myanmar,142466,,3206.0,,131802,,7458,,2605.0,59.0,2539586.0,46442.0,"54,683,190  ",Asia,384,"17,057",22
80,Kenya,135042,,2167.0,,93067,,39808,153.0,2471.0,40.0,1494777.0,27350.0,"54,653,147 ",Africa,405,"25,221",37
81,North Macedonia,131424,,3810.0,,107740,,19874,124.0,63084.0,1829.0,629233.0,302035.0,"2,083,310 ",Europe,16,547,3
82,Albania,125506,,2241.0,,91875,,31390,18.0,43648.0,779.0,557421.0,193856.0,"2,875,435 ",Europe,23,"1,283",5
83,Algeria,117304,,3096.0,,81632,,32576,14.0,2640.0,70.0,230861.0,5195.0,"44,441,661 ",Africa,379,"14,355",193
84,Uruguay,108188,,1009.0,,85200,,21979,360.0,31064.0,290.0,1387452.0,398377.0,"3,482,765 ",South America,32,"3,452",3
85,Estonia,107253,,908.0,,83417,,22928,72.0,80811.0,684.0,1148800.0,865578.0,"1,327,205 ",Europe,12,"1,462",1
86,S. Korea,104194,555.0,1737.0,2.0,95861,422,6596,101.0,2031.0,34.0,7788295.0,151812.0,"51,302,330 ",Asia,492,"29,535",7
87,Latvia,103001,,1913.0,,93631,,7457,92.0,55067.0,1023.0,1904314.0,1018095.0,"1,870,467 ",Europe,18,978,1
88,Norway,96770,,673.0,,80023,,16074,61.0,17746.0,123.0,4687306.0,859583.0,"5,452,999 ",Europe,56,"8,103",1
89,Sri Lanka,92917,,571.0,,89407,,2939,,4326.0,27.0,2374627.0,110547.0,"21,480,610 ",Asia,231,"37,619",9
90,Montenegro,91573,,1286.0,,84035,,6252,69.0,145788.0,2047.0,338243.0,538495.0,"628,126 ",Europe,7,488,2
91,Ghana,90583,,743.0,,88065,,1775,41.0,2871.0,24.0,998389.0,31639.0,"31,556,111 ",Africa,348,"42,471",32
92,Kyrgyzstan,88700,162.0,1500.0,,84979,82,2221,24.0,13430.0,227.0,862010.0,130518.0,"6,604,537 ",Asia,74,"4,403",8
93,Zambia,88549,,1212.0,,84698,,2639,94.0,4719.0,65.0,1257477.0,67007.0,"18,766,221 ",Africa,212,"15,484",15
94,Uzbekistan,83239,189.0,630.0,,81303,168,1306,23.0,2460.0,19.0,1377915.0,40729.0,"33,831,575 ",Asia,406,"53,701",25
95,Finland,78106,,846.0,,46000,,31260,52.0,14080.0,153.0,3983832.0,718172.0,"5,547,184 ",Europe,71,"6,557",1
96,Cuba,76276,,425.0,,71493,,4358,74.0,6737.0,38.0,2984264.0,263594.0,"11,321,420 ",North America,148,"26,639",4
97,Mozambique,67729,,775.0,,56835,,10119,,2123.0,24.0,482221.0,15114.0,"31,905,591 ",Africa,471,"41,169",66
98,El Salvador,64431,,2006.0,,61640,,785,30.0,9896.0,308.0,839408.0,128926.0,"6,510,751 ",North America,101,"3,246",8
99,Luxembourg,61881,,749.0,,57366,,3766,30.0,97669.0,1182.0,2411839.0,3806684.0,"633,580 ",Europe,10,846,0
100,Singapore,60407,,30.0,,60161,,216,1.0,10265.0,5.0,8546349.0,1452272.0,"5,884,812 ",Asia,97,"196,160",1
101,Cameroon,57337,,851.0,,51769,,4717,53.0,2121.0,31.0,1187367.0,43916.0,"27,037,191 ",Africa,472,"31,771",23
102,Afghanistan,56572,,2495.0,,51788,,2289,1120.0,1429.0,63.0,349961.0,8842.0,"39,580,937 ",Asia,700,"15,864",113
103,Cyprus,46173,,260.0,,2057,,43856,46.0,38035.0,214.0,3349002.0,2758776.0,"1,213,945 ",Asia,26,"4,669",0
104,Namibia,44374,,528.0,,41910,,1936,33.0,17231.0,205.0,349054.0,135543.0,"2,575,226 ",Africa,58,"4,877",7
105,Ivory Coast,43889,,244.0,,40254,,3391,,1634.0,9.0,519522.0,19339.0,"26,863,991 ",Africa,612,"110,098",52
106,Uganda,40889,,335.0,,40452,,102,,873.0,7.0,942737.0,20139.0,"46,811,736 ",Africa,"1,145","139,737",50
107,Botswana,40878,,591.0,,36958,,3329,1.0,17125.0,248.0,932633.0,390712.0,"2,387,009 ",Africa,58,"4,039",3
108,Jamaica,39543,,599.0,,17725,,21219,52.0,13310.0,202.0,283592.0,95458.0,"2,970,863 ",North America,75,"4,960",10
109,Senegal,38782,,1054.0,,37434,,294,32.0,2272.0,62.0,441464.0,25859.0,"17,071,787 ",Africa,440,"16,197",39
110,Zimbabwe,36896,,1523.0,,34698,,675,13.0,2456.0,101.0,380662.0,25336.0,"15,024,557 ",Africa,407,"9,865",39
111,Malawi,33584,,1118.0,,30379,,2087,28.0,1722.0,57.0,219103.0,11238.0,"19,497,344 ",Africa,581,"17,439",89
112,Sudan,30111,,2063.0,,24214,,3834,,675.0,46.0,232965.0,5222.0,"44,611,057 ",Africa,"1,482","21,624",191
113,Australia,29333,14.0,909.0,,26290,2,2134,,1140.0,35.0,15773762.0,613259.0,"25,721,193 ",Australia/Oceania,877,"28,296",2
114,Malta,29085,,394.0,,27951,,740,,65740.0,891.0,811102.0,1833305.0,"442,426 ",Europe,15,"1,123",1
115,Thailand,28947,58.0,94.0,,27606,58,1247,1.0,414.0,1.0,8124896.0,116184.0,"69,931,468 ",Asia,"2,416","743,952",9
116,DRC,28199,,745.0,,25508,,1946,,308.0,8.0,,,"91,580,756 ",Africa,"3,248","122,927",
117,Madagascar,24696,,433.0,,22132,,2131,246.0,875.0,15.0,143926.0,5100.0,"28,220,133 ",Africa,"1,143","65,174",196
118,Maldives,24379,,67.0,,21282,,3030,99.0,44516.0,122.0,653492.0,1193274.0,"547,646 ",Asia,22,"8,174",1
119,Angola,22399,,538.0,,20508,,1353,12.0,666.0,16.0,418575.0,12449.0,"33,624,239 ",Africa,"1,501","62,499",80
120,Rwanda,21918,,308.0,,20308,,1302,5.0,1662.0,23.0,1156698.0,87689.0,"13,190,960 ",Africa,602,"42,828",11
121,Guinea,20083,,127.0,,16754,,3202,24.0,1499.0,9.0,406509.0,30342.0,"13,397,388 ",Africa,667,"105,491",33
122,Gabon,19550,,118.0,,16609,,2823,24.0,8632.0,52.0,637354.0,281416.0,"2,264,807 ",Africa,116,"19,193",4
123,Mayotte,19408,,161.0,,2964,,16283,17.0,69886.0,580.0,151773.0,546514.0,"277,711 ",Africa,14,"1,725",2
124,Syria,19039,,1274.0,,12855,,4910,,1069.0,72.0,,,"17,816,853 ",Asia,936,"13,985",
125,French Polynesia,18633,,141.0,,4842,,13650,2.0,66045.0,500.0,26355.0,93416.0,"282,126 ",Australia/Oceania,15,"2,001",11
126,Mauritania,17878,,449.0,,17125,,304,14.0,3771.0,95.0,206372.0,43534.0,"4,740,474 ",Africa,265,"10,558",23
127,Cabo Verde,17587,,169.0,,16340,,1078,23.0,31377.0,302.0,127554.0,227570.0,"560,505 ",Africa,32,"3,317",4
128,Eswatini,17344,,668.0,,16544,,132,6.0,14835.0,571.0,172043.0,147152.0,"1,169,154 ",Africa,67,"1,750",7
129,French Guiana,17132,,93.0,,9995,,7044,5.0,56275.0,305.0,162697.0,534421.0,"304,436 ",South America,18,"3,274",2
130,Réunion,16586,,115.0,,14828,,1643,54.0,18427.0,128.0,98785.0,109749.0,"900,100 ",Africa,54,"7,827",9
131,Tajikistan,13308,,90.0,,13218,,0,,1372.0,9.0,,,"9,697,109 ",Asia,729,"107,746",
132,Haiti,12788,,251.0,,11126,,1411,,1111.0,22.0,54379.0,4726.0,"11,506,476 ",North America,900,"45,843",212
133,Burkina Faso,12774,,149.0,,12420,,205,,599.0,7.0,,,"21,328,963 ",Africa,"1,670","143,147",
134,Belize,12456,,317.0,,12090,,49,1.0,30907.0,787.0,100149.0,248501.0,"403,012 ",North America,32,"1,271",4
135,Andorra,12053,,115.0,,11365,,573,12.0,155808.0,1487.0,193595.0,2502585.0,"77,358 ",Europe,6,673,0
136,Guadeloupe,11681,,170.0,,2242,,9269,8.0,29190.0,425.0,154363.0,385739.0,"400,175 ",North America,34,"2,354",3
137,Somalia,11499,,537.0,,4861,,6101,,709.0,33.0,,,"16,222,455 ",Africa,"1,411","30,209",
138,Hong Kong,11481,,205.0,,11108,,168,9.0,1522.0,27.0,11193673.0,1484071.0,"7,542,543 ",Asia,657,"36,793",1
139,Lesotho,10706,,315.0,,4471,,5920,,4968.0,146.0,67404.0,31278.0,"2,154,971 ",Africa,201,"6,841",32
140,Togo,10654,,110.0,,7996,,2548,,1265.0,13.0,276636.0,32843.0,"8,423,092 ",Africa,791,"76,574",30
141,Guyana,10375,,233.0,,9159,,983,12.0,13143.0,295.0,91231.0,115570.0,"789,399 ",South America,76,"3,388",9
142,Mali,10199,,386.0,,6863,,2950,,493.0,19.0,161704.0,7818.0,"20,683,742 ",Africa,"2,028","53,585",128
143,South Sudan,10197,,112.0,,9710,,375,,903.0,10.0,132246.0,11712.0,"11,291,885 ",Africa,"1,107","100,820",85
144,Congo,9681,,135.0,,8208,,1338,,1723.0,24.0,92500.0,16462.0,"5,619,090 ",Africa,580,"41,623",61
145,Aruba,9503,,86.0,,8713,,704,8.0,88725.0,803.0,126431.0,1180429.0,"107,106 ",North America,11,"1,245",1
146,Mongolia,9327,486.0,10.0,2.0,5216,146,4101,46.0,2811.0,3.0,2275242.0,685789.0,"3,317,702 ",Asia,356,"331,770",1
147,Bahamas,9171,,188.0,,8676,,307,3.0,23156.0,475.0,76691.0,193636.0,"396,057 ",North America,43,"2,107",5
148,Suriname,9122,,177.0,,8598,,347,3.0,15446.0,300.0,44700.0,75690.0,"590,568 ",South America,65,"3,337",13
149,Curaçao,8834,,38.0,,5330,,3466,22.0,53671.0,231.0,73224.0,444871.0,"164,596 ",North America,19,"4,331",2
150,Martinique,8304,,51.0,,98,,8155,5.0,22141.0,136.0,126108.0,336247.0,"375,046 ",North America,45,"7,354",3
151,Djibouti,8180,,71.0,,6538,,1571,,8190.0,71.0,130626.0,130792.0,"998,733 ",Africa,122,"14,067",8
152,Trinidad and Tobago,8072,,145.0,,7618,,309,14.0,5754.0,103.0,110530.0,78787.0,"1,402,889 ",North America,174,"9,675",13
153,Benin,7313,,93.0,,6452,,768,35.0,592.0,8.0,548484.0,44379.0,"12,359,163 ",Africa,"1,690","132,894",23
154,Equatorial Guinea,7008,,103.0,,6635,,270,14.0,4876.0,72.0,110205.0,76684.0,"1,437,130 ",Africa,205,"13,953",13
155,Nicaragua,6677,,178.0,,4225,,2274,,999.0,27.0,,,"6,683,501 ",North America,"1,001","37,548",
