#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1110027,North America,North America,,2861.0,273.0,,17404.0,,1603717,97945.0,395745.0,,
,837648,Europe,Europe,,,,,12533.0,,1718673,159068.0,721957.0,,
,226650,South America,South America,,471.0,16.0,,10341.0,,377660,20054.0,130956.0,,
,297956,Asia,Asia,,1554.0,35.0,,4968.0,,740512,23627.0,418929.0,,
,46265,Africa,Africa,,28.0,1.0,,290.0,,77030,2579.0,28186.0,,
,648,Australia/Oceania,Oceania,,31.0,,,20.0,,8621,119.0,7854.0,,
,2519249,All,World,38.9,4945.0,325.0,,45560.0,,4526934,303407.0,1704278.0,,581.0
1,1052654,North America,USA,263.0,,,"330,753,490 ",16240.0,32166.0,1457593,86912.0,318027.0,10638893.0,4407.0
2,58845,Europe,Spain,584.0,,,"46,752,506 ",1376.0,52784.0,272646,27321.0,186480.0,2467761.0,5832.0
3,196410,Europe,Russia,16.0,,,"145,926,611 ",2300.0,42406.0,252245,2305.0,53530.0,6188102.0,1729.0
4,0,Europe,UK,495.0,,,"67,840,351 ",1559.0,32713.0,233151,33614.0,0.0,2219281.0,3437.0
5,76440,Europe,Italy,519.0,,,"60,472,892 ",855.0,46426.0,223096,31368.0,115288.0,2807504.0,3689.0
6,109687,South America,Brazil,66.0,247.0,6.0,"212,364,444 ",8318.0,3462.0,203165,13999.0,79479.0,735224.0,957.0
7,91840,Europe,France,420.0,,,"65,255,252 ",2299.0,21219.0,178870,27425.0,59605.0,1384633.0,2741.0
8,16747,Europe,Germany,95.0,,,"83,749,935 ",1329.0,37585.0,174975,7928.0,150300.0,3147771.0,2089.0
9,36712,Asia,Turkey,48.0,,,"84,220,162 ",963.0,17915.0,144749,4007.0,104030.0,1508824.0,1719.0
10,17140,Asia,Iran,82.0,,,"83,850,893 ",2758.0,7678.0,114533,6854.0,90539.0,643772.0,1366.0
11,51434,Asia,India,2.0,55.0,,"1,378,233,611 ",,1480.0,82052,2649.0,27969.0,2039952.0,60.0
12,53186,South America,Peru,69.0,,,"32,910,878 ",842.0,17845.0,80604,2267.0,25151.0,587292.0,2449.0
13,31838,North America,Canada,145.0,,,"37,699,156 ",502.0,31019.0,73401,5472.0,36091.0,1169380.0,1947.0
14,31274,Europe,Belgium,769.0,,,"11,583,189 ",407.0,53839.0,54288,8903.0,14111.0,623628.0,4687.0
15,27535,Asia,Saudi Arabia,8.0,,,"34,741,400 ",156.0,14783.0,46869,283.0,19051.0,513587.0,1349.0
16,0,Europe,Netherlands,326.0,,,"17,130,079 ",410.0,16508.0,43481,5590.0,0.0,282776.0,2538.0
17,9643,North America,Mexico,35.0,2409.0,257.0,"128,755,457 ",378.0,1104.0,42595,4477.0,28475.0,142204.0,331.0
18,26260,Asia,Pakistan,4.0,1430.0,33.0,"220,309,834 ",111.0,1563.0,37218,803.0,10155.0,344450.0,169.0
19,21017,South America,Chile,19.0,,,"19,094,896 ",663.0,17042.0,37040,368.0,15655.0,325417.0,1940.0
20,24731,South America,Ecuador,133.0,,,"17,607,301 ",196.0,5050.0,30502,2338.0,3433.0,88923.0,1732.0
21,1491,Europe,Switzerland,217.0,,,"8,646,448 ",79.0,37954.0,30463,1872.0,27100.0,328163.0,3523.0
22,20082,Europe,Sweden,350.0,,,"10,091,169 ",351.0,17590.0,28582,3529.0,4971.0,177500.0,2832.0
23,23937,Europe,Portugal,116.0,,,"10,200,387 ",108.0,57090.0,28319,1184.0,3198.0,582341.0,2776.0
24,24902,Asia,Qatar,5.0,,,"2,874,514 ",72.0,50074.0,28272,14.0,3356.0,143938.0,9835.0
25,18453,Europe,Belarus,16.0,,,"9,449,712 ",92.0,32610.0,26772,151.0,8168.0,308156.0,2833.0
26,20104,Asia,Singapore,4.0,,,"5,844,386 ",20.0,38372.0,26098,21.0,5973.0,224262.0,4465.0
27,2851,Europe,Ireland,305.0,,,"4,930,547 ",69.0,52491.0,23827,1506.0,19470.0,258808.0,4833.0
28,13946,Asia,UAE,21.0,,,"9,874,659 ",1.0,158074.0,21084,208.0,6930.0,1560923.0,2135.0
29,15219,Asia,Bangladesh,2.0,,,"164,475,123 ",1.0,924.0,18863,283.0,3361.0,151930.0,115.0
30,10036,Europe,Poland,23.0,,,"37,851,778 ",160.0,14645.0,17615,883.0,6696.0,554357.0,465.0
31,12248,Europe,Ukraine,10.0,,,"43,765,842 ",222.0,4627.0,16847,456.0,4143.0,202495.0,385.0
32,3793,Asia,Israel,31.0,,,"8,637,437 ",62.0,56258.0,16579,265.0,12521.0,485922.0,1919.0
33,6141,Europe,Romania,55.0,,,"19,253,316 ",225.0,14866.0,16247,1053.0,9053.0,286217.0,844.0
34,5555,Asia,Japan,6.0,,,"126,524,328 ",259.0,1843.0,16120,697.0,9868.0,233144.0,127.0
35,1027,Europe,Austria,70.0,,,"8,999,806 ",54.0,38290.0,16058,626.0,14405.0,344606.0,1784.0
36,11445,Asia,Indonesia,4.0,,,"273,144,953 ",,636.0,16006,1043.0,3518.0,173690.0,59.0
37,9727,South America,Colombia,10.0,,,"50,811,863 ",137.0,3484.0,13610,525.0,3358.0,177050.0,268.0
38,6825,Africa,South Africa,4.0,,,"59,209,961 ",119.0,6807.0,12739,238.0,5676.0,403018.0,215.0
39,8436,Asia,Kuwait,21.0,,,"4,262,156 ",175.0,54416.0,11975,88.0,3451.0,231930.0,2810.0
40,8749,Asia,Philippines,7.0,,,"109,387,948 ",77.0,1732.0,11876,790.0,2337.0,189469.0,109.0
41,7547,North America,Dominican Republic,39.0,,,"10,833,701 ",131.0,4410.0,11320,422.0,3351.0,47774.0,1045.0
42,937,Asia,S. Korea,5.0,27.0,,"51,263,639 ",55.0,14177.0,11018,260.0,9821.0,726747.0,215.0
43,7632,Africa,Egypt,6.0,,,"102,072,877 ",41.0,1029.0,10829,571.0,2626.0,105000.0,106.0
44,1371,Europe,Denmark,93.0,,,"5,789,609 ",35.0,61833.0,10713,537.0,8805.0,357986.0,1850.0
45,6066,Europe,Serbia,26.0,,,"8,741,704 ",22.0,18623.0,10374,224.0,4084.0,162797.0,1187.0
46,2778,North America,Panama,60.0,174.0,4.0,"4,305,682 ",72.0,10892.0,9118,260.0,6080.0,46898.0,2118.0
47,2817,Europe,Czechia,27.0,,,"10,706,473 ",42.0,31263.0,8351,293.0,5241.0,334714.0,780.0
48,7932,Europe,Norway,43.0,,,"5,415,755 ",23.0,39266.0,8196,232.0,32.0,212655.0,1513.0
49,4396,South America,Argentina,8.0,,,"45,141,794 ",170.0,2075.0,7134,353.0,2385.0,93673.0,158.0
50,587,Australia/Oceania,Australia,4.0,30.0,,"25,460,983 ",18.0,38450.0,7019,98.0,6334.0,978976.0,276.0
51,1356,Asia,Malaysia,3.0,,,"32,311,201 ",16.0,8409.0,6819,112.0,5351.0,271721.0,211.0
52,3107,Africa,Morocco,5.0,,,"36,852,978 ",1.0,2114.0,6607,190.0,3310.0,77922.0,179.0
53,2755,Africa,Algeria,12.0,,,"43,744,108 ",22.0,149.0,6442,529.0,3158.0,6500.0,147.0
54,3835,Asia,Bahrain,6.0,,,"1,693,017 ",4.0,126451.0,6198,10.0,2353.0,214084.0,3661.0
55,1558,Europe,Finland,52.0,,,"5,539,635 ",33.0,24731.0,6145,287.0,4300.0,137000.0,1109.0
56,4812,Asia,Afghanistan,4.0,,,"38,807,744 ",7.0,508.0,5639,136.0,691.0,19732.0,145.0
57,3008,Asia,Kazakhstan,2.0,,,"18,747,133 ",31.0,24523.0,5571,32.0,2531.0,459736.0,297.0
58,3131,Europe,Moldova,48.0,,,"4,035,126 ",251.0,5067.0,5553,194.0,2228.0,20447.0,1376.0
59,4832,Africa,Ghana,0.8,,,"30,984,320 ",5.0,5413.0,5530,24.0,674.0,167704.0,178.0
60,3815,Africa,Nigeria,0.8,,,"205,430,154 ",7.0,149.0,5162,167.0,1180.0,30657.0,25.0
61,3020,Asia,Oman,4.0,,,"5,088,544 ",31.0,11988.0,4341,18.0,1303.0,61000.0,853.0
62,147,Europe,Luxembourg,165.0,,,"624,613 ",11.0,94021.0,3915,103.0,3665.0,58727.0,6268.0
63,2239,Asia,Armenia,17.0,,,"2,962,544 ",10.0,12157.0,3860,49.0,1572.0,36016.0,1303.0
64,1775,Europe,Hungary,45.0,,,"9,663,390 ",49.0,12755.0,3380,436.0,1169.0,123258.0,350.0
65,2864,South America,Bolivia,13.0,224.0,10.0,"11,651,907 ",3.0,657.0,3372,152.0,356.0,7651.0,289.0
66,1000,Asia,Iraq,3.0,,,"40,098,372 ",,3506.0,3143,115.0,2028.0,140573.0,78.0
67,112,Asia,Thailand,0.8,,,"69,777,809 ",61.0,4099.0,3018,56.0,2850.0,286008.0,43.0
68,1262,Africa,Cameroon,5.0,,,"26,454,069 ",28.0,,2954,139.0,1553.0,,112.0
69,1011,Asia,Azerbaijan,3.0,,,"10,127,290 ",29.0,21160.0,2879,35.0,1833.0,214291.0,284.0
70,1240,Europe,Greece,15.0,,,"10,429,300 ",24.0,11145.0,2770,156.0,1374.0,116233.0,266.0
71,498,Asia,Uzbekistan,0.3,,,"33,404,657 ",8.0,9729.0,2645,11.0,2136.0,325000.0,79.0
72,1563,Africa,Guinea,1.0,,,"13,082,852 ",18.0,788.0,2473,15.0,895.0,10304.0,189.0
73,1932,North America,Honduras,13.0,63.0,10.0,"9,883,522 ",10.0,572.0,2318,133.0,253.0,5653.0,235.0
74,277,Europe,Croatia,23.0,,,"4,108,356 ",7.0,12253.0,2221,94.0,1850.0,50340.0,541.0
75,824,Europe,Bosnia and Herzegovina,37.0,,,"3,283,308 ",4.0,13952.0,2218,122.0,1272.0,45810.0,676.0
76,1324,Africa,Senegal,1.0,,,"16,682,261 ",6.0,1475.0,2189,23.0,842.0,24599.0,131.0
77,1470,Europe,Bulgaria,14.0,,,"6,954,790 ",51.0,8873.0,2100,99.0,531.0,61711.0,302.0
78,1017,Africa,Ivory Coast,0.9,,,"26,287,582 ",,581.0,1971,24.0,930.0,15260.0,75.0
79,368,North America,Cuba,7.0,,,"11,327,480 ",9.0,6634.0,1830,79.0,1383.0,75142.0,162.0
80,1530,Africa,Sudan,2.0,,,"43,707,940 ",,,1818,90.0,198.0,,42.0
81,12,Europe,Iceland,29.0,,,"340,958 ",,163146.0,1802,10.0,1780.0,55626.0,5285.0
