#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39014490,3964.0,874919.0,331.0,31122993,"+2,398",7016578,16529.0,,,,,,North America,"
",,,,,
,Asia,45273653,8413.0,586634.0,169.0,39339396,"+16,536",5347623,32368.0,,,,,,Asia,"
",,,,,
,South America,26270468,,714869.0,,23859284,,1696315,28256.0,,,,,,South America,"
",,,,,
,Europe,45775899,10064.0,1042287.0,367.0,41287460,"+39,244",3446152,24805.0,,,,,,Europe,"
",,,,,
,Africa,4699194,,125704.0,,4235490,,338000,3093.0,,,,,,Africa,"
",,,,,
,Oceania,65150,4.0,1218.0,,61231,9,2701,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,161099575,22445.0,3345646.0,867.0,139906560,"+58,187",17847369,105054.0,20668.0,429.2,,,,All,"
",,,,,
1,USA,33586136,,597785.0,,26620229,,6368122,8707.0,100958.0,1797.0,461476543.0,1387169.0,"332,674,970 ",North America,10,557,1,,,"19,142"
2,India,23703665,833.0,258351.0,,19734823,"+6,387",3710491,8944.0,17032.0,186.0,309448585.0,222356.0,"1,391,679,242 ",Asia,59,"5,387",4,0.6,,"2,666"
3,Brazil,15361686,,428256.0,,13924217,,1009213,8318.0,71830.0,2002.0,46970130.0,219630.0,"213,860,730 ",South America,14,499,5,,,"4,719"
4,France,5821668,,107119.0,,4960097,,754452,4583.0,89019.0,1638.0,79684856.0,1218458.0,"65,398,090 ",Europe,11,611,1,,,"11,536"
5,Turkey,5072462,,43821.0,,4801291,,227350,2827.0,59592.0,515.0,50058648.0,588097.0,"85,119,750 ",Asia,17,"1,942",2,,,"2,671"
6,Russia,4905059,,114331.0,,4518529,,272199,2300.0,33599.0,783.0,132100000.0,904866.0,"145,988,463 ",Europe,30,"1,277",1,,,"1,865"
7,UK,4441975,,127640.0,,4256103,,58232,138.0,65138.0,1872.0,167749070.0,2459905.0,"68,193,314 ",Europe,15,534,0,,,854
8,Italy,4131078,,123544.0,,3655112,,352422,1992.0,68412.0,2046.0,61820196.0,1023766.0,"60,385,062 ",Europe,15,489,1,,,"5,836"
9,Spain,3592751,,79208.0,,3291156,,222387,1991.0,76817.0,1694.0,47213067.0,1009465.0,"46,770,406 ",Europe,13,590,1,,,"4,755"
10,Germany,3558148,,86009.0,,3240300,"+20,000",231839,5049.0,42351.0,1024.0,56836969.0,676510.0,"84,014,947 ",Europe,24,977,1,,,"2,759"
11,Argentina,3215572,,68807.0,,2869341,,277424,5394.0,70590.0,1510.0,12066534.0,264892.0,"45,552,720 ",South America,14,662,4,,,"6,090"
12,Colombia,3048719,,79261.0,,2859627,,109831,6582.0,59372.0,1544.0,15639108.0,304562.0,"51,349,445 ",South America,17,648,3,,,"2,139"
