#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,41125613,11835.0,925947.0,255.0,34559675,"+5,151",5639991,11554.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,58016403,23460.0,828050.0,217.0,55013948,"+23,488",2174405,28803.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,34162768,1379.0,1041580.0,37.0,31547551,"+1,496",1573637,27899.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,49155770,1850.0,1115034.0,27.0,45958896,"+1,639",2081840,6118.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,6075568,,153922.0,,5287903,,633743,4502.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,83239,110.0,1328.0,,70857,5,11054,51.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,188620082,38634.0,4065876.0,536.0,172439536,"+31,779",12114670,78927.0,24198.0,521.6,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34807813,,623435.0,,29304451,,4879927,4640.0,104527.0,1872.0,513838744.0,1543045.0,"333,003,157 ",North America,10,534,1,,,"14,654",Dummy,Dummy
2,India,30946074,1125.0,411439.0,,30104720,"+7,624",429915,8944.0,22200.0,295.0,435973639.0,312756.0,"1,393,975,740 ",Asia,45,"3,388",3,0.8,,308,Dummy,Dummy
3,Brazil,19152065,,535924.0,,17770617,,845524,8318.0,89447.0,2503.0,54204686.0,253155.0,"214,116,294 ",South America,11,400,4,,,"3,949",Dummy,Dummy
4,Russia,5833175,,144492.0,,5236214,,452469,2300.0,39954.0,990.0,156300000.0,1070555.0,"145,999,027 ",Europe,25,"1,010",1,,,"3,099",Dummy,Dummy
5,France,5820849,,111407.0,,5650915,,58527,933.0,88973.0,1703.0,97199510.0,1485720.0,"65,422,487 ",Europe,11,587,1,,,895,Dummy,Dummy
6,Turkey,5493244,,50324.0,,5360012,,82908,684.0,64419.0,590.0,63706328.0,747083.0,"85,273,398 ",Asia,16,"1,694",1,,,972,Dummy,Dummy
7,UK,5191459,,128481.0,,4368126,,694852,417.0,76061.0,1882.0,226775887.0,3322548.0,"68,253,600 ",Europe,13,531,0,,,"10,180",Dummy,Dummy
8,Argentina,4682960,,99640.0,,4314593,,268727,5199.0,102645.0,2184.0,17804872.0,390262.0,"45,622,906 ",South America,10,458,3,,,"5,890",Dummy,Dummy
9,Colombia,4548142,,113839.0,,4299931,,134372,8155.0,88414.0,2213.0,21156483.0,411275.0,"51,441,263 ",South America,11,452,2,,,"2,612",Dummy,Dummy
10,Italy,4273693,,127808.0,,4105236,,40649,157.0,70792.0,2117.0,73775374.0,1222052.0,"60,370,061 ",Europe,14,472,1,,,673,Dummy,Dummy
11,Spain,4015084,,81033.0,,3652580,,281471,749.0,85841.0,1732.0,54183930.0,1158433.0,"46,773,463 ",Europe,12,577,1,,,"6,018",Dummy,Dummy
12,Germany,3745287,,91799.0,,3636800,900,16688,407.0,44555.0,1092.0,65247345.0,776198.0,"84,060,211 ",Europe,22,916,1,,,199,Dummy,Dummy
13,Iran,3417029,,86207.0,,3056160,,274662,3866.0,40153.0,1013.0,24671220.0,289911.0,"85,099,230 ",Asia,25,987,3,,,"3,228",Dummy,Dummy
14,Poland,2880959,,75173.0,,2652604,,153182,55.0,76208.0,1989.0,17869992.0,472703.0,"37,803,830 ",Europe,13,503,2,,,"4,052",Dummy,Dummy
15,Indonesia,2615529,,68219.0,,2139601,,407709,,9459.0,247.0,22133149.0,80047.0,"276,501,500 ",Asia,106,"4,053",12,,,"1,475",Dummy,Dummy
16,Mexico,2604711,11137.0,235277.0,219.0,2056317,"+4,960",313117,4798.0,19986.0,1805.0,7784995.0,59734.0,"130,327,462 ",North America,50,554,17,85,2,"2,403",Dummy,Dummy
17,Ukraine,2242245,547.0,52665.0,25.0,2179076,797,0,177.0,51591.0,1212.0,11082234.0,254985.0,"43,462,352 ",Europe,19,825,4,13,0.6,242,Dummy,Dummy
18,South Africa,2219316,,65142.0,,1961448,,192726,546.0,36940.0,1084.0,13989268.0,232851.0,"60,078,202 ",Africa,27,922,4,,,"3,208",Dummy,Dummy
19,Peru,2083567,,194606.0,,0,N/A,0,2129.0,62300.0,5819.0,14760685.0,441351.0,"33,444,359 ",South America,16,172,2,,,"5,032",Dummy,Dummy
20,Netherlands,1744700,,17769.0,,1654975,,71956,84.0,101590.0,1035.0,15010077.0,874001.0,"17,173,977 ",Europe,10,967,1,,,"4,190",Dummy,Dummy
21,Czechia,1669745,,30333.0,,1637251,,2161,2.0,155622.0,2827.0,30974889.0,2886897.0,"10,729,474 ",Europe,6,354,0,,,201,Dummy,Dummy
22,Chile,1590887,,34016.0,,1540595,,16276,2332.0,82493.0,1764.0,17725218.0,919109.0,"19,285,224 ",South America,12,567,1,,,844,Dummy,Dummy
23,Philippines,1481660,,26092.0,,1408634,,46934,2031.0,13338.0,235.0,15567708.0,140146.0,"111,081,731 ",Asia,75,"4,257",7,,,423,Dummy,Dummy
24,Iraq,1447557,,17630.0,,1320260,,109667,603.0,35178.0,428.0,12297478.0,298852.0,"41,148,999 ",Asia,28,"2,334",3,,,"2,665",Dummy,Dummy
25,Canada,1421447,,26450.0,,1390043,,4954,321.0,37325.0,695.0,37564476.0,986384.0,"38,083,000 ",North America,27,"1,440",1,,,130,Dummy,Dummy
26,Belgium,1098332,1303.0,25207.0,2.0,1050567,,22558,89.0,94345.0,2165.0,16097663.0,1382768.0,"11,641,625 ",Europe,11,462,1,112,0.2,"1,938",Dummy,Dummy
27,Sweden,1093209,,14606.0,,1069982,,8621,23.0,107555.0,1437.0,11153755.0,1097361.0,"10,164,164 ",Europe,9,696,1,,,848,Dummy,Dummy
28,Romania,1081326,,34233.0,,1046447,,646,52.0,56599.0,1792.0,10095251.0,528406.0,"19,105,110 ",Europe,18,558,2,,,34,Dummy,Dummy
