#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1225109,North America,North America,,4044.0,477.0,,18313.0,,1956670,118823.0,612738.0,,
,397316,South America,South America,,632.0,6.0,,11037.0,,720265,35436.0,287513.0,,
,847891,Europe,Europe,,,,,9518.0,,1950083,170631.0,931561.0,,
,394822,Asia,Asia,,2689.0,35.0,,13748.0,,1028844,28716.0,605306.0,,
,70333,Africa,Africa,,200.0,11.0,,349.0,,126838,3721.0,52784.0,,
,479,Australia/Oceania,Oceania,,11.0,1.0,,5.0,,8758,125.0,8154.0,,
,2936005,All,World,45.9,7576.0,530.0,,52974.0,,5792179,357467.0,2498707.0,,743.0
1,1153566,North America,USA,309.0,,,"330,822,304 ",17166.0,47988.0,1745803,102107.0,490130.0,15875473.0,5277.0
2,222317,South America,Brazil,121.0,,,"212,418,030 ",8318.0,4104.0,414661,25697.0,166647.0,871839.0,1952.0
3,224504,Europe,Russia,27.0,,,"145,928,826 ",2300.0,64525.0,370680,3968.0,142208.0,9415992.0,2540.0
4,59773,Europe,Spain,580.0,,,"46,753,147 ",854.0,76071.0,283849,27118.0,196958.0,3556567.0,6071.0
5,0,Europe,UK,552.0,,,"67,852,992 ",1559.0,55981.0,267240,37460.0,0.0,3798490.0,3939.0
6,50966,Europe,Italy,547.0,,,"60,469,746 ",505.0,59654.0,231139,33072.0,147101.0,3607251.0,3822.0
7,87733,Europe,France,438.0,,,"65,260,368 ",1501.0,21217.0,182913,28596.0,66584.0,1384633.0,2803.0
8,10562,Europe,Germany,102.0,,,"83,759,426 ",763.0,47194.0,181895,8533.0,162800.0,3952971.0,2172.0
9,32573,Asia,Turkey,53.0,,,"84,252,379 ",723.0,22488.0,159797,4431.0,122793.0,1894650.0,1897.0
10,86050,Asia,India,3.0,247.0,,"1,378,715,135 ",8944.0,2439.0,158333,4534.0,67749.0,3362136.0,115.0
11,22851,Asia,Iran,90.0,,,"83,889,077 ",2551.0,10210.0,141591,7564.0,111176.0,856546.0,1688.0
12,75753,South America,Peru,121.0,,,"32,927,196 ",926.0,27493.0,135905,3983.0,56169.0,905278.0,4127.0
13,34590,North America,Canada,179.0,,,"37,710,897 ",502.0,40597.0,87519,6765.0,46164.0,1530931.0,2321.0
14,47908,South America,Chile,44.0,,,"19,100,718 ",1251.0,26937.0,82289,841.0,33540.0,514523.0,4308.0
15,27094,Asia,Saudi Arabia,12.0,,,"34,760,671 ",384.0,21699.0,78541,425.0,51022.0,754268.0,2259.0
16,15043,North America,Mexico,67.0,3463.0,463.0,"128,803,542 ",378.0,1901.0,78023,8597.0,54383.0,244858.0,606.0
17,39736,Asia,Pakistan,6.0,2076.0,35.0,"220,462,432 ",111.0,2305.0,61227,1260.0,20231.0,508086.0,278.0
18,32763,Europe,Belgium,808.0,,,"11,584,977 ",220.0,69477.0,57592,9364.0,15465.0,804890.0,4971.0
