ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
1019143,North America,North America,,1386.0,254.0,17362.0,,1348588,79700.0,249745.0,,
781335,Europe,Europe,,46.0,10.0,16502.0,,1494019,144112.0,568572.0,,
250527,Asia,Asia,,580.0,17.0,5258.0,,587772,20467.0,316778.0,,
143797,South America,South America,,1371.0,42.0,9958.0,,238196,12023.0,82376.0,,
31329,Africa,Africa,,64.0,2.0,128.0,,50230,1919.0,16982.0,,
965,Australia/Oceania,Oceania,,28.0,2.0,31.0,,8467,118.0,7384.0,,
2227157,All,World,33.1,3475.0,327.0,49243.0,,3727993,258354.0,1242482.0,,478.0
964734,North America,USA,218.0,,,16179.0,23347.0,1237633,72271.0,200628.0,7727811.0,3739.0
70230,Europe,Spain,548.0,,,2254.0,41332.0,250561,25613.0,154718.0,1932455.0,5359.0
98467,Europe,Italy,485.0,,,1427.0,37158.0,213013,29315.0,85231.0,2246666.0,3523.0
165219,Europe,UK,433.0,,,1559.0,20385.0,194990,29427.0,0.0,1383842.0,2872.0
92284,Europe,France,391.0,,,3430.0,16856.0,170551,25531.0,52736.0,1100228.0,2613.0
24914,Europe,Germany,83.0,,,1937.0,30400.0,167007,6993.0,135100.0,2547052.0,1993.0
134054,Europe,Russia,10.0,,,2300.0,30564.0,155370,1451.0,19865.0,4460357.0,1065.0
52686,Asia,Turkey,42.0,,,1338.0,14281.0,129491,3520.0,73285.0,1204421.0,1535.0
59774,South America,Brazil,37.0,1238.0,37.0,8318.0,1597.0,115953,7958.0,48221.0,339552.0,546.0
13155,Asia,Iran,75.0,,,2685.0,6186.0,99970,6340.0,80475.0,519543.0,1190.0
31010,North America,Canada,107.0,,,502.0,24921.0,62046,4043.0,26993.0,940567.0,1644.0
34332,South America,Peru,44.0,,,709.0,12331.0,51189,1444.0,15413.0,406579.0,1553.0
30052,Europe,Belgium,692.0,,,646.0,39362.0,50509,8016.0,12441.0,456194.0,4358.0
33558,Asia,India,1.0,36.0,2.0,,925.0,49436,1695.0,14183.0,1276781.0,36.0
35669,Europe,Netherlands,302.0,,,644.0,13768.0,41087,5168.0,0.0,235909.0,2398.0
26879,South America,Ecuador,89.0,,,159.0,4544.0,31881,1569.0,3433.0,80171.0,1807.0
24620,Asia,Saudi Arabia,6.0,,,143.0,10818.0,30251,200.0,5431.0,376607.0,869.0
2814,Europe,Switzerland,207.0,,,121.0,33092.0,30009,1795.0,25400.0,286403.0,3467.0
6708,North America,Mexico,19.0,1120.0,236.0,378.0,776.0,26025,2507.0,16810.0,100041.0,202.0
