#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1203830,North America,North America,,3504.0,225.0,,18270.0,,1880853,114394.0,562629.0,,
,360064,South America,South America,,1943.0,40.0,,10855.0,,633783,31512.0,242207.0,,
,849287,Europe,Europe,,15.0,5.0,,9977.0,,1901764,169849.0,882628.0,,
,375387,Asia,Asia,,2400.0,38.0,,13788.0,,962818,27493.0,559938.0,,
,64170,Africa,Africa,,195.0,19.0,,323.0,,113851,3375.0,46306.0,,
,511,Australia/Oceania,Oceania,,,,,6.0,,8722,123.0,8088.0,,
,2853304,All,World,44.5,8057.0,327.0,,53223.0,,5502512,346761.0,2302447.0,,706.0
1,1135434,North America,USA,300.0,,,"330,806,424 ",17135.0,44587.0,1686436,99300.0,451702.0,14749756.0,5098.0
2,192556,South America,Brazil,107.0,1595.0,30.0,"212,405,664 ",8318.0,3461.0,365213,22746.0,149911.0,735224.0,1719.0
3,227641,Europe,Russia,24.0,,,"145,928,315 ",2300.0,59518.0,344481,3541.0,113299.0,8685305.0,2361.0
4,57142,Europe,Spain,615.0,,,"46,752,999 ",854.0,76071.0,282852,28752.0,196958.0,3556567.0,6050.0
5,0,Europe,UK,542.0,,,"67,850,075 ",1559.0,50979.0,259559,36793.0,0.0,3458905.0,3825.0
6,56594,Europe,Italy,542.0,,,"60,470,472 ",553.0,57003.0,229858,32785.0,140479.0,3447012.0,3801.0
7,89600,Europe,France,435.0,,,"65,259,187 ",1655.0,21217.0,182584,28367.0,64617.0,1384633.0,2798.0
8,11657,Europe,Germany,100.0,,,"83,757,235 ",889.0,42922.0,180328,8371.0,160300.0,3595059.0,2153.0
9,33793,Asia,Turkey,52.0,,,"84,244,944 ",769.0,21749.0,156827,4340.0,118694.0,1832262.0,1862.0
10,77172,Asia,India,3.0,381.0,,"1,378,604,014 ",8944.0,2200.0,138917,4024.0,57721.0,3033591.0,101.0
11,22483,Asia,Iran,88.0,,,"83,880,266 ",2615.0,9544.0,135701,7417.0,105801.0,800519.0,1618.0
12,66708,South America,Peru,105.0,,,"32,923,430 ",920.0,24936.0,119959,3456.0,49795.0,820967.0,3644.0
13,34290,North America,Canada,170.0,,,"37,708,187 ",502.0,38700.0,84699,6424.0,43985.0,1459288.0,2246.0
14,28650,Asia,Saudi Arabia,11.0,,,"34,756,224 ",372.0,20242.0,72560,390.0,43520.0,703534.0,2088.0
15,40236,South America,Chile,38.0,,,"19,099,374 ",1090.0,24700.0,69102,718.0,28148.0,471758.0,3618.0
16,13802,North America,Mexico,57.0,2764.0,215.0,"128,792,446 ",378.0,1702.0,68620,7394.0,47424.0,219164.0,533.0
17,32540,Europe,Belgium,801.0,,,"11,584,564 ",256.0,67442.0,57092,9280.0,15272.0,781284.0,4928.0
18,37700,Asia,Pakistan,5.0,1748.0,34.0,"220,427,217 ",111.0,2194.0,56349,1167.0,17482.0,483656.0,256.0
19,0,Europe,Netherlands,340.0,,,"17,131,112 ",223.0,18315.0,45236,5822.0,0.0,313755.0,2641.0
20,34521,Asia,Qatar,8.0,,,"2,875,845 ",188.0,65422.0,43714,23.0,9170.0,188143.0,15200.0
21,30088,South America,Ecuador,176.0,,,"17,614,626 ",208.0,6022.0,36756,3108.0,3560.0,106079.0,2087.0
22,21844,Europe,Belarus,21.0,,,"9,449,627 ",92.0,47687.0,36198,199.0,14155.0,450627.0,3831.0
23,26229,Asia,Bangladesh,3.0,,,"164,519,918 ",1.0,1481.0,33610,480.0,6901.0,243583.0,204.0
24,24490,Europe,Sweden,396.0,,,"10,092,886 ",249.0,20797.0,33459,3998.0,4971.0,209900.0,3315.0
25,16717,Asia,Singapore,4.0,,,"5,845,641 ",8.0,50365.0,31616,23.0,14876.0,294414.0,5408.0
26,730,Europe,Switzerland,220.0,,,"8,648,175 ",50.0,42837.0,30736,1906.0,28100.0,370464.0,3554.0
27,11758,Europe,Portugal,129.0,,,"10,199,578 ",78.0,67621.0,30623,1316.0,17549.0,689705.0,3002.0
28,14184,Asia,UAE,25.0,,,"9,877,923 ",1.0,162071.0,29485,245.0,15056.0,1600923.0,2985.0
29,1971,Europe,Ireland,326.0,,,"4,932,053 ",54.0,59940.0,24639,1608.0,21060.0,295626.0,4996.0
30,11054,Africa,South Africa,7.0,,,"59,230,390 ",128.0,9857.0,22583,429.0,11100.0,583855.0,381.0
31,15497,Asia,Indonesia,5.0,,,"273,223,931 ",,910.0,22271,1372.0,5402.0,248555.0,82.0
32,11136,Europe,Poland,26.0,,,"37,850,650 ",160.0,20276.0,21326,996.0,9194.0,767441.0,563.0
33,15029,Asia,Kuwait,37.0,,,"4,263,883 ",177.0,63578.0,21302,156.0,6117.0,271089.0,4996.0
34,15432,South America,Colombia,14.0,,,"50,826,673 ",136.0,4973.0,21175,727.0,5016.0,252742.0,417.0
35,13261,Europe,Ukraine,14.0,,,"43,758,701 ",256.0,6527.0,20986,617.0,7108.0,285626.0,480.0
36,5486,Europe,Romania,62.0,,,"19,249,829 ",188.0,19142.0,18070,1185.0,11399.0,368482.0,939.0
37,11694,Africa,Egypt,7.0,,,"102,125,693 ",41.0,1322.0,17265,764.0,4807.0,135000.0,169.0
38,2285,Asia,Israel,30.0,,,"9,197,590 ",45.0,58438.0,16717,279.0,14153.0,537489.0,1818.0
39,2317,Asia,Japan,6.0,,,"126,513,796 ",168.0,2144.0,16550,820.0,13413.0,271201.0,131.0
40,800,Europe,Austria,71.0,,,"9,001,207 ",29.0,44645.0,16503,640.0,15063.0,401857.0,1833.0
41,6210,North America,Dominican Republic,42.0,,,"10,836,671 ",113.0,6031.0,14801,458.0,8133.0,65355.0,1366.0
42,9918,Asia,Philippines,8.0,,,"109,427,802 ",81.0,2701.0,14035,868.0,3249.0,295593.0,128.0
43,7892,South America,Argentina,10.0,,,"45,153,114 ",171.0,2866.0,12076,452.0,3732.0,129418.0,267.0
44,898,Europe,Denmark,97.0,,,"5,790,165 ",21.0,92872.0,11360,562.0,9900.0,537742.0,1962.0
45,713,Asia,S. Korea,5.0,16.0,1.0,"51,264,841 ",15.0,16121.0,11206,267.0,10226.0,826437.0,219.0
46,5064,Europe,Serbia,27.0,,,"8,740,747 ",12.0,24924.0,11159,238.0,5857.0,217856.0,1277.0
47,4341,North America,Panama,71.0,,,"4,307,539 ",72.0,13520.0,10926,306.0,6279.0,58240.0,2536.0
48,9289,Asia,Afghanistan,6.0,,,"38,831,756 ",19.0,774.0,10582,218.0,1075.0,30052.0,273.0
49,4537,Asia,Bahrain,8.0,,,"1,694,642 ",8.0,163192.0,9138,14.0,4587.0,276552.0,5392.0
50,2562,Europe,Czechia,29.0,,,"10,707,014 ",29.0,37349.0,8955,315.0,6078.0,399896.0,836.0
51,4144,Asia,Kazakhstan,2.0,209.0,,"18,753,268 ",31.0,35822.0,8531,35.0,4352.0,671774.0,455.0
52,390,Europe,Norway,43.0,,,"5,416,911 ",12.0,42417.0,8352,235.0,7727.0,229769.0,1542.0
53,2922,Africa,Algeria,14.0,,,"43,765,771 ",22.0,,8306,600.0,4784.0,,190.0
54,5350,Africa,Nigeria,1.0,,,"205,570,171 ",7.0,216.0,7839,226.0,2263.0,44458.0,38.0
55,5800,Asia,Oman,7.0,,,"5,092,104 ",31.0,14140.0,7770,37.0,1933.0,72000.0,1526.0
