#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1223915,North America,North America,,3774.0,378.0,"+3,155",,19439.0,,2307110,136763.0,946432.0,,
,"
 ",,,565213,South America,South America,,308.0,10.0,73,,11792.0,,1176584,51337.0,560034.0,,
,"
",,,840903,Europe,Europe,,,,,,7117.0,,2109178,179360.0,1088915.0,,
,"
",,,518713,Asia,Asia,,6412.0,116.0,"+1,512",,14957.0,,1398894,35755.0,844426.0,,
,"
",,,105398,Africa,Africa,,,,,,490.0,,199000,5390.0,88212.0,,
,"
",,,446,Australia/Oceania,Oceania,,2.0,,13,,2.0,,8877,124.0,8307.0,,
,"
",,,3254643,All,World,52.4,10496.0,504.0,"+4,753",,53801.0,,7200364,408744.0,3536977.0,,924.0
1,163,"2,927",15,1139958,North America,USA,342.0,,,,"330,885,824 ",16907.0,65657.0,2026493,113055.0,773480.0,21725064.0,6124.0
2,299,"5,694",213,347973,South America,Brazil,176.0,,,,"212,467,494 ",8318.0,4706.0,710887,37312.0,325602.0,999836.0,3346.0
3,306,"24,440",11,239999,Europe,Russia,41.0,,,,"145,930,871 ",2300.0,89193.0,476658,5971.0,230688.0,13016023.0,3266.0
4,162,"1,723",10,0,Europe,Spain,580.0,,,N/A,"46,753,739 ",617.0,95508.0,288797,27136.0,0.0,4465338.0,6177.0
5,236,"1,672",12,0,Europe,UK,598.0,,,N/A,"67,864,660 ",516.0,84456.0,287399,40597.0,0.0,5731576.0,4235.0
6,"5,165","184,552",281,130358,Asia,India,5.0,1118.0,,120,"1,379,159,619 ",8944.0,3565.0,267046,7473.0,129215.0,4916116.0,194.0
7,257,"1,780",14,34730,Europe,Italy,562.0,,,,"60,466,843 ",283.0,70064.0,235278,33964.0,166584.0,4236535.0,3891.0
8,165,"5,913",27,104569,South America,Peru,169.0,,,,"32,942,259 ",1062.0,36548.0,199696,5571.0,89556.0,1203985.0,6062.0
9,450,"9,538",19,7822,Europe,Germany,105.0,,,,"83,768,186 ",540.0,51916.0,186205,8783.0,169600.0,4348880.0,2223.0
10,483,"10,050",76,29121,Asia,Iran,100.0,,,,"83,924,324 ",2619.0,13193.0,173832,8351.0,136360.0,1107254.0,2071.0
11,493,"17,890",35,25030,Asia,Turkey,56.0,,,,"84,282,117 ",625.0,28214.0,171121,4711.0,141380.0,2377954.0,2030.0
12,423,"2,234",47,53917,Europe,France,448.0,,,,"65,265,090 ",1024.0,21216.0,154188,29209.0,71062.0,1384633.0,2362.0
13,138,"8,439",26,40951,South America,Chile,118.0,,,,"19,106,092 ",1558.0,38146.0,138846,2264.0,95631.0,728815.0,7267.0
14,"1,073","9,169",374,18416,North America,Mexico,109.0,2999.0,354.0,"+3,214","128,847,928 ",378.0,2673.0,120102,14053.0,87633.0,344375.0,932.0
15,"2,037","101,567",302,71127,Asia,Pakistan,10.0,4646.0,105.0,663,"220,603,292 ",111.0,3311.0,108317,2172.0,35018.0,730453.0,491.0
16,330,"46,620",36,30013,Asia,Saudi Arabia,21.0,,,,"34,778,459 ",1632.0,28087.0,105283,746.0,74524.0,976815.0,3027.0
17,392,"4,815",20,33576,North America,Canada,208.0,,,,"37,721,735 ",1828.0,51168.0,96244,7835.0,54833.0,1930141.0,2551.0
18,40,"49,260",11,24166,Asia,Qatar,20.0,,,,"2,807,805 ",241.0,92473.0,70158,57.0,45935.0,259646.0,24987.0
19,"2,403","176,975",401,53014,Asia,Bangladesh,6.0,,,,"164,587,111 ",1.0,2496.0,68504,930.0,14560.0,410841.0,416.0
20,195,"1,206",12,33427,Europe,Belgium,829.0,,,,"11,586,627 ",116.0,81963.0,59348,9606.0,16315.0,949675.0,5122.0
21,"1,165","54,871",63,23700,Africa,South Africa,18.0,,,,"59,261,034 ",208.0,15914.0,50879,1080.0,26099.0,943059.0,859.0
22,191,"34,237",15,25297,Europe,Belarus,29.0,,,,"9,449,500 ",92.0,66987.0,49453,276.0,23880.0,632993.0,5233.0
23,359,"2,848",41,0,Europe,Netherlands,351.0,,,N/A,"17,132,661 ",92.0,24196.0,47739,6016.0,0.0,414550.0,2786.0
24,224,"2,151",37,0,Europe,Sweden,465.0,,,N/A,"10,095,462 ",298.0,27289.0,45133,4694.0,0.0,275500.0,4471.0
25,406,"4,840",138,18716,South America,Ecuador,207.0,,,,"17,625,612 ",228.0,7238.0,43378,3642.0,21020.0,127576.0,2461.0
26,"1,249","38,875",121,22984,South America,Colombia,26.0,,,,"50,848,887 ",335.0,8294.0,40719,1308.0,16427.0,421725.0,801.0
27,251,"35,170",4,16820,Asia,UAE,28.0,,,,"9,882,820 ",1.0,252964.0,39376,281.0,22275.0,2500000.0,3984.0
28,153,"233,901",14,12903,Asia,Singapore,4.0,,,,"5,847,525 ",4.0,69858.0,38296,25.0,25368.0,408495.0,6549.0
29,"2,884","80,413",757,24798,Africa,Egypt,12.0,,,,"102,204,915 ",41.0,1321.0,35444,1271.0,9375.0,135000.0,347.0
30,292,"6,868",12,12244,Europe,Portugal,146.0,,,,"10,198,365 ",55.0,85700.0,34885,1485.0,21156.0,873998.0,3421.0
31,131,"15,860",13,10999,Asia,Kuwait,63.0,,,,"4,266,472 ",166.0,74601.0,32510,269.0,21242.0,318284.0,7620.0
32,"8,533","145,163",662,19246,Asia,Indonesia,7.0,,,,"273,342,397 ",,1511.0,32033,1883.0,10904.0,412980.0,117.0
33,279,"4,499",20,349,Europe,Switzerland,222.0,,,,"8,650,765 ",29.0,49146.0,30972,1923.0,28700.0,425154.0,3580.0
34,"1,593","54,891",101,14470,Europe,Ukraine,18.0,,,,"43,747,990 ",304.0,9854.0,27462,797.0,12195.0,431085.0,628.0
35,"1,394","32,461",35,12996,Europe,Poland,31.0,,,,"37,848,958 ",160.0,28300.0,27160,1166.0,12998.0,1071140.0,718.0
36,196,"2,932",14,826,Europe,Ireland,341.0,,,,"4,934,313 ",34.0,70611.0,25207,1683.0,22698.0,348416.0,5109.0
37,"1,912","65,181",228,15622,South America,Argentina,15.0,,,,"45,170,095 ",274.0,4395.0,23620,693.0,7305.0,198520.0,523.0
38,"4,872","108,296",248,16826,Asia,Philippines,9.0,,,,"109,487,582 ",82.0,4032.0,22474,1011.0,4637.0,441487.0,205.0
39,"1,831","103,372",794,18419,Asia,Afghanistan,10.0,305.0,7.0,256,"38,867,774 ",19.0,1260.0,21222,376.0,2427.0,48969.0,546.0
40,934,"14,372",38,4439,Europe,Romania,70.0,,,,"19,244,598 ",146.0,26299.0,20604,1339.0,14826.0,506115.0,1071.0
41,539,"20,113",115,7429,North America,Dominican Republic,50.0,,,,"10,841,126 ",110.0,8718.0,20126,539.0,12158.0,94511.0,1856.0
42,508,"30,864",14,2654,Asia,Israel,32.0,57.0,,35,"9,197,590 ",29.0,73716.0,18089,298.0,15137.0,678009.0,1967.0
43,292,"62,931",46,13612,Asia,Oman,16.0,,,,"5,097,444 ",75.0,21849.0,17486,81.0,3793.0,111376.0,3430.0
44,"7,366","138,098",399,1110,Asia,Japan,7.0,,,,"126,497,998 ",99.0,2505.0,17174,916.0,15148.0,316848.0,136.0
45,531,"13,398",18,457,Europe,Austria,75.0,,,,"9,003,309 ",17.0,54953.0,16968,672.0,15839.0,494761.0,1885.0
46,256,"10,830",59,6055,North America,Panama,92.0,,,,"4,310,325 ",87.0,16866.0,16854,398.0,10401.0,72697.0,3910.0
