#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
188,Saint Martin,2133,,12.0,,1399,,722,7.0,54264.0,305.0,27588.0,701842.0,"39,308 ",North America,18,"3,276",1,,,"18,368",Dummy,Dummy
189,Laos,2080,4.0,3.0,,1962,2,115,,282.0,0.4,286644.0,38849.0,"7,378,383 ",Asia,"3,547","2,459,461",26,0.5,,16,Dummy,Dummy
190,Bhutan,1970,,1.0,,1702,,267,,2526.0,1.0,798573.0,1023955.0,"779,891 ",Asia,396,"779,891",1,,,342,Dummy,Dummy
191,Mauritius,1779,,18.0,,1331,,430,,1397.0,14.0,358675.0,281572.0,"1,273,830 ",Africa,716,"70,768",4,,,338,Dummy,Dummy
192,Caribbean Netherlands,1634,,17.0,,1609,,8,,61751.0,642.0,8550.0,323117.0,"26,461 ",North America,16,"1,557",3,,,302,Dummy,Dummy
193,Isle of Man,1603,,29.0,,1569,,5,1.0,18755.0,339.0,66925.0,783005.0,"85,472 ",Europe,53,"2,947",1,,,58,Dummy,Dummy
194,Antigua and Barbuda,1263,,42.0,,1221,,0,,12794.0,425.0,16700.0,169165.0,"98,720 ",North America,78,"2,350",6,,,,Dummy,Dummy
195,St. Barth,1005,,1.0,,462,,542,,101454.0,101.0,26385.0,2663537.0,"9,906 ",North America,10,"9,906",0,,,"54,714",Dummy,Dummy
196,Faeroe Islands,770,,1.0,,756,,13,,15700.0,20.0,301402.0,6145543.0,"49,044 ",Europe,64,"49,044",0,,,265,Dummy,Dummy
197,Diamond Princess,712,,13.0,,699,,0,,,,,, ,,,,,,,,Dummy,Dummy
198,Cayman Islands,609,,2.0,,588,,19,,9161.0,30.0,104611.0,1573713.0,"66,474 ",North America,109,"33,237",1,,,286,Dummy,Dummy
199,Tanzania,509,,21.0,,183,,305,7.0,8.0,0.3,,,"61,384,585 ",Africa,"120,598","2,923,075",,,,5,Dummy,Dummy
200,Wallis and Futuna,445,,7.0,,438,,0,,40286.0,634.0,20508.0,1856600.0,"11,046 ",Australia/Oceania,25,"1,578",1,,,,Dummy,Dummy
201,Saint Kitts and Nevis,396,,3.0,,92,,301,1.0,7393.0,56.0,20153.0,376227.0,"53,566 ",North America,135,"17,855",3,,,"5,619",Dummy,Dummy
202,British Virgin Islands,298,,1.0,,293,,4,,9794.0,33.0,53674.0,1764025.0,"30,427 ",North America,102,"30,427",1,,,131,Dummy,Dummy
203,Brunei ,256,,3.0,,245,,8,,580.0,7.0,137767.0,311998.0,"441,564 ",Asia,"1,725","147,188",3,,,18,Dummy,Dummy
204,Dominica,191,,,,189,,2,,2647.0,,17856.0,247447.0,"72,161 ",North America,378,,4,,,28,Dummy,Dummy
205,Grenada,161,,1.0,,160,,0,,1424.0,9.0,28684.0,253769.0,"113,032 ",North America,702,"113,032",4,,,,Dummy,Dummy
206,New Caledonia,129,,,,58,,71,,448.0,,34704.0,120427.0,"288,175 ",Australia/Oceania,"2,234",,8,,,246,Dummy,Dummy
