#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,36453244,6115.0,830579.0,616.0,28198785,"+4,055",7423880,15950.0,,,,,,North America,"
",,
,South America,21956794,1076.0,577701.0,19.0,19677486,"+1,025",1701607,21618.0,,,,,,South America,"
",,
,Asia,30069255,12641.0,440105.0,122.0,27066747,"+8,628",2562403,27196.0,,,,,,Asia,"
",,
,Europe,40850070,29973.0,937310.0,574.0,28978226,"+27,381",10934534,32949.0,,,,,,Europe,"
",,
,Africa,4336627,,114877.0,,3885966,,335784,3240.0,,,,,,Africa,"
",,
,Oceania,58855,29.0,1150.0,,34640,12,23065,6.0,,,,,,Australia/Oceania,"
",,
,World,133725566,49834.0,2901737.0,1331.0,107842556,"+41,101",22981273,100959.0,17156.0,372.3,,,,All,"
",,
1,USA,31637243,,572849.0,,24206539,,6857855,9058.0,95153.0,1723.0,413478674.0,1243583.0,"332,489,703 ",North America,11,580,1
2,Brazil,13197031,,341097.0,,11664158,,1191776,8318.0,61750.0,1596.0,28600000.0,133822.0,"213,716,460 ",South America,16,627,7
3,India,12928574,2513.0,166892.0,,11851393,"+2,488",910289,8944.0,9299.0,120.0,252677379.0,181732.0,"1,390,382,831 ",Asia,108,"8,331",6
4,France,4841308,,97722.0,,301299,,4442287,5626.0,74044.0,1495.0,67791157.0,1036811.0,"65,384,318 ",Europe,14,669,1
5,Russia,4606162,,101480.0,,4229480,,275202,2300.0,31553.0,695.0,122300000.0,837772.0,"145,982,499 ",Europe,32,"1,439",1
6,UK,4367291,,126927.0,,3932777,,307587,469.0,64075.0,1862.0,132141580.0,1938717.0,"68,159,282 ",Europe,16,537,1
7,Italy,3700393,,112374.0,,3040182,,547837,3683.0,61271.0,1861.0,51755739.0,856975.0,"60,393,531 ",Europe,16,537,1
8,Turkey,3633925,,32943.0,,3194978,,406004,2604.0,42735.0,387.0,40385250.0,474936.0,"85,033,013 ",Asia,23,"2,581",2
9,Spain,3326736,,76037.0,,3085059,,165640,2009.0,71132.0,1626.0,43458915.0,929231.0,"46,768,680 ",Europe,14,615,1
10,Germany,2927572,,78174.0,,2631400,"+16,900",217998,4439.0,34856.0,931.0,51559277.0,613878.0,"83,989,395 ",Europe,29,"1,074",2
11,Colombia,2479617,,64767.0,,2345471,,69379,2603.0,48338.0,1263.0,13042268.0,254247.0,"51,297,612 ",South America,21,792,4
12,Poland,2471617,,55703.0,,2054697,,361217,3342.0,65361.0,1473.0,12588747.0,332906.0,"37,814,773 ",Europe,15,679,3
13,Argentina,2450068,,56832.0,,2174625,,218611,3642.0,53832.0,1249.0,9266106.0,203592.0,"45,513,099 ",South America,19,801,5
