#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,23633176,11302.0,518292.0,727.0,14507653,"+8,973",8607231,35050.0,,,,,,North America,"
",,
,Asia,20765170,8047.0,338606.0,180.0,19255743,"+11,075",1170821,24840.0,,,,,,Asia,"
",,
,South America,13257091,861.0,363708.0,10.0,11780229,413,1113154,17160.0,,,,,,South America,"
",,
,Europe,23888772,11682.0,547833.0,296.0,11778338,"+27,729",11562601,27117.0,,,,,,Europe,"
",,
,Africa,2800709,,66224.0,,2324776,,409709,2433.0,,,,,,Africa,"
",,
,Oceania,48453,43.0,1059.0,,33455,8,13939,24.0,,,,,,Australia/Oceania,"
",,
,World,84394092,31935.0,1835737.0,1213.0,59680900,"+48,198",22877455,106624.0,10827.0,235.5,,,,All,"
",,
1,USA,20617346,,356445.0,,12175841,,8085060,29405.0,62104.0,1074.0,254682723.0,767159.0,"331,981,544 ",North America,16,931,1
2,India,10305788,2379.0,149218.0,13.0,9906387,"+4,458",250183,8944.0,7431.0,108.0,173941658.0,125424.0,"1,386,826,962 ",Asia,135,"9,294",8
3,Brazil,7700578,,195441.0,,6756284,,748853,8318.0,36099.0,916.0,28600000.0,134070.0,"213,320,748 ",South America,28,"1,091",7
4,Russia,3186336,,57555.0,,2580138,,548643,2300.0,21829.0,394.0,91100000.0,624117.0,"145,966,142 ",Europe,46,"2,536",2
5,France,2639773,,64765.0,,194221,,2380787,2634.0,40397.0,991.0,35395663.0,541661.0,"65,346,543 ",Europe,25,"1,009",2
6,UK,2542065,,74125.0,,0,N/A,0,1847.0,37347.0,1089.0,54892984.0,806468.0,"68,065,936 ",Europe,27,918,1
7,Turkey,2220855,,21093.0,,2114760,,85002,3891.0,26191.0,249.0,24662670.0,290850.0,"84,795,105 ",Asia,38,"4,020",3
8,Italy,2129376,,74621.0,,1479988,,574767,2553.0,35245.0,1235.0,26756131.0,442859.0,"60,416,758 ",Europe,28,810,2
9,Spain,1936718,,50837.0,,0,N/A,0,2018.0,41415.0,1087.0,27016086.0,577712.0,"46,763,946 ",Europe,24,920,2
10,Germany,1762504,,34388.0,,1368100,"+17,300",360016,5649.0,21002.0,410.0,34801593.0,414703.0,"83,919,309 ",Europe,48,"2,440",2
11,Colombia,1654880,,43495.0,,1520548,,90837,2578.0,32350.0,850.0,8174087.0,159789.0,"51,155,441 ",South America,31,"1,176",6
12,Argentina,1629594,,43319.0,,1426676,,159599,3440.0,35891.0,954.0,4811498.0,105970.0,"45,404,424 ",South America,28,"1,048",9
13,Mexico,1437185,11091.0,126507.0,700.0,1083768,"+8,973",226910,3913.0,11088.0,976.0,3653597.0,28188.0,"129,613,587 ",North America,90,"1,025",35
14,Poland,1305774,,28956.0,,1046281,,230537,1598.0,34521.0,766.0,7250697.0,191688.0,"37,825,604 ",Europe,29,"1,306",5
15,Iran,1231429,,55337.0,,995570,,180522,5013.0,14568.0,655.0,7670268.0,90738.0,"84,532,338 ",Asia,69,"1,528",11
16,South Africa,1073887,,28887.0,,887701,,157299,546.0,17993.0,484.0,6659318.0,111576.0,"59,683,918 ",Africa,56,"2,066",9
17,Ukraine,1069517,5038.0,18731.0,51.0,722615,"+2,606",328171,177.0,24530.0,430.0,5585615.0,128110.0,"43,600,172 ",Europe,41,"2,328",8
18,Peru,1017199,,37724.0,,954982,,24493,1253.0,30637.0,1136.0,5537730.0,166789.0,"33,202,096 ",South America,33,880,6
19,Netherlands,805164,,11529.0,,0,N/A,0,702.0,46937.0,672.0,5770408.0,336388.0,"17,154,042 ",Europe,21,"1,488",3
20,Indonesia,751270,,22329.0,,617936,,111005,,2732.0,81.0,7395959.0,26897.0,"274,977,233 ",Asia,366,"12,315",37
21,Czechia,735469,3441.0,11827.0,78.0,608128,258,115514,868.0,68613.0,1103.0,3819827.0,356359.0,"10,719,029 ",Europe,15,906,3
22,Belgium,648289,1793.0,19581.0,53.0,44787,225,583921,485.0,55814.0,1686.0,6962795.0,599461.0,"11,615,088 ",Europe,18,593,2
23,Romania,636201,,15841.0,,566365,,53995,1111.0,33183.0,826.0,4813406.0,251059.0,"19,172,413 ",Europe,30,"1,210",4
24,Chile,612564,,16660.0,,579203,,16701,794.0,31906.0,868.0,6502011.0,338668.0,"19,198,792 ",South America,31,"1,152",3
25,Iraq,596193,,12824.0,,539817,,43552,153.0,14659.0,315.0,4588559.0,112819.0,"40,671,891 ",Asia,68,"3,172",9
26,Canada,582697,,15606.0,,489819,,77272,711.0,15371.0,412.0,13775115.0,363376.0,"37,908,690 ",North America,65,"2,429",3
27,Bangladesh,514500,,7576.0,,458656,,48268,,3108.0,46.0,3239701.0,19574.0,"165,514,368 ",Asia,322,"21,847",51
28,Pakistan,484362,2184.0,10258.0,82.0,438974,"+1,745",35130,2264.0,2172.0,46.0,6775307.0,30378.0,"223,033,119 ",Asia,460,"21,742",33
29,Philippines,476916,1097.0,9253.0,5.0,439942,47,27721,708.0,4323.0,84.0,6773506.0,61403.0,"110,312,554 ",Asia,231,"11,922",16
30,Switzerland,452296,,7704.0,,317600,,126992,390.0,52069.0,887.0,3559277.0,409748.0,"8,686,508 ",Europe,19,"1,128",2
31,Morocco,440970,,7425.0,,409638,,23907,764.0,11876.0,200.0,4473704.0,120487.0,"37,130,221 ",Africa,84,"5,001",8
32,Sweden,437379,,8727.0,,0,N/A,0,339.0,43172.0,861.0,4272532.0,421728.0,"10,131,016 ",Europe,23,"1,161",2
33,Israel,428510,,3356.0,,379911,,45243,699.0,46589.0,365.0,8099974.0,880663.0,"9,197,590 ",Asia,21,"2,741",1
34,Portugal,420629,,6972.0,,338668,,74989,483.0,41313.0,685.0,5641132.0,554050.0,"10,181,623 ",Europe,24,"1,460",2
35,Austria,362911,,6261.0,,334901,,21749,385.0,40179.0,693.0,3857382.0,427064.0,"9,032,318 ",Europe,25,"1,443",2
36,Saudi Arabia,362878,,6230.0,,354081,,2567,362.0,10343.0,178.0,11046767.0,314854.0,"35,085,308 ",Asia,97,"5,632",3
37,Serbia,339997,,3250.0,,31536,,305211,283.0,38993.0,373.0,2305585.0,264417.0,"8,719,500 ",Europe,26,"2,683",4
38,Hungary,326688,1410.0,9781.0,114.0,164403,"+7,340",152504,402.0,33861.0,1014.0,2685944.0,278397.0,"9,647,908 ",Europe,30,986,4
