#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39909929,3848.0,901061.0,228.0,32811255,"+2,181",6197613,13447.0,,,,,,North America,"
",,,,,
,Asia,51916078,12043.0,699265.0,181.0,48249499,"+20,041",2967314,29221.0,,,,,,Asia,"
",,,,,
,South America,29322808,2429.0,908019.0,100.0,26453650,"+1,698",1961139,30679.0,,,,,,South America,"
",,,,,
,Europe,46773455,4295.0,1075968.0,108.0,43838125,"+16,632",1859362,13177.0,,,,,,Europe,"
",,,,,
,Africa,4923889,,131879.0,,4437544,,354466,2394.0,,,,,,Africa,"
",,,,,
,Oceania,69034,6.0,1252.0,,66579,1,1203,4.0,,,,,,Australia/Oceania,"
",,,,,
,World,172915914,22621.0,3717459.0,617.0,155857358,"+40,553",13341097,88922.0,22183.0,476.9,,,,All,"
",,,,,
1,USA,34174752,,611611.0,,28025575,,5537566,5807.0,102691.0,1838.0,482399824.0,1449556.0,"332,791,423 ",North America,10,544,1,,,"16,640"
2,India,28574350,1991.0,340719.0,,26597655,"+8,847",1635976,8944.0,20520.0,245.0,357433846.0,256686.0,"1,392,494,128 ",Asia,49,"4,087",4,1,,"1,175"
3,Brazil,16803472,,469784.0,,15228983,,1104705,8318.0,78539.0,2196.0,49612384.0,231886.0,"213,951,414 ",South America,13,455,4,,,"5,163"
4,France,5694076,,109857.0,,5378299,,205920,2677.0,87056.0,1680.0,85454984.0,1306516.0,"65,406,747 ",Europe,11,595,1,,,"3,148"
5,Turkey,5270299,,47882.0,,5139993,,82424,1219.0,61877.0,562.0,54809788.0,643502.0,"85,174,270 ",Asia,16,"1,779",2,,,968
6,Russia,5099182,,122660.0,,4711982,,264540,2300.0,34928.0,840.0,139200000.0,953476.0,"145,992,211 ",Europe,29,"1,190",1,,,"1,812"
7,UK,4499878,,127812.0,,4296244,,75822,129.0,65966.0,1874.0,185735080.0,2722801.0,"68,214,706 ",Europe,15,534,0,,,"1,112"
8,Italy,4225163,,126342.0,,3893259,,205562,892.0,69977.0,2092.0,66717978.0,1104973.0,"60,379,739 ",Europe,14,478,1,,,"3,404"
9,Argentina,3884447,,79873.0,,3438437,,366137,7698.0,85227.0,1752.0,14294513.0,313630.0,"45,577,625 ",South America,12,571,3,,,"8,033"
10,Germany,3701690,,89605.0,,3527000,"+8,400",85085,2036.0,44051.0,1066.0,60408571.0,718884.0,"84,031,009 ",Europe,23,938,1,,,"1,013"
11,Spain,3693012,,80099.0,,3464896,,148017,1205.0,78959.0,1713.0,49708830.0,1062802.0,"46,771,491 ",Europe,13,584,1,,,"3,165"
12,Colombia,3488046,,90353.0,,3242060,,155633,6582.0,67885.0,1758.0,17305168.0,336794.0,"51,382,025 ",South America,15,569,3,,,"3,029"
13,Iran,2945100,,80658.0,,2508907,,355535,3924.0,34656.0,949.0,20310621.0,239000.0,"84,981,739 ",Asia,29,"1,054",4,,,"4,184"
14,Poland,2874092,,74075.0,,2642127,,157890,527.0,76017.0,1959.0,16131930.0,426676.0,"37,808,343 ",Europe,13,510,2,,,"4,176"
15,Mexico,2426822,2894.0,228362.0,216.0,1934541,"+2,084",263919,4798.0,18642.0,1754.0,7095414.0,54505.0,"130,179,509 ",North America,54,570,18,22,2,"2,027"
16,Ukraine,2211683,2266.0,51054.0,95.0,2080382,"+8,291",80247,177.0,50854.0,1174.0,10261649.0,235949.0,"43,490,915 ",Europe,20,852,4,52,2,"1,845"
17,Peru,1968693,,185380.0,,0,N/A,0,2654.0,58953.0,5551.0,13025140.0,390043.0,"33,394,149 ",South America,17,180,3,,,"1,876"
18,Indonesia,1837126,,51095.0,,1691593,,94438,,6652.0,185.0,16985321.0,61500.0,"276,185,590 ",Asia,150,"5,405",16,,,342
19,South Africa,1680373,,56765.0,,1567635,,55973,546.0,28008.0,946.0,11757176.0,195964.0,"59,996,485 ",Africa,36,"1,057",5,,,933
20,Czechia,1663040,430.0,30142.0,,1623286,35,9612,74.0,155029.0,2810.0,25139419.0,2343497.0,"10,727,309 ",Europe,6,356,0,40,,896
21,Netherlands,1657017,,17658.0,,1506869,,132490,391.0,96507.0,1028.0,14036639.0,817517.0,"17,169,846 ",Europe,10,972,1,,,"7,716"
22,Chile,1403101,,29598.0,,1327643,,45860,3219.0,72823.0,1536.0,14981086.0,777539.0,"19,267,310 ",South America,14,651,1,,,"2,380"
23,Canada,1387445,,25644.0,,1334011,,27790,981.0,36467.0,674.0,35017704.0,920383.0,"38,046,873 ",North America,27,"1,484",1,,,730
24,Philippines,1247899,,21357.0,,1170752,,55790,1704.0,11250.0,193.0,13562756.0,122273.0,"110,922,316 ",Asia,89,"5,194",8,,,503
25,Iraq,1214367,,16462.0,,1129221,,68684,390.0,29583.0,401.0,10573355.0,257572.0,"41,050,117 ",Asia,34,"2,494",4,,,"1,673"
26,Romania,1078338,,30499.0,,1041256,,6583,365.0,56401.0,1595.0,9136435.0,477871.0,"19,119,059 ",Europe,18,627,2,,,344
27,Sweden,1076993,,14474.0,,981005,,81514,175.0,106031.0,1425.0,10016375.0,986126.0,"10,157,294 ",Europe,9,702,1,,,"8,025"
28,Belgium,1066957,1599.0,24995.0,13.0,970607,,71355,377.0,91693.0,2148.0,14116369.0,1213150.0,"11,636,125 ",Europe,11,466,1,137,1,"6,132"
29,Pakistan,928588,1893.0,21105.0,83.0,856005,"+3,431",51478,3557.0,4130.0,94.0,13420779.0,59693.0,"224,829,078 ",Asia,242,"10,653",17,8,0.4,229
30,Portugal,851031,,17029.0,,810659,,23343,52.0,83687.0,1675.0,11815476.0,1161883.0,"10,169,249 ",Europe,12,597,1,,,"2,295"
31,Israel,839532,,6416.0,,832918,,198,41.0,90021.0,688.0,14739061.0,1580427.0,"9,326,000 ",Asia,11,"1,454",1,,,21
32,Bangladesh,805980,,12724.0,,746035,,47221,1124.0,4849.0,77.0,6002994.0,36119.0,"166,199,732 ",Asia,206,"13,062",28,,,284
33,Hungary,805302,,29792.0,,708198,,67312,77.0,83558.0,3091.0,5866214.0,608674.0,"9,637,697 ",Europe,12,323,2,,,"6,984"
34,Japan,752191,,13245.0,,690623,,48323,1227.0,5964.0,105.0,14600561.0,115768.0,"126,118,844 ",Asia,168,"9,522",9,,,383
35,Jordan,738521,,9500.0,,719049,,9972,637.0,71726.0,923.0,7358332.0,714653.0,"10,296,375 ",Asia,14,"1,084",1,,,968
36,Serbia,713207,,6890.0,,699009,,7308,36.0,81932.0,792.0,4185210.0,480790.0,"8,704,857 ",Europe,12,"1,263",2,,,840
37,Switzerland,696801,,10828.0,,654799,,31174,109.0,79973.0,1243.0,7773369.0,892165.0,"8,712,927 ",Europe,13,805,1,,,"3,578"
38,Austria,645834,,10627.0,,630731,,4476,128.0,71333.0,1174.0,43729103.0,4829939.0,"9,053,759 ",Europe,14,852,0,,,494
39,Malaysia,595374,,3096.0,,508947,,83331,880.0,18181.0,95.0,12371406.0,377783.0,"32,747,402 ",Asia,55,"10,577",3,,,"2,545"
40,UAE,576947,,1689.0,,556549,,18709,,57693.0,169.0,51004376.0,5100268.0,"10,000,333 ",Asia,17,"5,921",0,,,"1,871"
41,Nepal,576936,,7630.0,,467467,,101839,,19479.0,258.0,3106938.0,104900.0,"29,618,026 ",Asia,51,"3,882",10,,,"3,438"
42,Lebanon,541009,,7747.0,,521458,,11804,150.0,79593.0,1140.0,4413485.0,649309.0,"6,797,204 ",Asia,13,877,2,,,"1,737"
43,Morocco,520423,,9165.0,,508210,,3048,113.0,13947.0,246.0,6507998.0,174416.0,"37,313,058 ",Africa,72,"4,071",6,,,82
44,Saudi Arabia,454217,,7408.0,,436884,,9925,1516.0,12863.0,210.0,19496450.0,552118.0,"35,312,109 ",Asia,78,"4,767",2,,,281
45,Ecuador,429817,,20706.0,,375151,,33960,502.0,24027.0,1157.0,1435768.0,80259.0,"17,889,280 ",South America,42,864,12,,,"1,898"
46,Bulgaria,419180,,17792.0,,385271,,16117,309.0,60750.0,2579.0,2878511.0,417170.0,"6,900,083 ",Europe,16,388,2,,,"2,336"
47,Greece,406751,,12184.0,,376784,,17783,476.0,39201.0,1174.0,9673644.0,932309.0,"10,376,009 ",Europe,26,852,1,,,"1,714"
48,Belarus,396869,,2882.0,,388632,,5355,,42012.0,305.0,6378212.0,675196.0,"9,446,454 ",Europe,24,"3,278",1,,,567
49,Kazakhstan,391695,1319.0,4022.0,15.0,363604,"+1,586",24069,221.0,20634.0,212.0,11575012.0,609746.0,"18,983,330 ",Asia,48,"4,720",2,69,0.8,"1,268"
50,Slovakia,390129,,12375.0,,376016,,1738,69.0,71425.0,2266.0,2848668.0,521535.0,"5,462,083 ",Europe,14,441,2,,,318
51,Bolivia,380457,2429.0,14832.0,100.0,301160,"+1,698",64465,200.0,32189.0,1255.0,1521791.0,128753.0,"11,819,434 ",South America,31,797,8,206,8,"5,454"
52,Panama,380207,,6388.0,,367007,,6812,105.0,86861.0,1459.0,2689180.0,614363.0,"4,377,182 ",North America,12,685,2,,,"1,556"
53,Paraguay,364702,,9498.0,,299594,,55610,587.0,50561.0,1317.0,1325161.0,183715.0,"7,213,132 ",South America,20,759,5,,,"7,710"
