#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,38031205,1556.0,856506.0,223.0,29732806,"+3,244",7441893,17599.0,,,,,,North America,"
",,,,,
,Asia,37505612,21670.0,500168.0,217.0,32192064,"+23,079",4813380,31070.0,,,,,,Asia,"
",,,,,
,South America,24345891,1119.0,654285.0,37.0,21995181,"+1,040",1696425,27484.0,,,,,,South America,"
",,,,,
,Europe,44011039,12145.0,1001474.0,499.0,38612757,"+43,611",4396808,31363.0,,,,,,Europe,"
",,,,,
,Africa,4551934,,120738.0,,4070229,,360967,3820.0,,,,,,Africa,"
",,,,,
,Oceania,62608,37.0,1190.0,,44682,5,16736,7.0,,,,,,Australia/Oceania,"
",,,,,
,World,148509010,36527.0,3134376.0,976.0,126648425,"+70,979",18726209,111343.0,19052.0,402.1,,,,All,"
",,,,,
1,USA,32875045,,586611.0,,25475789,,6812645,9884.0,98845.0,1764.0,441188845.0,1326524.0,"332,590,277 ",North America,10,567,1,,,"20,484"
2,India,17636307,10572.0,197894.0,14.0,14556209,"+10,867",2882204,8944.0,12678.0,142.0,280979877.0,201986.0,"1,391,086,597 ",Asia,79,"7,029",5,8,0.01,"2,072"
3,Brazil,14370456,,392204.0,,12879051,,1099201,8318.0,67216.0,1834.0,43538104.0,203644.0,"213,794,778 ",South America,15,545,5,,,"5,141"
4,France,5503996,,103256.0,,4405319,,995421,6001.0,84170.0,1579.0,74886627.0,1145199.0,"65,391,794 ",Europe,12,633,1,,,"15,222"
5,Russia,4771372,,108588.0,,4394639,,268145,2300.0,32684.0,744.0,128000000.0,876798.0,"145,985,737 ",Europe,31,"1,344",1,,,"1,837"
6,Turkey,4667281,,38711.0,,4121671,,506899,3563.0,54857.0,455.0,46153151.0,542467.0,"85,080,099 ",Asia,18,"2,198",2,,,"5,958"
7,UK,4406946,,127434.0,,4197672,,81840,243.0,64639.0,1869.0,151605651.0,2223682.0,"68,177,756 ",Europe,15,535,0,,,"1,200"
8,Italy,3971114,,119539.0,,3398763,,452812,2849.0,65759.0,1979.0,57271836.0,948383.0,"60,388,934 ",Europe,15,505,1,,,"7,498"
9,Spain,3488469,,77738.0,,3182894,,227837,2356.0,74588.0,1662.0,46199597.0,987812.0,"46,769,617 ",Europe,13,602,1,,,"4,871"
10,Germany,3307769,,82344.0,,2931400,"+21,300",294025,5049.0,39377.0,980.0,54061332.0,643562.0,"84,003,266 ",Europe,25,"1,020",2,,,"3,500"
11,Argentina,2879677,,62087.0,,2542004,,275586,5036.0,63242.0,1364.0,10800832.0,237201.0,"45,534,608 ",South America,16,733,4,,,"6,052"
12,Colombia,2787303,,71799.0,,2602489,,113015,6006.0,54306.0,1399.0,14467329.0,281873.0,"51,325,750 ",South America,18,715,4,,,"2,202"
13,Poland,2762323,,65437.0,,2455005,,241881,3101.0,73053.0,1731.0,14057613.0,371770.0,"37,812,630 ",Europe,14,578,3,,,"6,397"
14,Iran,2417230,,70070.0,,1892229,,454931,5244.0,28482.0,826.0,15313657.0,180436.0,"84,870,123 ",Asia,35,"1,211",6,,,"5,360"
15,Mexico,2329534,1143.0,215113.0,166.0,1853789,"+3,109",260632,4798.0,17914.0,1654.0,6544421.0,50327.0,"130,038,953 ",North America,56,605,20,9,1,"2,004"
16,Ukraine,2038248,7915.0,42950.0,432.0,1596829,"+17,391",398469,177.0,46837.0,987.0,9256290.0,212700.0,"43,518,051 ",Europe,21,"1,013",5,182,10,"9,156"
17,Peru,1768186,,60013.0,,1714995,,-6822,2628.0,53025.0,1800.0,10899191.0,326847.0,"33,346,450 ",South America,19,556,3,,,-204.58
18,Indonesia,1647138,,44770.0,,1501715,,100653,,5970.0,162.0,14337492.0,51969.0,"275,885,475 ",Asia,167,"6,162",19,,,365
19,Czechia,1622777,2560.0,29075.0,26.0,1541963,169,51739,694.0,151304.0,2711.0,17124014.0,1596607.0,"10,725,253 ",Europe,7,369,1,239,2,"4,824"
20,South Africa,1576320,,54186.0,,1501880,,20254,546.0,26308.0,904.0,10545817.0,176002.0,"59,918,854 ",Africa,38,"1,106",6,,,338
21,Netherlands,1467337,,17062.0,,1227945,,222330,820.0,85480.0,994.0,12274847.0,715071.0,"17,165,921 ",Europe,12,"1,006",1,,,"12,952"
22,Canada,1187918,,24024.0,,1078715,,85179,1355.0,31251.0,632.0,30960379.0,814478.0,"38,012,553 ",North America,32,"1,582",1,,,"2,241"
23,Chile,1175614,,25975.0,,1106862,,42777,3363.0,61070.0,1349.0,12846288.0,667329.0,"19,250,293 ",South America,16,741,1,,,"2,222"
24,Romania,1047520,,27511.0,,975703,,44306,1354.0,54751.0,1438.0,8122474.0,424542.0,"19,132,310 ",Europe,18,695,2,,,"2,316"
25,Iraq,1037858,,15303.0,,913211,,109344,528.0,25341.0,374.0,9155729.0,223549.0,"40,956,178 ",Asia,39,"2,676",4,,,"2,670"
26,Philippines,1006428,,16853.0,,914952,,74623,750.0,9086.0,152.0,11584435.0,104580.0,"110,770,872 ",Asia,110,"6,573",10,,,674
