#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39129052,4214.0,877398.0,297.0,31246641,"+2,450",7005013,16206.0,,,,,,North America,"
",,,,,
,Asia,46108846,10218.0,597361.0,138.0,40272825,"+17,333",5238660,33030.0,,,,,,Asia,"
",,,,,
,South America,26568095,,722949.0,,24060560,,1784586,28240.0,,,,,,South America,"
",,,,,
,Europe,45961357,8427.0,1046719.0,341.0,41613701,"+33,446",3300937,23176.0,,,,,,Europe,"
",,,,,
,Africa,4716638,,126189.0,,4250706,,339743,3019.0,,,,,,Africa,"
",,,,,
,Oceania,65896,5.0,1225.0,,61412,,3259,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,162550605,22864.0,3371856.0,776.0,141506551,"+53,229",17672198,103674.0,20854.0,432.6,,,,All,"
",,,,,
1,USA,33664013,,599314.0,,26712821,,6351878,8346.0,101189.0,1801.0,464099542.0,1395010.0,"332,685,557 ",North America,10,555,1,,,"19,093"
2,India,24372907,664.0,266229.0,,20432898,"+6,575",3673780,8944.0,17512.0,191.0,313017193.0,224909.0,"1,391,753,322 ",Asia,57,"5,228",4,0.5,,"2,640"
3,Brazil,15521313,,432785.0,,14028355,,1060173,8318.0,72574.0,2024.0,46970130.0,219621.0,"213,868,974 ",South America,14,494,5,,,"4,957"
4,France,5848154,,107423.0,,5042411,,698320,4352.0,89423.0,1643.0,80698552.0,1233944.0,"65,398,877 ",Europe,11,609,1,,,"10,678"
5,Turkey,5095390,,44301.0,,4894024,,157065,2670.0,59858.0,520.0,50463016.0,592813.0,"85,124,706 ",Asia,17,"1,922",2,,,"1,845"
6,Russia,4922901,,115116.0,,4537634,,270151,2300.0,33721.0,789.0,132700000.0,908974.0,"145,988,804 ",Europe,30,"1,268",1,,,"1,850"
7,UK,4446824,,127668.0,,4273441,,45715,129.0,65207.0,1872.0,169007195.0,2478284.0,"68,195,259 ",Europe,15,534,0,,,670
8,Italy,4146722,,123927.0,,3683189,,339606,1860.0,68672.0,2052.0,62405408.0,1033466.0,"60,384,578 ",Europe,15,487,1,,,"5,624"
9,Spain,3604799,,79339.0,,3297340,,228120,1899.0,77074.0,1696.0,47213067.0,1009462.0,"46,770,505 ",Europe,13,590,1,,,"4,877"
10,Germany,3585891,,86481.0,,3275500,"+16,500",223910,4376.0,42681.0,1029.0,58093759.0,691457.0,"84,016,407 ",Europe,23,972,1,,,"2,665"
11,Argentina,3269466,,69853.0,,2913144,,286469,5457.0,71770.0,1533.0,12224943.0,268356.0,"45,554,984 ",South America,14,652,4,,,"6,288"
12,Colombia,3084460,,80250.0,,2888990,,115220,6582.0,60065.0,1563.0,15783446.0,307356.0,"51,352,407 ",South America,17,640,3,,,"2,244"
13,Poland,2849014,,71311.0,,2589277,,188426,1690.0,75350.0,1886.0,15078062.0,398779.0,"37,810,599 ",Europe,13,530,3,,,"4,983"
14,Iran,2732152,,76433.0,,2196197,,459522,5468.0,32172.0,900.0,17750149.0,209015.0,"84,922,994 ",Asia,31,"1,111",5,,,"5,411"
15,Mexico,2377995,2880.0,220159.0,258.0,1897587,"+2,104",260249,4798.0,18277.0,1692.0,6829477.0,52492.0,"130,105,532 ",North America,55,591,19,22,2,"2,000"
16,Ukraine,2150244,6796.0,47942.0,322.0,1849803,"+17,202",252499,177.0,49425.0,1102.0,9790291.0,225037.0,"43,505,197 ",Europe,20,907,4,156,7,"5,804"
17,Peru,1879049,,65608.0,,1720665,,92776,2685.0,56311.0,1966.0,11972376.0,358787.0,"33,369,044 ",South America,18,509,3,,,"2,780"
18,Indonesia,1734285,,47823.0,,1592886,,93576,,6283.0,173.0,15410887.0,55831.0,"276,027,635 ",Asia,159,"5,772",18,,,339
19,Czechia,1651178,,29857.0,,1588346,,32975,319.0,153938.0,2784.0,21004062.0,1958197.0,"10,726,227 ",Europe,6,359,1,,,"3,074"
20,South Africa,1608393,,55124.0,,1522165,,31104,546.0,26826.0,919.0,11052993.0,184353.0,"59,955,627 ",Africa,37,"1,088",5,,,519
21,Netherlands,1589282,,17423.0,,1351988,,219871,722.0,92574.0,1015.0,13171698.0,767234.0,"17,167,780 ",Europe,11,985,1,,,"12,807"
22,Canada,1318405,,24869.0,,1220110,,73426,1327.0,34669.0,654.0,33260624.0,874616.0,"38,028,810 ",North America,29,"1,529",1,,,"1,931"
23,Chile,1273516,,27647.0,,1208396,,37473,2976.0,66128.0,1436.0,13816198.0,717413.0,"19,258,354 ",South America,15,697,1,,,"1,946"
24,Iraq,1134859,,15910.0,,1034396,,84553,457.0,27679.0,388.0,9840649.0,240012.0,"41,000,676 ",Asia,36,"2,577",4,,,"2,062"
25,Philippines,1131467,,18958.0,,1053523,,58986,1819.0,10208.0,171.0,12529921.0,113042.0,"110,842,608 ",Asia,98,"5,847",9,,,532
26,Romania,1070605,,29413.0,,1022029,,19163,809.0,55976.0,1538.0,8626765.0,451048.0,"19,126,034 ",Europe,18,650,2,,,"1,002"
27,Sweden,1037126,,14275.0,,878153,,144698,341.0,102141.0,1406.0,8798383.0,866506.0,"10,153,859 ",Europe,10,711,1,,,"14,251"
28,Belgium,1028104,1631.0,24664.0,19.0,905973,,97467,644.0,88375.0,2120.0,13210753.0,1135591.0,"11,633,375 ",Europe,11,472,1,140,2,"8,378"
29,Pakistan,874751,1531.0,19467.0,83.0,783480,"+3,042",71804,4387.0,3895.0,87.0,12410924.0,55259.0,"224,594,312 ",Asia,257,"11,537",18,7,0.4,320
30,Portugal,841379,,16999.0,,802285,,22095,72.0,82724.0,1671.0,11091313.0,1090498.0,"10,170,866 ",Europe,12,598,1,,,"2,172"
31,Israel,839079,,6380.0,,831950,,749,73.0,91228.0,694.0,14487253.0,1575114.0,"9,197,590 ",Asia,11,"1,442",1,,,81
