#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,35882502,6506.0,819934.0,583.0,27585493,"+4,068",7477075,15410.0,,,,,,North America,"
",,
,South America,21171237,992.0,552696.0,18.0,18896026,"+1,106",1722515,21166.0,,,,,,South America,"
",,
,Asia,28500158,9212.0,428178.0,119.0,26099789,"+6,535",1972191,25534.0,,,,,,Asia,"
",,
,Europe,39632405,23180.0,913642.0,471.0,28005848,"+23,097",10712915,31417.0,,,,,,Europe,"
",,
,Africa,4251595,,113036.0,,3814105,,324454,3037.0,,,,,,Africa,"
",,
,Oceania,57059,19.0,1142.0,,34576,9,21341,6.0,,,,,,Australia/Oceania,"
",,
,World,129495677,39909.0,2828643.0,1191.0,104436543,"+34,815",22230491,96570.0,16613.0,362.9,,,,All,"
",,
1,USA,31166344,,565256.0,,23673462,,6927626,8759.0,93747.0,1700.0,403326884.0,1213186.0,"332,452,650 ",North America,11,588,1
2,Brazil,12753258,,321886.0,,11169937,,1261435,8318.0,59682.0,1506.0,28600000.0,133840.0,"213,687,606 ",South America,17,664,7
3,India,12221665,996.0,162960.0,,11474683,"+2,189",584022,8944.0,8792.0,117.0,244798621.0,176098.0,"1,390,123,549 ",Asia,114,"8,530",6
4,France,4644423,,95640.0,,294638,,4254145,5053.0,71036.0,1463.0,63999096.0,978855.0,"65,381,564 ",Europe,14,684,1
5,Russia,4545095,,98850.0,,4166172,,280073,2300.0,31135.0,677.0,120200000.0,823393.0,"145,981,306 ",Europe,32,"1,477",1
6,UK,4345788,,126713.0,,3847351,,371724,568.0,63766.0,1859.0,126220810.0,1852036.0,"68,152,475 ",Europe,16,538,1
7,Italy,3584899,,109346.0,,2913045,,562508,3710.0,59357.0,1811.0,49902657.0,826268.0,"60,395,224 ",Europe,17,552,1
8,Turkey,3317182,,31537.0,,3014226,,271419,2082.0,39018.0,371.0,38578057.0,453776.0,"85,015,665 ",Asia,26,"2,696",2
9,Spain,3284353,,75459.0,,3042352,,166542,1831.0,70226.0,1613.0,42707830.0,913178.0,"46,768,335 ",Europe,14,620,1
10,Germany,2830335,,77039.0,,2535000,"+13,200",218296,3680.0,33701.0,917.0,50399177.0,600102.0,"83,984,285 ",Europe,30,"1,090",2
11,Colombia,2406377,,63422.0,,2285515,,57440,2603.0,46920.0,1237.0,12732774.0,248264.0,"51,287,245 ",South America,21,809,4
12,Argentina,2348821,,55858.0,,2102616,,190347,3638.0,51617.0,1228.0,8880480.0,195153.0,"45,505,175 ",South America,19,815,5
