#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,38258532,5595.0,860891.0,571.0,29946255,"+3,403",7451386,17487.0,,,,,,North America,"
",,,,,
,Asia,39017323,22405.0,515766.0,248.0,33392392,"+21,297",5109165,32309.0,,,,,,Asia,"
",,,,,
,South America,24767116,,668553.0,,22393424,,1705139,27857.0,,,,,,South America,"
",,,,,
,Europe,44471408,17406.0,1011883.0,540.0,39229793,"+47,331",4229732,30305.0,,,,,,Europe,"
",,,,,
,Africa,4587788,,121848.0,,4112028,,353912,3843.0,,,,,,Africa,"
",,,,,
,Oceania,62882,22.0,1194.0,,45144,5,16544,5.0,,,,,,Australia/Oceania,"
",,,,,
,World,151165770,45428.0,3180150.0,1359.0,129119742,"+72,036",18865878,111806.0,19393.0,408.0,,,,All,"
",,,,,
1,USA,33044068,,589207.0,,25641574,,6813287,9751.0,99349.0,1771.0,445132683.0,1338318.0,"332,606,157 ",North America,10,564,1,,,"20,485"
2,India,18762976,7992.0,208330.0,17.0,15384418,"+10,653",3170228,8944.0,13487.0,150.0,286392086.0,205860.0,"1,391,197,718 ",Asia,74,"6,678",5,6,0.01,"2,279"
3,Brazil,14592886,,401417.0,,13152118,,1039351,8318.0,68253.0,1877.0,43818216.0,204943.0,"213,807,144 ",South America,15,533,5,,,"4,861"
4,France,5592390,,104224.0,,4498292,,989874,5804.0,85520.0,1594.0,75604728.0,1156160.0,"65,392,975 ",Europe,12,627,1,,,"15,137"
5,Russia,4796557,,109731.0,,4419540,,267286,2300.0,32856.0,752.0,128800000.0,882275.0,"145,986,248 ",Europe,30,"1,330",1,,,"1,831"
6,Turkey,4788700,,39737.0,,4255714,,493249,3581.0,56280.0,467.0,46996712.0,552334.0,"85,087,533 ",Asia,18,"2,141",2,,,"5,797"
7,UK,4414242,,127502.0,,4210343,,76397,208.0,64743.0,1870.0,155072706.0,2274438.0,"68,180,673 ",Europe,15,535,0,,,"1,121"
8,Italy,4009208,,120544.0,,3449955,,438709,2640.0,66391.0,1996.0,58240981.0,964443.0,"60,388,208 ",Europe,15,501,1,,,"7,265"
9,Spain,3514942,,78080.0,,3192970,,243892,2320.0,75154.0,1669.0,46199597.0,987809.0,"46,769,765 ",Europe,13,599,1,,,"5,215"
10,Germany,3379387,,83338.0,,2995200,"+20,000",300849,5049.0,40228.0,992.0,55490413.0,660557.0,"84,005,456 ",Europe,25,"1,008",2,,,"3,581"
11,Argentina,2954943,,63508.0,,2608077,,283358,5317.0,64890.0,1395.0,11064135.0,242965.0,"45,538,004 ",South America,15,717,4,,,"6,222"
