#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40833394,9176.0,922407.0,267.0,34334147,"+4,460",5576840,10649.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,56934174,18338.0,809329.0,176.0,54147719,"+18,965",1977126,27284.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,33652238,1474.0,1026333.0,54.0,30807190,"+1,486",1818715,28815.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,48531664,2607.0,1109374.0,25.0,45705933,834,1716357,6236.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5826422,,149120.0,,5038523,,638779,4637.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,78527,43.0,1307.0,,69430,,7790,35.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,185857140,31638.0,4017885.0,522.0,170103648,"+25,745",11735607,77656.0,23844.0,515.5,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34643902,,621873.0,,29168313,,4853716,3815.0,104045.0,1868.0,509689652.0,1530731.0,"332,971,397 ",North America,10,535,1,,,"14,577",Dummy,Dummy
2,India,30709557,987.0,405057.0,,29843825,"+7,360",460675,8944.0,22034.0,291.0,425225897.0,305094.0,"1,393,753,499 ",Asia,45,"3,441",3,0.7,,331,Dummy,Dummy
3,Brazil,18909037,,528611.0,,17352670,,1027756,8318.0,88322.0,2469.0,54204686.0,253185.0,"214,091,562 ",South America,11,405,4,,,"4,801",Dummy,Dummy
4,France,5794665,,111259.0,,5638432,,44974,997.0,88576.0,1701.0,95054062.0,1452979.0,"65,420,126 ",Europe,11,588,1,,,687,Dummy,Dummy
5,Russia,5682634,,140041.0,,5121919,,420674,2300.0,38923.0,959.0,153200000.0,1049329.0,"145,998,005 ",Europe,26,"1,043",1,,,"2,881",Dummy,Dummy
6,Turkey,5459923,,50048.0,,5328747,,81128,684.0,64040.0,587.0,62343111.0,731224.0,"85,258,529 ",Asia,16,"1,704",1,,,952,Dummy,Dummy
7,UK,4990916,,128301.0,,4345499,,517116,393.0,73129.0,1880.0,220094105.0,3224928.0,"68,247,765 ",Europe,14,532,0,,,"7,577",Dummy,Dummy
8,Argentina,4593763,,97439.0,,4206478,,289846,5546.0,100705.0,2136.0,17308884.0,379447.0,"45,616,114 ",South America,10,468,3,,,"6,354",Dummy,Dummy
9,Colombia,4426811,,110578.0,,4142384,,173849,8155.0,86071.0,2150.0,20612882.0,400776.0,"51,432,377 ",South America,12,465,2,,,"3,380",Dummy,Dummy
10,Italy,4265714,,127718.0,,4096156,,41840,180.0,70658.0,2116.0,72785735.0,1205630.0,"60,371,513 ",Europe,14,473,1,,,693,Dummy,Dummy
11,Spain,3897996,,80969.0,,3621423,,195604,598.0,83338.0,1731.0,53392296.0,1141515.0,"46,773,168 ",Europe,12,578,1,,,"4,182",Dummy,Dummy
