date,cases
2020-03-13,24093
2020-03-13,24343
2020-03-13,24359
2020-03-13,24368
2020-03-13,24390
2020-03-13,24550
2020-03-13,24561
2020-03-13,24657
2020-03-13,25252
2020-03-13,26054
2020-03-13,26088
2020-03-13,26091
2020-03-13,26118
2020-03-13,28769
2020-03-13,28775
2020-03-13,28794
2020-03-13,28795
2020-03-13,28906
2020-03-13,28924
2020-03-13,28943
2020-03-13,28962
2020-03-13,28973
2020-03-13,29012
2020-03-13,30543
2020-03-13,30694
2020-03-14,30837
2020-03-14,31175
2020-03-14,31183
2020-03-14,31189
2020-03-14,31197
2020-03-14,31231
2020-03-14,31359
2020-03-14,31411
2020-03-14,31439
2020-03-14,32224
2020-03-14,32917
2020-03-14,32974
2020-03-14,32983
2020-03-14,33004
2020-03-14,35551
2020-03-14,35554
2020-03-14,35557
2020-03-14,35569
2020-03-14,35579
2020-03-14,35769
2020-03-14,35788
2020-03-14,35822
2020-03-14,35847
2020-03-14,35856
2020-03-14,35901
2020-03-14,37584
2020-03-14,37736
2020-03-15,37887
2020-03-15,38066
2020-03-15,38076
2020-03-15,38082
2020-03-15,38089
2020-03-15,38153
2020-03-15,38176
2020-03-15,38212
2020-03-15,38239
2020-03-15,39077
2020-03-15,39810
2020-03-15,39848
2020-03-15,39854
2020-03-15,39892
2020-03-15,43389
2020-03-15,43396
2020-03-15,43399
2020-03-15,43400
2020-03-15,43555
2020-03-15,43591
2020-03-15,43648
2020-03-15,43672
2020-03-15,43686
2020-03-15,43726
2020-03-15,45870
2020-03-15,45941
2020-03-16,46146
2020-03-16,46360
2020-03-16,46370
2020-03-16,46381
2020-03-16,46390
2020-03-16,46474
2020-03-16,46522
2020-03-16,46578
2020-03-16,46635
2020-03-16,47559
2020-03-16,48602
2020-03-16,48705
2020-03-16,48713
2020-03-16,48753
2020-03-16,51576
2020-03-16,51581
2020-03-16,51586
2020-03-16,51625
2020-03-16,51636
2020-03-16,51812
2020-03-16,51833
2020-03-16,51909
2020-03-16,51935
2020-03-16,51952
2020-03-16,51990
2020-03-16,53696
2020-03-16,53765
2020-03-17,53921
2020-03-17,54308
2020-03-17,54319
2020-03-17,54327
2020-03-17,54337
2020-03-17,54383
2020-03-17,54440
2020-03-17,54474
2020-03-17,54479
2020-03-17,55689
2020-03-17,56863
2020-03-17,56884
2020-03-17,56895
2020-03-17,56949
2020-03-17,60949
2020-03-17,60954
2020-03-17,60957
2020-03-17,60961
2020-03-17,60969
2020-03-17,61247
2020-03-17,61299
2020-03-17,61385
2020-03-17,61430
2020-03-17,61453
2020-03-17,61487
2020-03-17,63990
2020-03-17,64073
2020-03-18,64389
2020-03-18,64811
2020-03-18,64830
2020-03-18,64843
2020-03-18,64933
2020-03-18,65025
2020-03-18,65045
2020-03-18,65092
2020-03-18,66189
2020-03-18,67333
2020-03-18,67368
2020-03-18,67437
2020-03-18,70963
2020-03-18,70988
2020-03-18,70996
2020-03-18,71055
2020-03-18,71065
2020-03-18,71357
2020-03-18,71418
2020-03-18,71535
2020-03-18,71568
2020-03-18,71581
2020-03-18,71603
2020-03-18,75297
2020-03-18,75416
2020-03-19,75730
2020-03-19,76265
2020-03-19,76276
2020-03-19,76288
2020-03-19,76306
2020-03-19,76394
2020-03-19,76485
2020-03-19,76518
2020-03-19,76568
2020-03-19,77972
2020-03-19,79014
2020-03-19,79045
2020-03-19,79068
2020-03-19,79142
2020-03-19,83349
2020-03-19,83359
2020-03-19,83367
2020-03-19,83437
2020-03-19,83441
2020-03-19,83787
2020-03-19,83836
2020-03-19,84030
2020-03-19,84073
2020-03-19,84083
2020-03-19,84094
2020-03-19,88141
2020-03-19,88286
2020-03-20,88836
2020-03-20,89549
2020-03-20,89562
2020-03-20,89585
2020-03-20,89757
2020-03-20,89793
2020-03-20,89802
2020-03-20,89833
2020-03-20,91694
2020-03-20,97634
2020-03-20,97680
2020-03-20,97692
2020-03-20,97883
2020-03-20,103205
2020-03-20,103220
2020-03-20,103235
2020-03-20,103370
2020-03-20,103382
2020-03-20,103791
2020-03-20,103859
2020-03-20,104002
2020-03-20,104019
2020-03-20,104035
2020-03-20,104068
2020-03-20,108637
2020-03-20,108780
2020-03-21,109233
2020-03-21,109895
2020-03-21,109917
2020-03-21,109939
2020-03-21,109948
2020-03-21,110158
2020-03-21,110262
2020-03-21,110278
2020-03-21,110328
2020-03-21,111945
2020-03-21,115994
2020-03-21,116025
2020-03-21,116043
2020-03-21,116169
2020-03-21,122155
2020-03-21,122180
2020-03-21,122201
2020-03-21,122340
2020-03-21,122349
2020-03-21,122883
2020-03-21,122953
2020-03-21,123188
2020-03-21,123219
2020-03-21,123233
2020-03-21,123255
2020-03-21,128701
2020-03-21,128881
2020-03-22,129256
2020-03-22,129725
2020-03-22,129761
2020-03-22,129841
2020-03-22,129858
2020-03-22,129949
2020-03-22,130020
2020-03-22,130043
2020-03-22,130114
2020-03-22,131961
2020-03-22,135237
2020-03-22,135272
2020-03-22,135300
2020-03-22,135402
2020-03-22,141959
2020-03-22,141972
2020-03-22,142008
2020-03-22,142194
2020-03-22,142211
2020-03-22,142848
2020-03-22,142959
2020-03-22,143219
2020-03-22,143278
2020-03-22,143319
2020-03-22,143361
2020-03-22,148227
2020-03-22,148363
2020-03-23,148970
2020-03-23,149456
2020-03-23,149478
2020-03-23,149507
2020-03-23,149518
2020-03-23,149688
2020-03-23,149757
2020-03-23,149777
2020-03-23,149882
2020-03-23,151441
2020-03-23,154752
2020-03-23,154846
2020-03-23,154882
2020-03-23,155003
2020-03-23,160563
2020-03-23,160578
2020-03-23,160616
2020-03-23,160744
2020-03-23,160761
2020-03-23,161334
2020-03-23,161432
2020-03-23,161752
2020-03-23,161818
2020-03-23,161825
2020-03-23,161856
2020-03-23,166502
2020-03-23,166620
2020-03-24,167475
2020-03-24,168803
2020-03-24,168819
2020-03-24,168890
2020-03-24,168911
2020-03-24,168982
2020-03-24,169047
2020-03-24,169073
2020-03-24,169147
2020-03-24,172985
2020-03-24,177423
2020-03-24,177494
2020-03-24,177514
2020-03-24,177733
2020-03-24,182522
2020-03-24,182563
2020-03-24,182599
2020-03-24,182676
2020-03-24,182683
2020-03-24,183228
2020-03-24,183343
2020-03-24,183803
2020-03-24,183946
2020-03-24,183952
2020-03-24,183980
2020-03-24,191671
2020-03-24,191853
2020-03-25,192649
2020-03-25,193844
2020-03-25,193863
2020-03-25,193939
2020-03-25,193947
2020-03-25,194105
2020-03-25,194236
2020-03-25,194253
2020-03-25,194345
2020-03-25,196791
2020-03-25,199133
2020-03-25,199181
2020-03-25,199220
2020-03-25,199424
2020-03-25,204673
2020-03-25,204690
2020-03-25,204720
2020-03-25,204944
2020-03-25,204959
2020-03-25,205770
2020-03-25,205922
2020-03-25,206224
2020-03-25,206410
2020-03-25,206423
2020-03-25,206461
2020-03-25,215014
2020-03-25,215244
2020-03-26,215850
2020-03-26,217049
2020-03-26,217071
2020-03-26,217107
2020-03-26,217115
2020-03-26,217375
2020-03-26,217508
2020-03-26,217543
2020-03-26,217631
2020-03-26,220562
2020-03-26,225516
2020-03-26,225594
2020-03-26,225629
2020-03-26,225864
2020-03-26,231074
2020-03-26,231098
2020-03-26,231163
2020-03-26,231397
2020-03-26,231402
2020-03-26,232254
2020-03-26,232404
2020-03-26,233037
2020-03-26,233181
2020-03-26,233193
2020-03-26,233241
2020-03-26,242195
2020-03-26,242509
2020-03-27,243650
2020-03-27,245013
2020-03-27,245035
2020-03-27,245112
2020-03-27,245126
2020-03-27,245534
2020-03-27,245687
2020-03-27,245821
2020-03-27,245899
2020-03-27,249821
2020-03-27,255601
2020-03-27,255672
2020-03-27,255711
2020-03-27,255966
2020-03-27,262119
2020-03-27,262142
2020-03-27,262167
2020-03-27,262287
2020-03-27,262292
2020-03-27,263311
2020-03-27,263481
2020-03-27,264030
2020-03-27,264153
2020-03-27,264163
2020-03-27,264212
2020-03-27,273393
2020-03-27,273679
2020-03-28,274347
2020-03-28,275867
2020-03-28,275896
2020-03-28,275987
2020-03-28,276003
2020-03-28,276220
2020-03-28,276389
2020-03-28,276426
2020-03-28,276493
2020-03-28,280302
2020-03-28,286596
2020-03-28,286670
2020-03-28,286713
2020-03-28,287015
2020-03-28,292974
2020-03-28,293010
2020-03-28,293069
2020-03-28,293221
2020-03-28,293231
2020-03-28,294403
2020-03-28,294571
2020-03-28,295295
2020-03-28,295558
2020-03-28,295627
2020-03-28,295682
2020-03-28,303926
2020-03-28,304291
2020-03-29,304885
2020-03-29,305730
2020-03-29,305768
2020-03-29,305839
2020-03-29,305856
2020-03-29,306240
2020-03-29,306395
2020-03-29,306460
2020-03-29,306653
2020-03-29,311264
2020-03-29,315229
2020-03-29,315324
2020-03-29,315389
2020-03-29,315683
2020-03-29,321657
2020-03-29,321682
2020-03-29,321718
2020-03-29,321944
2020-03-29,321946
2020-03-29,323105
2020-03-29,323354
2020-03-29,324256
2020-03-29,324416
2020-03-29,324475
2020-03-29,330899
2020-03-29,331199
2020-03-30,331721
2020-03-30,332406
2020-03-30,332421
2020-03-30,332477
2020-03-30,332512
2020-03-30,332678
2020-03-30,332872
2020-03-30,332911
2020-03-30,335510
2020-03-30,340261
2020-03-30,340356
2020-03-30,340395
2020-03-30,340595
2020-03-30,345812
2020-03-30,345883
2020-03-30,345973
2020-03-30,346092
2020-03-30,346097
2020-03-30,347201
2020-03-30,347425
2020-03-30,348217
2020-03-30,348525
2020-03-30,348566
2020-03-30,348605
2020-03-30,354418
2020-03-30,354698
2020-03-31,355503
2020-03-31,357242
2020-03-31,357255
2020-03-31,357332
2020-03-31,357348
2020-03-31,357521
2020-03-31,357703
2020-03-31,357739
2020-03-31,357834
2020-03-31,362210
2020-03-31,366825
2020-03-31,366881
2020-03-31,366926
2020-03-31,367221
2020-03-31,371271
2020-03-31,371309
2020-03-31,371322
2020-03-31,372206
2020-03-31,372399
2020-03-31,372845
2020-03-31,373037
2020-03-31,373070
2020-03-31,381215
2020-03-31,381631
2020-04-01,382195
2020-04-01,383877
2020-04-01,383917
2020-04-01,383994
2020-04-01,384026
2020-04-01,384332
2020-04-01,384615
2020-04-01,384645
2020-04-01,384716
2020-04-01,392294
2020-04-01,397747
