#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,38959834,3027.0,873586.0,322.0,31045593,"+2,748",7040655,16575.0,,,,,,North America,"
",,,,,
,Asia,44825730,9801.0,580925.0,187.0,38876501,"+19,194",5368304,32726.0,,,,,,Asia,"
",,,,,
,South America,26130261,,710853.0,,23743232,,1676176,28299.0,,,,,,South America,"
",,,,,
,Europe,45668613,6994.0,1039783.0,382.0,41141003,"+42,812",3487827,25364.0,,,,,,Europe,"
",,,,,
,Africa,4690289,,125399.0,,4227777,,337113,3158.0,,,,,,Africa,"
",,,,,
,Oceania,64632,275.0,1218.0,9.0,61089,166,2325,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,160340080,20097.0,3331779.0,900.0,139095901,"+64,920",17912400,106125.0,20570.0,427.4,,,,All,"
",,,,,
1,USA,33550115,,596946.0,,26558138,,6395031,8741.0,100851.0,1794.0,460400486.0,1383957.0,"332,669,677 ",North America,10,557,1,,,"19,223"
2,India,23340938,512.0,254225.0,,19382642,"+5,992",3704071,8944.0,16772.0,183.0,307583991.0,221022.0,"1,391,642,201 ",Asia,60,"5,474",5,0.4,,"2,662"
3,Brazil,15285048,,425711.0,,13847191,,1012146,8318.0,71473.0,1991.0,46834128.0,218998.0,"213,856,608 ",South America,14,502,5,,,"4,733"
4,France,5800170,,106935.0,,4951745,,741490,4743.0,88691.0,1635.0,79617249.0,1217432.0,"65,397,697 ",Europe,11,612,1,,,"11,338"
5,Turkey,5059433,,43589.0,,4766124,,249720,2975.0,59441.0,512.0,49830456.0,585433.0,"85,117,272 ",Asia,17,"1,953",2,,,"2,934"
6,Russia,4896842,,113976.0,,4509915,,272951,2300.0,33543.0,781.0,131900000.0,903497.0,"145,988,292 ",Europe,30,"1,281",1,,,"1,870"
7,UK,4439691,,127629.0,,4253367,,58695,143.0,65105.0,1872.0,166942214.0,2448108.0,"68,192,342 ",Europe,15,534,0,,,861
8,Italy,4123230,,123282.0,,3636089,,363859,2056.0,68282.0,2042.0,61513452.0,1018682.0,"60,385,304 ",Europe,15,490,1,,,"6,026"
9,Spain,3586333,,79100.0,,3283915,,223318,2038.0,76680.0,1691.0,47213067.0,1009466.0,"46,770,357 ",Europe,13,591,1,,,"4,775"
10,Germany,3544315,,85757.0,,3220300,"+23,400",238258,5049.0,42187.0,1021.0,56836969.0,676516.0,"84,014,217 ",Europe,24,980,1,,,"2,836"
11,Argentina,3191097,,68311.0,,2854364,,268422,5375.0,70055.0,1500.0,11983959.0,263085.0,"45,551,588 ",South America,14,667,4,,,"5,893"
12,Colombia,3031726,,78771.0,,2848153,,104802,6582.0,59043.0,1534.0,15564899.0,303126.0,"51,347,964 ",South America,17,652,3,,,"2,041"
13,Poland,2838180,,70336.0,,2580245,,187599,1959.0,75062.0,1860.0,14894006.0,393907.0,"37,810,938 ",Europe,13,538,3,,,"4,962"
14,Iran,2691352,,75568.0,,2144197,,471587,5522.0,31695.0,890.0,17343586.0,204248.0,"84,914,182 ",Asia,32,"1,124",5,,,"5,554"
15,Mexico,2368393,1897.0,219323.0,234.0,1891052,"+2,414",258018,4798.0,18205.0,1686.0,6774089.0,52071.0,"130,094,436 ",North America,55,593,19,15,2,"1,983"
16,Ukraine,2129073,4538.0,46987.0,356.0,1797136,"+19,766",284950,177.0,48936.0,1080.0,9682286.0,222544.0,"43,507,340 ",Europe,20,926,4,104,8,"6,549"
17,Peru,1858239,,64691.0,,1720665,,72883,2660.0,55694.0,1939.0,11761084.0,352495.0,"33,365,278 ",South America,18,516,3,,,"2,184"
18,Indonesia,1723596,,47465.0,,1580207,,95924,,6245.0,172.0,15347629.0,55607.0,"276,003,941 ",Asia,160,"5,815",18,,,348
19,Czechia,1646981,,29749.0,,1583590,,33642,349.0,153549.0,2774.0,20283907.0,1891086.0,"10,726,065 ",Europe,7,361,1,,,"3,136"
20,South Africa,1599272,,54896.0,,1519258,,25118,546.0,26677.0,916.0,10931906.0,182352.0,"59,949,498 ",Africa,37,"1,092",5,,,419
21,Netherlands,1571398,,17383.0,,1333282,,220733,740.0,91533.0,1013.0,13171698.0,767247.0,"17,167,470 ",Europe,11,988,1,,,"12,858"
22,Canada,1299572,,24714.0,,1196819,,78039,1331.0,34176.0,650.0,32867352.0,864337.0,"38,026,101 ",North America,29,"1,539",1,,,"2,052"
23,Chile,1256546,,27356.0,,1193927,,35263,3102.0,65251.0,1421.0,13660902.0,709399.0,"19,257,010 ",South America,15,704,1,,,"1,831"
24,Iraq,1122914,,15834.0,,1018167,,88913,502.0,27393.0,386.0,9745496.0,237734.0,"40,993,259 ",Asia,37,"2,589",4,,,"2,169"
25,Philippines,1113547,,18620.0,,1038175,,56752,750.0,10047.0,168.0,12330600.0,111256.0,"110,830,652 ",Asia,100,"5,952",9,,,512
