#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,9586345,4148.0,326691.0,152.0,6299271.0,"+3,128",2960383,18060.0,,,,,,North America,"
",,
,Asia,11838274,8055.0,213279.0,47.0,10160444.0,"+14,160",1464551,20903.0,,,,,,Asia,"
",,
,South America,8670633,111.0,271433.0,16.0,7533596.0,317,865604,17578.0,,,,,,South America,"
",,
,Europe,6062439,29105.0,231175.0,236.0,3032063.0,"+6,147",2799201,10497.0,,,,,,Europe,"
",,
,Africa,1587286,,38168.0,,1311335.0,,237783,1720.0,,,,,,Africa,"
",,
,Oceania,32525,20.0,942.0,,29405.0,,2178,9.0,,,,,,Australia/Oceania,"
",,
,World,37778223,41439.0,1081703.0,451.0,28366773.0,"+23,752",8329747,68771.0,4847.0,138.8,,,,All,"
",,
1,USA,7991998,,219695.0,,5128162.0,,2644141,14741.0,24105.0,663.0,118486898.0,357375.0,"331,547,490 ",North America,41,"1,509",3
2,India,7120538,1238.0,109184.0,,6149535.0,"+3,108",861819,8944.0,5146.0,79.0,87872093.0,63501.0,"1,383,789,657 ",Asia,194,"12,674",16
3,Brazil,5094979,,150506.0,,4470165.0,,474308,8318.0,23922.0,707.0,17900000.0,84044.0,"212,982,744 ",South America,42,"1,415",12
4,Russia,1312310,13592.0,22722.0,125.0,1024235.0,"+3,793",265353,2300.0,8991.0,156.0,51191309.0,350740.0,"145,952,169 ",Europe,111,"6,423",3
5,Colombia,911316,,27834.0,,789787.0,,93695,2220.0,17857.0,545.0,4173863.0,81786.0,"51,034,004 ",South America,56,"1,834",12
6,Argentina,894206,,23868.0,,721380.0,,148958,4237.0,19735.0,527.0,2225558.0,49117.0,"45,311,598 ",South America,51,"1,898",20
7,Spain,890367,,32929.0,,0.0,N/A,0,1590.0,19041.0,704.0,13689776.0,292767.0,"46,759,903 ",Europe,53,"1,420",3
8,Peru,849371,,33305.0,,743969.0,,72097,1210.0,25661.0,1006.0,4077357.0,123186.0,"33,099,165 ",South America,39,994,8
9,Mexico,817503,3175.0,83781.0,139.0,594180.0,"+3,030",139542,2391.0,6322.0,648.0,2088941.0,16154.0,"129,310,283 ",North America,158,"1,543",62
10,France,734974,,32683.0,,100828.0,,601463,1448.0,11253.0,500.0,12394558.0,189768.0,"65,314,276 ",Europe,89,"1,998",5
11,South Africa,692471,,17780.0,,623765.0,,50926,546.0,11635.0,299.0,4407441.0,74054.0,"59,516,399  ",Africa,86,"3,347",14
12,UK,603716,,42825.0,,0.0,N/A,0,442.0,8880.0,630.0,26987470.0,396955.0,"67,986,204 ",Europe,113,"1,588",3
13,Iran,500075,,28544.0,,406389.0,,65142,4482.0,5933.0,339.0,4312514.0,51162.0,"84,291,482  ",Asia,169,"2,953",20
14,Chile,481371,,13318.0,,453352.0,,14701,791.0,25121.0,695.0,3693252.0,192738.0,"19,162,070 ",South America,40,"1,439",5
15,Iraq,402330,,9852.0,,336157.0,,56321,528.0,9942.0,243.0,2487183.0,61459.0,"40,469,182 ",Asia,101,"4,108",16
16,Bangladesh,378266,,5524.0,,292860.0,,79882,,2290.0,33.0,2070995.0,12540.0,"165,147,049 ",Asia,437,"29,896",80
17,Italy,354950,,36166.0,,239709.0,,79075,420.0,5873.0,598.0,12564713.0,207899.0,"60,436,599 ",Europe,170,"1,671",5
18,Philippines,342816,3564.0,6332.0,11.0,293152.0,150,43332,1758.0,3117.0,58.0,4128162.0,37534.0,"109,985,754 ",Asia,321,"17,370",27
19,Saudi Arabia,339267,,5043.0,,325330.0,,8894,826.0,9703.0,144.0,7014780.0,200630.0,"34,963,754 ",Asia,103,"6,933",5
20,Turkey,335533,,8837.0,,294357.0,,32339,1411.0,3966.0,104.0,11615715.0,137315.0,"84,591,892 ",Asia,252,"9,572",7
21,Indonesia,333449,,11844.0,,255027.0,,66578,,1216.0,43.0,3762808.0,13716.0,"274,329,617 ",Asia,823,"23,162",73
22,Germany,326291,,9702.0,,274700.0,,41889,545.0,3891.0,116.0,18129900.0,216194.0,"83,859,444 ",Europe,257,"8,644",5
23,Pakistan,319317,385.0,6580.0,10.0,304185.0,727,8552,491.0,1438.0,30.0,3884796.0,17494.0,"222,070,579 ",Asia,695,"33,749",57
24,Israel,291828,1335.0,1983.0,3.0,238145.0,"+9,487",51700,823.0,31729.0,216.0,3963408.0,430918.0,"9,197,590 ",Asia,32,"4,638",2
25,Ukraine,265454,4420.0,5015.0,43.0,114410.0,903,146029,177.0,6080.0,115.0,2602635.0,59613.0,"43,658,728 ",Europe,164,"8,706",17
26,Canada,181864,,9613.0,,153219.0,,19032,154.0,4807.0,254.0,8047974.0,212714.0,"37,834,630 ",North America,208,"3,936",5
27,Netherlands,174653,,6584.0,,0.0,N/A,0,254.0,10186.0,384.0,2656731.0,154951.0,"17,145,573 ",Europe,98,"2,604",6
28,Belgium,162258,5327.0,10191.0,16.0,20272.0,70,131795,243.0,13983.0,878.0,3705273.0,319315.0,"11,603,814 ",Europe,72,"1,139",3
29,Romania,155283,,5411.0,,117942.0,,31930,628.0,8087.0,282.0,2672537.0,139187.0,"19,201,008 ",Europe,124,"3,549",7
30,Morocco,152404,,2605.0,,127407.0,,22392,461.0,4115.0,70.0,2877502.0,77703.0,"37,032,230 ",Africa,243,"14,216",13
31,Ecuador,147033,,12191.0,,128134.0,,6708,360.0,8299.0,688.0,466514.0,26331.0,"17,717,163 ",South America,120,"1,453",38
32,Bolivia,138574,111.0,8308.0,16.0,101103.0,317,29163,71.0,11827.0,709.0,314235.0,26818.0,"11,717,177 ",South America,85,"1,410",37
33,Poland,130210,4394.0,3039.0,35.0,81201.0,899,45970,404.0,3442.0,80.0,3668030.0,96948.0,"37,834,855 ",Europe,291,"12,450",10
34,Qatar,127985,,220.0,,124978.0,,2787,56.0,45582.0,78.0,831941.0,296296.0,"2,807,805 ",Asia,22,"12,763",3
35,Panama,120313,,2491.0,,96164.0,,21658,124.0,27763.0,575.0,544735.0,125702.0,"4,333,539 ",North America,36,"1,740",8
36,Dominican Republic,118477,,2173.0,,94084.0,,22220,168.0,10891.0,200.0,519366.0,47744.0,"10,878,250 ",North America,92,"5,006",21
37,Czechia,117110,,987.0,,54980.0,,61143,408.0,10930.0,92.0,1592652.0,148643.0,"10,714,591 ",Europe,91,"10,856",7
38,Kuwait,111116,,658.0,,103268.0,,7190,140.0,25913.0,153.0,782255.0,182427.0,"4,288,053 ",Asia,39,"6,517",5
