#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39337135,2924.0,881535.0,139.0,31899604,"+1,996",6555996,15548.0,,,,,,North America,"
",,,,,
,Asia,47913265,12852.0,626043.0,181.0,42676382,"+18,943",4610840,32495.0,,,,,,Asia,"
",,,,,
,South America,27184507,2766.0,740271.0,58.0,24608341,"+1,480",1835895,28643.0,,,,,,South America,"
",,,,,
,Europe,46313182,8965.0,1055319.0,222.0,42315480,"+34,128",2942383,20455.0,,,,,,Europe,"
",,,,,
,Africa,4759633,,127592.0,,4286376,,345665,2929.0,,,,,,Africa,"
",,,,,
,Oceania,66907,302.0,1230.0,2.0,64474,"+2,273",1203,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,165575350,27809.0,3432005.0,602.0,145851363,"+58,820",16291982,100073.0,21242.0,440.3,,,,All,"
",,,,,
1,USA,33802324,,601949.0,,27299180,,5901195,7652.0,101596.0,1809.0,468945602.0,1409464.0,"332,712,023 ",North America,10,553,1,,,"17,737"
2,India,25772440,1035.0,287156.0,,22355440,"+6,757",3129844,8944.0,18516.0,206.0,322356187.0,231588.0,"1,391,938,524 ",Asia,54,"4,847",4,0.7,,"2,249"
3,Brazil,15815191,,441864.0,,14330118,,1043209,8318.0,73941.0,2066.0,47073060.0,220081.0,"213,889,584 ",South America,14,484,5,,,"4,877"
4,France,5917397,,108181.0,,5188641,,620575,3862.0,90479.0,1654.0,81995097.0,1253731.0,"65,400,845 ",Europe,11,605,1,,,"9,489"
5,Turkey,5151038,,45419.0,,4980516,,125103,2162.0,60503.0,533.0,51512691.0,605056.0,"85,137,097 ",Asia,17,"1,874",2,,,"1,469"
6,Russia,4965676,,116965.0,,4581787,,266924,2300.0,34014.0,801.0,134300000.0,919928.0,"145,989,656 ",Europe,29,"1,248",1,,,"1,828"
7,UK,4452527,,127694.0,,4284015,,40818,124.0,65286.0,1872.0,172256865.0,2525756.0,"68,200,120 ",Europe,15,534,0,,,599
8,Italy,4172525,,124646.0,,3741149,,306730,1643.0,69101.0,2064.0,63571711.0,1052802.0,"60,383,369 ",Europe,14,484,1,,,"5,080"
9,Germany,3627777,,87405.0,,3358000,"+17,600",182372,3708.0,43178.0,1040.0,58093759.0,691427.0,"84,020,058 ",Europe,23,961,1,,,"2,171"
10,Spain,3625928,,79568.0,,3342024,,204336,1740.0,77526.0,1701.0,48928535.0,1046135.0,"46,770,751 ",Europe,13,588,1,,,"4,369"
11,Argentina,3411160,,72265.0,,3009150,,329745,5877.0,74871.0,1586.0,12728157.0,279367.0,"45,560,644 ",South America,13,630,4,,,"7,237"
12,Colombia,3161126,,82743.0,,2961313,,117070,6582.0,61549.0,1611.0,16074868.0,312985.0,"51,359,811 ",South America,16,621,3,,,"2,279"
13,Poland,2859261,,72250.0,,2610932,,176079,1377.0,75622.0,1911.0,15184082.0,401589.0,"37,810,035 ",Europe,13,523,2,,,"4,657"
14,Iran,2792204,,77765.0,,2272719,,441720,5158.0,32874.0,916.0,18418983.0,216853.0,"84,937,680 ",Asia,30,"1,092",5,,,"5,201"
15,Mexico,2387512,2000.0,220850.0,104.0,1907538,"+1,947",259124,4798.0,18348.0,1697.0,6886170.0,52920.0,"130,124,027 ",North America,55,589,19,15,0.8,"1,991"
16,Ukraine,2170398,5165.0,48899.0,203.0,1916194,"+16,748",205305,177.0,49892.0,1124.0,9914382.0,227908.0,"43,501,627 ",Europe,20,890,4,119,5,"4,719"
17,Peru,1903615,,67034.0,,1720665,,115916,2660.0,57037.0,2008.0,12240660.0,366758.0,"33,375,320 ",South America,18,498,3,,,"3,473"
18,Indonesia,1753101,,48669.0,,1616603,,87829,,6350.0,176.0,15738417.0,57009.0,"276,067,124 ",Asia,157,"5,672",18,,,318
