#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,34982003,6283.0,801694.0,637.0,26395552,"+4,572",7784757,15580.0,,,,,,North America,"
",,
,South America,19832901,867.0,513581.0,13.0,17708423,894,1610897,19578.0,,,,,,South America,"
",,
,Asia,26728570,8071.0,414704.0,67.0,24904627,"+5,767",1409239,23463.0,,,,,,Asia,"
",,
,Europe,37210086,31564.0,873284.0,513.0,26337108,"+15,339",9999694,28264.0,,,,,,Europe,"
",,
,Africa,4119180,,109700.0,,3682851,,326629,2597.0,,,,,,Africa,"
",,
,Oceania,53371,10.0,1114.0,,34443,3,17814,6.0,,,,,,Australia/Oceania,"
",,
,World,122926832,46795.0,2714092.0,1230.0,99063710,"+26,575",21149030,89488.0,15770.0,348.2,,,,All,"
",,
1,USA,30425787,,554104.0,,22610325,,7261358,9065.0,91537.0,1667.0,387303656.0,1165212.0,"332,389,130 ",North America,11,600,1
2,Brazil,11877009,,290525.0,,10383460,,1203024,8318.0,55594.0,1360.0,28600000.0,133871.0,"213,638,142 ",South America,18,735,7
3,India,11555284,389.0,159594.0,,11107332,"+2,183",288358,8944.0,8315.0,115.0,232431517.0,167256.0,"1,389,679,065 ",Asia,120,"8,708",6
4,Russia,4437938,,94267.0,,4049373,,294298,2300.0,30401.0,646.0,116700000.0,799429.0,"145,979,262 ",Europe,33,"1,549",1
5,UK,4285684,,126026.0,,3621493,,538165,879.0,62895.0,1849.0,112493147.0,1650892.0,"68,140,807 ",Europe,16,541,1
6,France,4181607,,91679.0,,278263,,3811665,4246.0,63962.0,1402.0,58498845.0,894795.0,"65,376,842 ",Europe,16,713,1
7,Italy,3332418,,104241.0,,2671638,,556539,3364.0,55174.0,1726.0,46259337.0,765907.0,"60,398,128 ",Europe,18,579,1
8,Spain,3212332,,72910.0,,2945446,,193976,1997.0,68687.0,1559.0,41114319.0,879117.0,"46,767,743 ",Europe,15,641,1
9,Turkey,2971633,,29864.0,,2788757,,153012,1547.0,34966.0,351.0,35975339.0,423309.0,"84,985,927 ",Asia,29,"2,846",2
10,Germany,2645186,,75073.0,,2409700,"+8,000",160413,2848.0,31499.0,894.0,47578793.0,566579.0,"83,975,524 ",Europe,32,"1,119",2
11,Colombia,2324426,,61771.0,,2221642,,41013,1982.0,45337.0,1205.0,12186850.0,237702.0,"51,269,474 ",South America,22,830,4
12,Argentina,2234913,,54476.0,,2016729,,163708,3534.0,49128.0,1197.0,8251376.0,181382.0,"45,491,590 ",South America,20,835,6
13,Mexico,2187910,5722.0,197219.0,613.0,1729269,"+4,475",261422,4798.0,16843.0,1518.0,5865279.0,45153.0,"129,898,398 ",North America,59,659,22
14,Poland,2010244,,48807.0,,1620272,,341165,2245.0,53157.0,1291.0,11032529.0,291735.0,"37,816,917 ",Europe,19,775,3
15,Iran,1786265,,61649.0,,1528694,,195922,3879.0,21075.0,727.0,12039329.0,142043.0,"84,758,507 ",Asia,47,"1,375",7
16,South Africa,1535423,,52035.0,,1461196,,22192,546.0,25658.0,870.0,9584923.0,160173.0,"59,841,223 ",Africa,39,"1,150",6
17,Ukraine,1535218,15292.0,29775.0,260.0,1253972,"+5,190",251471,177.0,35256.0,684.0,7573737.0,173928.0,"43,545,187 ",Europe,28,"1,462",6
18,Peru,1451645,,49897.0,,1364556,,37192,2241.0,43595.0,1498.0,8592274.0,258036.0,"33,298,750 ",South America,23,667,4
19,Indonesia,1450132,,39339.0,,1278965,,131828,,5262.0,143.0,11965660.0,43419.0,"275,585,360 ",Asia,190,"7,005",23
20,Czechia,1449696,,24331.0,,1216950,,208415,1992.0,135193.0,2269.0,10510686.0,980182.0,"10,723,196 ",Europe,7,441,1
21,Netherlands,1186987,,16244.0,,0,N/A,0,579.0,69164.0,947.0,6970400.0,406153.0,"17,161,996 ",Europe,14,"1,057",2
22,Canada,927064,,22617.0,,871048,,33399,587.0,24410.0,596.0,26371885.0,694395.0,"37,978,233 ",North America,41,"1,679",1
23,Chile,918053,,22087.0,,859097,,36869,2193.0,47733.0,1148.0,10416402.0,541582.0,"19,233,275 ",South America,21,871,2
24,Romania,886752,,22020.0,,798985,,65747,1286.0,46316.0,1150.0,6930273.0,361978.0,"19,145,562 ",Europe,22,869,3
25,Belgium,827941,5140.0,22650.0,26.0,55308,183,749983,543.0,71217.0,1948.0,10390087.0,893719.0,"11,625,675 ",Europe,14,513,1
26,Israel,826609,,6073.0,,800728,,19808,557.0,89872.0,660.0,13114555.0,1425869.0,"9,197,590 ",Asia,11,"1,515",1
27,Portugal,816623,,16754.0,,766170,,33699,182.0,80255.0,1647.0,8720659.0,857034.0,"10,175,396 ",Europe,12,607,1
28,Iraq,784716,,13937.0,,706904,,63875,464.0,19204.0,341.0,7582401.0,185560.0,"40,862,240 ",Asia,52,"2,932",5
29,Sweden,744272,,13262.0,,0,N/A,0,272.0,73369.0,1307.0,6627544.0,653331.0,"10,144,241 ",Europe,14,765,2
30,Philippines,648066,,12900.0,,561902,,73264,785.0,5859.0,117.0,9543023.0,86269.0,"110,619,428 ",Asia,171,"8,575",12
