#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,10216488,7207.0,337117.0,585.0,6802460.0,"+5,713",3076911,19215.0,,,,,,North America,"
",,
,Asia,12695647,7130.0,227087.0,61.0,11094460.0,"+5,493",1374100,20927.0,,,,,,Asia,"
",,
,South America,9096264,147.0,282089.0,24.0,8060229.0,569,753946,17460.0,,,,,,South America,"
",,
,Europe,7353045,33876.0,242610.0,554.0,3280587.0,"+14,555",3829848,14067.0,,,,,,Europe,"
",,
,Africa,1674836,,40289.0,,1376599.0,,257948,1932.0,,,,,,Africa,"
",,
,Oceania,34549,41.0,955.0,,30778.0,23,2816,21.0,,,,,,Australia/Oceania,"
",,
,World,41071550,48401.0,1130162.0,1224.0,30645772.0,"+26,353",9295616,73626.0,5269.0,145.0,,,,All,"
",,
1,USA,8520822,515.0,226169.0,20.0,5546675.0,"+1,056",2747978,15714.0,25696.0,682.0,127837174.0,385522.0,"331,595,130 ",North America,39,"1,466",3
2,India,7651107,1949.0,115950.0,,6795103.0,"+2,553",740054,8944.0,5528.0,84.0,97200379.0,70225.0,"1,384,123,019 ",Asia,181,"11,937",14
3,Brazil,5274817,,154888.0,,4721593.0,,398336,8318.0,24762.0,727.0,17900000.0,84030.0,"213,019,842 ",South America,40,"1,375",12
4,Russia,1447335,15700.0,24952.0,317.0,1096560.0,"+10,952",325823,2300.0,9916.0,171.0,55171784.0,378009.0,"145,953,703 ",Europe,101,"5,849",3
5,Spain,1029668,,34210.0,,0.0,N/A,0,1911.0,22020.0,732.0,15503165.0,331545.0,"46,760,347 ",Europe,45,"1,367",3
6,Argentina,1018999,,27100.0,,829647.0,,162252,4451.0,22484.0,598.0,2663880.0,58777.0,"45,321,786 ",South America,44,"1,672",17
7,Colombia,974139,,29272.0,,876731.0,,68136,2115.0,19083.0,573.0,4516832.0,88483.0,"51,047,333 ",South America,52,"1,744",11
8,France,930745,,33885.0,,106839.0,,790021,2177.0,14249.0,519.0,13894126.0,212716.0,"65,317,818 ",Europe,70,"1,928",5
9,Peru,874118,,33875.0,,788494.0,,51749,1090.0,26400.0,1023.0,4270800.0,128986.0,"33,110,463 ",South America,38,977,8
10,Mexico,860714,5788.0,86893.0,555.0,627584.0,"+4,090",146237,2617.0,6654.0,672.0,2207837.0,17070.0,"129,343,572 ",North America,150,"1,489",59
11,UK,762542,,43967.0,,0.0,N/A,0,629.0,11215.0,647.0,30187915.0,443973.0,"67,994,955 ",Europe,89,"1,546",2
12,South Africa,706304,,18656.0,,639568.0,,48080,546.0,11864.0,313.0,4581346.0,76952.0,"59,534,785 ",Africa,84,"3,191",13
13,Iran,539670,,31034.0,,434676.0,,73960,4810.0,6400.0,368.0,4570243.0,54203.0,"84,317,918 ",Asia,156,"2,717",18
14,Chile,494478,,13702.0,,466643.0,,14133,770.0,25800.0,715.0,3955343.0,206372.0,"19,166,101 ",South America,39,"1,399",5
15,Iraq,434598,,10366.0,,366134.0,,58098,466.0,10733.0,256.0,2665530.0,65829.0,"40,491,430 ",Asia,93,"3,906",15
16,Italy,434449,,36705.0,,255005.0,,142739,870.0,7189.0,607.0,13784181.0,228085.0,"60,434,421 ",Europe,139,"1,646",4
17,Bangladesh,391586,,5699.0,,307141.0,,78746,,2371.0,35.0,2192325.0,13272.0,"165,187,364 ",Asia,422,"28,985",75
18,Germany,380898,,9955.0,,298300.0,,72643,851.0,4542.0,119.0,19276507.0,229849.0,"83,866,015 ",Europe,220,"8,425",4
19,Indonesia,368842,,12734.0,,293653.0,,62455,,1344.0,46.0,4123624.0,15028.0,"274,400,697 ",Asia,744,"21,549",67
20,Philippines,360775,,6690.0,,310642.0,,43443,1562.0,3279.0,61.0,4422906.0,40200.0,"110,021,622 ",Asia,305,"16,446",25
21,Turkey,351413,,9445.0,,306939.0,,35029,1545.0,4153.0,112.0,12641126.0,149397.0,"84,614,196 ",Asia,241,"8,959",7
22,Saudi Arabia,342968,,5217.0,,329270.0,,8481,840.0,9806.0,149.0,7457497.0,213211.0,"34,977,095 ",Asia,102,"6,704",5
23,Pakistan,324744,667.0,6692.0,19.0,308674.0,654,9378,559.0,1462.0,30.0,4148739.0,18673.0,"222,176,223 ",Asia,684,"33,200",54
24,Ukraine,315826,6719.0,5927.0,141.0,132219.0,"+2,686",177680,177.0,7235.0,136.0,2847376.0,65229.0,"43,652,301 ",Europe,138,"7,365",15
25,Israel,306503,341.0,2278.0,,283205.0,700,21020,591.0,33324.0,248.0,4303692.0,467915.0,"9,197,590 ",Asia,30,"4,038",2
26,Netherlands,244391,,6814.0,,0.0,N/A,0,445.0,14253.0,397.0,2872319.0,167516.0,"17,146,502 ",Europe,70,"2,516",6
27,Belgium,240159,9679.0,10489.0,46.0,21476.0,262,208194,486.0,20694.0,904.0,4215269.0,363227.0,"11,605,051 ",Europe,48,"1,106",3
28,Canada,203688,,9794.0,,171743.0,,22151,205.0,5382.0,259.0,8801098.0,232570.0,"37,842,759 ",North America,186,"3,864",4
29,Czechia,193946,,1619.0,,79108.0,,113219,634.0,18100.0,151.0,1844788.0,172167.0,"10,715,078 ",Europe,55,"6,618",6
30,Poland,192539,,3721.0,,95956.0,,92862,725.0,5089.0,98.0,4050049.0,107048.0,"37,833,840 ",Europe,196,"10,168",9
31,Romania,186254,,5996.0,,134395.0,,45863,768.0,9702.0,312.0,2890071.0,150541.0,"19,197,870 ",Europe,103,"3,202",7
