#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1177063,North America,North America,,3004.0,340.0,,18422.0,,1739100,106282.0,455755.0,,
,857100,Europe,Europe,,,,,11168.0,,1815438,164574.0,793764.0,,
,285510,South America,South America,,349.0,15.0,,10599.0,,488006,25493.0,177003.0,,
,329110,Asia,Asia,,41.0,,,4936.0,,841163,25500.0,486553.0,,
,53495,Africa,Africa,,1.0,1.0,,284.0,,93229,2925.0,36809.0,,
,593,Australia/Oceania,Oceania,,,,,12.0,,8675,121.0,7961.0,,
,2702926,All,World,41.7,3395.0,356.0,,45425.0,,4986332,324910.0,1958496.0,,640.0
1,1115870,North America,USA,283.0,,,"330,779,957 ",17249.0,38229.0,1570583,93533.0,361180.0,12645473.0,4748.0
2,220974,Europe,Russia,19.0,,,"145,927,463 ",2300.0,50383.0,299941,2837.0,76130.0,7352316.0,2055.0
3,54067,Europe,Spain,594.0,,,"46,752,753 ",1152.0,64977.0,278803,27778.0,196958.0,3037840.0,5963.0
4,147108,South America,Brazil,85.0,,,"212,385,054 ",8318.0,3462.0,271885,17983.0,106794.0,735224.0,1280.0
5,0,Europe,UK,521.0,,,"67,845,213 ",1559.0,40866.0,248818,35341.0,0.0,2772552.0,3667.0
6,65129,Europe,Italy,532.0,,,"60,471,682 ",716.0,51338.0,226699,32169.0,129401.0,3104524.0,3749.0
7,90224,Europe,France,429.0,,,"65,257,220 ",1894.0,21218.0,180809,28022.0,62563.0,1384633.0,2771.0
8,13934,Europe,Germany,98.0,,,"83,753,585 ",1115.0,37584.0,177827,8193.0,155700.0,3147771.0,2123.0
9,34521,Asia,Turkey,50.0,,,"84,232,553 ",882.0,19892.0,151615,4199.0,112895.0,1675517.0,1800.0
10,20311,Asia,Iran,85.0,,,"83,865,579 ",2698.0,8540.0,124603,7119.0,97173.0,716176.0,1486.0
11,60864,Asia,India,2.0,,,"1,378,418,813 ",,1744.0,106475,3302.0,42309.0,2404267.0,77.0
12,60045,South America,Peru,89.0,,,"32,917,154 ",883.0,20645.0,99483,2914.0,36524.0,679582.0,3022.0
13,33150,North America,Canada,157.0,,,"37,703,672 ",502.0,35538.0,79112,5912.0,40050.0,1339895.0,2098.0
14,27891,Asia,Saudi Arabia,9.0,,,"34,748,812 ",251.0,17787.0,59854,329.0,31634.0,618084.0,1722.0
15,31996,Europe,Belgium,786.0,,,"11,583,877 ",345.0,61276.0,55791,9108.0,14687.0,709818.0,4816.0
16,11355,North America,Mexico,44.0,2713.0,334.0,"128,773,952 ",378.0,1442.0,54346,5666.0,37325.0,185755.0,422.0
17,27563,South America,Chile,27.0,,,"19,097,135 ",876.0,20799.0,49579,509.0,21507.0,397200.0,2596.0
