ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
996258,North America,North America,,1626.0,107.0,17392.0,,1292707,75261.0,221188.0,,
766234,Europe,Europe,,37.0,11.0,17275.0,,1447540,140614.0,540692.0,,
243747,Asia,Asia,,243.0,7.0,5363.0,,559045,19624.0,295674.0,,
127778,South America,South America,,829.0,31.0,9854.0,,212641,10871.0,73992.0,,
1083,Australia/Oceania,Oceania,,21.0,,31.0,,8411,115.0,7213.0,,
28518,Africa,Africa,,86.0,,132.0,,45466,1802.0,15146.0,,
2163679,All,World,31.9,2842.0,156.0,50051.0,,3566531,248302.0,1154550.0,,458.0
941261,North America,USA,207.0,,,16139.0,21742.0,1188122,68598.0,178263.0,7196740.0,3589.0
73300,Europe,Spain,540.0,,,2386.0,41332.0,247122,25264.0,148558.0,1932455.0,5285.0
100179,Europe,Italy,478.0,,,1501.0,35622.0,210717,28884.0,81654.0,2153772.0,3485.0
157809,Europe,UK,419.0,,,1559.0,17771.0,186599,28446.0,0.0,1206405.0,2749.0
93014,Europe,France,381.0,,,3819.0,16856.0,168693,24895.0,50784.0,1100228.0,2584.0
28198,Europe,Germany,82.0,,,1979.0,30400.0,165664,6866.0,130600.0,2547052.0,1977.0
116768,Europe,Russia,9.0,,,2300.0,28095.0,134687,1280.0,16639.0,4100000.0,923.0
59497,Asia,Turkey,40.0,,,1424.0,13462.0,126045,3397.0,63151.0,1135367.0,1495.0
51784,South America,Brazil,33.0,679.0,26.0,8318.0,1597.0,101826,7051.0,42991.0,339552.0,479.0
12799,Asia,Iran,74.0,,,2690.0,5909.0,97424,6203.0,78422.0,496273.0,1160.0
30884,North America,Canada,98.0,,,557.0,23778.0,59474,3682.0,24908.0,897444.0,1576.0
29753,Europe,Belgium,677.0,,,674.0,36582.0,49906,7844.0,12309.0,423971.0,4306.0
31092,South America,Peru,39.0,,,679.0,11376.0,45928,1286.0,13550.0,375096.0,1393.0
29367,Asia,India,1.0,28.0,,,802.0,42533,1391.0,11775.0,1107233.0,31.0
35265,Europe,Netherlands,295.0,,,688.0,13184.0,40571,5056.0,0.0,225899.0,2368.0
