#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40791799,9009.0,921729.0,295.0,34297111,"+4,396",5572959,10803.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,56761332,17754.0,806291.0,138.0,54019020,"+19,484",1936021,26841.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,33544024,1851.0,1023313.0,28.0,30665426,"+1,760",1855285,28994.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,48436119,1352.0,1108336.0,37.0,45669568,"+2,630",1658215,6352.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5782066,,148305.0,,5015603,,618158,4655.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,77497,34.0,1300.0,,69332,1,6865,35.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,185393558,30000.0,4009289.0,498.0,169736766,"+28,271",11647503,77680.0,23784.0,514.4,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34622690,,621561.0,,29145285,,4855844,3801.0,103983.0,1867.0,509216603.0,1529335.0,"332,966,103 ",North America,10,536,1,,,"14,584",Dummy,Dummy
2,India,30663665,769.0,404240.0,,29799534,"+7,567",459891,8944.0,22001.0,290.0,423332097.0,303743.0,"1,393,716,458 ",Asia,45,"3,448",3,0.6,,330,Dummy,Dummy
3,Brazil,18855015,,527016.0,,17262646,,1065353,8318.0,88072.0,2462.0,54003112.0,252248.0,"214,087,440 ",South America,11,406,4,,,"4,976",Dummy,Dummy
4,France,5790584,,111231.0,,5636416,,42937,1032.0,88514.0,1700.0,94985555.0,1451940.0,"65,419,732 ",Europe,11,588,1,,,656,Dummy,Dummy
5,Russia,5658672,,139316.0,,5101852,,417504,2300.0,38759.0,954.0,152700000.0,1045906.0,"145,997,834 ",Europe,26,"1,048",1,,,"2,860",Dummy,Dummy
6,Turkey,5454763,,49996.0,,5324111,,80656,684.0,63981.0,586.0,62117858.0,728604.0,"85,256,051 ",Asia,16,"1,705",1,,,946,Dummy,Dummy
7,UK,4958868,,128268.0,,4341354,,489246,369.0,72661.0,1879.0,219015797.0,3209173.0,"68,246,793 ",Europe,14,532,0,,,"7,169",Dummy,Dummy
8,Argentina,4574340,,96983.0,,4192546,,284811,5642.0,100282.0,2126.0,17191657.0,376886.0,"45,614,981 ",South America,10,470,3,,,"6,244",Dummy,Dummy
9,Colombia,4402582,,110019.0,,4113917,,178646,8155.0,85602.0,2139.0,20503266.0,398657.0,"51,430,896 ",South America,12,467,3,,,"3,474",Dummy,Dummy
10,Italy,4264704,,127704.0,,4094421,,42579,187.0,70641.0,2115.0,72607758.0,1202678.0,"60,371,755 ",Europe,14,473,1,,,705,Dummy,Dummy
11,Spain,3880612,,80952.0,,3621423,,178237,616.0,82967.0,1731.0,53392296.0,1141517.0,"46,773,118 ",Europe,12,578,1,,,"3,811",Dummy,Dummy
12,Germany,3739555,,91630.0,,3631500,"+1,000",16425,509.0,44489.0,1090.0,63813168.0,759183.0,"84,055,101 ",Europe,22,917,1,,,195,Dummy,Dummy
13,Iran,3286923,,85095.0,,2953586,,248242,3296.0,38634.0,1000.0,23967488.0,281710.0,"85,078,669 ",Asia,26,"1,000",4,,,"2,918",Dummy,Dummy
14,Poland,2880403,,75095.0,,2652265,,153043,78.0,76192.0,1986.0,17641084.0,466638.0,"37,804,620 ",Europe,13,503,2,,,"4,048",Dummy,Dummy
15,Mexico,2549862,7989.0,233958.0,269.0,2023270,"+4,222",292634,4798.0,19569.0,1796.0,7613594.0,58431.0,"130,301,571 ",North America,51,557,17,61,2,"2,246",Dummy,Dummy
16,Indonesia,2345018,,61868.0,,1958553,,324597,,8483.0,224.0,20804108.0,75256.0,"276,446,216 ",Asia,118,"4,468",13,,,"1,174",Dummy,Dummy
17,Ukraine,2238974,610.0,52537.0,33.0,2174353,"+1,666",0,177.0,51509.0,1209.0,10965456.0,252269.0,"43,467,350 ",Europe,19,827,4,14,0.8,278,Dummy,Dummy
18,South Africa,2090909,,62628.0,,1845038,,183243,546.0,34811.0,1043.0,13548841.0,225574.0,"60,063,901 ",Africa,29,959,4,,,"3,051",Dummy,Dummy
19,Peru,2069051,,193588.0,,0,N/A,0,2289.0,61882.0,5790.0,14437212.0,431792.0,"33,435,572 ",South America,16,173,2,,,"4,630",Dummy,Dummy
20,Netherlands,1692834,,17758.0,,1645292,,29784,107.0,98574.0,1034.0,14730069.0,857733.0,"17,173,254 ",Europe,10,967,1,,,"1,734",Dummy,Dummy
21,Czechia,1668170,,30312.0,,1636428,,1430,3.0,155481.0,2825.0,30361084.0,2829790.0,"10,729,095 ",Europe,6,354,0,,,133,Dummy,Dummy
22,Chile,1574465,,33288.0,,1520879,,20298,2728.0,81654.0,1726.0,17328099.0,898663.0,"19,282,089 ",South America,12,579,1,,,"1,053",Dummy,Dummy
23,Philippines,1445832,,25296.0,,1370923,,49613,1881.0,13019.0,228.0,15250849.0,137328.0,"111,053,833 ",Asia,77,"4,390",7,,,447,Dummy,Dummy
24,Canada,1418080,,26381.0,,1386215,,5484,437.0,37243.0,693.0,37086569.0,973997.0,"38,076,678 ",North America,27,"1,443",1,,,144,Dummy,Dummy
25,Iraq,1388323,,17376.0,,1277242,,93705,628.0,33753.0,422.0,11988129.0,291457.0,"41,131,695 ",Asia,30,"2,367",3,,,"2,278",Dummy,Dummy
26,Sweden,1091730,,14595.0,,1065596,,11539,33.0,107422.0,1436.0,11051292.0,1087409.0,"10,162,962 ",Europe,9,696,1,,,"1,135",Dummy,Dummy
27,Belgium,1089105,742.0,25194.0,4.0,1043221,,20690,112.0,93560.0,2164.0,15652732.0,1344660.0,"11,640,662 ",Europe,11,462,1,64,0.3,"1,777",Dummy,Dummy
28,Romania,1081030,,34021.0,,1045351,,1658,61.0,56576.0,1781.0,9937662.0,520091.0,"19,107,551 ",Europe,18,562,2,,,87,Dummy,Dummy
29,Bangladesh,966406,,15392.0,,844515,,106499,1192.0,5810.0,93.0,6794193.0,40843.0,"166,347,556 ",Asia,172,"10,807",24,,,640,Dummy,Dummy
30,Pakistan,966007,1517.0,22469.0,17.0,909525,877,34013,1941.0,4289.0,100.0,14861926.0,65990.0,"225,216,442 ",Asia,233,"10,023",15,7,0.08,151,Dummy,Dummy
31,Portugal,892741,,17118.0,,837135,,38488,133.0,87811.0,1684.0,13655086.0,1343135.0,"10,166,580 ",Europe,11,594,1,,,"3,786",Dummy,Dummy
32,Israel,843892,,6429.0,,834281,,3182,38.0,90488.0,689.0,15272642.0,1637641.0,"9,326,000 ",Asia,11,"1,451",1,,,341,Dummy,Dummy
33,Hungary,808294,,29998.0,,740327,,37969,21.0,83887.0,3113.0,6168335.0,640168.0,"9,635,495 ",Europe,12,321,2,,,"3,941",Dummy,Dummy
34,Japan,807951,,14862.0,,776646,,16443,481.0,6408.0,118.0,16721053.0,132618.0,"126,084,088 ",Asia,156,"8,484",8,,,130,Dummy,Dummy
35,Malaysia,792693,,5677.0,,714815,,72201,943.0,24179.0,173.0,15047235.0,458970.0,"32,784,791 ",Asia,41,"5,775",2,,,"2,202",Dummy,Dummy
36,Jordan,754281,,9795.0,,737709,,6777,478.0,73192.0,950.0,7989178.0,775234.0,"10,305,501 ",Asia,14,"1,052",1,,,658,Dummy,Dummy
37,Serbia,717093,,7061.0,,708545,,1487,12.0,82408.0,811.0,4460114.0,512557.0,"8,701,698 ",Europe,12,"1,232",2,,,171,Dummy,Dummy
38,Switzerland,704057,,10895.0,,686410,,6752,28.0,80753.0,1250.0,8459588.0,970289.0,"8,718,626 ",Europe,12,800,1,,,774,Dummy,Dummy
39,Austria,650901,,10718.0,,638456,,1727,47.0,71856.0,1183.0,57285297.0,6324009.0,"9,058,383 ",Europe,14,845,0,,,191,Dummy,Dummy
40,Nepal,648085,,9263.0,,612994,,25828,,21847.0,312.0,3383544.0,114057.0,"29,665,338 ",Asia,46,"3,203",9,,,871,Dummy,Dummy
41,UAE,642601,,1843.0,,620812,,19946,,64189.0,184.0,59354505.0,5928866.0,"10,011,105 ",Asia,16,"5,432",0,,,"1,992",Dummy,Dummy
42,Lebanon,545965,,7865.0,,533692,,4408,54.0,80354.0,1158.0,4731376.0,696358.0,"6,794,462 ",Asia,12,864,1,,,649,Dummy,Dummy
43,Morocco,535974,,9336.0,,520963,,5675,150.0,14349.0,250.0,6935722.0,185683.0,"37,352,493 ",Africa,70,"4,001",5,,,152,Dummy,Dummy
