#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,41376797,12631.0,928911.0,225.0,34693994,"+6,338",5753892,12868.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,58862519,29196.0,840084.0,223.0,55597652,"+25,247",2424783,29752.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,34530075,896.0,1052164.0,37.0,31926323,"+1,191",1551588,27222.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,49690701,299.0,1118985.0,8.0,46132895,"+2,913",2438821,6284.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,6248648,,157655.0,,5427161,,663832,4452.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,88215,140.0,1356.0,1.0,72103,14,14756,52.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,190797676,43162.0,4099170.0,494.0,173850834,"+35,703",12847672,80630.0,24478.0,525.9,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34953937,,624715.0,,29369181,,4960041,5868.0,104959.0,1876.0,516277662.0,1550270.0,"333,024,330 ",North America,10,533,1,,,"14,894",Dummy,Dummy
2,India,31106065,795.0,413640.0,,30269796,"+7,563",422629,8944.0,22312.0,297.0,443958663.0,318450.0,"1,394,123,902 ",Asia,45,"3,370",3,0.6,,303,Dummy,Dummy
3,Brazil,19342448,,541323.0,,17983275,,817850,8318.0,90329.0,2528.0,54204686.0,253136.0,"214,132,782 ",South America,11,396,4,,,"3,819",Dummy,Dummy
4,Russia,5933115,,147655.0,,5322345,,463115,2300.0,40638.0,1011.0,158500000.0,1085619.0,"145,999,709 ",Europe,25,989,1,,,"3,172",Dummy,Dummy
5,France,5855198,,111467.0,,5658554,,85177,890.0,89496.0,1704.0,98202524.0,1501015.0,"65,424,061 ",Europe,11,587,1,,,"1,302",Dummy,Dummy
6,Turkey,5522039,,50488.0,,5380752,,90799,543.0,64749.0,592.0,64641195.0,757958.0,"85,283,311 ",Asia,15,"1,689",1,,,"1,065",Dummy,Dummy
7,UK,5386340,,128683.0,,4390942,,866715,551.0,78912.0,1885.0,230446661.0,3376137.0,"68,257,489 ",Europe,13,530,0,,,"12,698",Dummy,Dummy
8,Argentina,4749443,,101434.0,,4379169,,268840,4873.0,104092.0,2223.0,18203426.0,398958.0,"45,627,434 ",South America,10,450,3,,,"5,892",Dummy,Dummy
9,Colombia,4621260,,115831.0,,4372434,,132995,8155.0,89825.0,2251.0,21532578.0,418538.0,"51,447,187 ",South America,11,444,2,,,"2,585",Dummy,Dummy
10,Italy,4284332,,127864.0,,4112977,,43491,161.0,70969.0,2118.0,74627294.0,1236184.0,"60,369,093 ",Europe,14,472,1,,,720,Dummy,Dummy
11,Spain,4100222,,81096.0,,3660683,,358443,872.0,87661.0,1734.0,54183930.0,1158428.0,"46,773,661 ",Europe,11,577,1,,,"7,663",Dummy,Dummy
12,Germany,3751234,,91894.0,,3639300,500,20040,371.0,44624.0,1093.0,65845568.0,783287.0,"84,063,131 ",Europe,22,915,1,,,238,Dummy,Dummy
13,Iran,3501079,,86966.0,,3118349,,295764,4237.0,41135.0,1022.0,24892912.0,292476.0,"85,110,979 ",Asia,24,979,3,,,"3,475",Dummy,Dummy
14,Poland,2881355,,75212.0,,2652951,,153192,60.0,76220.0,1990.0,18082617.0,478333.0,"37,803,379 ",Europe,13,503,2,,,"4,052",Dummy,Dummy
15,Indonesia,2832755,,72489.0,,2232394,,527872,,10244.0,262.0,23153859.0,83729.0,"276,533,091 ",Asia,98,"3,815",12,,,"1,909",Dummy,Dummy
16,Mexico,2654699,12631.0,236240.0,225.0,2080483,"+6,338",337976,4798.0,20367.0,1812.0,7937949.0,60901.0,"130,342,258 ",North America,49,552,16,97,2,"2,593",Dummy,Dummy
17,South Africa,2283880,,66676.0,,2028881,,0,546.0,38010.0,1110.0,14205299.0,236415.0,"60,086,373 ",Africa,26,901,4,,,"3,134",Dummy,Dummy
18,Ukraine,2244495,299.0,52726.0,8.0,2181198,241,10571,177.0,51646.0,1213.0,11151481.0,256595.0,"43,459,495 ",Europe,19,824,4,7,0.2,243,Dummy,Dummy
19,Peru,2092125,,195047.0,,0,N/A,0,2069.0,62546.0,5831.0,14967701.0,447473.0,"33,449,380 ",South America,16,171,2,,,"5,274",Dummy,Dummy
20,Netherlands,1788435,,17775.0,,1658933,,111727,81.0,104134.0,1035.0,15010077.0,873980.0,"17,174,390 ",Europe,10,966,1,,,"6,505",Dummy,Dummy
21,Czechia,1670823,,30336.0,,1637717,,2770,6.0,155720.0,2827.0,31444493.0,2930606.0,"10,729,691 ",Europe,6,354,0,,,258,Dummy,Dummy
22,Chile,1598481,,34403.0,,1549660,,14418,2072.0,82879.0,1784.0,17949205.0,930637.0,"19,287,015 ",South America,12,561,1,,,748,Dummy,Dummy
23,Philippines,1502359,,26598.0,,1428504,,47257,2031.0,13523.0,239.0,15912123.0,143226.0,"111,097,672  ",Asia,74,"4,177",7,,,425,Dummy,Dummy
24,Iraq,1483014,,17789.0,,1348303,,116922,658.0,36031.0,432.0,12467303.0,302907.0,"41,158,888 ",Asia,28,"2,314",3,,,"2,841",Dummy,Dummy
25,Canada,1422918,,26492.0,,1391722,,4704,294.0,37360.0,696.0,37679387.0,989308.0,"38,086,613 ",North America,27,"1,438",1,,,124,Dummy,Dummy
26,Belgium,1103413,,25209.0,,1051372,,26832,86.0,94777.0,2165.0,16330887.0,1402735.0,"11,642,175 ",Europe,11,462,1,,,"2,305",Dummy,Dummy
27,Sweden,1094287,,14609.0,,1072204,"+2,188",7474,23.0,107654.0,1437.0,11153755.0,1097287.0,"10,164,851 ",Europe,9,696,1,,,735,Dummy,Dummy
28,Bangladesh,1092411,,17669.0,,923163,,151579,1303.0,6565.0,106.0,7215581.0,43364.0,"166,396,831 ",Asia,152,"9,417",23,,,911,Dummy,Dummy
29,Romania,1081588,,34252.0,,1046719,,617,32.0,56617.0,1793.0,10196912.0,533766.0,"19,103,716 ",Europe,18,558,2,,,32,Dummy,Dummy
30,Pakistan,989275,2607.0,22781.0,21.0,919163,834,47331,2508.0,4390.0,101.0,15393974.0,68313.0,"225,345,563 ",Asia,228,"9,892",15,12,0.09,210,Dummy,Dummy
31,Portugal,927424,,17199.0,,860449,,49776,173.0,91231.0,1692.0,14366687.0,1413253.0,"10,165,690 ",Europe,11,591,1,,,"4,896",Dummy,Dummy
32,Malaysia,905851,,6866.0,,779171,,119814,908.0,27620.0,209.0,16272826.0,496164.0,"32,797,254 ",Asia,36,"4,777",2,,,"3,653",Dummy,Dummy
33,Israel,850968,,6446.0,,837944,,6578,58.0,91247.0,691.0,15748346.0,1688650.0,"9,326,000 ",Asia,11,"1,447",1,,,705,Dummy,Dummy
34,Japan,834618,,15027.0,,795388,,24203,382.0,6620.0,119.0,17458236.0,138478.0,"126,072,503 ",Asia,151,"8,390",7,,,192,Dummy,Dummy
35,Hungary,808725,,30015.0,,742632,,36078,10.0,83938.0,3115.0,6238275.0,647476.0,"9,634,761 ",Europe,12,321,2,,,"3,745",Dummy,Dummy
36,Jordan,760550,,9887.0,,742730,,7933,507.0,73779.0,959.0,8210864.0,796511.0,"10,308,543 ",Asia,14,"1,043",1,,,770,Dummy,Dummy
37,Serbia,718465,,7080.0,,709307,,2078,6.0,82576.0,814.0,4548523.0,522780.0,"8,700,646 ",Europe,12,"1,229",2,,,239,Dummy,Dummy
38,Switzerland,707976,,10902.0,,690364,,6710,29.0,81185.0,1250.0,8735091.0,1001670.0,"8,720,525 ",Europe,12,800,1,,,769,Dummy,Dummy
39,Nepal,665886,,9527.0,,630407,,25952,,22435.0,321.0,3463057.0,116675.0,"29,681,109 ",Asia,45,"3,115",9,,,874,Dummy,Dummy
40,UAE,659449,,1896.0,,637267,,20286,,65848.0,189.0,62457571.0,6236592.0,"10,014,696 ",Asia,15,"5,282",0,,,"2,026",Dummy,Dummy
41,Austria,653412,,10728.0,,639422,,3262,36.0,72121.0,1184.0,61529534.0,6791396.0,"9,059,925 ",Europe,14,845,0,,,360,Dummy,Dummy
42,Morocco,555488,,9434.0,,530801,,15253,277.0,14866.0,252.0,7174898.0,192019.0,"37,365,638 ",Africa,67,"3,961",5,,,408,Dummy,Dummy
43,Lebanon,550492,,7884.0,,535216,,7392,54.0,81032.0,1161.0,4731376.0,696452.0,"6,793,547 ",Asia,12,862,1,,,"1,088",Dummy,Dummy
44,Tunisia,540798,,17354.0,,429646,,93798,630.0,45265.0,1453.0,2078851.0,174002.0,"11,947,297 ",Africa,22,688,6,,,"7,851",Dummy,Dummy
45,Saudi Arabia,508521,,8063.0,,489553,,10905,1386.0,14374.0,228.0,23644943.0,668364.0,"35,377,332 ",Asia,70,"4,388",1,,,308,Dummy,Dummy
46,Kazakhstan,488905,5493.0,4956.0,47.0,430060,"+2,823",53889,221.0,25718.0,261.0,11575012.0,608880.0,"19,010,324 ",Asia,39,"3,836",2,289,2,"2,835",Dummy,Dummy
47,Ecuador,475215,,21933.0,,437167,,16115,427.0,26516.0,1224.0,1605583.0,89590.0,"17,921,506 ",South America,38,817,11,,,899,Dummy,Dummy
48,Bolivia,461714,896.0,17443.0,37.0,389170,"+1,191",55101,200.0,39001.0,1473.0,1980665.0,167306.0,"11,838,579 ",South America,26,679,6,76,3,"4,654",Dummy,Dummy
49,Greece,455754,,12816.0,,414538,,28400,124.0,43950.0,1236.0,11653059.0,1123737.0,"10,369,919 ",Europe,23,809,1,,,"2,739",Dummy,Dummy
50,Paraguay,444427,,14230.0,,402305,,27892,487.0,61524.0,1970.0,1623814.0,224791.0,"7,223,663 ",South America,16,508,4,,,"3,861",Dummy,Dummy
