#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,25656835,15120.0,547420.0,1092.0,15735998,"+8,807",9373417,35011.0,,,,,,North America,"
",,
,Asia,21321636,6382.0,346500.0,97.0,19809127,"+6,095",1166009,24218.0,,,,,,Asia,"
",,
,South America,13809316,2263.0,373898.0,24.0,12335174,616,1100244,18533.0,,,,,,South America,"
",,
,Europe,25542546,19923.0,582043.0,224.0,13682488,"+26,084",11278015,28585.0,,,,,,Europe,"
",,
,Africa,3001908,,71559.0,,2444863,,485486,2517.0,,,,,,Africa,"
",,
,Oceania,48944,12.0,1067.0,,33622,5,14255,21.0,,,,,,Australia/Oceania,"
",,
,World,89381906,43700.0,1922502.0,1437.0,64041978,"+41,607",23417426,108885.0,11467.0,246.6,,,,All,"
",,
1,USA,22456902,,378149.0,,13259949,,8818804,29140.0,67637.0,1139.0,267513048.0,805717.0,"332,018,597 ",North America,15,878,1
2,India,10432526,,150835.0,,10056651,716,225040,8944.0,7521.0,109.0,180253315.0,129951.0,"1,387,086,244 ",Asia,133,"9,196",8
3,Brazil,8015920,,201542.0,,7114474,,699904,8318.0,37572.0,945.0,28600000.0,134052.0,"213,349,602 ",South America,27,"1,059",7
4,Russia,3355794,,60911.0,,2731129,,563754,2300.0,22990.0,417.0,92900000.0,636444.0,"145,967,334 ",Europe,43,"2,396",2
5,UK,2957472,,79833.0,,1364821,,1512818,2929.0,43446.0,1173.0,58860706.0,864674.0,"68,072,743 ",Europe,23,853,1
6,France,2747135,,67431.0,,201286,,2478418,2615.0,42038.0,1032.0,37239217.0,569849.0,"65,349,297 ",Europe,24,969,2
7,Turkey,2307581,,22450.0,,2182145,,102986,3094.0,27208.0,265.0,25865406.0,304972.0,"84,812,453 ",Asia,37,"3,778",3
8,Italy,2237890,,77911.0,,1589590,,570389,2587.0,37042.0,1290.0,27579516.0,456501.0,"60,415,065 ",Europe,27,775,2
9,Spain,2050360,,51874.0,,0,N/A,0,2318.0,43845.0,1109.0,27839319.0,595311.0,"46,764,292 ",Europe,23,901,2
10,Germany,1895139,,40401.0,,1511800,"+17,700",342938,5569.0,22581.0,481.0,35118592.0,418455.0,"83,924,420 ",Europe,44,"2,077",2
11,Colombia,1755568,,45431.0,,1597160,,112977,3482.0,34311.0,888.0,8556831.0,167237.0,"51,165,808 ",South America,29,"1,126",6
12,Argentina,1703352,,44273.0,,1494896,,164183,3602.0,37509.0,975.0,5157845.0,113578.0,"45,412,349 ",South America,27,"1,026",9
