#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39600574,3945.0,888309.0,302.0,32355733,"+2,111",6356532,14536.0,,,,,,North America,"
",,,,,
,Asia,50084674,11740.0,663343.0,163.0,45579708,"+18,621",3841623,30777.0,,,,,,Asia,"
",,,,,
,South America,28153114,3213.0,764226.0,102.0,25408615,"+1,474",1980273,29515.0,,,,,,South America,"
",,,,,
,Europe,46357211,1975.0,1065748.0,16.0,43071974,,2219489,16974.0,,,,,,Europe,"
",,,,,
,Africa,4830593,,129620.0,,4355069,,345904,2702.0,,,,,,Africa,"
",,,,,
,Oceania,67845,16.0,1249.0,,65232,2,1364,2.0,,,,,,Australia/Oceania,"
",,,,,
,World,169094732,20889.0,3512510.0,583.0,150837037,"+22,043",14745185,94506.0,21693.0,450.6,,,,All,"
",,,,,
1,USA,33971207,,606179.0,,27662268,,5702760,6718.0,102093.0,1822.0,476140243.0,1430929.0,"332,749,077 ",North America,10,549,1,,,"17,138"
2,India,27369093,1158.0,315263.0,,24633951,"+7,937",2419879,8944.0,19659.0,226.0,336969353.0,242041.0,"1,392,197,806 ",Asia,51,"4,416",4,0.8,,"1,738"
3,Brazil,16275440,,454623.0,,14733987,,1086830,8318.0,76082.0,2125.0,49076549.0,229417.0,"213,918,438 ",South America,13,471,4,,,"5,081"
4,France,5621696,,109023.0,,5266459,,246214,3330.0,85954.0,1667.0,83438591.0,1275749.0,"65,403,599 ",Europe,12,600,1,,,"3,765"
5,Turkey,5212123,,46787.0,,5057713,,107623,1561.0,61208.0,549.0,53038651.0,622852.0,"85,154,445 ",Asia,16,"1,820",2,,,"1,264"
6,Russia,5026168,,119600.0,,4642090,,264478,2300.0,34428.0,819.0,136400000.0,934305.0,"145,990,848 ",Europe,29,"1,221",1,,,"1,812"
7,UK,4470297,,127748.0,,4308117,,34432,128.0,65540.0,1873.0,179165196.0,2626789.0,"68,206,927 ",Europe,15,534,0,,,505
8,Italy,4201827,,125622.0,,3816176,,260029,1278.0,69588.0,2080.0,65179575.0,1079460.0,"60,381,675 ",Europe,14,481,1,,,"4,306"
9,Germany,3667041,,88479.0,,3438800,,139762,3002.0,43642.0,1053.0,59197639.0,704523.0,"84,025,168 ",Europe,23,950,1,,,"1,663"
10,Spain,3657886,,79855.0,,3408668,,169363,1489.0,78208.0,1707.0,49708830.0,1062811.0,"46,771,097 ",Europe,13,586,1,,,"3,621"
11,Argentina,3622135,,75588.0,,3181288,,365259,6644.0,79488.0,1659.0,13450530.0,295171.0,"45,568,568 ",South America,13,603,3,,,"8,016"
12,Colombia,3294101,,86180.0,,3078965,,128956,6582.0,64125.0,1678.0,16607115.0,323283.0,"51,370,178 ",South America,16,596,3,,,"2,510"
13,Poland,2868450,,73305.0,,2630581,,164564,925.0,75866.0,1939.0,15701138.0,415272.0,"37,809,245 ",Europe,13,516,2,,,"4,352"
14,Iran,2865864,,79219.0,,2379139,,407506,4587.0,33733.0,932.0,19185933.0,225828.0,"84,958,241 ",Asia,30,"1,072",4,,,"4,797"
15,Mexico,2402722,2932.0,222232.0,272.0,1919821,"+1,863",260669,4798.0,18461.0,1708.0,6983441.0,53657.0,"130,149,918 ",North America,54,586,19,23,2,"2,003"
16,Ukraine,2189858,,49893.0,,1990051,,149914,177.0,50345.0,1147.0,10076621.0,231664.0,"43,496,628 ",Europe,20,872,4,,,"3,447"
17,Peru,1937245,,68634.0,,1720665,,147946,2676.0,58029.0,2056.0,12614761.0,377867.0,"33,384,107 ",South America,17,486,3,,,"4,432"
18,Indonesia,1791221,,49771.0,,1645263,,96187,,6487.0,180.0,16312891.0,59078.0,"276,122,408 ",Asia,154,"5,548",17,,,348
