#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40524704,3087.0,916640.0,49.0,33970442,"+2,514",5637622,11007.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,55428484,13293.0,785062.0,97.0,52818342,"+15,927",1825080,26445.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,32590356,922.0,995281.0,30.0,29479465,"+1,537",2115610,30825.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,47792644,357.0,1099430.0,9.0,45277346,"+2,459",1415868,7412.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5461223,,141519.0,,4773896,,545808,4742.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,73797,280.0,1276.0,2.0,68643,28,3878,29.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,181871929,17939.0,3939223.0,187.0,166388840,"+22,465",11543866,80460.0,23332.0,505.4,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34494677,,619424.0,,28927335,,4947918,3838.0,103613.0,1861.0,503784831.0,1513238.0,"332,918,463 ",North America,10,537,1,,,"14,862",Dummy,Dummy
2,India,30279331,368.0,396761.0,,29309607,"+7,347",572963,8944.0,21731.0,285.0,406371279.0,291644.0,"1,393,383,096 ",Asia,46,"3,512",3,0.3,,411,Dummy,Dummy
3,Brazil,18420598,,513544.0,,16613992,,1293062,8318.0,86057.0,2399.0,53209627.0,248585.0,"214,050,342 ",South America,12,417,4,,,"6,041",Dummy,Dummy
4,France,5770021,,110968.0,,5602951,,56102,1345.0,88205.0,1696.0,92527219.0,1414439.0,"65,416,191 ",Europe,11,590,1,,,858,Dummy,Dummy
5,Russia,5451291,,133282.0,,4956714,,361295,2300.0,37339.0,913.0,147900000.0,1013039.0,"145,996,301 ",Europe,27,"1,095",1,,,"2,475",Dummy,Dummy
6,Turkey,5409027,,49576.0,,5275231,,84220,736.0,63461.0,582.0,60105441.0,705184.0,"85,233,747 ",Asia,16,"1,719",1,,,988,Dummy,Dummy
7,UK,4732434,,128100.0,,4316514,,287820,259.0,69352.0,1877.0,207164164.0,3035904.0,"68,238,042 ",Europe,14,533,0,,,"4,218",Dummy,Dummy
8,Argentina,4405247,,92568.0,,4027510,,285169,6953.0,96596.0,2030.0,16428316.0,360232.0,"45,604,793 ",South America,10,493,3,,,"6,253",Dummy,Dummy
9,Italy,4258069,,127472.0,,4073435,,57162,294.0,70528.0,2111.0,71132502.0,1178199.0,"60,373,933 ",Europe,14,474,1,,,947,Dummy,Dummy
10,Colombia,4158716,,104678.0,,3854457,,199581,8155.0,80881.0,2036.0,19619249.0,381567.0,"51,417,568 ",South America,12,491,3,,,"3,882",Dummy,Dummy
11,Spain,3782463,,80779.0,,3575883,,125801,641.0,80869.0,1727.0,51240666.0,1095526.0,"46,772,674 ",Europe,12,579,1,,,"2,690",Dummy,Dummy
12,Germany,3734472,,91313.0,,3620800,"+1,400",22359,736.0,44432.0,1086.0,63813168.0,759242.0,"84,048,530 ",Europe,23,920,1,,,266,Dummy,Dummy
13,Iran,3167741,,83845.0,,2835633,,248263,3190.0,37245.0,986.0,23308926.0,274054.0,"85,052,233 ",Asia,27,"1,014",4,,,"2,919",Dummy,Dummy
14,Poland,2879638,,74979.0,,2651522,,153137,171.0,76170.0,1983.0,17249401.0,456265.0,"37,805,635 ",Europe,13,504,2,,,"4,051",Dummy,Dummy
15,Mexico,2505792,2384.0,232564.0,43.0,1990610,"+2,514",282618,4798.0,19236.0,1785.0,7454371.0,57223.0,"130,268,281 ",North America,52,560,17,18,0.3,"2,170",Dummy,Dummy
16,Ukraine,2234281,285.0,52295.0,9.0,2163792,723,18194,177.0,51394.0,1203.0,10806892.0,248584.0,"43,473,777 ",Europe,19,831,4,7,0.2,419,Dummy,Dummy
17,Indonesia,2115304,,57138.0,,1850481,,0,,7654.0,207.0,19539205.0,70698.0,"276,375,136 ",Asia,131,"4,837",14,,,751,Dummy,Dummy
18,Peru,2048115,,191899.0,,0,N/A,0,2421.0,61276.0,5741.0,14084148.0,421375.0,"33,424,275 ",South America,16,174,2,,,"4,055",Dummy,Dummy
19,South Africa,1928897,,59900.0,,1709999,,158998,546.0,32124.0,998.0,12968748.0,215982.0,"60,045,515 ",Africa,31,"1,002",5,,,"2,648",Dummy,Dummy
20,Netherlands,1683271,,17741.0,,1623577,,41953,155.0,98022.0,1033.0,14596733.0,850015.0,"17,172,324 ",Europe,10,968,1,,,"2,443",Dummy,Dummy
21,Czechia,1666947,57.0,30298.0,,1635183,1,1466,7.0,155374.0,2824.0,28906706.0,2694358.0,"10,728,608 ",Europe,6,354,0,5,,137,Dummy,Dummy
22,Chile,1547103,,32298.0,,1484410,,30395,3061.0,80252.0,1675.0,16839796.0,873521.0,"19,278,058 ",South America,12,597,1,,,"1,577",Dummy,Dummy
23,Canada,1413203,,26227.0,,1378350,,8626,512.0,37123.0,689.0,36527044.0,959507.0,"38,068,549 ",North America,27,"1,452",1,,,227,Dummy,Dummy
24,Philippines,1397992,,24372.0,,1321050,,52570,1957.0,12592.0,220.0,14795458.0,133271.0,"111,017,965 ",Asia,79,"4,555",8,,,474,Dummy,Dummy
25,Iraq,1325700,,17091.0,,1231225,,77384,562.0,32248.0,416.0,11577950.0,281637.0,"41,109,446 ",Asia,31,"2,405",4,,,"1,882",Dummy,Dummy
26,Sweden,1088896,,14584.0,,1054273,297,20039,64.0,107160.0,1435.0,10574760.0,1040678.0,"10,161,416 ",Europe,9,697,1,,,"1,972",Dummy,Dummy
27,Belgium,1082476,,25160.0,,1025525,,31791,175.0,93001.0,2162.0,15022137.0,1290625.0,"11,639,425 ",Europe,11,463,1,,,"2,731",Dummy,Dummy
28,Romania,1080630,,33253.0,,1045351,,2026,92.0,56546.0,1740.0,9738839.0,509602.0,"19,110,690 ",Europe,18,575,2,,,106,Dummy,Dummy
29,Pakistan,955657,914.0,22231.0,20.0,901201,910,32225,1961.0,4245.0,99.0,14460890.0,64239.0,"225,110,797 ",Asia,236,"10,126",16,4,0.09,143,Dummy,Dummy
30,Bangladesh,888406,,14172.0,,804103,,70131,1187.0,5342.0,85.0,6506781.0,39125.0,"166,307,241 ",Asia,187,"11,735",26,,,422,Dummy,Dummy
31,Portugal,874547,,17084.0,,825684,,31779,116.0,86016.0,1680.0,12926064.0,1271336.0,"10,167,308 ",Europe,12,595,1,,,"3,126",Dummy,Dummy
32,Israel,840888,,6429.0,,833279,,1180,23.0,90166.0,689.0,14924182.0,1600277.0,"9,326,000 ",Asia,11,"1,451",1,,,127,Dummy,Dummy
33,Hungary,807910,,29980.0,,737233,,40697,22.0,83842.0,3111.0,6094415.0,632457.0,"9,636,095 ",Europe,12,321,2,,,"4,223",Dummy,Dummy
34,Japan,794457,,14657.0,,761912,,17888,567.0,6301.0,116.0,16221298.0,128645.0,"126,093,567 ",Asia,159,"8,603",8,,,142,Dummy,Dummy
