#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,36275657,1752.0,825579.0,289.0,28026140,"+3,775",7423938,15484.0,,,,,,North America,"
",,
,South America,21668882,458.0,567866.0,20.0,19364228,485,1736788,21509.0,,,,,,South America,"
",,
,Asia,29555224,9248.0,435957.0,112.0,26778556,"+6,504",2340711,26584.0,,,,,,Asia,"
",,
,Europe,40565153,16649.0,929417.0,517.0,28702715,"+26,117",10933021,31732.0,,,,,,Europe,"
",,
,Africa,4314455,,114361.0,,3863313,,336781,3092.0,,,,,,Africa,"
",,
,Oceania,58565,24.0,1149.0,,34622,15,22794,6.0,,,,,,Australia/Oceania,"
",,
,World,132438657,28131.0,2874344.0,938.0,106770280,"+36,896",22794033,98407.0,16991.0,368.8,,,,All,"
",,
1,USA,31496976,,569282.0,,24058562,,6869132,8767.0,94734.0,1712.0,410979696.0,1236107.0,"332,479,117 ",North America,11,584,1
2,Brazil,13023189,,333153.0,,11436189,,1253847,8318.0,60939.0,1559.0,28600000.0,133827.0,"213,708,216 ",South America,16,641,7
3,India,12686049,1572.0,165577.0,,11732279,"+2,234",788193,8944.0,9125.0,119.0,250231269.0,179983.0,"1,390,308,750 ",Asia,110,"8,397",6
4,France,4833263,,96875.0,,300064,,4436324,5433.0,73922.0,1482.0,67392433.0,1030725.0,"65,383,531 ",Europe,14,675,1
5,Russia,4589540,,100717.0,,4211133,,277690,2300.0,31439.0,690.0,121900000.0,835034.0,"145,982,158 ",Europe,32,"1,449",1
6,UK,4362150,,126862.0,,3912562,,322726,517.0,64001.0,1861.0,127546869.0,1871359.0,"68,157,337 ",Europe,16,537,1
7,Italy,3678944,,111326.0,,2997522,,570096,3737.0,60916.0,1843.0,51302838.0,849469.0,"60,394,015 ",Europe,16,542,1
