#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1575183,North America,North America,,5734.0,292.0,"+3,264",,18878.0,,3076970,166678.0,1335109.0,,
,"
",,,832150,South America,South America,,848.0,44.0,359,,12780.0,,2147683,82386.0,1233147.0,,
,"
",,,872498,Europe,Europe,,,,,,5773.0,,2413519,190725.0,1350296.0,,
,"
",,,717516,Asia,Asia,,4511.0,52.0,"+3,025",,19004.0,,2215944,54838.0,1443590.0,,
,"
",,,190278,Africa,Africa,,,,,,907.0,,385219,9698.0,185243.0,,
,"
",,,680,Australia/Oceania,Oceania,,80.0,,28,,1.0,,9404,126.0,8598.0,,
,"
",,,4188360,All,World,64.7,11173.0,388.0,"+6,676",,57347.0,,10249460,504466.0,5556634.0,,1315.0
1,126,"2,577",10,1415184,North America,USA,388.0,,,,"330,991,690 ",15825.0,98469.0,2637077,128437.0,1093456.0,32592368.0,7967.0
2,158,"3,686",70,553748,South America,Brazil,271.0,,,,"212,549,934 ",8318.0,14196.0,1345254,57658.0,733848.0,3017350.0,6329.0
3,230,"16,084",8,226277,Europe,Russia,62.0,,,,"145,934,278 ",2300.0,130504.0,634437,9073.0,399087.0,19044954.0,4347.0
4,"2,513","83,696",164,210936,Asia,India,12.0,,,,"1,379,900,425 ",8944.0,6086.0,549197,16487.0,321774.0,8398362.0,398.0
5,218,"1,559",7,0,Europe,UK,642.0,,,N/A,"67,884,107 ",276.0,135453.0,311151,43550.0,0.0,9195132.0,4584.0
6,158,"1,650",9,0,Europe,Spain,606.0,,,N/A,"46,754,725 ",617.0,110425.0,295850,28343.0,0.0,5162909.0,6328.0
7,118,"3,538",20,102104,South America,Peru,283.0,,,,"32,967,364 ",1178.0,49901.0,279419,9317.0,167998.0,1645112.0,8476.0
8,70,"3,470",18,34263,South America,Chile,288.0,,,,"19,115,048 ",2090.0,56481.0,271982,5509.0,232210.0,1079644.0,14229.0
9,252,"1,741",11,16681,Europe,Italy,575.0,,,,"60,462,004 ",98.0,87900.0,240310,34738.0,188891.0,5314619.0,3975.0
10,377,"7,992",52,28851,Asia,Iran,125.0,,,,"83,983,070 ",2946.0,19181.0,222669,10508.0,183310.0,1610869.0,2651.0
11,595,"4,838",232,63361,North America,Mexico,207.0,4050.0,267.0,"+3,046","128,921,905 ",378.0,4314.0,216852,26648.0,126843.0,556198.0,1682.0
12,"1,069","52,997",175,106938,Asia,Pakistan,19.0,3557.0,49.0,"+2,783","220,838,058 ",2437.0,5715.0,206512,4167.0,95407.0,1262162.0,935.0
13,428,"16,545",26,21547,Asia,Turkey,60.0,,,,"84,331,681 ",996.0,38896.0,197239,5097.0,170595.0,3280144.0,2339.0
14,430,"9,279",15,8135,Europe,Germany,108.0,,,,"83,782,788 ",364.0,64603.0,194864,9029.0,177700.0,5412655.0,2326.0
15,191,"22,442",23,56187,Asia,Saudi Arabia,45.0,,,,"34,808,107 ",2277.0,44416.0,182493,1551.0,124755.0,1546037.0,5243.0
16,401,"2,192",47,57509,Europe,France,456.0,,,,"65,272,959 ",634.0,21213.0,162936,29778.0,75649.0,1384633.0,2496.0
17,429,"24,146",38,66753,Africa,South Africa,41.0,,,,"59,301,892 ",539.0,26426.0,138134,2456.0,68925.0,1567084.0,2329.0
18,"1,195","94,751",225,80322,Asia,Bangladesh,11.0,,,,"164,676,701 ",1.0,4452.0,137787,1738.0,55727.0,733197.0,837.0
19,366,"4,429",14,28537,North America,Canada,226.0,,,,"37,739,798 ",2090.0,70925.0,103250,8522.0,66191.0,2676705.0,2736.0
20,30,"25,526",8,15601,Asia,Qatar,39.0,,,,"2,807,805 ",201.0,124351.0,94413,110.0,78702.0,349153.0,33625.0
21,554,"16,381",70,50383,South America,Colombia,61.0,,,,"50,878,506 ",335.0,14266.0,91769,3106.0,38280.0,725828.0,1804.0
22,"1,569","36,684",758,44860,Africa,Egypt,27.0,,,,"102,310,546 ",41.0,1320.0,65188,2789.0,17539.0,135000.0,637.0
23,155,"1,913",23,0,Europe,Sweden,523.0,,,N/A,"10,098,898 ",171.0,44025.0,65137,5280.0,0.0,444607.0,6450.0
24,154,"24,672",10,16065,Europe,Belarus,41.0,,,,"9,449,331 ",89.0,103690.0,61475,383.0,45027.0,979800.0,6506.0
25,189,"1,191",10,34622,Europe,Belgium,840.0,,,,"11,589,377 ",35.0,102849.0,61295,9732.0,16941.0,1191959.0,5289.0
26,754,"36,682",134,38567,South America,Argentina,27.0,,,,"45,192,735 ",457.0,7456.0,59933,1232.0,20134.0,336951.0,1326.0
27,319,"3,983",122,23768,South America,Ecuador,251.0,,,,"17,640,260 ",288.0,8223.0,55255,4429.0,27058.0,145048.0,3132.0
28,"5,064","99,310",355,28320,Asia,Indonesia,10.0,,,,"273,500,352 ",,2818.0,54010,2754.0,22936.0,770600.0,197.0
29,342,"2,807",30,0,Europe,Netherlands,356.0,,,N/A,"17,134,727 ",29.0,33700.0,50147,6105.0,0.0,577437.0,2927.0
30,207,"31,595",3,11073,Asia,UAE,32.0,,,,"9,889,348 ",1.0,317109.0,47797,313.0,36411.0,3136000.0,4833.0
31,886,"22,898",77,22524,Asia,Iraq,44.0,,,,"40,209,615 ",324.0,12956.0,45402,1756.0,21122.0,520948.0,1129.0
32,95,"12,270",11,9100,Asia,Kuwait,82.0,,,,"4,269,925 ",149.0,88839.0,44942,348.0,35494.0,379338.0,10525.0
33,135,"225,001",9,5925,Asia,Singapore,4.0,,,,"5,850,036 ",1.0,116984.0,43459,26.0,37508.0,684359.0,7429.0
34,"1,017","38,737",68,22919,Europe,Ukraine,26.0,,,,"43,733,708 ",91.0,14678.0,42982,1129.0,18934.0,641911.0,983.0
35,245,"6,520",9,13016,Europe,Portugal,153.0,,,,"10,196,747 ",75.0,108080.0,41646,1564.0,27066.0,1102066.0,4084.0
36,134,"31,316",28,16787,Asia,Oman,32.0,,,,"5,104,563 ",118.0,35802.0,38150,163.0,21200.0,182753.0,7474.0
37,"3,090","88,077",159,24525,Asia,Philippines,11.0,,,,"109,567,290 ",149.0,6305.0,35455,1244.0,9686.0,690799.0,324.0
38,"1,116","26,319",25,11921,Europe,Poland,38.0,,,,"37,846,702 ",83.0,39475.0,33907,1438.0,20548.0,1493993.0,896.0
39,136,"7,142",34,15612,North America,Panama,140.0,,,,"4,314,039 ",140.0,29107.0,31686,604.0,15470.0,125570.0,7345.0
40,274,"4,411",15,555,Europe,Switzerland,227.0,,,,"8,654,218 ",11.0,65044.0,31617,1962.0,29100.0,562909.0,3653.0
41,370,"11,510",165,21993,South America,Bolivia,87.0,848.0,44.0,359,"11,671,488 ",71.0,6072.0,31524,1014.0,8517.0,70872.0,2701.0
42,346,"14,941",74,13505,North America,Dominican Republic,67.0,,,,"10,847,066 ",201.0,13465.0,31373,726.0,17142.0,146060.0,2892.0
43,"1,257","53,975",550,17642,Asia,Afghanistan,19.0,,,,"38,915,799 ",19.0,1819.0,30967,721.0,12604.0,70788.0,796.0
44,731,"11,934",28,5887,Europe,Romania,84.0,,,,"19,237,623 ",217.0,36122.0,26313,1612.0,18814.0,694909.0,1368.0
45,66,"20,486",3,5105,Asia,Bahrain,49.0,,,,"1,700,330 ",41.0,319814.0,25705,83.0,20517.0,543790.0,15118.0
46,194,"2,846",12,340,Europe,Ireland,351.0,,,,"4,937,325 ",12.0,84868.0,25439,1735.0,23364.0,419021.0,5152.0
47,120,"6,956",27,11103,Asia,Armenia,144.0,,,,"2,963,223 ",10.0,36843.0,24645,426.0,13116.0,109173.0,8317.0
48,"8,388","364,708","1,583",14995,Africa,Nigeria,3.0,,,,"206,060,232 ",7.0,632.0,24567,565.0,9007.0,130164.0,119.0
49,387,"28,923",10,6363,Asia,Israel,35.0,,,,"9,197,590 ",39.0,103181.0,23755,318.0,17074.0,949012.0,2583.0
50,880,"105,476",13,8216,Asia,Kazakhstan,9.0,547.0,,109,"18,774,740 ",121.0,78167.0,21327,178.0,12933.0,1467556.0,1136.0
51,"6,877","130,254",280,914,Asia,Japan,8.0,,,,"126,476,934 ",45.0,3572.0,18390,971.0,16505.0,451772.0,145.0
52,548,"20,674",201,15728,North America,Honduras,48.0,1075.0,,108,"9,902,905 ",58.0,4979.0,18082,479.0,1875.0,49308.0,1826.0
53,510,"12,829",15,551,Europe,Austria,78.0,,,,"9,006,112 ",9.0,66901.0,17654,702.0,16401.0,602520.0,1960.0
54,"1,058","24,638",570,13051,North America,Guatemala,41.0,533.0,21.0,29,"17,911,535 ",5.0,1755.0,16930,727.0,3152.0,31427.0,945.0
55,"1,855","277,359",108,3910,Africa,Ghana,4.0,,,,"31,064,229 ",6.0,9286.0,16742,112.0,12720.0,288465.0,539.0
56,617,"51,205",22,7200,Asia,Azerbaijan,20.0,,,,"10,138,515 ",66.0,45555.0,16424,198.0,9026.0,461861.0,1620.0
57,248,"7,611",64,6639,Europe,Moldova,131.0,,,,"4,033,978 ",469.0,15699.0,16250,530.0,9081.0,63328.0,4028.0
58,622,"32,361",23,1312,Europe,Serbia,31.0,,,,"8,737,397 ",31.0,44145.0,14046,270.0,12464.0,385713.0,1608.0
59,"3,303","48,876",,3005,Africa,Algeria,20.0,,,,"43,841,592 ",48.0,,13273,897.0,9371.0,,303.0
60,"2,281","1,040,378",57,9731,Asia,Nepal,1.0,,,,"29,130,572 ",,17597.0,12772,28.0,3013.0,512605.0,438.0
61,"4,019","181,805",41,1046,Asia,S. Korea,6.0,42.0,,65,"51,269,046 ",15.0,24575.0,12757,282.0,11429.0,1259954.0,249.0
62,457,"9,590",6,563,Europe,Denmark,104.0,,,,"5,792,111 ",11.0,172430.0,12675,604.0,11508.0,998736.0,2188.0
63,"2,107","84,778",,2179,Africa,Cameroon,12.0,,,,"26,535,561 ",52.0,,12592,313.0,10100.0,,475.0
64,"3,062","166,999",57,3091,Africa,Morocco,6.0,,,,"36,906,754 ",7.0,17509.0,12052,221.0,8740.0,646195.0,327.0
65,923,"30,773",20,3550,Europe,Czechia,32.0,,,,"10,708,909 ",10.0,50792.0,11603,348.0,7705.0,543925.0,1083.0
66,"4,735","76,633","109,312",4671,Africa,Sudan,13.0,,,,"43,834,152 ",,9.0,9257,572.0,4014.0,401.0,211.0
67,"2,897","399,517",499,5227,Africa,Ivory Coast,3.0,,,,"26,368,136 ",,2006.0,9101,66.0,3808.0,52885.0,345.0
68,612,"21,771",17,468,Europe,Norway,46.0,,,,"5,420,960 ",4.0,57769.0,8855,249.0,8138.0,313162.0,1633.0
69,"3,748","267,456",43,195,Asia,Malaysia,4.0,,,,"32,362,186 ",2.0,23174.0,8634,121.0,8318.0,749950.0,267.0
70,"4,167","1,521,105",30,2680,Asia,Uzbekistan,0.7,83.0,,,"33,464,319 ",25.0,33505.0,8031,22.0,5329.0,1121236.0,240.0
71,"3,284","245,167",11,653,Australia/Oceania,Australia,4.0,78.0,,28,"25,497,348 ",1.0,94497.0,7764,104.0,7007.0,2409420.0,305.0
72,770,"16,892",23,270,Europe,Finland,59.0,,,,"5,540,690 ",1.0,42865.0,7198,328.0,6600.0,237500.0,1299.0
73,"13,111","570,132",,5685,Africa,DRC,2.0,,,,"89,510,737 ",,,6827,157.0,985.0,,76.0
74,"2,541","159,397",216,2190,Africa,Senegal,6.0,,,,"16,736,698 ",27.0,4629.0,6586,105.0,4291.0,77482.0,394.0
75,343,"7,285",36,3479,Europe,North Macedonia,137.0,,,,"2,083,374 ",55.0,27789.0,6080,286.0,2315.0,57895.0,2918.0
76,"8,856","375,907",325,3956,Africa,Kenya,3.0,,,,"53,754,658 ",18.0,3073.0,6070,143.0,1971.0,165196.0,113.0
77,"1,093","42,671",41,2225,North America,El Salvador,23.0,,,,"6,486,034 ",169.0,24329.0,5934,152.0,3557.0,157799.0,915.0
78,"1,630","183,357",,1349,Asia,Tajikistan,5.0,,,,"9,534,586 ",,,5849,52.0,4448.0,,613.0
79,"1,950","109,628","1,006",4956,North America,Haiti,9.0,70.0,4.0,81,"11,401,294 ",,994.0,5847,104.0,787.0,11332.0,513.0
80,"20,200","1,172,647",465,3459,Africa,Ethiopia,0.9,,,,"114,919,381 ",33.0,2149.0,5689,98.0,2132.0,246911.0,50.0
81,"2,457","423,445",911,1029,Africa,Guinea,2.0,,,,"13,126,809 ",24.0,1098.0,5342,31.0,4282.0,14407.0,407.0
82,"5,368","646,274",23,3604,South America,Venezuela,2.0,,,,"28,436,047 ",10.0,43613.0,5297,44.0,1649.0,1240181.0,186.0
83,427,"55,624",64,2842,Africa,Gabon,18.0,,,,"2,224,952 ",10.0,15629.0,5209,40.0,2327.0,34774.0,2341.0
84,"1,300","130,460",31,2673,Asia,Kyrgyzstan,8.0,269.0,3.0,52,"6,522,998 ",30.0,32518.0,5017,50.0,2294.0,212112.0,769.0
85,"1,481","31,728",52,1964,Europe,Bulgaria,32.0,,,,"6,948,396 ",25.0,19228.0,4691,219.0,2508.0,133605.0,675.0
86,213,"18,997",21,243,Africa,Djibouti,53.0,,,,"987,855 ",,46564.0,4643,52.0,4348.0,45998.0,4700.0
87,148,"5,690",4,154,Europe,Luxembourg,176.0,,,,"625,866 ",1.0,283155.0,4242,110.0,3978.0,177217.0,6778.0
88,"1,120","36,886",336,2604,Africa,Mauritania,27.0,,,,"4,647,660 ",21.0,2978.0,4149,126.0,1419.0,13842.0,893.0
89,"2,332","16,627",36,876,Europe,Hungary,60.0,,,,"9,660,387 ",9.0,28073.0,4142,581.0,2685.0,271194.0,429.0
90,834,"18,432",37,1419,Europe,Bosnia and Herzegovina,54.0,,,,"3,280,813 ",4.0,26990.0,3935,178.0,2338.0,88548.0,1199.0
91,86,"24,880",37,2200,South America,French Guiana,40.0,,,,"298,557 ",21.0,27000.0,3461,12.0,1249.0,8061.0,11592.0
92,"1,408","107,307",208,2685,Africa,CAR,9.0,,,,"4,828,794 ",2.0,4806.0,3429,45.0,699.0,23208.0,710.0
93,"3,087","54,571",34,1811,Europe,Greece,18.0,,,,"10,423,071 ",10.0,29275.0,3376,191.0,1374.0,305137.0,324.0
94,"22,074","1,203,436",149,51,Asia,Thailand,0.8,,,,"69,799,283 ",1.0,6707.0,3162,58.0,3053.0,468175.0,45.0
95,"1,627","339,585",132,1749,North America,Costa Rica,3.0,,,,"5,093,778 ",5.0,7558.0,3130,15.0,1366.0,38500.0,614.0
96,"5,489","176,506",,1917,Africa,Somalia,6.0,,,,"15,885,583 ",2.0,,2894,90.0,887.0,,182.0
97,"1,526","38,367",54,432,Europe,Croatia,26.0,,,,"4,105,260 ",,18578.0,2691,107.0,2152.0,76266.0,656.0
98,109,"8,522",31,258,Africa,Mayotte,117.0,,,,"272,715 ",8.0,32268.0,2508,32.0,2218.0,8800.0,9196.0
99,"1,198","52,324",126,963,Europe,Albania,19.0,,,,"2,877,804 ",15.0,7962.0,2402,55.0,1384.0,22912.0,835.0
100,"4,857","131,705",68,45,North America,Cuba,8.0,,,,"11,326,633 ",,14685.0,2332,86.0,2201.0,166335.0,206.0
101,233,"67,554",11,405,Asia,Maldives,15.0,,,,"540,433 ",9.0,89933.0,2324,8.0,1911.0,48603.0,4300.0
102,"3,052","89,512",,858,North America,Nicaragua,11.0,,,,"6,623,866 ",,,2170,74.0,1238.0,,328.0
103,"9,427","177,548","1,580",601,Africa,Mali,6.0,,,,"20,240,494 ",,633.0,2147,114.0,1432.0,12807.0,106.0
104,"3,353","475,450",106,1047,South America,Paraguay,2.0,,,,"7,131,756 ",3.0,9390.0,2127,15.0,1065.0,66966.0,298.0
105,"13,320","1,537,756","1,320",1116,Africa,Madagascar,0.7,,,,"27,679,605 ",24.0,757.0,2078,18.0,944.0,20964.0,75.0
106,"10,512","1,946,620",212,365,Asia,Sri Lanka,0.5,,,,"21,412,817 ",1.0,4727.0,2037,11.0,1661.0,101226.0,95.0
107,701,"43,815",88,1454,Africa,Equatorial Guinea,23.0,,,,"1,402,064 ",,11412.0,2001,32.0,515.0,16000.0,1427.0
108,"2,563","1,274,918",60,1539,Asia,Palestine,0.8,,,,"5,099,671 ",,16593.0,1990,4.0,447.0,84621.0,390.0
109,"5,627","310,905","1,095",1707,Africa,South Sudan,3.0,,,,"11,192,592 ",1.0,914.0,1989,36.0,246.0,10226.0,178.0
110,668,"19,225",13,100,Europe,Estonia,52.0,,,,"1,326,532 ",,79663.0,1987,69.0,1818.0,105676.0,1498.0
111,186,"34,123",5,12,Europe,Iceland,29.0,,,,"341,230 ",,218105.0,1838,10.0,1816.0,74424.0,5386.0
112,"1,500","34,899",7,234,Europe,Lithuania,29.0,,,,"2,722,138 ",16.0,153093.0,1815,78.0,1503.0,416739.0,667.0
113,"3,923","200,749",53,553,Asia,Lebanon,5.0,,,,"6,825,461 ",8.0,18884.0,1740,34.0,1153.0,128894.0,255.0
114,"3,281","194,987",26,175,Europe,Slovakia,5.0,,,,"5,459,634 ",,38263.0,1664,28.0,1461.0,208904.0,305.0
115,"1,219","89,423","1,312",1275,Africa,Guinea-Bissau,11.0,,,,"1,967,307 ",5.0,762.0,1614,22.0,317.0,1500.0,820.0
116,"1,315","18,729",21,86,Europe,Slovenia,53.0,,,,"2,078,937 ",,48252.0,1581,111.0,1384.0,100313.0,760.0
117,"11,802","835,230",352,224,Africa,Zambia,1.0,,,,"18,375,054 ",1.0,2841.0,1557,22.0,1311.0,52195.0,85.0
118,"3,274","227,368",13,22,Australia/Oceania,New Zealand,4.0,2.0,,,"5,002,100 ",,79069.0,1528,22.0,1484.0,395510.0,305.0
119,"5,589","132,914",,424,Africa,Sierra Leone,8.0,,,,"7,974,851 ",,,1427,60.0,943.0,,179.0
120,"6,247","1,070,938",23,89,Asia,Hong Kong,0.9,,,,"7,496,568 ",1.0,42886.0,1200,7.0,1104.0,321498.0,160.0
121,"10,109","236,353",171,90,Africa,Tunisia,4.0,,,,"11,817,631 ",,5850.0,1169,50.0,1029.0,69137.0,99.0
122,481,"46,328",356,573,Africa,Cabo Verde,22.0,,,,"555,938 ",,2806.0,1155,12.0,570.0,1560.0,2078.0
123,"10,547","757,377",216,827,Africa,Benin,1.0,,,,"12,118,025 ",2.0,4629.0,1149,16.0,306.0,56094.0,95.0
124,"16,686","1,470,922","1,520",873,Africa,Malawi,0.7,,,,"19,121,991 ",4.0,658.0,1146,13.0,260.0,12578.0,60.0
125,"9,101","1,133,595",27,252,Asia,Jordan,0.9,,,,"10,202,353 ",3.0,36728.0,1121,9.0,860.0,374708.0,110.0
126,"26,670","98,731","248,473",386,Asia,Yemen,10.0,,,,"29,816,738 ",,4.0,1118,302.0,430.0,120.0,37.0
127,"1,690","62,871",13,154,Europe,Latvia,16.0,,,,"1,886,143 ",1.0,78422.0,1116,30.0,932.0,147916.0,592.0
128,"5,075","149,081",,594,Africa,Congo,7.0,,,,"5,515,990 ",,,1087,37.0,456.0,,197.0
129,"22,521","361,007","3,724",68,Africa,Niger,3.0,,,,"24,187,492 ",,269.0,1074,67.0,939.0,6495.0,44.0
130,"1,215","63,542",8,142,Asia,Cyprus,16.0,,,,"1,207,303 ",,128741.0,994,19.0,833.0,155429.0,823.0
131,"21,787","394,218",,76,Africa,Burkina Faso,3.0,,,,"20,893,548 ",,,959,53.0,830.0,,46.0
132,"3,739","128,655",54,84,South America,Uruguay,8.0,,,,"3,473,677 ",2.0,18593.0,929,27.0,818.0,64586.0,267.0
133,"4,317","265,945",39,124,Asia,Georgia,4.0,,,,"3,989,181 ",5.0,25507.0,924,15.0,785.0,101753.0,232.0
134,"14,386","6,473,615",94,455,Africa,Rwanda,0.2,,,,"12,947,230 ",,10639.0,900,2.0,443.0,137751.0,70.0
135,"18,958","221,859",,12,Africa,Chad,5.0,,,,"16,417,537 ",,,866,74.0,780.0,,53.0
136,"36,368","6,248,058","1,093",626,Africa,Mozambique,0.2,,,,"31,240,292 ",,915.0,859,5.0,228.0,28586.0,27.0
137,"53,217",,268,65,Africa,Uganda,,,,,"45,713,182 ",,3736.0,859,,794.0,170789.0,19.0
138,90,"1,486",21,4,Europe,Andorra,673.0,,,,"77,265 ",,48534.0,855,52.0,799.0,3750.0,11066.0
139,"1,485","105,461",98,398,Africa,Eswatini,9.0,,,,"1,160,069 ",5.0,10234.0,781,11.0,372.0,11872.0,673.0
140,"6,583","148,703",,436,Africa,Liberia,7.0,,,,"5,055,917 ",,,768,34.0,298.0,,152.0
141,"9,016","327,162",298,545,Africa,Libya,3.0,,,,"6,870,395 ",,3359.0,762,21.0,196.0,23075.0,111.0
142,307,"16,855",124,481,Africa,Sao Tome and Principe,59.0,,,,"219,109 ",,8092.0,713,13.0,219.0,1773.0,3254.0
143,,,,48,,Diamond Princess,,,,, ,4.0,,712,13.0,651.0,,
144,49,808,6,0,Europe,San Marino,1238.0,,,,"33,931 ",,167074.0,698,42.0,656.0,5669.0,20571.0
145,"4,254","296,110",124,134,North America,Jamaica,3.0,6.0,,,"2,961,104 ",,8065.0,696,10.0,552.0,23881.0,235.0
146,659,"49,060",5,25,Europe,Malta,20.0,,,,"441,538 ",,213001.0,670,9.0,636.0,94048.0,1517.0
147,"12,891","591,132",273,227,Africa,Togo,2.0,,,,"8,275,852 ",2.0,3663.0,642,14.0,401.0,30316.0,78.0
148,304,"3,699",17,12,Europe,Channel Islands,270.0,,,,"173,851 ",,58987.0,571,47.0,512.0,10255.0,3284.0
149,"26,209","2,476,790",224,419,Africa,Zimbabwe,0.4,,,,"14,860,738 ",,4457.0,567,6.0,142.0,66238.0,38.0
150,"1,718","447,636",52,47,Africa,Réunion,2.0,,,,"895,272 ",3.0,19212.0,521,2.0,472.0,17200.0,582.0
151,"117,297","2,843,065",,305,Africa,Tanzania,0.4,,,,"59,704,359 ",7.0,,509,21.0,183.0,,9.0
152,"1,197","53,327",472,280,South America,Suriname,19.0,,,,"586,594 ",6.0,2121.0,490,11.0,199.0,1244.0,835.0
153,"1,306","57,097",48,155,Europe,Montenegro,18.0,,,,"628,066 ",,20995.0,481,11.0,315.0,13186.0,766.0
154,"53,281","3,402,374",313,5,Asia,Taiwan,0.3,,,,"23,816,619 ",,3200.0,447,7.0,435.0,76209.0,19.0
155,"274,175",,354,25,Asia,Vietnam,,,,,"97,332,241 ",1.0,2825.0,355,,330.0,275000.0,4.0
156,"3,730","127,176",7,5,Africa,Mauritius,8.0,,,,"1,271,761 ",,135082.0,341,10.0,326.0,171792.0,268.0
157,253,"3,543",14,0,Europe,Isle of Man,282.0,,,,"85,031 ",,73773.0,336,24.0,312.0,6273.0,3952.0
158,"181,965","9,067,931",742,75,Asia,Myanmar,0.1,,,,"54,407,586 ",,1347.0,299,6.0,218.0,73278.0,5.0
159,"3,196","124,193",,104,Africa,Comoros,8.0,,,,"869,348 ",,,272,7.0,161.0,,313.0
160,"123,022","2,986,077","3,285",175,Africa,Angola,0.3,,,,"32,846,848 ",6.0,304.0,267,11.0,81.0,10000.0,8.0
161,"68,337","1,943,796",,145,Asia,Syria,0.5,,,,"17,494,168 ",,,256,9.0,102.0,,15.0
162,"1,551","26,805",,130,North America,Martinique,37.0,,,,"375,266 ",,,242,14.0,98.0,,645.0
163,"3,420","65,544",325,109,South America,Guyana,15.0,,,,"786,533 ",1.0,3081.0,230,12.0,109.0,2423.0,292.0
164,"14,899",,148,45,Asia,Mongolia,,1.0,,,"3,277,714 ",9.0,6765.0,220,,175.0,22175.0,67.0
165,335,"65,715",3,9,North America,Cayman Islands,15.0,,,,"65,715 ",,344777.0,196,1.0,186.0,22657.0,2983.0
166,"18,565",,,138,Africa,Eritrea,,,,,"3,545,943 ",,,191,,53.0,,54.0
167,261,,4,0,Europe,Faeroe Islands,,,,,"48,862 ",,265523.0,187,,187.0,12974.0,3827.0
168,"13,882",,292,159,Africa,Namibia,,,,,"2,540,354 ",1.0,3427.0,183,,24.0,8706.0,72.0
169,"2,198","28,580",49,11,North America,Guadeloupe,35.0,,,,"400,124 ",2.0,20591.0,182,14.0,157.0,8239.0,455.0
170,190,,3,1,Europe,Gibraltar,,,,,"33,691 ",,377697.0,177,,176.0,12725.0,5254.0
171,"69,908","11,884,315","24,106",54,Africa,Burundi,0.08,,,,"11,884,315 ",,41.0,170,1.0,115.0,493.0,14.0
172,427,"6,920",6,3,North America,Bermuda,145.0,,,,"62,278 ",1.0,175343.0,146,9.0,134.0,10920.0,2344.0
173,"3,102","145,816",15,0,Asia,Brunei ,7.0,,,,"437,447 ",,66547.0,141,3.0,138.0,29111.0,322.0
174,"118,558",,472,11,Asia,Cambodia,,,,1,"16,716,714 ",1.0,2118.0,141,,130.0,35410.0,8.0
175,"11,107","174,934",282,9,North America,Trinidad and Tobago,6.0,,,,"1,399,468 ",,3551.0,126,8.0,109.0,4969.0,90.0
176,"3,781","35,747",165,6,North America,Bahamas,28.0,,,,"393,216 ",1.0,6073.0,104,11.0,87.0,2388.0,264.0
177,381,"9,810",2,4,Europe,Monaco,102.0,,,,"39,240 ",,412844.0,103,4.0,95.0,16200.0,2625.0
178,"1,057","35,588",44,0,North America,Aruba,28.0,,,,"106,764 ",,22545.0,101,3.0,98.0,2407.0,946.0
179,"2,963","41,053",37,0,North America,Barbados,24.0,,,,"287,374 ",1.0,26989.0,97,7.0,90.0,7756.0,338.0
180,"25,554","2,351,007",64,66,Africa,Botswana,0.4,,,,"2,351,007 ",1.0,15682.0,92,1.0,25.0,36868.0,39.0
