#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,10578991,8942.0,343275.0,460.0,7038802.0,"+6,262",3196914,20073.0,,,,,,North America,"
",,
,Asia,13096745,26062.0,233685.0,570.0,11526486.0,"+33,865",1336574,21117.0,,,,,,Asia,"
",,
,South America,9327961,167.0,287106.0,19.0,8272018.0,434,768837,18033.0,,,,,,South America,"
",,
,Europe,8261902,67580.0,249681.0,568.0,3445589.0,"+18,843",4566632,16035.0,,,,,,Europe,"
",,
,Africa,1720459,1647.0,41213.0,5.0,1405975.0,859,273271,2062.0,,,,,,Africa,"
",,
,Oceania,35893,15.0,959.0,,31250.0,5,3684,17.0,,,,,,Australia/Oceania,"
",,
,World,43022672,104413.0,1155934.0,1622.0,31720779.0,"+60,268",10145959,77341.0,5519.0,148.3,,,,All,"
",,
1,USA,8829951,2019.0,230085.0,17.0,5741991.0,380,2857875,16369.0,26627.0,694.0,132211112.0,398687.0,"331,616,304 ",North America,38,"1,441",3
2,India,7866740,2848.0,118593.0,26.0,7078123.0,"+2,400",670024,8944.0,5683.0,86.0,102523469.0,74063.0,"1,384,271,181 ",Asia,176,"11,672",14
3,Brazil,5381224,,156926.0,,4817898.0,,406400,8318.0,25260.0,737.0,21900000.0,102799.0,"213,036,330 ",South America,40,"1,358",10
4,Russia,1513877,16710.0,26050.0,229.0,1138522.0,"+7,704",349305,2300.0,10372.0,178.0,57300000.0,392588.0,"145,954,385 ",Europe,96,"5,603",3
5,Spain,1110372,,34752.0,,0.0,N/A,0,2031.0,23746.0,743.0,15503165.0,331544.0,"46,760,544 ",Europe,42,"1,346",3
6,France,1086497,,34645.0,,109486.0,,942366,2441.0,16634.0,530.0,14637427.0,224090.0,"65,319,392 ",Europe,60,"1,885",4
7,Argentina,1081336,,28613.0,,881113.0,,171610,4850.0,23857.0,631.0,2804114.0,61865.0,"45,326,314 ",South America,42,"1,584",16
8,Colombia,1007711,,30000.0,,907379.0,,70332,2365.0,19738.0,588.0,4718734.0,92428.0,"51,053,257 ",South America,51,"1,702",11
9,Mexico,886800,6025.0,88743.0,431.0,646739.0,"+5,664",151318,2781.0,6855.0,686.0,2288589.0,17692.0,"129,358,368 ",North America,146,"1,458",57
10,Peru,886214,,34095.0,,803846.0,,48273,1044.0,26761.0,1030.0,4367969.0,131901.0,"33,115,484 ",South America,37,971,8
11,UK,854010,,44745.0,,0.0,N/A,0,743.0,12559.0,658.0,31157988.0,458213.0,"67,998,844 ",Europe,80,"1,520",2
12,South Africa,714246,,18944.0,,644641.0,,50661,546.0,11995.0,318.0,4677942.0,78564.0,"59,542,957 ",Africa,83,"3,143",13
13,Iran,568896,6191.0,32616.0,296.0,455054.0,"+4,163",81226,4969.0,6746.0,387.0,4719597.0,55966.0,"84,329,667 ",Asia,148,"2,586",18
14,Italy,504509,,37210.0,,264117.0,,203182,1128.0,8348.0,616.0,14492122.0,239803.0,"60,433,453 ",Europe,120,"1,624",4
15,Chile,500542,,13892.0,,476576.0,,10074,729.0,26114.0,725.0,4081078.0,212912.0,"19,167,892 ",South America,38,"1,380",5
16,Iraq,449153,,10568.0,,378209.0,,60376,433.0,11090.0,261.0,2739678.0,67644.0,"40,501,318 ",Asia,90,"3,832",15
17,Germany,429181,1373.0,10111.0,,317000.0,"+2,900",102070,1203.0,5117.0,121.0,20380376.0,243003.0,"83,868,935 ",Europe,195,"8,295",4
18,Bangladesh,398815,1308.0,5803.0,23.0,315107.0,"+1,544",77905,,2414.0,35.0,2257589.0,13665.0,"165,205,282 ",Asia,414,"28,469",73
19,Indonesia,389712,3732.0,13299.0,94.0,313764.0,"+4,545",62649,,1420.0,48.0,4327144.0,15768.0,"274,432,288 ",Asia,704,"20,636",63
20,Philippines,370028,2223.0,6977.0,43.0,328036.0,"+14,944",35015,1562.0,3363.0,63.0,4550712.0,41356.0,"110,037,564 ",Asia,297,"15,771",24
21,Turkey,359784,,9727.0,,313093.0,,36964,1699.0,4252.0,115.0,13105673.0,154869.0,"84,624,109 ",Asia,235,"8,700",6
22,Saudi Arabia,344552,,5281.0,,330995.0,,8276,788.0,9849.0,151.0,7670348.0,219259.0,"34,983,025 ",Asia,102,"6,624",5
23,Ukraine,343498,6088.0,6391.0,102.0,141508.0,"+1,753",195599,177.0,7869.0,146.0,2991893.0,68544.0,"43,649,444 ",Europe,127,"6,830",15
24,Pakistan,327895,832.0,6736.0,9.0,310491.0,390,10668,562.0,1476.0,30.0,4264053.0,19188.0,"222,223,177 ",Asia,678,"32,990",52
25,Israel,309413,,2372.0,,291206.0,,15835,548.0,33641.0,258.0,4401559.0,478556.0,"9,197,590 ",Asia,30,"3,878",2
26,Belgium,305409,17709.0,10737.0,79.0,22878.0,361,271794,708.0,26316.0,925.0,4525669.0,389956.0,"11,605,601 ",Europe,38,"1,081",3
27,Netherlands,281052,,7019.0,,0.0,N/A,0,499.0,16391.0,409.0,2901903.0,169238.0,"17,146,915 ",Europe,61,"2,443",6
28,Poland,253688,11742.0,4438.0,87.0,112619.0,"+3,275",136631,947.0,6705.0,117.0,4330602.0,114465.0,"37,833,389 ",Europe,149,"8,525",9
29,Czechia,250797,,2077.0,,94902.0,,153818,772.0,23406.0,194.0,2021471.0,188653.0,"10,715,295 ",Europe,43,"5,159",5
30,Canada,213959,,9922.0,,179636.0,,24401,215.0,5653.0,262.0,9552469.0,252401.0,"37,846,371 ",North America,177,"3,814",4
31,Romania,205793,,6318.0,,147932.0,,51543,787.0,10720.0,329.0,3036643.0,158188.0,"19,196,475 ",Europe,93,"3,038",6
32,Morocco,194461,,3255.0,,160372.0,,30834,699.0,5249.0,88.0,3176249.0,85734.0,"37,047,765 ",Africa,191,"11,382",12
33,Ecuador,159614,,12542.0,,134187.0,,12885,372.0,9004.0,708.0,516984.0,29164.0,"17,726,685 ",South America,111,"1,413",34
34,Nepal,155233,,842.0,,108334.0,,46057,,5298.0,29.0,1380862.0,47129.0,"29,299,748 ",Asia,189,"34,798",21
