#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,40614193,6796.0,918502.0,269.0,34103594,"+3,201",5592097,10941.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,55851371,16392.0,792036.0,165.0,53234630,"+17,677",1824705,26504.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,32911345,2001.0,1005040.0,65.0,29890117,"+2,075",2016188,30030.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,47982001,1515.0,1102752.0,55.0,45429563,"+4,164",1449686,7010.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,5554718,7.0,143360.0,,4846702,,564656,4668.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,74944,462.0,1283.0,3.0,68857,36,4804,29.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,182989293,27173.0,3962988.0,557.0,167574169,"+27,153",11452136,79182.0,23476.0,508.4,,,,All,"
",,,,,,Dummy,Dummy
1,USA,34540845,,620249.0,,29026688,,4893908,3891.0,103747.0,1863.0,506159128.0,1520297.0,"332,934,343 ",North America,10,537,1,,,"14,699",Dummy,Dummy
2,India,30411634,1057.0,399475.0,,29488918,"+7,396",523241,8944.0,21824.0,287.0,412021494.0,295675.0,"1,393,494,216 ",Asia,46,"3,488",3,0.8,,375,Dummy,Dummy
3,Brazil,18559164,,518246.0,,16858632,,1182286,8318.0,86700.0,2421.0,53209627.0,248570.0,"214,062,708 ",South America,12,413,4,,,"5,523",Dummy,Dummy
4,France,5775301,,111082.0,,5618885,,45334,1204.0,88284.0,1698.0,93089184.0,1423004.0,"65,417,371 ",Europe,11,589,1,,,693,Dummy,Dummy
5,Russia,5514599,,135214.0,,5000393,,378992,2300.0,37772.0,926.0,149600000.0,1024680.0,"145,996,812 ",Europe,26,"1,080",1,,,"2,596",Dummy,Dummy
6,Turkey,5425652,,49732.0,,5294285,,81635,727.0,63651.0,583.0,60786975.0,713117.0,"85,241,182 ",Asia,16,"1,714",1,,,958,Dummy,Dummy
7,UK,4800907,,128140.0,,4324876,,347891,283.0,70352.0,1878.0,212221289.0,3109881.0,"68,240,959 ",Europe,14,533,0,,,"5,098",Dummy,Dummy
8,Argentina,4470374,,94304.0,,4076921,,299149,6308.0,98017.0,2068.0,16695671.0,366067.0,"45,608,189 ",South America,10,484,3,,,"6,559",Dummy,Dummy
9,Italy,4259909,,127566.0,,4081902,,50441,247.0,70560.0,2113.0,71583206.0,1185678.0,"60,373,207 ",Europe,14,473,1,,,835,Dummy,Dummy
10,Colombia,4240982,,106544.0,,3936156,,198282,8155.0,82474.0,2072.0,19936910.0,387712.0,"51,422,011 ",South America,12,483,3,,,"3,856",Dummy,Dummy
