#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,32608024,9928.0,726455.0,1096.0,21996140,"+7,321",9885429,24887.0,,,,,,North America,"
",,
,Asia,24237444,6097.0,388310.0,165.0,22787296,"+7,308",1061838,22207.0,,,,,,Asia,"
",,
,South America,17134701,789.0,446870.0,29.0,15524343,"+1,183",1163488,20023.0,,,,,,South America,"
",,
,Europe,32631051,36392.0,779376.0,858.0,21686352,"+36,988",10165323,26575.0,,,,,,Europe,"
",,
,Africa,3809573,162.0,99952.0,4.0,3346363,,363258,2407.0,,,,,,Africa,"
",,
,Oceania,50676,5.0,1083.0,,34225,8,15368,4.0,,,,,,Australia/Oceania,"
",,
,World,110472190,53373.0,2442061.0,2152.0,85375425,"+52,808",22654704,96103.0,14173.0,313.3,,,,All,"
",,
1,USA,28453526,,502544.0,,18596497,,9354485,18227.0,85644.0,1513.0,340260505.0,1024171.0,"332,230,330 ",North America,12,661,1
2,India,10950201,655.0,156038.0,,10656845,"+2,139",137318,8944.0,7886.0,112.0,208703791.0,150301.0,"1,388,567,856 ",Asia,127,"8,899",7
3,Brazil,9979276,,242178.0,,8950450,,786648,8318.0,46738.0,1134.0,28600000.0,133949.0,"213,514,482 ",South America,21,882,7
4,Russia,4125598,13447.0,81926.0,480.0,3661312,"+18,730",382360,2300.0,28263.0,561.0,107900000.0,739172.0,"145,974,150 ",Europe,35,"1,782",1
5,UK,4071185,,118933.0,,2282703,,1669549,2708.0,59772.0,1746.0,83527818.0,1226337.0,"68,111,637 ",Europe,17,573,1
6,France,3514147,,83122.0,,245737,,3185288,3350.0,53762.0,1272.0,49251253.0,753480.0,"65,365,037 ",Europe,19,786,1
7,Spain,3107172,,66316.0,,2410846,,630010,3909.0,66440.0,1418.0,37334915.0,798330.0,"46,766,264 ",Europe,15,705,1
8,Italy,2751657,,94540.0,,2268253,,388864,2043.0,45553.0,1565.0,36916289.0,611142.0,"60,405,387 ",Europe,22,639,2
9,Turkey,2609359,,27738.0,,2496833,,84788,1193.0,30730.0,327.0,31866086.0,375286.0,"84,911,581 ",Asia,33,"3,061",3
10,Germany,2362364,,67074.0,,2165900,"+11,300",129390,3352.0,28139.0,799.0,42872730.0,510672.0,"83,953,622 ",Europe,36,"1,252",2
11,Colombia,2207701,,58134.0,,2099628,,49939,3482.0,43098.0,1135.0,10987643.0,214497.0,"51,225,046 ",South America,23,881,5
12,Argentina,2039124,,50616.0,,1842878,,145630,3573.0,44858.0,1113.0,6947674.0,152838.0,"45,457,630 ",South America,22,898,7
13,Mexico,2013563,8988.0,177061.0,1075.0,1571071,"+7,079",265431,4798.0,15514.0,1364.0,5171357.0,39845.0,"129,787,433 ",North America,64,733,25
14,Poland,1605372,,41308.0,,1354598,,209466,1286.0,42447.0,1092.0,9178403.0,242685.0,"37,820,302 ",Europe,24,916,4
15,Iran,1542076,,59184.0,,1317612,,165280,3684.0,18213.0,699.0,10218318.0,120683.0,"84,670,389 ",Asia,55,"1,431",8
