#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,34820614,7211.0,796713.0,806.0,26211468,"+4,322",7812433,15715.0,,,,,,North America,"
",,
,South America,19585259,1068.0,506778.0,18.0,17554870,"+1,057",1523611,19413.0,,,,,,South America,"
",,
,Asia,26485691,7333.0,412766.0,92.0,24737161,"+5,637",1335764,23236.0,,,,,,Asia,"
",,
,Europe,36811433,32097.0,866977.0,402.0,26013286,"+7,060",9931170,27987.0,,,,,,Europe,"
",,
,Africa,4095103,,108885.0,,3664665,,321553,2619.0,,,,,,Africa,"
",,
,Oceania,52966,10.0,1104.0,,34381,,17481,4.0,,,,,,Australia/Oceania,"
",,
,World,121851787,47719.0,2693238.0,1318.0,98216537,"+18,076",20942012,88974.0,15632.0,345.5,,,,All,"
",,
1,USA,30294798,,550649.0,,22447275,,7296874,9271.0,91145.0,1657.0,384014761.0,1155354.0,"332,378,543 ",North America,11,604,1
2,Brazil,11700431,,285136.0,,10287057,,1128238,8318.0,54770.0,1335.0,28600000.0,133876.0,"213,629,898 ",South America,18,749,7
3,India,11474605,303.0,159250.0,,11063025,"+1,855",252330,8944.0,8257.0,115.0,230313163.0,165740.0,"1,389,604,984 ",Asia,121,"8,726",6
4,Russia,4418436,,93364.0,,4024975,,300097,2300.0,30268.0,640.0,116000000.0,794635.0,"145,978,921 ",Europe,33,"1,564",1
5,UK,4274579,,125831.0,,3568271,,580477,968.0,62733.0,1847.0,107731965.0,1581065.0,"68,138,862 ",Europe,16,542,1
6,France,4146609,,91437.0,,275360,,3779812,4219.0,63427.0,1399.0,57940302.0,886262.0,"65,376,055 ",Europe,16,715,1
7,Italy,3281810,,103432.0,,2639370,,539008,3317.0,54336.0,1712.0,45540778.0,754004.0,"60,398,612 ",Europe,18,584,1
8,Spain,3206116,,72793.0,,2857714,,275609,1997.0,68554.0,1556.0,41114319.0,879119.0,"46,767,645 ",Europe,15,642,1
9,Turkey,2930554,,29696.0,,2752023,,148835,1484.0,34485.0,349.0,35603028.0,418953.0,"84,980,970 ",Asia,29,"2,862",2
10,Germany,2610769,,74677.0,,2383600,,152492,2848.0,31090.0,889.0,47578793.0,566589.0,"83,974,064 ",Europe,32,"1,124",2
11,Colombia,2314154,,61498.0,,2212512,,40144,1982.0,45140.0,1200.0,12096794.0,235959.0,"51,266,512 ",South America,22,834,4
12,Argentina,2218425,,54231.0,,2003121,,161073,3485.0,48768.0,1192.0,8137605.0,178890.0,"45,489,326 ",South America,21,839,6
