#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Bangladesh,745322,,11053.0,,657452,,76817,,4489.0,67.0,5345501.0,32197.0,"166,025,032 ",Asia,223,"15,021",31,,,463
34,Jordan,702154,,8615.0,,668337,,25202,729.0,68266.0,838.0,6610353.0,642681.0,"10,285,590 ",Asia,15,"1,194",2,,,"2,450"
35,Serbia,679667,,6227.0,,619577,,53863,202.0,78046.0,715.0,3775363.0,433522.0,"8,708,589 ",Europe,13,"1,399",2,,,"6,185"
36,Switzerland,646509,,10595.0,,577630,,58284,238.0,74259.0,1217.0,6723694.0,772289.0,"8,706,193 ",Europe,13,822,1,,,"6,695"
37,Austria,608979,,10087.0,,573155,,25737,522.0,67303.0,1115.0,30688612.0,3391647.0,"9,048,293 ",Europe,15,897,0,,,"2,844"
38,Japan,562141,,9913.0,,501609,,50619,864.0,4456.0,79.0,11426388.0,90571.0,"126,159,919 ",Asia,224,"12,727",11,,,401
39,Lebanon,520939,,7142.0,,445163,,68634,641.0,76604.0,1050.0,3919971.0,576429.0,"6,800,445 ",Asia,13,952,2,,,"10,093"
40,UAE,510738,,1571.0,,492109,,17058,,51137.0,157.0,43116566.0,4317009.0,"9,987,602 ",Asia,20,"6,357",0,,,"1,708"
41,Morocco,509363,,8992.0,,495262,,5109,233.0,13668.0,241.0,6221767.0,166954.0,"37,266,452 ",Africa,73,"4,144",6,,,137
42,Saudi Arabia,412216,,6900.0,,395557,,9759,1246.0,11693.0,196.0,16586438.0,470480.0,"35,254,297 ",Asia,86,"5,109",2,,,277
43,Bulgaria,397500,,15907.0,,324943,,56650,746.0,57562.0,2303.0,2447180.0,354375.0,"6,905,625 ",Europe,17,434,3,,,"8,203"
44,Malaysia,392942,,1436.0,,367753,,23753,283.0,12015.0,44.0,9066170.0,277226.0,"32,703,216 ",Asia,83,"22,774",4,,,726
