#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
89,1361,Africa,Kenya,1.0,,,"53,660,593 ",7.0,1434.0,1888,63.0,464.0,76962.0,35.0
90,176,Europe,Estonia,51.0,,,"1,326,462 ",,62382.0,1865,67.0,1622.0,82747.0,1406.0
91,1800,North America,Haiti,4.0,281.0,6.0,"11,390,283 ",,402.0,1865,41.0,24.0,4577.0,164.0
92,2,Europe,Iceland,29.0,,,"341,055 ",,178930.0,1806,10.0,1794.0,61025.0,5295.0
93,562,Asia,Kyrgyzstan,2.0,26.0,,"6,514,462 ",4.0,17171.0,1748,16.0,1170.0,111859.0,268.0
94,293,Africa,Mayotte,77.0,,,"272,192 ",9.0,19104.0,1699,21.0,1385.0,5200.0,6242.0
95,1261,Asia,Maldives,9.0,,,"539,677 ",9.0,21819.0,1672,5.0,406.0,11775.0,3098.0
96,371,Europe,Lithuania,26.0,,,"2,725,125 ",17.0,109877.0,1670,70.0,1229.0,299428.0,613.0
97,829,Asia,Sri Lanka,0.5,7.0,,"21,405,720 ",1.0,2987.0,1620,10.0,781.0,63935.0,76.0
98,137,Europe,Slovakia,5.0,,,"5,459,425 ",,31321.0,1521,28.0,1356.0,170995.0,279.0
99,1,Australia/Oceania,New Zealand,4.0,,,"5,002,100 ",,56173.0,1504,22.0,1481.0,280983.0,301.0
100,8,Europe,Slovenia,52.0,,,"2,078,915 ",2.0,38432.0,1473,108.0,1357.0,79897.0,709.0
101,1143,South America,Venezuela,0.5,,,"28,442,404 ",3.0,34118.0,1459,14.0,302.0,970394.0,51.0
102,1176,Asia,Nepal,0.2,,,"29,088,995 ",,5974.0,1401,6.0,219.0,173784.0,48.0
103,1094,Africa,Equatorial Guinea,9.0,,,"1,398,393 ",,611.0,1306,12.0,200.0,854.0,934.0
104,1206,Africa,Guinea-Bissau,4.0,,,"1,963,612 ",,764.0,1256,8.0,42.0,1500.0,640.0
105,478,Africa,Mali,4.0,,,"20,194,089 ",,172.0,1250,76.0,696.0,3483.0,62.0
106,457,Asia,Lebanon,4.0,,,"6,827,871 ",4.0,12021.0,1191,26.0,708.0,82076.0,174.0
107,232,Europe,Albania,11.0,,,"2,878,052 ",5.0,5037.0,1122,33.0,857.0,14498.0,390.0
108,43,Asia,Hong Kong,0.5,,,"7,491,755 ",1.0,27087.0,1083,4.0,1036.0,202930.0,145.0
109,78,Africa,Tunisia,4.0,,,"11,807,839 ",2.0,4334.0,1076,48.0,950.0,51171.0,91.0
110,296,Europe,Latvia,13.0,,,"1,887,785 ",3.0,57302.0,1065,24.0,745.0,108174.0,564.0
111,847,Africa,Ethiopia,0.07,,,"114,693,065 ",5.0,930.0,1063,8.0,208.0,106615.0,9.0
112,271,Africa,Zambia,0.4,,,"18,334,102 ",1.0,1324.0,1057,7.0,779.0,24275.0,58.0
113,379,North America,Costa Rica,2.0,,,"5,090,096 ",4.0,5122.0,1047,10.0,658.0,26073.0,206.0
114,978,Africa,South Sudan,0.9,,,"11,182,197 ",,300.0,994,10.0,6.0,3356.0,89.0
115,487,South America,Paraguay,2.0,,,"7,124,815 ",2.0,4092.0,964,11.0,466.0,29153.0,135.0
116,938,Africa,CAR,0.2,,,"4,822,133 ",,3115.0,962,1.0,23.0,15021.0,199.0
117,74,Africa,Niger,3.0,,,"24,117,639 ",,250.0,956,64.0,818.0,6033.0,40.0
118,137,Asia,Cyprus,14.0,,,"1,206,608 ",4.0,95884.0,944,17.0,790.0,115694.0,782.0
119,391,Africa,Sierra Leone,6.0,,,"7,961,973 ",,,852,46.0,415.0,,107.0
120,74,Africa,Burkina Faso,3.0,,,"20,847,963 ",,,847,53.0,720.0,,41.0
121,117,South America,Uruguay,6.0,,,"3,472,725 ",5.0,12520.0,821,22.0,682.0,43479.0,236.0
122,21,Europe,Andorra,660.0,,,"77,255 ",4.0,48541.0,764,51.0,692.0,3750.0,9889.0
123,224,Africa,Chad,4.0,,,"16,380,040 ",,,759,65.0,470.0,,46.0
124,354,North America,Nicaragua,5.0,,,"6,617,623 ",,,759,35.0,370.0,,115.0
125,587,Africa,Madagascar,0.2,,,"27,623,015 ",8.0,371.0,758,6.0,165.0,10249.0,27.0
126,145,Asia,Georgia,3.0,,,"3,989,785 ",6.0,13439.0,757,12.0,600.0,53618.0,190.0
127,218,Asia,Jordan,0.9,,,"10,194,333 ",5.0,18014.0,734,9.0,507.0,183641.0,72.0
128,48,,Diamond Princess,,,,0,4.0,,712,13.0,651.0,,
129,272,Europe,San Marino,1238.0,,,"33,925 ",1.0,131643.0,671,42.0,357.0,4466.0,19779.0
130,84,Europe,Malta,20.0,,,"441,445 ",1.0,154126.0,618,9.0,525.0,68038.0,1400.0
131,282,North America,Jamaica,3.0,6.0,,"2,960,082 ",2.0,4185.0,581,9.0,290.0,12389.0,196.0
132,391,Africa,Congo,3.0,,,"5,505,196 ",,,571,19.0,161.0,,104.0
133,-10,Europe,Channel Islands,259.0,,,"173,724 ",,59030.0,560,45.0,525.0,10255.0,3224.0
134,305,Africa,Tanzania,0.4,,,"59,569,007 ",7.0,,509,21.0,183.0,,9.0
135,442,Africa,Mauritania,4.0,,,"4,637,943 ",,1650.0,483,20.0,21.0,7654.0,104.0
136,399,Africa,Sao Tome and Principe,55.0,,,"218,786 ",,800.0,479,12.0,68.0,175.0,2189.0
137,291,South America,French Guiana,3.0,,,"297,942 ",2.0,,477,1.0,185.0,,1601.0
138,59,Africa,Réunion,1.0,,,"894,766 ",1.0,19223.0,471,1.0,411.0,17200.0,526.0
139,76,Asia,Palestine,0.6,,,"5,090,250 ",,8816.0,447,3.0,368.0,44876.0,88.0
140,12,Asia,Taiwan,0.3,,,"23,813,214 ",,3027.0,442,7.0,423.0,72082.0,19.0
141,214,Africa,Togo,2.0,,,"8,260,436 ",,2385.0,433,13.0,206.0,19705.0,52.0
142,250,Africa,Cabo Verde,7.0,,,"555,459 ",,2353.0,421,4.0,167.0,1307.0,758.0
143,341,Africa,Uganda,,,,"45,598,170 ",,2083.0,413,,72.0,94990.0,9.0
144,108,Africa,Rwanda,0.08,,,"12,921,714 ",,5183.0,359,1.0,250.0,66976.0,28.0
145,3,Europe,Isle of Man,282.0,,,"84,995 ",,56533.0,336,24.0,309.0,4805.0,3953.0
146,3,Africa,Mauritius,8.0,,,"1,271,594 ",,91961.0,335,10.0,322.0,116937.0,263.0
147,49,Asia,Vietnam,,,,"97,262,917 ",1.0,2827.0,328,,279.0,275000.0,3.0
148,0,Europe,Montenegro,14.0,,,"628,060 ",,16188.0,324,9.0,315.0,10167.0,516.0
149,220,Asia,Yemen,3.0,,,"29,764,568 ",,4.0,310,77.0,13.0,120.0,10.0
150,113,Africa,Eswatini,2.0,,,"1,159,118 ",,4308.0,283,2.0,168.0,4994.0,244.0
151,105,Africa,Liberia,5.0,,,"5,046,473 ",,,280,27.0,148.0,,55.0
152,233,Africa,Malawi,0.2,,,"19,082,694 ",1.0,177.0,279,4.0,42.0,3372.0,15.0
153,152,Africa,Mozambique,0.06,,,"31,170,640 ",,329.0,244,2.0,90.0,10261.0,8.0
154,88,Asia,Myanmar,0.1,,,"54,378,732 ",,454.0,224,6.0,130.0,24710.0,4.0
155,85,Africa,Benin,0.2,,,"12,092,780 ",,2548.0,224,3.0,136.0,30817.0,19.0
156,88,North America,Martinique,37.0,,,"375,289 ",,,200,14.0,98.0,,533.0
157,0,Europe,Faeroe Islands,,,,"48,847 ",,197269.0,187,,187.0,9636.0,3828.0
158,135,Asia,Mongolia,,,,"3,273,528 ",19.0,4177.0,179,,44.0,13672.0,55.0
159,141,Africa,Zimbabwe,0.3,,,"14,843,588 ",,3140.0,174,4.0,29.0,46613.0,12.0
160,20,Europe,Gibraltar,,,,"33,692 ",,224178.0,169,,149.0,7553.0,5016.0
161,10,North America,Guadeloupe,35.0,,,"400,118 ",1.0,10339.0,162,14.0,138.0,4137.0,405.0
162,73,South America,Guyana,15.0,,,"786,232 ",2.0,2040.0,152,12.0,67.0,1604.0,193.0
163,1,Asia,Brunei ,5.0,,,"437,116 ",1.0,43764.0,141,2.0,138.0,19130.0,323.0
164,72,North America,Cayman Islands,15.0,,,"65,654 ",,169662.0,141,1.0,68.0,11139.0,2148.0
165,39,North America,Bermuda,144.0,,,"62,296 ",2.0,115112.0,140,9.0,92.0,7171.0,2247.0
166,75,Africa,Libya,0.7,,,"6,862,990 ",,815.0,130,5.0,50.0,5591.0,19.0
167,2,Asia,Cambodia,,,,"16,698,376 ",1.0,1222.0,125,,123.0,20406.0,7.0
168,75,Asia,Syria,0.2,,,"17,460,385 ",,,122,4.0,43.0,,7.0
169,1,North America,Trinidad and Tobago,6.0,1.0,,"1,399,110 ",,2243.0,117,8.0,108.0,3138.0,84.0
170,78,Africa,Comoros,2.0,,,"867,877 ",,,106,2.0,26.0,,122.0
171,43,North America,Bahamas,28.0,,,"392,918 ",1.0,5322.0,102,11.0,48.0,2091.0,260.0
172,0,North America,Aruba,28.0,,,"106,728 ",,19939.0,101,3.0,98.0,2128.0,946.0
173,5,Europe,Monaco,102.0,,,"39,218 ",1.0,,99,4.0,90.0,,2524.0
174,9,North America,Barbados,24.0,,,"287,346 ",1.0,18758.0,92,7.0,76.0,5390.0,320.0
