#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1367848,North America,North America,,5792.0,807.0,"+5,369",,19422.0,,2774792,156222.0,1250722.0,,
,"
",,,722638,South America,South America,,1105.0,47.0,"+15,307",,12536.0,,1817322,72629.0,1022055.0,,
,"
",,,872819,Europe,Europe,,,,,,6187.0,,2326847,187929.0,1266099.0,,
,"
",,,658006,Asia,Asia,,4960.0,107.0,"+2,144",,19249.0,,1945634,49155.0,1238473.0,,
,"
",,,156708,Africa,Africa,,,,,,502.0,,318321,8371.0,153242.0,,
,"
",,,497,Australia/Oceania,Oceania,,20.0,,2,,2.0,,9115,124.0,8494.0,,
,"
",,,3778571,All,World,60.9,11877.0,961.0,"+22,822",,57902.0,,9192752,474445.0,4939736.0,,1179.0
182,"11,180",,33,37,Asia,Bhutan,,1.0,,,"771,399 ",,30293.0,69,,32.0,23368.0,89.0
183,"40,311",,346,42,Africa,Namibia,,,,,"2,539,599 ",1.0,2887.0,63,,21.0,7331.0,25.0
184,"4,681",,61,0,Australia/Oceania,French Polynesia,,,,,"280,872 ",,16299.0,60,,60.0,4578.0,214.0
185,"14,425",,,0,Asia,Macao,,,,,"649,105 ",,,45,,45.0,,69.0
186,920,"12,883",56,3,North America,Saint Martin,78.0,,,,"38,648 ",1.0,17724.0,42,3.0,36.0,685.0,1087.0
187,"58,887","1,207,187","1,226",13,Africa,Gambia,0.8,,,,"2,414,374 ",,816.0,41,2.0,26.0,1970.0,17.0
188,"3,825",,149,3,North America,St. Vincent Grenadines,,,,,"110,933 ",,6725.0,29,,26.0,746.0,261.0
189,"3,766","32,637",200,1,North America,Antigua and Barbuda,31.0,,,,"97,910 ",1.0,4994.0,26,3.0,22.0,489.0,266.0
190,"54,905",,840,0,Asia,Timor-Leste,,,,,"1,317,720 ",,1190.0,24,,24.0,1568.0,18.0
191,"17,279","198,712",195,4,North America,Belize,5.0,1.0,,,"397,423 ",,5141.0,23,2.0,17.0,2043.0,58.0
192,"7,134","164,079",152,3,North America,Curaçao,6.0,,,,"164,079 ",,6582.0,23,1.0,19.0,1080.0,140.0
193,"4,892",,27,0,North America,Grenada,,,,,"112,512 ",,36707.0,23,,23.0,4130.0,204.0
194,"13,592",,35,0,Australia/Oceania,New Caledonia,,,,,"285,432 ",,28199.0,21,,21.0,8049.0,74.0
195,"382,777",,567,0,Asia,Laos,,,,,"7,272,765 ",,1764.0,19,,19.0,12829.0,3.0
196,"9,664",,116,1,North America,Saint Lucia,,,,,"183,609 ",,8627.0,19,,18.0,1584.0,103.0
197,"3,999",,116,0,North America,Dominica,,,,,"71,982 ",,8655.0,18,,18.0,623.0,250.0
198,"49,794",,224,0,Australia/Oceania,Fiji,,,,,"896,297 ",,4463.0,18,,18.0,4000.0,20.0
199,"3,546",,122,0,North America,Saint Kitts and Nevis,,,,,"53,190 ",,8178.0,15,,15.0,435.0,282.0
200,"2,765","38,703",93,2,North America,Turks and Caicos,26.0,,,,"38,703 ",,10749.0,14,1.0,11.0,416.0,362.0
201,267,,4,0,South America,Falkland Islands,,,,,"3,477 ",,282140.0,13,,13.0,981.0,3739.0
202,"4,367",,20,0,North America,Greenland,,,,,"56,768 ",,49852.0,13,,13.0,2830.0,229.0
203,67,,,0,Europe,Vatican City,,,,,801,,,12,,12.0,,14981.0
204,"178,488",,"1,002",10,Africa,Lesotho,,,,,"2,141,857 ",,998.0,12,,2.0,2137.0,6.0
205,454,"4,992",82,0,North America,Montserrat,200.0,,,,"4,992 ",,12220.0,11,1.0,10.0,61.0,2204.0
206,"8,939",,,0,Africa,Seychelles,,,,,"98,333 ",,,11,,11.0,,112.0
207,"59,687","596,871",,1,Africa,Western Sahara,2.0,,,,"596,871 ",,,10,1.0,8.0,,17.0
208,,,,7,,MS Zaandam,,,,, ,,,9,2.0,,,
209,"993,571",,"1,693",1,Australia/Oceania,Papua New Guinea,,,,,"8,942,139 ",,591.0,9,,8.0,5281.0,1.0
210,"3,778","30,226",143,0,North America,British Virgin Islands,33.0,,,,"30,226 ",,7014.0,8,1.0,7.0,212.0,265.0
211,"3,745",,62,0,North America,Caribbean Netherlands,,,,,"26,217 ",,16173.0,7,,7.0,424.0,267.0
212,"1,646",,65,0,North America,St. Barth,,,,,"9,876 ",,15391.0,6,,6.0,152.0,608.0
213,"5,000",,161,0,North America,Anguilla,,,,,"15,000 ",,6200.0,3,,3.0,93.0,200.0
214,"5,794",,,0,North America,Saint Pierre Miquelon,,,,,"5,794 ",,,1,,1.0,,173.0
215,"17,254","310,601",,359,Asia,China,3.0,22.0,,12,"1,439,323,776 ",11.0,,83418,4634.0,78425.0,,58.0
, ,,,1367848,North America,Total:,,5792.0,807.0,"+5,369",,19422.0,,2774792,156222.0,1250722.0,,
, ,,,722638,South America,Total:,,1105.0,47.0,"+15,307",,12536.0,,1817322,72629.0,1022055.0,,
, ,,,872819,Europe,Total:,,,,,,6187.0,,2326847,187929.0,1266099.0,,
, ,,,658006,Asia,Total:,,4960.0,107.0,"+2,144",,19249.0,,1945634,49155.0,1238473.0,,
, ,,,156708,Africa,Total:,,,,,,502.0,,318321,8371.0,153242.0,,
, ,,,497,Australia/Oceania,Total:,,20.0,,,,2.0,,9115,124.0,8494.0,,
, ,,,55,,Total:,,,,,,4.0,,721,15.0,651.0,,
,,,,161262,Europe,European Union,296.7655192869693,0.0,0.0,,,2537.0,59181.34437010442,1250665,132135.0,594630.0,26350524.0,2808.9018668712865
