#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39461755,3167.0,884707.0,351.0,32109167,"+3,622",6467881,14980.0,,,,,,North America,"
",,,,,
,Asia,48929156,13090.0,642543.0,144.0,44007356,"+20,544",4279257,31890.0,,,,,,Asia,"
",,,,,
,South America,27647386,,751694.0,,24902023,,1993669,28910.0,,,,,,South America,"
",,,,,
,Europe,46162108,6258.0,1060272.0,163.0,42647486,"+36,376",2454350,18758.0,,,,,,Europe,"
",,,,,
,Africa,4791745,,128540.0,,4316813,,346392,2847.0,,,,,,Africa,"
",,,,,
,Oceania,67253,25.0,1243.0,,64752,3,1258,3.0,,,,,,Australia/Oceania,"
",,,,,
,World,167060124,22540.0,3469014.0,658.0,148048303,"+60,545",15542807,97388.0,21432.0,445.0,,,,All,"
",,,,,
1,USA,33882333,,603876.0,,27471242,,5807215,7056.0,101832.0,1815.0,472538611.0,1420195.0,"332,727,903 ",North America,10,551,1,,,"17,453"
2,India,26530132,1286.0,299296.0,,23425467,"+6,944",2805369,8944.0,19058.0,215.0,328607937.0,236061.0,"1,392,049,645 ",Asia,52,"4,651",4,0.9,,"2,015"
3,Brazil,16047439,,448291.0,,14462432,,1136716,8318.0,75022.0,2096.0,49013934.0,229142.0,"213,901,950 ",South America,13,477,4,,,"5,314"
4,France,5593962,,108526.0,,5195781,,289655,3544.0,85532.0,1659.0,82263511.0,1257813.0,"65,402,025 ",Europe,12,603,1,,,"4,429"
5,Turkey,5178648,,46071.0,,5013111,,119466,1876.0,60822.0,541.0,52167387.0,612692.0,"85,144,532 ",Asia,16,"1,848",2,,,"1,403"
6,Russia,4992554,,118125.0,,4610465,,263964,2300.0,34198.0,809.0,135300000.0,926775.0,"145,990,167 ",Europe,29,"1,236",1,,,"1,808"
7,UK,4460446,,127716.0,,4299889,,32841,123.0,65400.0,1873.0,174655862.0,2560822.0,"68,203,037 ",Europe,15,534,0,,,482
8,Italy,4188190,,125153.0,,3779293,,283744,1430.0,69361.0,2073.0,64379095.0,1066185.0,"60,382,643 ",Europe,14,482,1,,,"4,699"
9,Germany,3653019,,87960.0,,3397100,"+9,300",167959,3477.0,43477.0,1047.0,59197639.0,704547.0,"84,022,248 ",Europe,23,955,1,,,"1,999"
10,Spain,3636453,,79620.0,,3356272,,200561,1655.0,77750.0,1702.0,48928535.0,1046132.0,"46,770,899 ",Europe,13,587,1,,,"4,288"
11,Argentina,3514683,,73688.0,,3083298,,357697,6138.0,77137.0,1617.0,13104928.0,287616.0,"45,564,040 ",South America,13,618,3,,,"7,850"
12,Colombia,3210787,,84228.0,,3011234,,115325,6582.0,62510.0,1640.0,16311464.0,317565.0,"51,364,254 ",South America,16,610,3,,,"2,245"
13,Poland,2864546,,72882.0,,2621686,,169978,1183.0,75762.0,1928.0,15448057.0,408574.0,"37,809,697 ",Europe,13,519,2,,,"4,496"
14,Iran,2823887,,78381.0,,2319746,,425760,4945.0,33243.0,923.0,18810335.0,221437.0,"84,946,492 ",Asia,30,"1,084",5,,,"5,012"
15,Mexico,2395330,2586.0,221597.0,341.0,1912690,"+3,503",261043,4798.0,18406.0,1703.0,6937483.0,53310.0,"130,135,123 ",North America,54,587,19,20,3,"2,006"
16,Ukraine,2182521,2533.0,49368.0,89.0,1950562,"+8,937",182591,177.0,50173.0,1135.0,9997488.0,229830.0,"43,499,485 ",Europe,20,881,4,58,2,"4,198"
17,Peru,1920851,,67807.0,,1720665,,132379,2664.0,57547.0,2031.0,12432321.0,372458.0,"33,379,086 ",South America,17,492,3,,,"3,966"
18,Indonesia,1769940,,49205.0,,1629495,,91240,,6411.0,178.0,16007720.0,57980.0,"276,090,817 ",Asia,156,"5,611",17,,,330
19,Czechia,1657893,334.0,30020.0,5.0,1607706,15,20167,162.0,154558.0,2799.0,22860689.0,2131203.0,"10,726,660 ",Europe,6,357,0,31,0.5,"1,880"
20,South Africa,1632571,,55772.0,,1537430,,39369,546.0,27222.0,930.0,11325572.0,188848.0,"59,971,970 ",Africa,37,"1,075",5,,,656
21,Netherlands,1622810,,17537.0,,1418317,,186956,588.0,94522.0,1021.0,13524699.0,787758.0,"17,168,606 ",Europe,11,979,1,,,"10,889"
22,Canada,1355765,,25203.0,,1274664,,55898,1344.0,35644.0,663.0,33979043.0,893338.0,"38,036,035 ",North America,28,"1,509",1,,,"1,470"
23,Chile,1323413,,28386.0,,1252970,,42057,2974.0,68706.0,1474.0,14283626.0,741547.0,"19,261,936 ",South America,15,679,1,,,"2,183"
24,Philippines,1178217,,19946.0,,1103945,,54326,1819.0,10627.0,180.0,12950682.0,116805.0,"110,874,491 ",Asia,94,"5,559",9,,,490
25,Iraq,1164149,,16158.0,,1076804,,71187,460.0,28380.0,394.0,10088740.0,245944.0,"41,020,452 ",Asia,35,"2,539",4,,,"1,735"
26,Romania,1075236,,29885.0,,1031605,,13746,623.0,56227.0,1563.0,8847502.0,462657.0,"19,123,244 ",Europe,18,640,2,,,719
