#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,32519300,9427.0,722710.0,1358.0,21862354,"+8,194",9934236,25331.0,,,,,,North America,"
",,
,Asia,24166528,3790.0,387361.0,80.0,22718356,"+6,238",1060811,22328.0,,,,,,Asia,"
",,
,South America,17053646,562.0,444974.0,40.0,15441805,"+1,098",1166867,20054.0,,,,,,South America,"
",,
,Europe,32466548,18489.0,774465.0,272.0,21490519,"+18,874",10201564,27189.0,,,,,,Europe,"
",,
,Africa,3795981,,99545.0,,3331862,,364574,2417.0,,,,,,Africa,"
",,
,Oceania,50649,9.0,1083.0,,34216,5,15350,4.0,,,,,,Australia/Oceania,"
",,
,World,110053373,32277.0,2430153.0,1750.0,84879818,"+34,409",22743402,97323.0,14119.0,311.8,,,,All,"
",,
1,USA,28381220,,499991.0,,18479418,,9401811,18716.0,85428.0,1505.0,337665908.0,1016377.0,"332,225,037 ",North America,12,664,1
2,India,10937320,214.0,155949.0,,10644858,"+1,955",136513,8944.0,7877.0,112.0,207977229.0,149782.0,"1,388,530,816 ",Asia,127,"8,904",7
3,Brazil,9921981,,240983.0,,8883191,,797807,8318.0,46471.0,1129.0,28600000.0,133951.0,"213,510,360 ",South America,22,886,7
4,Russia,4099323,,80979.0,,3624663,,393681,2300.0,28083.0,555.0,107300000.0,735063.0,"145,973,980 ",Europe,36,"1,803",1
5,UK,4058468,,118195.0,,2231199,,1709074,2805.0,59586.0,1735.0,83011108.0,1218768.0,"68,110,664 ",Europe,17,576,1
6,France,3489129,,82812.0,,244238,,3162079,3348.0,53379.0,1267.0,49201307.0,752721.0,"65,364,643 ",Europe,19,789,1
7,Spain,3096343,,65979.0,,0,,0,4053.0,66209.0,1411.0,37334915.0,798331.0,"46,766,215 ",Europe,15,709,1
8,Italy,2739591,,94171.0,,2251734,,393686,2074.0,45353.0,1559.0,36621878.0,606266.0,"60,405,628 ",Europe,22,641,2
9,Turkey,2602034,,27652.0,,2489624,,84758,1201.0,30645.0,326.0,31748965.0,373917.0,"84,909,102 ",Asia,33,"3,071",3
