#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1205486,North America,North America,,3296.0,426.0,,19046.0,,1798496,110221.0,482789.0,,
,854876,Europe,Europe,,,,,10751.0,,1848322,166805.0,826641.0,,
,314350,South America,South America,,268.0,16.0,,10657.0,,548892,28094.0,206448.0,,
,345272,Asia,Asia,,31.0,,,4867.0,,887288,26244.0,515772.0,,
,57981,Africa,Africa,,,,,285.0,,101684,3115.0,40588.0,,
,547,Australia/Oceania,Oceania,,15.0,1.0,,10.0,,8703,122.0,8034.0,,
,2778567,All,World,42.9,3610.0,443.0,,45620.0,,5194106,334616.0,2080923.0,,666.0
1,1142379,North America,USA,291.0,,,"330,790,544 ",17902.0,40729.0,1620902,96354.0,382169.0,13472618.0,4900.0
2,221774,Europe,Russia,21.0,,,"145,927,804 ",2300.0,53731.0,317554,3099.0,92681.0,7840880.0,2176.0
3,164879,South America,Brazil,95.0,,,"212,393,298 ",8318.0,3462.0,310921,20082.0,125960.0,735224.0,1464.0
4,55219,Europe,Spain,598.0,,,"46,752,851 ",1152.0,64977.0,280117,27940.0,196958.0,3037840.0,5991.0
5,0,Europe,UK,531.0,,,"67,847,158 ",1559.0,45552.0,250908,36042.0,0.0,3090566.0,3698.0
6,60960,Europe,Italy,537.0,,,"60,471,198 ",640.0,53635.0,228006,32486.0,134560.0,3243398.0,3770.0
7,89753,Europe,France,432.0,,,"65,258,007 ",1745.0,21218.0,181826,28215.0,63858.0,1384633.0,2786.0
8,12712,Europe,Germany,99.0,,,"83,755,045 ",1016.0,42923.0,179021,8309.0,158000.0,3595059.0,2137.0
9,34309,Asia,Turkey,50.0,,,"84,237,509 ",820.0,20537.0,153548,4249.0,114990.0,1729988.0,1823.0
10,21528,Asia,Iran,86.0,,,"83,871,454 ",2655.0,8895.0,129341,7249.0,100564.0,746045.0,1542.0
11,66089,Asia,India,3.0,,,"1,378,492,893 ",,1898.0,118226,3584.0,48553.0,2615920.0,86.0
12,62034,South America,Peru,96.0,,,"32,919,665 ",886.0,22373.0,108769,3148.0,43587.0,736500.0,3304.0
13,33457,North America,Canada,163.0,,,"37,705,478 ",502.0,36524.0,81324,6152.0,41715.0,1377146.0,2157.0
14,28686,Asia,Saudi Arabia,10.0,,,"34,751,777 ",281.0,18737.0,65077,351.0,36040.0,651158.0,1873.0
15,12400,North America,Mexico,51.0,2973.0,420.0,"128,781,349 ",378.0,1442.0,59567,6510.0,40657.0,185755.0,463.0
16,33000,South America,Chile,31.0,,,"19,098,031 ",943.0,22306.0,57581,589.0,23992.0,426003.0,3015.0
17,32061,Europe,Belgium,793.0,,,"11,584,152 ",277.0,63807.0,56235,9186.0,14988.0,739146.0,4854.0
18,32919,Asia,Pakistan,5.0,,,"220,392,002 ",111.0,1949.0,48091,1017.0,14155.0,429600.0,218.0
19,0,Europe,Netherlands,337.0,,,"17,130,802 ",255.0,17652.0,44700,5775.0,0.0,302395.0,2609.0
20,31346,Asia,Qatar,6.0,,,"2,875,446 ",171.0,61028.0,38651,17.0,7288.0,175482.0,13442.0
21,28810,South America,Ecuador,167.0,,,"17,612,428 ",191.0,5768.0,35306,2939.0,3557.0,101580.0,2005.0
22,21129,Europe,Belarus,20.0,,,"9,449,653 ",92.0,42672.0,33371,185.0,12057.0,403236.0,3531.0
23,23330,Europe,Sweden,384.0,,,"10,092,371 ",352.0,20798.0,32172,3871.0,4971.0,209900.0,3188.0
