#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1211092,North America,North America,,3169.0,246.0,,18258.0,,1905387,115272.0,579023.0,,
,360460,South America,South America,,397.0,11.0,,10892.0,,656612,32649.0,263503.0,,
,854599,Europe,Europe,,,,,9915.0,,1916177,168515.0,893063.0,,
,382575,Asia,Asia,,2361.0,32.0,,13765.0,,984770,27833.0,574362.0,,
,66599,Africa,Africa,,156.0,5.0,,327.0,,117957,3500.0,47858.0,,
,497,Australia/Oceania,Oceania,,8.0,,,6.0,,8734,123.0,8114.0,,
,2875877,All,World,44.6,6091.0,294.0,,53167.0,,5590358,347907.0,2366574.0,,717.0
1,1141751,North America,USA,302.0,,,"330,811,717 ",17114.0,45910.0,1706226,99805.0,464670.0,15187647.0,5158.0
2,199314,South America,Brazil,111.0,,,"212,409,786 ",8318.0,3461.0,376669,23522.0,153833.0,735224.0,1773.0
3,230996,Europe,Russia,25.0,,,"145,928,485 ",2300.0,61300.0,353427,3633.0,118798.0,8945384.0,2422.0
4,58685,Europe,Spain,574.0,,,"46,753,049 ",854.0,76071.0,282480,26837.0,196958.0,3556567.0,6042.0
5,0,Europe,UK,544.0,,,"67,851,047 ",1559.0,52065.0,261184,36914.0,0.0,3532634.0,3849.0
6,55300,Europe,Italy,544.0,,,"60,470,230 ",541.0,57586.0,230158,32877.0,141981.0,3482253.0,3806.0
7,89311,Europe,France,436.0,,,"65,259,581 ",1609.0,21217.0,182942,28432.0,65199.0,1384633.0,2803.0
8,11161,Europe,Germany,101.0,,,"83,757,965 ",873.0,42922.0,180789,8428.0,161200.0,3595059.0,2158.0
9,33430,Asia,Turkey,52.0,,,"84,247,422 ",756.0,22004.0,157814,4369.0,120015.0,1853754.0,1873.0
10,80578,Asia,India,3.0,506.0,,"1,378,641,054 ",8944.0,2268.0,145456,4172.0,60706.0,3126119.0,106.0
11,22560,Asia,Iran,89.0,,,"83,883,203 ",2585.0,9763.0,137724,7451.0,107713.0,818917.0,1642.0
12,69401,South America,Peru,110.0,,,"32,924,686 ",909.0,25541.0,123979,3629.0,50949.0,840922.0,3766.0
13,34528,North America,Canada,174.0,,,"37,709,091 ",502.0,39313.0,85711,6545.0,44638.0,1482468.0,2273.0
14,28728,Asia,Saudi Arabia,11.0,,,"34,757,706 ",384.0,20775.0,74795,399.0,45668.0,722079.0,2152.0
15,43934,South America,Chile,40.0,,,"19,099,822 ",1135.0,25552.0,73997,761.0,29302.0,488041.0,3874.0
16,13582,North America,Mexico,59.0,2485.0,239.0,"128,796,145 ",378.0,1752.0,71105,7633.0,49890.0,225650.0,552.0
17,38194,Asia,Pakistan,5.0,1356.0,30.0,"220,438,956 ",111.0,2227.0,57705,1197.0,18314.0,490908.0,262.0
18,32733,Europe,Belgium,804.0,,,"11,584,702 ",251.0,68030.0,57342,9312.0,15297.0,788110.0,4950.0
19,35076,Asia,Qatar,9.0,,,"2,875,978 ",202.0,66928.0,45465,26.0,10363.0,192484.0,15809.0
20,0,Europe,Netherlands,340.0,,,"17,131,215 ",223.0,18966.0,45445,5830.0,0.0,324918.0,2653.0
21,16149,South America,Ecuador,182.0,,,"17,615,358 ",211.0,6049.0,37355,3203.0,18003.0,106554.0,2121.0
22,22491,Europe,Belarus,22.0,,,"9,449,619 ",92.0,48997.0,37144,204.0,14449.0,463004.0,3931.0
23,27750,Asia,Bangladesh,3.0,,,"164,524,398 ",1.0,1538.0,35585,501.0,7334.0,253034.0,216.0
24,24843,Europe,Sweden,399.0,,,"10,093,058 ",304.0,20796.0,33843,4029.0,4971.0,209900.0,3353.0
25,16199,Asia,Singapore,4.0,,,"5,845,767 ",8.0,50364.0,31960,23.0,15738.0,294414.0,5467.0
26,11636,Europe,Portugal,130.0,,,"10,199,497 ",72.0,67621.0,30788,1330.0,17822.0,689705.0,3019.0
27,633,Europe,Switzerland,221.0,,,"8,648,347 ",47.0,43031.0,30746,1913.0,28200.0,372146.0,3555.0
28,14402,Asia,UAE,25.0,,,"9,878,250 ",1.0,206969.0,30307,248.0,15657.0,2044493.0,3068.0
29,2032,Europe,Ireland,326.0,,,"4,932,204 ",54.0,59938.0,24698,1606.0,21060.0,295626.0,5007.0
30,11217,Africa,South Africa,8.0,,,"59,232,433 ",128.0,10075.0,23615,481.0,11917.0,596777.0,399.0
31,15717,Asia,Indonesia,5.0,,,"273,231,828 ",,940.0,22750,1391.0,5642.0,256946.0,83.0
32,15966,South America,Colombia,15.0,,,"50,828,154 ",136.0,5131.0,21981,750.0,5265.0,260812.0,432.0
33,15181,Asia,Kuwait,39.0,,,"4,264,055 ",182.0,64214.0,21967,165.0,6621.0,273812.0,5152.0
34,11348,Europe,Poland,27.0,,,"37,850,537 ",160.0,20596.0,21631,1007.0,9276.0,779576.0,571.0
35,13388,Europe,Ukraine,14.0,,,"43,757,987 ",256.0,6670.0,21245,623.0,7234.0,291868.0,486.0
36,5448,Europe,Romania,63.0,,,"19,249,480 ",177.0,19595.0,18283,1205.0,11630.0,377191.0,950.0
37,12284,Africa,Egypt,8.0,,,"102,130,974 ",41.0,1322.0,17967,783.0,4900.0,135000.0,176.0
38,2146,Asia,Israel,31.0,,,"9,197,590 ",43.0,58855.0,16734,281.0,14307.0,541322.0,1819.0
39,2139,Asia,Japan,7.0,,,"126,512,743 ",165.0,3442.0,16581,830.0,13612.0,435412.0,131.0
40,760,Europe,Austria,71.0,,,"9,001,347 ",31.0,45031.0,16539,641.0,15138.0,405341.0,1837.0
41,6328,North America,Dominican Republic,42.0,,,"10,836,968 ",123.0,6423.0,15073,460.0,8285.0,69608.0,1391.0
42,10123,Asia,Philippines,8.0,,,"109,431,787 ",81.0,2757.0,14319,873.0,3323.0,301677.0,131.0
43,8162,South America,Argentina,10.0,,,"45,154,246 ",171.0,2956.0,12628,467.0,3999.0,133468.0,280.0
44,860,Europe,Denmark,97.0,,,"5,790,221 ",20.0,94404.0,11387,563.0,9964.0,546621.0,1967.0
45,681,Asia,S. Korea,5.0,19.0,2.0,"51,264,961 ",15.0,16375.0,11225,269.0,10275.0,839475.0,219.0
46,5034,Europe,Serbia,27.0,,,"8,740,651 ",12.0,25209.0,11193,239.0,5920.0,220344.0,1281.0
47,4594,North America,Panama,72.0,,,"4,307,725 ",72.0,13775.0,11183,310.0,6279.0,59339.0,2596.0
48,9857,Asia,Afghanistan,6.0,,,"38,834,157 ",19.0,817.0,11173,219.0,1097.0,31718.0,288.0
49,4404,Asia,Bahrain,8.0,,,"1,694,805 ",8.0,167502.0,9171,14.0,4753.0,283884.0,5411.0
50,2503,Europe,Czechia,30.0,,,"10,707,069 ",24.0,37672.0,9002,317.0,6182.0,403358.0,841.0
51,4419,Asia,Kazakhstan,2.0,438.0,,"18,753,881 ",31.0,36646.0,8969,35.0,4515.0,687249.0,478.0
52,3147,Africa,Algeria,14.0,,,"43,767,938 ",27.0,,8503,609.0,4747.0,,194.0
53,402,Europe,Norway,43.0,,,"5,417,027 ",14.0,43315.0,8364,235.0,7727.0,234637.0,1544.0
54,5524,Africa,Nigeria,1.0,,,"205,584,173 ",7.0,216.0,8068,233.0,2311.0,44458.0,39.0
55,5800,Asia,Oman,7.0,,,"5,092,460 ",31.0,14139.0,7770,37.0,1933.0,72000.0,1526.0
56,2558,Africa,Morocco,5.0,,,"36,866,123 ",1.0,4129.0,7532,200.0,4774.0,152203.0,204.0
57,1323,Asia,Malaysia,4.0,,,"32,323,664 ",8.0,15882.0,7417,115.0,5979.0,513370.0,229.0
58,3084,Europe,Moldova,65.0,,,"4,034,845 ",286.0,10054.0,7147,261.0,3802.0,40565.0,1771.0
59,472,Australia/Oceania,Australia,4.0,8.0,,"25,469,872 ",5.0,49315.0,7126,102.0,6552.0,1256041.0,280.0
60,3881,Asia,Armenia,29.0,,,"2,962,710 ",10.0,17414.0,7113,87.0,3145.0,51594.0,2401.0
61,4706,Africa,Ghana,1.0,,,"31,003,853 ",16.0,6360.0,6808,32.0,2070.0,197194.0,220.0
62,5752,South America,Bolivia,22.0,397.0,11.0,"11,656,694 ",3.0,1913.0,6660,261.0,647.0,22294.0,571.0
63,1191,Europe,Finland,56.0,,,"5,539,893 ",18.0,30452.0,6599,308.0,5100.0,168700.0,1191.0
64,2860,Africa,Cameroon,6.0,,,"26,473,989 ",28.0,,4890,165.0,1865.0,,185.0
65,1658,Asia,Iraq,4.0,,,"40,125,564 ",,4846.0,4632,163.0,2811.0,194444.0,115.0
66,1479,Asia,Azerbaijan,5.0,,,"10,130,034 ",42.0,26990.0,4271,51.0,2741.0,273411.0,422.0
67,3534,North America,Honduras,18.0,239.0,2.0,"9,888,260 ",13.0,1496.0,4189,182.0,473.0,14790.0,424.0
68,102,Europe,Luxembourg,176.0,,,"624,919 ",4.0,108985.0,3993,110.0,3781.0,68107.0,6390.0
69,3303,Africa,Sudan,4.0,156.0,5.0,"43,738,792 ",,9.0,3976,170.0,503.0,401.0,91.0
70,3427,North America,Guatemala,3.0,336.0,1.0,"17,880,705 ",5.0,1758.0,3760,59.0,274.0,31427.0,210.0
71,1554,Europe,Hungary,51.0,,,"9,662,656 ",28.0,17037.0,3756,491.0,1711.0,164619.0,389.0
72,1582,Africa,Guinea,2.0,,,"13,093,597 ",24.0,1100.0,3275,20.0,1673.0,14407.0,250.0
73,569,Asia,Uzbekistan,0.4,,,"33,419,241 ",3.0,13765.0,3189,13.0,2607.0,460000.0,95.0
74,1580,Africa,Senegal,2.0,,,"16,695,568 ",12.0,2097.0,3130,35.0,1515.0,35016.0,187.0
75,1659,Asia,Tajikistan,5.0,,,"9,514,637 ",,,3100,46.0,1395.0,,326.0
76,57,Asia,Thailand,0.8,,,"69,783,058 ",57.0,5380.0,3042,57.0,2928.0,375453.0,44.0
77,1336,Europe,Greece,16.0,,,"10,427,777 ",18.0,14868.0,2882,172.0,1374.0,155037.0,276.0
78,1375,Africa,Djibouti,14.0,,,"986,520 ",,23456.0,2468,14.0,1079.0,23140.0,2502.0
79,1441,Europe,Bulgaria,19.0,,,"6,953,227 ",20.0,10720.0,2433,130.0,862.0,74539.0,350.0
80,1136,Africa,Ivory Coast,1.0,,,"26,307,273 ",,924.0,2423,30.0,1257.0,24317.0,92.0
81,564,Europe,Bosnia and Herzegovina,44.0,,,"3,282,698 ",4.0,18258.0,2406,146.0,1696.0,59934.0,733.0
82,1893,Africa,DRC,0.8,,,"89,256,655 ",,,2297,67.0,337.0,,26.0
83,109,Europe,Croatia,24.0,,,"4,107,599 ",6.0,15197.0,2244,100.0,2035.0,62422.0,546.0
84,1559,Africa,Gabon,6.0,,,"2,220,060 ",10.0,4463.0,2135,14.0,562.0,9908.0,962.0
85,447,Europe,North Macedonia,54.0,,,"2,083,382 ",21.0,12253.0,1999,113.0,1439.0,25528.0,959.0
86,1176,North America,El Salvador,5.0,,,"6,483,000 ",25.0,11591.0,1983,35.0,772.0,75146.0,306.0
87,161,North America,Cuba,7.0,,,"11,327,273 ",3.0,8304.0,1947,82.0,1704.0,94060.0,172.0
