#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,35052646,6461.0,803150.0,616.0,26479028,"+4,027",7770468,15236.0,,,,,,North America,"
",,
,South America,19942824,603.0,516462.0,10.0,17774230,720,1652132,19605.0,,,,,,South America,"
",,
,Asia,26847795,7091.0,415622.0,74.0,24990355,"+6,216",1441818,24250.0,,,,,,Asia,"
",,
,Europe,37443794,27213.0,876355.0,431.0,26487230,"+12,852",10080209,28432.0,,,,,,Europe,"
",,
,Africa,4129214,,109914.0,,3689361,,329939,2551.0,,,,,,Africa,"
",,
,Oceania,53824,14.0,1115.0,,34454,7,18255,7.0,,,,,,Australia/Oceania,"
",,
,World,123470818,41382.0,2722633.0,1131.0,99455364,"+23,822",21292821,90081.0,15840.0,349.3,,,,All,"
",,
1,USA,30482127,,554871.0,,22683617,,7243639,8732.0,91705.0,1669.0,388699199.0,1169391.0,"332,394,423 ",North America,11,599,1
2,Brazil,11950459,,292856.0,,10419393,,1238210,8318.0,55937.0,1371.0,28600000.0,133869.0,"213,642,264 ",South America,18,730,7
3,India,11599130,420.0,159790.0,,11130288,"+2,169",309052,8944.0,8346.0,115.0,233565119.0,168067.0,"1,389,716,105 ",Asia,120,"8,697",6
4,Russia,4447570,,94659.0,,4060652,,292259,2300.0,30467.0,648.0,117000000.0,801483.0,"145,979,432 ",Europe,33,"1,542",1
5,UK,4291271,,126122.0,,3650226,,514923,830.0,62976.0,1851.0,112493147.0,1650869.0,"68,141,779 ",Europe,16,540,1
6,France,4252022,,92167.0,,279646,,3880209,4287.0,65038.0,1410.0,58498845.0,894789.0,"65,377,235 ",Europe,15,709,1
7,Italy,3356331,,104642.0,,2686236,,565453,3387.0,55570.0,1733.0,46613817.0,771779.0,"60,397,886 ",Europe,18,577,1
8,Spain,3212332,,72910.0,,2945446,,193976,1997.0,68687.0,1559.0,41114319.0,879116.0,"46,767,793 ",Europe,15,641,1
9,Turkey,2992694,,29959.0,,2807572,,155163,1538.0,35213.0,353.0,36165468.0,425534.0,"84,988,405 ",Asia,28,"2,837",2
