#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
,North America,41566599,14935.0,930603.0,366.0,34828512,"+8,958",5807484,13340.0,,,,,,North America,"
",,,,,,Dummy,Dummy
,Asia,59459330,30810.0,853108.0,239.0,56065906,"+26,811",2540316,30510.0,,,,,,Asia,"
",,,,,,Dummy,Dummy
,South America,34708373,1052.0,1066965.0,30.0,32187004,"+1,454",1454404,26732.0,,,,,,South America,"
",,,,,,Dummy,Dummy
,Europe,50101361,2122.0,1121776.0,13.0,46267313,"+1,535",2712272,6577.0,,,,,,Europe,"
",,,,,,Dummy,Dummy
,Africa,6350311,,160112.0,,5540767,,649432,4570.0,,,,,,Africa,"
",,,,,,Dummy,Dummy
,Oceania,91730,143.0,1409.0,,73304,1,17017,65.0,,,,,,Australia/Oceania,"
",,,,,,Dummy,Dummy
,World,192278425,49062.0,4133988.0,648.0,174963512,"+38,759",13180925,81794.0,24668.0,530.4,,,,All,"
",,,,,,Dummy,Dummy
1,USA,35081719,,625363.0,,29435171,,5021185,6349.0,105338.0,1878.0,518658231.0,1557344.0,"333,040,210 ",North America,9,533,1,,,"15,077",Dummy,Dummy
2,India,31216337,1195.0,418511.0,,30390687,"+7,686",407139,8944.0,22390.0,300.0,449193273.0,322179.0,"1,394,235,023 ",Asia,45,"3,331",3,0.9,,292,Dummy,Dummy
3,Brazil,19419741,,544302.0,,18124621,,750818,8318.0,90685.0,2542.0,54786381.0,255838.0,"214,145,148 ",South America,11,393,4,,,"3,506",Dummy,Dummy
4,Russia,6006536,,149922.0,,5382213,,474401,2300.0,41141.0,1027.0,159900000.0,1095204.0,"146,000,220 ",Europe,24,974,1,,,"3,249",Dummy,Dummy
5,France,5890062,,111525.0,,5663776,,114761,876.0,90027.0,1705.0,99504244.0,1520885.0,"65,425,241 ",Europe,11,587,1,,,"1,754",Dummy,Dummy
6,Turkey,5546166,,50650.0,,5395300,,100216,543.0,65027.0,594.0,65300191.0,765619.0,"85,290,746 ",Asia,15,"1,684",1,,,"1,175",Dummy,Dummy
7,UK,5519602,,128823.0,,4411839,,978940,611.0,80861.0,1887.0,234640904.0,3437438.0,"68,260,406 ",Europe,12,530,0,,,"14,341",Dummy,Dummy
8,Argentina,4784219,,102381.0,,4420995,,260843,4643.0,104846.0,2244.0,18420915.0,403694.0,"45,630,830 ",South America,10,446,2,,,"5,716",Dummy,Dummy
9,Colombia,4668750,,117131.0,,4422866,,128753,8155.0,90741.0,2277.0,21744142.0,422613.0,"51,451,630 ",South America,11,439,2,,,"2,502",Dummy,Dummy
10,Italy,4293083,,127884.0,,4115889,,49310,165.0,71115.0,2118.0,75100357.0,1244035.0,"60,368,368 ",Europe,14,472,1,,,817,Dummy,Dummy
11,Spain,4189136,,81148.0,,3676323,,431665,1116.0,89562.0,1735.0,55184196.0,1179810.0,"46,773,809 ",Europe,11,576,1,,,"9,229",Dummy,Dummy
12,Germany,3754828,,91938.0,,3642000,"+1,000",20890,361.0,44666.0,1094.0,65845568.0,783267.0,"84,065,322 ",Europe,22,914,1,,,248,Dummy,Dummy
13,Iran,3576148,,87624.0,,3168834,,319690,4422.0,42013.0,1029.0,24892912.0,292446.0,"85,119,790 ",Asia,24,971,3,,,"3,756",Dummy,Dummy
14,Indonesia,2950058,,76200.0,,2323666,,550192,,10667.0,276.0,23719489.0,85767.0,"276,556,785 ",Asia,94,"3,629",12,,,"1,989",Dummy,Dummy
15,Poland,2881594,,75219.0,,2653034,,153341,60.0,76227.0,1990.0,18138390.0,479813.0,"37,803,040 ",Europe,13,503,2,,,"4,056",Dummy,Dummy
16,Mexico,2678297,13853.0,236810.0,341.0,2104298,"+8,345",337189,4798.0,20546.0,1817.0,8003778.0,61401.0,"130,353,354 ",North America,49,550,16,106,3,"2,587",Dummy,Dummy
17,South Africa,2311232,,67676.0,,2085119,,0,546.0,38461.0,1126.0,14310166.0,238136.0,"60,092,502 ",Africa,26,888,4,,,"2,637",Dummy,Dummy
18,Ukraine,2245930,655.0,52769.0,13.0,2182502,577,10659,177.0,51681.0,1214.0,11200678.0,257740.0,"43,457,353 ",Europe,19,824,4,15,0.3,245,Dummy,Dummy
19,Peru,2096013,,195332.0,,0,N/A,0,1981.0,62655.0,5839.0,15073218.0,450577.0,"33,453,146 ",South America,16,171,2,,,"5,381",Dummy,Dummy
20,Netherlands,1814143,,17783.0,,1661200,,135160,95.0,105629.0,1035.0,15472423.0,900885.0,"17,174,700 ",Europe,9,966,1,,,"7,870",Dummy,Dummy
21,Czechia,1671372,,30341.0,,1638061,,2970,5.0,155768.0,2828.0,31715021.0,2955774.0,"10,729,853 ",Europe,6,354,0,,,277,Dummy,Dummy
22,Chile,1601858,,34569.0,,1555294,,11995,1970.0,83048.0,1792.0,18065116.0,936581.0,"19,288,358 ",South America,12,558,1,,,622,Dummy,Dummy
23,Philippines,1517903,,26844.0,,1444253,,46806,2031.0,13661.0,242.0,16086481.0,144780.0,"111,109,628 ",Asia,73,"4,139",7,,,421,Dummy,Dummy
24,Iraq,1510517,,17951.0,,1372158,,120408,720.0,36693.0,436.0,12587768.0,305778.0,"41,166,304 ",Asia,27,"2,293",3,,,"2,925",Dummy,Dummy
25,Canada,1424220,,26508.0,,1393117,,4595,264.0,37392.0,696.0,37947701.0,996282.0,"38,089,322 ",North America,27,"1,437",1,,,121,Dummy,Dummy
26,Bangladesh,1128889,,18325.0,,951340,,159224,1277.0,6784.0,110.0,7339909.0,44107.0,"166,410,269 ",Asia,147,"9,081",23,,,957,Dummy,Dummy
27,Belgium,1108675,1467.0,25213.0,,1051372,,32090,84.0,95226.0,2166.0,16607907.0,1426479.0,"11,642,587 ",Europe,11,462,1,126,,"2,756",Dummy,Dummy
28,Sweden,1095279,,14614.0,,1072800,,7865,25.0,107746.0,1438.0,11231122.0,1104842.0,"10,165,367 ",Europe,9,696,1,,,774,Dummy,Dummy
29,Romania,1081773,,34258.0,,1046881,,634,36.0,56629.0,1793.0,10257994.0,536993.0,"19,102,669 ",Europe,18,558,2,,,33,Dummy,Dummy
30,Pakistan,996451,2579.0,22888.0,40.0,922034,939,51529,2590.0,4421.0,102.0,15525468.0,68886.0,"225,380,778 ",Asia,226,"9,847",15,11,0.2,229,Dummy,Dummy
31,Malaysia,939899,,7241.0,,798955,,133703,924.0,28655.0,221.0,16622925.0,506786.0,"32,800,653 ",Asia,35,"4,530",2,,,"4,076",Dummy,Dummy
32,Portugal,935246,,17219.0,,867540,,50487,177.0,92002.0,1694.0,14554811.0,1431792.0,"10,165,448 ",Europe,11,590,1,,,"4,967",Dummy,Dummy
33,Israel,854434,,6452.0,,839103,,8879,59.0,91618.0,692.0,15901380.0,1705059.0,"9,326,000 ",Asia,11,"1,445",1,,,952,Dummy,Dummy
34,Japan,844014,,15060.0,,801337,,27617,406.0,6695.0,119.0,17614879.0,139724.0,"126,069,343 ",Asia,149,"8,371",7,,,219,Dummy,Dummy
35,Hungary,808889,,30019.0,,743449,,35421,11.0,83957.0,3116.0,6261622.0,649913.0,"9,634,561 ",Europe,12,321,2,,,"3,676",Dummy,Dummy
36,Jordan,762420,,9916.0,,744365,,8139,487.0,73954.0,962.0,8265981.0,801793.0,"10,309,372 ",Asia,14,"1,040",1,,,789,Dummy,Dummy
37,Serbia,719006,,7088.0,,709559,,2359,7.0,82641.0,815.0,4572957.0,525606.0,"8,700,359 ",Europe,12,"1,227",2,,,271,Dummy,Dummy
38,Switzerland,710243,,10903.0,,690729,,8611,31.0,81440.0,1250.0,8834114.0,1012965.0,"8,721,043 ",Europe,12,800,1,,,987,Dummy,Dummy
39,Nepal,670953,,9607.0,,634927,,26419,,22602.0,324.0,3486354.0,117443.0,"29,685,410 ",Asia,44,"3,090",9,,,890,Dummy,Dummy
40,UAE,664027,,1904.0,,641750,,20373,,66299.0,190.0,63206621.0,6310770.0,"10,015,675 ",Asia,15,"5,260",0,,,"2,034",Dummy,Dummy
41,Austria,654314,,10729.0,,639831,,3754,39.0,72217.0,1184.0,62606905.0,6909991.0,"9,060,345 ",Europe,14,844,0,,,414,Dummy,Dummy
42,Morocco,562416,,9486.0,,534814,,18116,335.0,15050.0,254.0,7225700.0,193360.0,"37,369,223 ",Africa,66,"3,939",5,,,485,Dummy,Dummy
43,Tunisia,554911,,17821.0,,443979,,93111,630.0,46443.0,1492.0,2124087.0,177773.0,"11,948,310 ",Africa,22,670,6,,,"7,793",Dummy,Dummy
44,Lebanon,551789,,7887.0,,535485,,8417,54.0,81225.0,1161.0,4731376.0,696477.0,"6,793,298 ",Asia,12,861,1,,,"1,239",Dummy,Dummy
45,Saudi Arabia,512142,,8103.0,,493240,,10799,1380.0,14475.0,229.0,23936986.0,676534.0,"35,381,779 ",Asia,69,"4,367",1,,,305,Dummy,Dummy
46,Kazakhstan,504290,5179.0,5116.0,54.0,436523,"+2,529",62651,221.0,26525.0,269.0,11575012.0,608821.0,"19,012,164 ",Asia,38,"3,716",2,272,3,"3,295",Dummy,Dummy
47,Ecuador,477946,,30744.0,,443880,,3322,427.0,26666.0,1715.0,1615763.0,90147.0,"17,923,703 ",South America,38,583,11,,,185,Dummy,Dummy
48,Bolivia,464177,1052.0,17505.0,30.0,394002,"+1,454",52670,200.0,39205.0,1478.0,1991956.0,168241.0,"11,839,885 ",South America,26,676,6,89,3,"4,449",Dummy,Dummy
49,Greece,463473,,12843.0,,420187,,30443,121.0,44696.0,1239.0,11836700.0,1141491.0,"10,369,504 ",Europe,22,807,1,,,"2,936",Dummy,Dummy
50,Paraguay,446267,,14394.0,,406280,,25593,441.0,61772.0,1992.0,1636103.0,226470.0,"7,224,381 ",South America,16,502,4,,,"3,543",Dummy,Dummy
51,Thailand,439477,13002.0,3610.0,108.0,304456,"+8,248",131411,3786.0,6280.0,52.0,8129670.0,116165.0,"69,983,960 ",Asia,159,"19,386",9,186,2,"1,878",Dummy,Dummy
52,Belarus,435620,,3344.0,,429257,,3019,,46117.0,354.0,7114536.0,753175.0,"9,446,056 ",Europe,22,"2,825",1,,,320,Dummy,Dummy
53,Panama,424455,,6716.0,,404606,,13133,84.0,96777.0,1531.0,3241406.0,739050.0,"4,385,910 ",North America,10,653,1,,,"2,994",Dummy,Dummy
54,Bulgaria,423223,,18184.0,,397648,,7391,82.0,61395.0,2638.0,3454882.0,501187.0,"6,893,405 ",Europe,16,379,2,,,"1,072",Dummy,Dummy
55,Costa Rica,394135,,4915.0,,318436,,70784,366.0,76636.0,956.0,1667142.0,324163.0,"5,142,916 ",North America,13,"1,046",3,,,"13,763",Dummy,Dummy
56,Slovakia,392139,,12531.0,,379204,,404,9.0,71788.0,2294.0,3066516.0,561384.0,"5,462,421 ",Europe,14,436,2,,,74,Dummy,Dummy
57,Georgia,390945,,5592.0,,367130,,18223,,98200.0,1405.0,6368702.0,1599727.0,"3,981,117 ",Asia,10,712,1,,,"4,577",Dummy,Dummy
58,Kuwait,387912,,2247.0,,369737,,15928,323.0,89448.0,518.0,3264442.0,752741.0,"4,336,739 ",Asia,11,"1,930",1,,,"3,673",Dummy,Dummy
59,Uruguay,379376,,5896.0,,369652,,3828,107.0,108817.0,1691.0,2973898.0,853006.0,"3,486,374 ",South America,9,591,1,,,"1,098",Dummy,Dummy
60,Croatia,361759,,8243.0,,352777,,739,11.0,88696.0,2021.0,2223324.0,545115.0,"4,078,633 ",Europe,11,495,2,,,181,Dummy,Dummy
61,Azerbaijan,338837,,4994.0,,331429,,2414,,33106.0,488.0,3929320.0,383908.0,"10,235,049 ",Asia,30,"2,049",3,,,236,Dummy,Dummy
62,Dominican Republic,337975,,3928.0,,280645,,53402,252.0,30831.0,358.0,1800609.0,164259.0,"10,962,004 ",North America,32,"2,791",6,,,"4,872",Dummy,Dummy
63,Guatemala,334375,,9927.0,,293208,,31240,5.0,18309.0,544.0,1724821.0,94446.0,"18,262,454 ",North America,55,"1,840",11,,,"1,711",Dummy,Dummy
64,Palestine,315761,,3589.0,,310601,,1571,9.0,60428.0,687.0,1947669.0,372732.0,"5,225,393 ",Asia,17,"1,456",3,,,301,Dummy,Dummy
65,Denmark,307764,,2542.0,,293906,,11316,10.0,52938.0,437.0,74022609.0,12732610.0,"5,813,624 ",Europe,19,"2,287",0,,,"1,946",Dummy,Dummy
66,Venezuela,294727,,3408.0,,278117,,13202,424.0,10396.0,120.0,3359014.0,118479.0,"28,351,225 ",South America,96,"8,319",8,,,466,Dummy,Dummy
67,Cuba,294449,,2019.0,,256757,,35673,324.0,26013.0,178.0,5950808.0,525720.0,"11,319,350 ",North America,38,"5,606",2,,,"3,152",Dummy,Dummy
68,Oman,289042,,3498.0,,263752,,21792,444.0,55136.0,667.0,1550000.0,295670.0,"5,242,328 ",Asia,18,"1,499",3,,,"4,157",Dummy,Dummy
69,Sri Lanka,287973,,3870.0,,262828,,21275,,13389.0,180.0,4195281.0,195061.0,"21,507,531 ",Asia,75,"5,558",5,,,989,Dummy,Dummy
70,Ireland,286691,,5018.0,,264030,,17643,21.0,57388.0,1004.0,4729538.0,946737.0,"4,995,621 ",Europe,17,996,1,,,"3,532",Dummy,Dummy
71,Egypt,283813,,16457.0,,225068,,42288,90.0,2720.0,158.0,3068679.0,29406.0,"104,354,493 ",Africa,368,"6,341",34,,,405,Dummy,Dummy
72,Honduras,282686,1082.0,7507.0,25.0,96452,613,178727,677.0,28073.0,746.0,847320.0,84146.0,"10,069,600 ",North America,36,"1,341",12,107,2,"17,749",Dummy,Dummy
73,Lithuania,279914,,4404.0,,268382,,7128,13.0,104357.0,1642.0,3913970.0,1459195.0,"2,682,280 ",Europe,10,609,1,,,"2,657",Dummy,Dummy
74,Ethiopia,277877,,4359.0,,262550,,10968,144.0,2356.0,37.0,2962387.0,25118.0,"117,939,523 ",Africa,424,"27,057",40,,,93,Dummy,Dummy
