#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,1188717,North America,North America,,2534.0,431.0,,18978.0,,1764603,108306.0,467580.0,,
,852382,Europe,Europe,,,,,10927.0,,1830667,165798.0,812487.0,,
,300140,South America,South America,,438.0,10.0,,10583.0,,520526,26635.0,193751.0,,
,339213,Asia,Asia,,2489.0,33.0,,5013.0,,865929,25883.0,500833.0,,
,54578,Africa,Africa,,,,,287.0,,96990,3010.0,39402.0,,
,544,Australia/Oceania,Oceania,,2.0,,,10.0,,8688,121.0,8023.0,,
,2735629,All,World,42.3,5463.0,474.0,,45802.0,,5088124,329768.0,2022727.0,,653.0
1,1126921,North America,USA,287.0,,,"330,785,250 ",17815.0,42680.0,1591991,94994.0,370076.0,14117870.0,4813.0
2,220341,Europe,Russia,20.0,,,"145,927,633 ",2300.0,51930.0,308705,2972.0,85392.0,7578029.0,2115.0
3,157780,South America,Brazil,89.0,,,"212,389,176 ",8318.0,3462.0,293357,18894.0,116683.0,735224.0,1381.0
4,54678,Europe,Spain,596.0,,,"46,752,802 ",1152.0,64977.0,279524,27888.0,196958.0,3037840.0,5979.0
5,0,Europe,UK,526.0,,,"67,846,185 ",1559.0,43661.0,248293,35704.0,0.0,2962227.0,3660.0
6,62752,Europe,Italy,535.0,,,"60,471,440 ",676.0,52450.0,227364,32330.0,132282.0,3171719.0,3760.0
7,90089,Europe,France,431.0,,,"65,257,613 ",1794.0,21218.0,181575,28132.0,63354.0,1384633.0,2782.0
8,13361,Europe,Germany,99.0,,,"83,754,315 ",1045.0,42924.0,178531,8270.0,156900.0,3595059.0,2132.0
9,34378,Asia,Turkey,50.0,,,"84,235,031 ",877.0,20138.0,152587,4222.0,113987.0,1696355.0,1811.0
10,20958,Asia,Iran,86.0,,,"83,868,516 ",2735.0,8719.0,126949,7183.0,98808.0,731213.0,1514.0
